**** Analysis Summary ****

Time of run: ,05/08/16 00:04
Concentration file: ,C:\Users\thiago\Documents\EPA PMF\Data\pmf_fa\TFeH.csv
Uncertainty file: ,C:\Users\thiago\Documents\EPA PMF\Data\pmf_fa\TFeHunc8.csv
Configuration file: ,


**** Input Data Statistics ****

Species,Category,S/N,Min,25th,Median,75th,Max,% Modeled Samples,% Raw Samples
mass,Weak,      9.5, 45.61000, 65.95000, 98.84000,178.32000,1292.02000, 100.00 %, 100.00 %
Na,Strong,      1.0,  0.00335,  0.12775,  0.20397,  0.36060, 40.56603, 100.00 %, 100.00 %
Mg,Strong,      7.7,  0.17591,  0.38451,  0.79397,  1.45359,  6.95825, 100.00 %, 100.00 %
Al,Strong,     10.0,  1.47391,  2.98998,  5.29509,  9.13084, 47.26370, 100.00 %, 100.00 %
Si,Strong,     10.0,  3.29083,  6.54408, 13.00802, 23.65924,125.05882, 100.00 %, 100.00 %
P,Strong,      6.3,  0.01538,  0.03233,  0.04264,  0.06428,  0.16725, 100.00 %, 100.00 %
S,Strong,     10.0,  0.71771,  0.89563,  1.18860,  1.41554,  2.31183, 100.00 %, 100.00 %
Cl,Strong,     10.0,  0.12129,  0.42489,  0.74085,  1.16042,  4.50778, 100.00 %, 100.00 %
K,Strong,     10.0,  1.04092,  1.63770,  2.09131,  3.85352, 15.45510, 100.00 %, 100.00 %
Ca,Strong,     10.0,  0.66785,  1.14704,  1.95110,  3.37785, 24.40530, 100.00 %, 100.00 %
Ti,Strong,     10.0,  0.08987,  0.19307,  0.31365,  0.59931,  4.05869, 100.00 %, 100.00 %
V,Strong,      6.2,  0.00256,  0.00425,  0.00562,  0.00947,  0.06958, 100.00 %, 100.00 %
Mn,Strong,     10.0,  0.01447,  0.03287,  0.05466,  0.08739,  0.78532, 100.00 %, 100.00 %
Fe,Strong,     10.0,  0.89147,  1.71349,  2.82481,  5.23073, 36.90912, 100.00 %, 100.00 %
Zn,Strong,      9.8,  0.02953,  0.03859,  0.04832,  0.07658,  0.29750, 100.00 %, 100.00 %
Br,Strong,      9.3,  0.00856,  0.01924,  0.02896,  0.04993,  0.13954, 100.00 %, 100.00 %
Pb,Strong,      7.1,  0.01294,  0.01821,  0.02277,  0.03585,  0.09755, 100.00 %, 100.00 %
BC,Strong,     10.0,  2.65722,  3.51886,  3.93175,  4.32698,  8.88342, 100.00 %, 100.00 %

Excluded Samples


**** Base Run Summary ****

Number of base runs:  ,20
Base user-selected seed:  123
Number of factors:  ,4
Extra modeling uncertainty (%):,0

Base run summary table:

Run #,Q(Robust),Q(True)     ,Converged,# Steps,Q(true)/Qexp
1,1839        ,1922.4      ,Yes      ,761,2.766043
2,1838.99     ,1922.39     ,Yes      ,696,2.766029
3,1838.99     ,1922.39     ,Yes      ,591,2.766029
4,1838.99     ,1922.39     ,Yes      ,595,2.766029
5,1838.99     ,1922.39     ,Yes      ,580,2.766029
6,1839        ,1922.39     ,Yes      ,655,2.766029
7,1838.99     ,1922.4      ,Yes      ,672,2.766043
8,1839        ,1922.43     ,Yes      ,666,2.766086
9,1838.99     ,1922.39     ,Yes      ,640,2.766029
10,1838.98     ,1922.4      ,Yes      ,587,2.766043
11,1838.99     ,1922.39     ,Yes      ,678,2.766029
12,1838.99     ,1922.4      ,Yes      ,559,2.766043
13,1838.99     ,1922.39     ,Yes      ,608,2.766029
14,2264.6      ,2753.89     ,Yes      ,717,3.962432
15,1838.98     ,1922.39     ,Yes      ,659,2.766029
16,1838.99     ,1922.39     ,Yes      ,530,2.766029
17,1838.99     ,1922.39     ,Yes      ,744,2.766029
18,1839.03     ,1922.46     ,Yes      ,546,2.766129
19,1839        ,1922.4      ,Yes      ,737,2.766043
20,1838.99     ,1922.42     ,Yes      ,783,2.766072

Scaled residual analysis:

Sum of the squares of the differences in scaled residuals for each base run pair by species (d)
Run #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,
2,0.00168,
3,0.00131,0.00024,
4,0.00160,0.00029,0.00032,
5,0.00165,0.00009,0.00030,0.00038,
6,0.00206,0.00030,0.00048,0.00022,0.00037,
7,0.00044,0.00089,0.00063,0.00068,0.00094,0.00118,
8,0.00686,0.01160,0.01146,0.01101,0.01136,0.01149,0.00861,
9,0.00128,0.00012,0.00020,0.00032,0.00014,0.00041,0.00065,0.01106,
10,0.00105,0.00047,0.00058,0.00041,0.00040,0.00053,0.00056,0.00876,0.00039,
11,0.00176,0.00020,0.00025,0.00032,0.00030,0.00040,0.00089,0.01249,0.00024,0.00074,
12,0.00075,0.00032,0.00028,0.00040,0.00035,0.00069,0.00028,0.00979,0.00021,0.00035,0.00041,
13,0.00168,0.00025,0.00037,0.00014,0.00028,0.00019,0.00085,0.01080,0.00030,0.00030,0.00040,0.00045,
14,1675.55065,1675.54435,1675.57062,1675.55394,1675.53268,1675.60850,1675.48765,1675.54780,1675.56009,1675.53287,1675.49838,1675.51608,1675.63246,
15,0.00247,0.00025,0.00041,0.00025,0.00033,0.00019,0.00134,0.01309,0.00038,0.00075,0.00029,0.00075,0.00026,1675.61832,
16,0.00134,0.00018,0.00016,0.00031,0.00028,0.00046,0.00062,0.01143,0.00017,0.00059,0.00023,0.00025,0.00040,1675.58386,0.00040,
17,0.00167,0.00013,0.00021,0.00026,0.00014,0.00033,0.00084,0.01192,0.00014,0.00047,0.00022,0.00036,0.00023,1675.61646,0.00024,0.00021,
18,0.01824,0.02703,0.02644,0.02590,0.02663,0.02689,0.02145,0.00371,0.02600,0.02246,0.02805,0.02381,0.02574,1675.64757,0.02926,0.02650,0.02730,
19,0.00037,0.00082,0.00063,0.00078,0.00081,0.00118,0.00016,0.00823,0.00059,0.00042,0.00095,0.00024,0.00082,1675.56116,0.00138,0.00063,0.00080,0.02103,
20,0.00280,0.00519,0.00509,0.00500,0.00498,0.00523,0.00374,0.00494,0.00487,0.00348,0.00599,0.00415,0.00473,1675.56744,0.00627,0.00526,0.00540,0.01432,0.00327,

Sum of d across all species for each base run pair (D)
Run #            Run #,mass        ,Na          ,Mg          ,Al          ,Si          ,P           ,S           ,Cl          ,K           ,Ca          ,Ti          ,V           ,Mn          ,Fe          ,Zn          ,Br          ,Pb          ,BC          ,
2                    1,0.00000,0.00136,0.00001,0.00000,0.00001,0.00004,0.00002,0.00011,0.00001,0.00001,0.00001,0.00000,0.00001,0.00001,0.00001,0.00002,0.00001,0.00003,
3                    1,0.00000,0.00107,0.00001,0.00001,0.00001,0.00002,0.00002,0.00006,0.00001,0.00001,0.00001,0.00000,0.00001,0.00001,0.00001,0.00002,0.00001,0.00003,
3                    2,0.00000,0.00003,0.00000,0.00001,0.00000,0.00002,0.00002,0.00007,0.00001,0.00001,0.00000,0.00000,0.00001,0.00000,0.00001,0.00001,0.00000,0.00003,
4                    1,0.00000,0.00134,0.00001,0.00000,0.00001,0.00003,0.00001,0.00006,0.00001,0.00001,0.00000,0.00001,0.00001,0.00001,0.00001,0.00004,0.00001,0.00003,
4                    2,0.00000,0.00017,0.00000,0.00000,0.00000,0.00001,0.00001,0.00004,0.00001,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00002,0.00000,0.00001,
4                    3,0.00000,0.00017,0.00000,0.00000,0.00001,0.00002,0.00001,0.00002,0.00001,0.00001,0.00000,0.00001,0.00001,0.00000,0.00001,0.00002,0.00000,0.00001,
5                    1,0.00000,0.00129,0.00001,0.00001,0.00001,0.00002,0.00002,0.00015,0.00001,0.00001,0.00001,0.00001,0.00002,0.00001,0.00001,0.00002,0.00001,0.00004,
5                    2,0.00000,0.00001,0.00000,0.00000,0.00000,0.00001,0.00001,0.00001,0.00000,0.00000,0.00000,0.00000,0.00001,0.00000,0.00001,0.00001,0.00000,0.00001,
5                    3,0.00000,0.00002,0.00000,0.00000,0.00001,0.00002,0.00003,0.00011,0.00001,0.00001,0.00001,0.00000,0.00002,0.00000,0.00001,0.00003,0.00001,0.00002,
5                    4,0.00000,0.00018,0.00000,0.00000,0.00000,0.00001,0.00001,0.00008,0.00001,0.00000,0.00000,0.00001,0.00001,0.00000,0.00001,0.00003,0.00000,0.00001,
6                    1,0.00000,0.00170,0.00001,0.00001,0.00001,0.00002,0.00002,0.00014,0.00001,0.00001,0.00001,0.00000,0.00002,0.00001,0.00002,0.00004,0.00001,0.00004,
6                    2,0.00000,0.00017,0.00000,0.00000,0.00001,0.00003,0.00001,0.00002,0.00001,0.00000,0.00000,0.00000,0.00001,0.00000,0.00001,0.00002,0.00000,0.00001,
6                    3,0.00000,0.00021,0.00001,0.00001,0.00001,0.00003,0.00002,0.00009,0.00002,0.00001,0.00001,0.00000,0.00001,0.00000,0.00002,0.00002,0.00000,0.00003,
6                    4,0.00000,0.00003,0.00001,0.00001,0.00000,0.00002,0.00001,0.00007,0.00001,0.00000,0.00000,0.00001,0.00001,0.00000,0.00002,0.00001,0.00000,0.00002,
6                    5,0.00000,0.00019,0.00000,0.00001,0.00001,0.00002,0.00001,0.00003,0.00001,0.00001,0.00000,0.00000,0.00001,0.00000,0.00002,0.00003,0.00000,0.00001,
7                    1,0.00000,0.00021,0.00001,0.00000,0.00001,0.00003,0.00001,0.00005,0.00002,0.00000,0.00001,0.00001,0.00001,0.00000,0.00001,0.00003,0.00001,0.00003,
7                    2,0.00000,0.00057,0.00001,0.00001,0.00000,0.00001,0.00002,0.00015,0.00001,0.00001,0.00000,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00004,
7                    3,0.00000,0.00040,0.00001,0.00000,0.00001,0.00003,0.00001,0.00008,0.00001,0.00001,0.00000,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,
7                    4,0.00000,0.00050,0.00001,0.00000,0.00000,0.00001,0.00001,0.00005,0.00001,0.00001,0.00000,0.00001,0.00001,0.00001,0.00001,0.00002,0.00000,0.00002,
7                    5,0.00000,0.00054,0.00001,0.00000,0.00000,0.00002,0.00002,0.00020,0.00001,0.00001,0.00000,0.00001,0.00001,0.00001,0.00002,0.00002,0.00001,0.00003,
7                    6,0.00000,0.00073,0.00001,0.00001,0.00001,0.00004,0.00001,0.00021,0.00003,0.00001,0.00000,0.00001,0.00001,0.00001,0.00002,0.00002,0.00001,0.00004,
8                    1,0.00001,0.00324,0.00005,0.00005,0.00006,0.00013,0.00031,0.00202,0.00015,0.00004,0.00004,0.00002,0.00005,0.00004,0.00014,0.00005,0.00002,0.00044,
8                    2,0.00001,0.00804,0.00006,0.00006,0.00007,0.00009,0.00031,0.00200,0.00015,0.00005,0.00004,0.00002,0.00006,0.00004,0.00011,0.00003,0.00002,0.00046,
8                    3,0.00001,0.00733,0.00006,0.00006,0.00007,0.00013,0.00036,0.00231,0.00016,0.00004,0.00005,0.00002,0.00007,0.00005,0.00014,0.00003,0.00003,0.00055,
8                    4,0.00001,0.00721,0.00006,0.00005,0.00006,0.00009,0.00031,0.00219,0.00014,0.00005,0.00004,0.00002,0.00006,0.00004,0.00012,0.00002,0.00003,0.00051,
8                    5,0.00001,0.00789,0.00006,0.00005,0.00006,0.00010,0.00029,0.00191,0.00014,0.00005,0.00004,0.00003,0.00006,0.00004,0.00011,0.00004,0.00002,0.00046,
8                    6,0.00001,0.00801,0.00006,0.00006,0.00006,0.00011,0.00028,0.00194,0.00013,0.00004,0.00004,0.00002,0.00006,0.00004,0.00013,0.00002,0.00003,0.00045,
8                    7,0.00001,0.00449,0.00005,0.00005,0.00007,0.00010,0.00033,0.00238,0.00019,0.00004,0.00004,0.00002,0.00005,0.00004,0.00015,0.00003,0.00002,0.00054,
9                    1,0.00000,0.00104,0.00001,0.00001,0.00000,0.00002,0.00002,0.00007,0.00001,0.00001,0.00001,0.00000,0.00001,0.00001,0.00001,0.00002,0.00001,0.00003,
9                    2,0.00000,0.00003,0.00001,0.00001,0.00000,0.00001,0.00001,0.00002,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00001,0.00001,0.00000,0.00000,
9                    3,0.00000,0.00001,0.00001,0.00000,0.00000,0.00002,0.00003,0.00004,0.00001,0.00000,0.00001,0.00000,0.00001,0.00000,0.00001,0.00003,0.00000,0.00002,
9                    4,0.00000,0.00018,0.00001,0.00001,0.00000,0.00001,0.00001,0.00002,0.00000,0.00000,0.00000,0.00001,0.00001,0.00000,0.00000,0.00004,0.00000,0.00001,
9                    5,0.00000,0.00002,0.00001,0.00000,0.00000,0.00001,0.00001,0.00004,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00001,0.00001,0.00000,0.00001,
9                    6,0.00000,0.00023,0.00001,0.00001,0.00000,0.00002,0.00001,0.00004,0.00001,0.00000,0.00000,0.00000,0.00001,0.00000,0.00001,0.00004,0.00000,0.00002,
9                    7,0.00000,0.00039,0.00001,0.00001,0.00000,0.00001,0.00002,0.00010,0.00001,0.00001,0.00000,0.00001,0.00001,0.00001,0.00001,0.00003,0.00000,0.00003,
9                    8,0.00001,0.00735,0.00006,0.00007,0.00007,0.00011,0.00031,0.00204,0.00016,0.00004,0.00004,0.00002,0.00006,0.00004,0.00013,0.00004,0.00003,0.00047,
10                    1,0.00000,0.00066,0.00001,0.00001,0.00001,0.00002,0.00003,0.00013,0.00002,0.00001,0.00001,0.00001,0.00002,0.00001,0.00002,0.00002,0.00001,0.00004,
10                    2,0.00000,0.00024,0.00001,0.00001,0.00001,0.00002,0.00001,0.00006,0.00001,0.00001,0.00000,0.00001,0.00001,0.00000,0.00002,0.00001,0.00001,0.00003,
10                    3,0.00000,0.00016,0.00001,0.00001,0.00001,0.00002,0.00004,0.00016,0.00002,0.00001,0.00001,0.00001,0.00002,0.00001,0.00002,0.00003,0.00001,0.00003,
10                    4,0.00000,0.00013,0.00001,0.00001,0.00001,0.00001,0.00001,0.00011,0.00001,0.00001,0.00000,0.00001,0.00001,0.00000,0.00002,0.00002,0.00001,0.00002,
10                    5,0.00000,0.00023,0.00001,0.00000,0.00001,0.00001,0.00001,0.00004,0.00001,0.00001,0.00000,0.00001,0.00001,0.00000,0.00001,0.00001,0.00001,0.00002,
10                    6,0.00000,0.00025,0.00001,0.00001,0.00001,0.00001,0.00001,0.00007,0.00002,0.00001,0.00000,0.00001,0.00001,0.00000,0.00003,0.00001,0.00001,0.00003,
10                    7,0.00000,0.00014,0.00001,0.00000,0.00001,0.00002,0.00003,0.00021,0.00003,0.00001,0.00000,0.00000,0.00001,0.00001,0.00002,0.00002,0.00001,0.00004,
10                    8,0.00001,0.00574,0.00005,0.00005,0.00005,0.00010,0.00027,0.00164,0.00011,0.00003,0.00004,0.00001,0.00005,0.00003,0.00009,0.00002,0.00002,0.00044,
10                    9,0.00000,0.00016,0.00001,0.00001,0.00001,0.00002,0.00001,0.00007,0.00001,0.00001,0.00000,0.00001,0.00001,0.00000,0.00002,0.00002,0.00001,0.00002,
11                    1,0.00000,0.00145,0.00001,0.00001,0.00001,0.00002,0.00002,0.00010,0.00001,0.00001,0.00001,0.00001,0.00002,0.00001,0.00001,0.00003,0.00001,0.00003,
11                    2,0.00000,0.00001,0.00001,0.00001,0.00000,0.00002,0.00001,0.00007,0.00001,0.00001,0.00000,0.00000,0.00001,0.00000,0.00001,0.00001,0.00000,0.00002,
