
Factor Profiles (conc. of species) from Base Run #10 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4
10,mass,1.201800E+001,1.075800E+002,3.107400E+001,1.224300E+001
10,Na,7.889200E-002,0.000000E+000,7.006100E-002,5.085900E-003
10,Mg,1.460100E-001,8.909900E-001,9.729500E-002,1.009300E-001
10,Al,9.371100E-001,5.535800E+000,1.185600E+000,4.769100E-001
10,Si,2.206600E+000,1.451200E+001,2.296500E+000,1.265300E+000
10,P,0.000000E+000,1.443600E-002,3.384600E-002,0.000000E+000
10,S,4.346900E-002,1.846200E-001,7.877500E-001,1.615200E-001
10,Cl,4.467400E-001,4.547100E-001,2.246400E-002,2.628500E-003
10,K,9.075700E-002,1.572200E+000,1.031500E+000,3.333300E-001
10,Ca,4.081100E-001,2.168900E+000,3.592200E-001,2.107600E-001
10,Ti,5.766000E-002,3.937600E-001,7.298500E-002,2.979000E-002
10,V,9.960400E-004,6.262500E-003,1.731600E-003,6.999800E-004
10,Mn,8.868900E-003,6.894800E-002,1.218100E-002,4.632100E-003
10,Fe,4.912800E-001,3.505800E+000,6.551800E-001,2.791700E-001
10,Zn,3.525800E-003,2.874200E-002,2.642000E-002,4.438100E-003
10,Br,0.000000E+000,5.009900E-003,2.240100E-005,3.203100E-002
10,Pb,2.498800E-003,1.075100E-002,1.094500E-002,3.642600E-003
10,BC,5.755500E-001,4.728300E-001,2.536300E+000,3.566300E-001

Factor Profiles (% of species sum) from Base Run #10 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4
10,mass,7.376853E+000,6.603443E+001,1.907375E+001,7.514962E+000
10,Na,5.121563E+001,0.000000E+000,4.548267E+001,3.301698E+000
10,Mg,1.182052E+001,7.213180E+001,7.876703E+000,8.170981E+000
10,Al,1.151889E+001,6.804565E+001,1.457331E+001,5.862144E+000
10,Si,1.088046E+001,7.155677E+001,1.132374E+001,6.239029E+000
10,P,0.000000E+000,2.989934E+001,7.010066E+001,0.000000E+000
10,S,3.692077E+000,1.568086E+001,6.690823E+001,1.371884E+001
10,Cl,4.821581E+001,4.907600E+001,2.424498E+000,2.836891E-001
10,K,2.997470E+000,5.192571E+001,3.406779E+001,1.100903E+001
10,Ca,1.296826E+001,6.891982E+001,1.141472E+001,6.697193E+000
10,Ti,1.040428E+001,7.105080E+001,1.316955E+001,5.375364E+000
10,V,1.027892E+001,6.462769E+001,1.786975E+001,7.223646E+000
10,Mn,9.372187E+000,7.286062E+001,1.287224E+001,4.894959E+000
10,Fe,9.962222E+000,7.109094E+001,1.328580E+001,5.661036E+000
10,Zn,5.585346E+000,4.553123E+001,4.185287E+001,7.030553E+000
10,Br,0.000000E+000,1.351714E+001,6.043984E-002,8.642242E+001
10,Pb,8.976413E+000,3.862070E+001,3.931761E+001,1.308527E+001
10,BC,1.460301E+001,1.199677E+001,6.435170E+001,9.048514E+000

Factor Profiles (% of total variable) from Base Run #10 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4
10,mass,*,*,*,*
10,Na,6.564487E-001,0.000000E+000,2.254650E-001,4.154129E-002
10,Mg,1.214928E+000,8.282115E-001,3.131074E-001,8.243895E-001
10,Al,7.797554E+000,5.145752E+000,3.815408E+000,3.895369E+000
10,Si,1.836079E+001,1.348950E+001,7.390423E+000,1.033489E+001
10,P,0.000000E+000,1.341885E-002,1.089206E-001,0.000000E+000
10,S,3.616991E-001,1.716118E-001,2.535078E+000,1.319284E+000
10,Cl,3.717257E+000,4.226715E-001,7.229195E-002,2.146941E-002
10,K,7.551756E-001,1.461424E+000,3.319495E+000,2.722617E+000
10,Ca,3.395823E+000,2.016081E+000,1.156015E+000,1.721473E+000
10,Ti,4.797803E-001,3.660160E-001,2.348748E-001,2.433227E-001
10,V,8.287901E-003,5.821249E-003,5.572504E-003,5.717390E-003
10,Mn,7.379680E-002,6.408998E-002,3.919997E-002,3.783468E-002
10,Fe,4.087868E+000,3.258784E+000,2.108451E+000,2.280242E+000
10,Zn,2.933766E-002,2.671686E-002,8.502285E-002,3.625010E-002
10,Br,0.000000E+000,4.656907E-003,7.208921E-005,2.616270E-001
10,Pb,2.079215E-002,9.993494E-003,3.522237E-002,2.975251E-002
10,BC,4.789066E+000,4.395148E-001,8.162129E+000,2.912930E+000
