
Residuals from Base Run #10 (Convergent Run)

Base_Run,Date_Time,mass,Na,Mg,Al,Si,P,S,Cl,K,Ca,Ti,V,Mn,Fe,Zn,Br,Pb,BC
10,11/14/06 02:25,-1.497000E+001,1.123000E-001,2.909000E-001,5.836000E-001,2.624000E+000,1.031000E-002,5.345000E-002,-1.320000E-001,-2.500000E-001,3.322000E-001,-3.612000E-002,1.402000E-004,2.949000E-004,-1.245000E-001,-7.540000E-003,6.111000E-005,-8.494000E-004,2.139000E-001
10,11/16/06 03:20,-2.536000E+000,-1.265000E-001,1.954000E-001,3.392000E-001,1.477000E+000,1.415000E-002,5.516000E-002,-4.703000E-002,-3.185000E-001,2.101000E-001,-3.232000E-002,3.083000E-004,5.019000E-003,-1.575000E-001,-7.880000E-003,4.952000E-005,3.498000E-003,1.991000E-001
10,11/18/06 03:18,1.955000E+000,-4.950000E-002,9.168000E-002,2.757000E-001,9.694000E-001,1.596000E-005,3.653000E-002,-6.447000E-002,-3.298000E-001,5.477000E-002,-1.132000E-002,-2.376000E-003,1.655000E-002,1.927000E-001,-1.930000E-003,1.453000E-004,-2.525000E-003,1.294000E+000
10,11/20/06 02:28,1.231000E+000,1.166000E-002,1.572000E-001,4.494000E-001,1.289000E+000,1.063000E-002,3.082000E-002,-1.583000E-002,-1.687000E-001,-9.816000E-003,-1.906000E-002,-4.351000E-004,3.705000E-003,-1.531000E-001,-3.887000E-003,1.557000E-004,-2.663000E-003,5.059000E-002
10,11/22/06 02:36,-6.185000E+000,-2.806000E-002,1.158000E-001,1.059000E-002,6.140000E-001,-1.645000E-003,-3.914000E-002,6.545000E-002,1.695000E-001,-9.853000E-002,-2.710000E-002,-1.026000E-003,2.364000E-003,-2.194000E-001,1.328000E-002,-1.771000E-005,-1.065000E-003,-1.184000E-001
10,11/24/06 02:30,-7.394000E+000,-4.228000E-002,1.609000E-001,-2.673000E-002,3.235000E-001,6.861000E-003,-5.527000E-002,-3.002000E-002,-5.222000E-003,5.858000E-002,-3.675000E-002,-5.388000E-004,1.719000E-002,-1.507000E-001,-5.761000E-003,1.363000E-004,-4.962000E-003,1.442000E+000
10,11/26/06 02:31,-8.301000E+000,1.900000E-002,-2.094000E-002,1.372000E-001,2.487000E-001,1.025000E-002,-9.040000E-002,8.342000E-003,2.474000E-002,-7.891000E-002,-1.041000E-002,2.550000E-004,6.219000E-003,-9.460000E-002,-1.739000E-003,2.236000E-003,-2.564000E-003,2.933000E-001
10,11/28/06 02:26,1.141000E+000,5.667000E-002,-4.278000E-003,-2.380000E-002,-1.920000E-001,-1.097000E-003,-7.222000E-002,-5.614000E-003,-1.178000E-001,5.634000E-002,-1.352000E-002,5.621000E-004,8.977000E-003,-6.435000E-002,-2.298000E-003,2.061000E-004,-9.886000E-004,1.125000E+000
10,11/30/06 02:31,-3.286000E+000,-1.248000E-002,-2.054000E-002,-2.658000E-001,-5.697000E-001,2.527000E-003,-9.776000E-002,3.405000E-003,-3.501000E-002,1.807000E-001,-1.234000E-002,-2.295000E-004,1.007000E-002,-5.473000E-002,1.729000E-002,1.506000E-004,7.568000E-004,-2.924000E-001
10,12/04/06 02:53,2.435000E+000,-3.354000E-002,-1.568000E-002,-1.512000E-001,-3.405000E-001,6.737000E-003,-1.044000E-001,5.355000E-004,-1.926000E-001,8.169000E-002,-1.005000E-002,4.210000E-004,3.195000E-003,8.493000E-003,2.728000E-003,1.163000E-003,5.351000E-003,-1.362000E-001
10,12/06/06 02:55,-9.710000E+000,1.209000E-001,2.112000E-001,4.662000E-001,1.226000E+000,-4.060000E-003,3.643000E-002,-8.241000E-003,-3.876000E-001,1.395000E-001,-2.968000E-002,1.278000E-003,1.174000E-004,-2.537000E-001,-3.758000E-003,-3.194000E-005,-5.406000E-003,1.401000E+000
10,12/08/06 02:45,-6.708000E+000,-5.466000E-002,6.785000E-002,3.295000E-001,1.098000E+000,1.018000E-002,1.824000E-001,1.243000E-003,-1.402000E-002,2.166000E-002,-1.081000E-002,-7.857000E-004,-1.730000E-003,-5.732000E-002,-5.582000E-003,7.253000E-004,-4.306000E-003,2.939000E-002
10,12/10/06 02:48,-1.044000E+001,1.316000E-001,2.329000E-001,3.675000E-001,2.126000E+000,3.883000E-003,2.688000E-001,-1.302000E-002,4.070000E-001,5.848000E-002,-3.317000E-002,-3.405000E-004,-1.747000E-003,-2.067000E-001,-1.714000E-002,-7.561000E-004,6.013000E-005,2.627000E-001
10,12/12/06 02:49,-8.472000E+000,6.777000E-002,9.350000E-002,1.071000E-001,1.081000E+000,-2.001000E-003,1.370000E-001,4.028000E-003,2.599000E-001,-3.646000E-002,-2.699000E-002,-3.750000E-005,-1.624000E-003,-1.602000E-001,-9.011000E-004,-5.233000E-004,1.028000E-003,-4.017000E-001
10,12/14/06 02:50,-9.727000E+000,-9.345000E-002,-6.765000E-003,1.966000E-001,4.804000E-001,1.144000E-002,-6.092000E-002,5.376000E-003,-3.023000E-001,-3.473000E-002,-3.235000E-003,-3.061000E-004,8.124000E-004,-1.050000E-002,5.099000E-003,5.378000E-003,-1.005000E-003,1.366000E-002
