
Factor Contributions (avg = 1) from Base Run #5 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4
5,03/02/07 00:06,-2.000000E-001,4.204800E+000,1.247200E+000,5.750000E-001
5,03/10/07 00:11,3.980500E-001,6.647800E+000,7.665000E-001,-2.000000E-001
5,03/12/07 00:18,9.243200E-001,5.049400E+000,5.438000E-001,6.245700E-001
5,03/16/07 00:10,1.025000E+000,3.630800E+000,1.599400E+000,9.339500E-002
5,03/18/07 00:15,5.374600E-001,2.123200E+000,1.108900E+000,4.833900E-001
5,03/20/07 00:26,8.761400E-001,4.406500E+000,6.175300E-001,9.823100E-001
5,03/22/07 00:21,3.381800E-001,4.743400E+000,5.726000E-001,1.011300E+000
5,03/24/07 00:07,8.485400E-001,2.929400E+000,8.219500E-001,4.939500E-001
5,03/26/07 00:47,1.189000E+000,1.126200E+000,2.197200E+000,-1.010300E-001
5,03/28/07 00:47,6.474300E-001,8.057400E-001,1.575400E+000,8.417500E-001
5,03/30/07 00:36,6.276800E-001,1.430300E+000,1.321900E+000,8.054700E-001
5,04/01/07 00:27,7.678300E-001,8.767800E-001,9.897900E-001,2.040500E-001
5,04/03/07 00:30,6.933100E-001,8.439500E-001,1.345200E+000,3.921900E-001
5,04/05/07 00:29,5.305500E-001,1.115500E+000,1.365900E+000,1.616800E-001
5,04/07/07 00:12,3.555500E-001,1.083500E+000,1.325700E+000,6.911600E-001
5,04/09/07 00:30,2.985700E-001,1.294300E+000,1.387300E+000,6.850900E-001
5,04/11/07 00:36,6.135000E-001,8.908900E-001,8.572900E-001,5.170900E-001
5,04/13/07 00:28,7.656900E-001,1.546600E+000,8.737200E-001,1.470900E+000
5,04/15/07 00:33,9.049200E-001,1.770500E+000,9.181200E-001,5.209000E-001
5,04/17/07 00:38,1.067200E+000,1.529700E+000,1.464800E+000,4.470500E-002
5,04/19/07 00:42,8.108900E-001,1.985400E+000,1.012400E+000,9.732800E-001
5,04/21/07 00:40,1.430400E+000,2.173700E+000,7.977300E-001,5.351900E-001
5,04/23/07 00:42,3.992900E-001,1.500300E+000,1.246400E+000,3.740200E-001
5,04/25/07 00:54,1.402500E+000,1.071300E+000,1.118100E+000,6.458000E-001
5,04/27/07 00:45,6.408700E-001,8.342300E-001,1.002500E+000,1.703400E-001
5,04/29/07 00:52,5.898800E-001,7.387800E-001,1.094900E+000,5.098800E-001
5,05/01/07 00:57,5.293100E-001,1.233200E+000,1.196300E+000,4.949600E-001
5,05/03/07 01:03,3.524300E-001,1.198500E+000,9.206000E-001,9.313300E-001
5,05/05/07 00:59,1.152600E+000,1.220600E+000,1.154200E+000,2.141700E-001
5,05/07/07 00:57,9.563700E-001,1.049500E+000,1.019000E+000,1.144500E-001
5,05/09/07 00:57,2.469500E-001,1.403100E+000,1.573200E+000,3.000700E-001
5,05/11/07 01:03,3.198900E-001,6.959300E-001,1.614000E+000,3.458900E-001
5,05/13/07 01:04,4.023500E-001,1.659400E+000,1.330100E+000,2.844200E-001
5,05/15/07 01:10,4.407500E-001,1.753200E+000,1.020400E+000,1.129100E-001
5,05/17/07 01:01,5.433500E-001,8.964200E-001,1.563400E+000,5.753900E-001
5,05/19/07 01:01,2.118300E-001,4.134200E-001,5.803800E-001,8.912500E-002
5,05/21/07 00:47,8.403300E-001,3.164600E-001,1.934500E+000,9.949100E-002
5,05/23/07 01:28,1.443200E+000,4.986600E-001,9.690100E-001,1.613800E-001
5,05/25/07 01:33,1.066700E+000,9.492500E-001,1.110400E+000,2.855200E-001
5,05/27/07 01:29,1.002800E+000,1.225800E+000,7.350700E-001,5.299700E-001
5,05/29/07 02:04,8.525200E-001,7.144400E-001,1.678200E+000,1.415200E-001
5,05/31/07 02:01,2.445400E-001,4.886900E-001,1.794200E+000,4.330600E-001
5,06/02/07 01:20,7.637100E-001,3.075200E-001,1.010100E+000,4.840700E-001
5,06/04/07 00:54,9.409000E-001,-2.000000E-001,1.354000E+000,3.512100E-001
5,06/06/07 00:44,1.142000E+000,4.067600E-002,1.268200E+000,3.840100E-001
5,06/08/07 00:33,1.200100E+000,-5.630200E-002,1.715200E+000,4.251600E-001
5,06/10/07 00:25,1.642300E+000,5.961000E-001,6.588300E-001,6.316700E-001
5,06/12/07 00:47,1.731700E+000,3.854700E-001,1.447000E+000,-2.000000E-001
5,06/14/07 01:15,4.830600E-001,2.814800E-001,1.522400E+000,1.323500E-001
5,06/16/07 01:14,2.272100E+000,5.762200E-001,1.176800E+000,-9.647400E-002
5,06/18/07 01:21,1.820600E+000,4.789500E-001,5.827500E-001,9.162900E-001
5,06/20/07 01:10,1.816600E+000,3.519300E-001,1.216900E+000,1.327300E+000
5,06/22/07 01:10,1.247300E+000,2.945200E-001,1.927000E+000,1.422500E+000
5,06/24/07 01:38,9.466000E-001,1.681300E-002,1.502200E+000,2.110000E+000
5,06/26/07 01:30,3.208800E-001,4.107100E-001,7.522300E-001,3.693700E+000
5,06/28/07 00:38,6.569800E-001,2.811200E-001,5.572300E-001,2.489300E+000
5,06/30/07 00:20,8.588400E-001,2.051600E-001,1.039800E+000,1.760200E+000
5,07/02/07 01:02,1.101900E+000,2.896200E-001,4.496500E-001,2.773000E+000
5,07/04/07 00:43,4.593600E-001,3.473100E-001,8.176700E-001,2.638900E+000
5,07/06/07 00:39,8.031300E-001,-4.533900E-002,1.525000E+000,5.423400E-001
5,07/08/07 00:44,1.480300E+000,1.167000E-001,1.178900E+000,7.393600E-001
5,07/12/07 00:41,1.438800E-001,6.156100E-001,1.573400E+000,1.454800E+000
5,07/14/07 00:40,5.271200E-001,4.369900E-001,2.659000E-001,3.340900E+000
5,07/16/07 00:42,8.487900E-001,5.925500E-001,5.375600E-001,2.375900E+000
5,07/18/07 00:40,1.488500E+000,3.376000E-002,1.205200E+000,1.535200E+000
5,07/20/07 02:14,2.272000E-001,1.423600E-001,8.181500E-001,1.989500E+000
5,07/24/07 00:41,1.771000E+000,5.242100E-001,4.338800E-001,2.279500E+000
5,07/26/07 00:44,2.790500E+000,1.282400E-001,1.458100E-001,1.559300E+000
5,07/28/07 00:41,4.445700E+000,5.988600E-001,-2.000000E-001,1.305400E+000
5,07/30/07 00:40,1.977400E+000,4.913400E-001,1.385300E-001,2.095000E+000
5,08/01/07 00:45,1.137600E+000,8.292800E-001,9.676900E-001,1.170500E+000
5,08/03/07 00:44,3.320300E+000,1.118700E+000,1.052100E-001,6.332800E-001
5,08/05/07 00:45,1.436400E+000,4.508700E-001,2.094000E-002,2.267000E+000
5,08/07/07 01:02,6.278900E-001,4.725200E-001,7.242400E-001,3.072400E+000
5,08/09/07 01:11,1.425600E+000,7.165100E-001,6.186200E-001,2.153200E+000
5,08/11/07 00:57,1.236800E+000,4.476000E-001,5.369700E-001,1.369700E+000
5,08/13/07 00:52,2.030200E+000,3.225300E-001,2.861000E-002,1.514800E+000
5,08/15/07 00:58,2.771500E+000,6.273200E-001,-2.000000E-001,2.685400E+000
5,08/17/07 01:09,3.412200E+000,1.059600E+000,1.038300E-001,1.755400E+000
5,08/19/07 01:34,2.246200E+000,4.699400E-001,2.474500E-001,1.957700E+000
5,08/21/07 01:27,1.114400E+000,1.845500E-001,7.149300E-001,2.321100E+000
5,08/23/07 01:16,6.779400E-001,4.305000E-001,6.191100E-001,2.147100E+000
5,08/25/07 00:42,2.882400E+000,3.824800E-001,-1.411500E-001,2.485400E+000
5,08/27/07 00:47,1.816000E+000,7.047600E-001,2.094500E-001,1.509800E+000
5,08/29/07 01:17,1.269600E+000,5.176800E-001,9.987400E-001,1.503000E+000
5,08/31/07 01:16,1.723100E+000,5.409400E-001,3.245800E-001,1.397000E+000
5,09/04/07 02:01,1.952800E+000,1.538300E-001,7.174300E-001,7.093400E-001
5,09/09/07 02:11,2.234300E+000,4.270300E-001,4.090600E-001,8.678100E-001
5,09/15/07 01:14,1.188800E+000,4.936600E-001,9.968600E-001,9.131900E-001
