
Factor Profiles (conc. of species) from Base Run #5 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4
5,mass,4.966500E+000,7.959300E+000,1.281100E+001,5.780100E+000
5,Na,1.482300E-001,0.000000E+000,4.685100E-002,9.485100E-002
5,Mg,9.309600E-003,7.897800E-002,0.000000E+000,5.550100E-003
5,Al,0.000000E+000,5.751200E-001,1.273500E-001,5.608900E-003
5,Si,1.099300E-002,1.089100E+000,2.611900E-001,0.000000E+000
5,P,0.000000E+000,4.079100E-003,4.254900E-003,7.224500E-003
5,S,7.962400E-002,6.092000E-002,1.575700E-001,3.016700E-001
5,Cl,3.652800E-001,9.634800E-002,1.914500E-003,0.000000E+000
5,K,1.332700E-001,1.407200E-001,3.462300E-001,2.561800E-001
5,Ca,3.259100E-002,2.524500E-001,6.971400E-002,3.520100E-002
5,Ti,9.989600E-004,3.958700E-002,9.263400E-003,2.055600E-004
5,V,2.680300E-004,5.998300E-004,6.332900E-004,2.468300E-004
5,Mn,7.665000E-004,4.512700E-003,3.743300E-003,5.523300E-004
5,Fe,1.166700E-002,3.435600E-001,1.149700E-001,9.291000E-003
5,Zn,5.785100E-003,3.062200E-003,1.290900E-002,6.999400E-003
5,Br,4.164100E-003,1.994100E-003,2.379400E-003,1.118100E-002
5,Pb,3.618000E-003,1.533100E-003,6.988300E-003,3.331400E-003
5,BC,6.119700E-001,2.579400E-001,1.851500E+000,5.819500E-001

Factor Profiles (% of species sum) from Base Run #5 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4
5,mass,1.575821E+001,2.525407E+001,4.064803E+001,1.833968E+001
5,Na,5.112578E+001,0.000000E+000,1.615931E+001,3.271491E+001
5,Mg,9.920959E+000,8.416447E+001,0.000000E+000,5.914574E+000
5,Al,0.000000E+000,8.122259E+001,1.798528E+001,7.921292E-001
5,Si,8.075470E-001,8.000541E+001,1.918705E+001,0.000000E+000
5,P,0.000000E+000,2.621782E+001,2.734775E+001,4.643443E+001
5,S,1.327545E+001,1.015699E+001,2.627112E+001,5.029644E+001
5,Cl,7.880183E+001,2.078515E+001,4.130150E-001,0.000000E+000
5,K,1.520653E+001,1.605659E+001,3.950593E+001,2.923095E+001
5,Ca,8.357610E+000,6.473808E+001,1.787740E+001,9.026916E+000
5,Ti,1.995728E+000,7.908713E+001,1.850647E+001,4.106689E-001
5,V,1.533370E+001,3.431561E+001,3.622982E+001,1.412087E+001
5,Mn,8.005364E+000,4.713086E+001,3.909521E+001,5.768562E+000
5,Fe,2.433220E+000,7.165143E+001,2.397766E+001,1.937692E+000
5,Zn,2.011810E+001,1.064902E+001,4.489197E+001,2.434091E+001
5,Br,2.111762E+001,1.011279E+001,1.206678E+001,5.670281E+001
5,Pb,2.338599E+001,9.909636E+000,4.517090E+001,2.153347E+001
5,BC,1.852568E+001,7.808413E+000,5.604899E+001,1.761691E+001

Factor Profiles (% of total variable) from Base Run #5 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4
5,mass,*,*,*,*
5,Na,2.984597E+000,0.000000E+000,3.657092E-001,1.640992E+000
5,Mg,1.874479E-001,9.922732E-001,0.000000E+000,9.602083E-002
5,Al,0.000000E+000,7.225761E+000,9.940676E-001,9.703811E-002
5,Si,2.213430E-001,1.368336E+001,2.038795E+000,0.000000E+000
5,P,0.000000E+000,5.124948E-002,3.321286E-002,1.249892E-001
5,S,1.603222E+000,7.653939E-001,1.229959E+000,5.219114E+000
5,Cl,7.354877E+000,1.210508E+000,1.494419E-002,0.000000E+000
5,K,2.683379E+000,1.767995E+000,2.702599E+000,4.432103E+000
5,Ca,6.562167E-001,3.171761E+000,5.441730E-001,6.090033E-001
5,Ti,2.011396E-002,4.973679E-001,7.230818E-002,3.556340E-003
5,V,5.396758E-003,7.536216E-003,4.943330E-003,4.270341E-003
5,Mn,1.543340E-002,5.669720E-002,2.921942E-002,9.555717E-003
5,Fe,2.349139E-001,4.316460E+000,8.974319E-001,1.607412E-001
5,Zn,1.164824E-001,3.847323E-002,1.007650E-001,1.210948E-001
5,Br,8.384375E-002,2.505371E-002,1.857310E-002,1.934396E-001
5,Pb,7.284808E-002,1.926174E-002,5.454922E-002,5.763568E-002
5,BC,1.232196E+001,3.240737E+000,1.445242E+001,1.006816E+001
