**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 5

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,  4.96650,  4.89580,  4.96455,  5.04195,  5.38075,  5.61760,  5.12996,  0.24195,  0.04716,  0.04872
Na,  0.14823,  0.14810,  0.14820,  0.14832,  0.14882,  0.15047,  0.14862,  0.00068,  0.00458,  0.00460
Mg,  0.00931,  0.00766,  0.00817,  0.00931,  0.00967,  0.00998,  0.00907,  0.00077,  0.08532,  0.08309
Al,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Si,  0.01099,  0.01081,  0.01097,  0.01099,  0.01240,  0.01307,  0.01146,  0.00082,  0.07184,  0.07493
P,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
S,  0.07962,  0.07879,  0.07918,  0.07968,  0.08064,  0.08075,  0.07982,  0.00069,  0.00866,  0.00868
Cl,  0.36528,  0.36376,  0.36435,  0.36519,  0.36638,  0.37163,  0.36579,  0.00219,  0.00597,  0.00598
K,  0.13327,  0.13182,  0.13324,  0.13540,  0.14264,  0.14818,  0.13712,  0.00546,  0.03979,  0.04095
Ca,  0.03259,  0.03253,  0.03256,  0.03257,  0.03259,  0.03315,  0.03263,  0.00018,  0.00549,  0.00549
Ti,  0.00100,  0.00100,  0.00100,  0.00100,  0.00104,  0.00105,  0.00101,  0.00002,  0.02107,  0.02134
V,  0.00027,  0.00027,  0.00027,  0.00027,  0.00029,  0.00030,  0.00028,  0.00001,  0.04093,  0.04210
Mn,  0.00077,  0.00073,  0.00077,  0.00079,  0.00089,  0.00096,  0.00081,  0.00007,  0.08980,  0.09530
Fe,  0.01167,  0.01123,  0.01166,  0.01195,  0.01344,  0.01443,  0.01234,  0.00105,  0.08473,  0.08961
Zn,  0.00579,  0.00572,  0.00578,  0.00587,  0.00623,  0.00648,  0.00596,  0.00026,  0.04323,  0.04454
Br,  0.00416,  0.00388,  0.00397,  0.00416,  0.00417,  0.00428,  0.00411,  0.00012,  0.03014,  0.02976
Pb,  0.00362,  0.00358,  0.00362,  0.00366,  0.00387,  0.00402,  0.00372,  0.00015,  0.04002,  0.04114
BC,  0.61197,  0.59450,  0.61174,  0.62542,  0.68721,  0.73001,  0.64108,  0.04440,  0.06925,  0.07255

Factor 2,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,  7.95930,  6.31410,  6.69485,  7.94420,  8.65295,  9.51950,  7.85046,  1.07131,  0.13646,  0.13460
Na,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Mg,  0.07898,  0.07593,  0.07708,  0.07894,  0.07949,  0.07972,  0.07834,  0.00132,  0.01680,  0.01667
Al,  0.57512,  0.55725,  0.55846,  0.57453,  0.57517,  0.59060,  0.57020,  0.01030,  0.01807,  0.01791
Si,  1.08910,  1.05130,  1.05470,  1.08795,  1.08953,  1.12070,  1.07962,  0.02149,  0.01991,  0.01973
P,  0.00408,  0.00387,  0.00390,  0.00404,  0.00408,  0.00465,  0.00406,  0.00022,  0.05336,  0.05316
S,  0.06092,  0.05504,  0.05655,  0.06007,  0.06091,  0.07917,  0.06097,  0.00660,  0.10822,  0.10832
Cl,  0.09635,  0.08047,  0.09418,  0.09628,  0.09717,  0.09756,  0.09443,  0.00493,  0.05217,  0.05113
K,  0.14072,  0.10221,  0.11156,  0.14036,  0.15678,  0.18312,  0.13884,  0.02594,  0.18680,  0.18430
Ca,  0.25245,  0.24465,  0.24515,  0.25200,  0.25245,  0.25974,  0.25030,  0.00460,  0.01838,  0.01822
Ti,  0.03959,  0.03827,  0.03838,  0.03955,  0.03960,  0.04068,  0.03924,  0.00075,  0.01905,  0.01888
V,  0.00060,  0.00052,  0.00054,  0.00060,  0.00063,  0.00068,  0.00059,  0.00005,  0.08845,  0.08740
Mn,  0.00451,  0.00397,  0.00408,  0.00451,  0.00471,  0.00499,  0.00446,  0.00034,  0.07689,  0.07602
Fe,  0.34356,  0.32699,  0.32929,  0.34336,  0.34547,  0.35783,  0.34045,  0.00965,  0.02835,  0.02809
Zn,  0.00306,  0.00146,  0.00186,  0.00306,  0.00382,  0.00462,  0.00299,  0.00107,  0.35762,  0.34953
Br,  0.00199,  0.00146,  0.00192,  0.00199,  0.00228,  0.00236,  0.00201,  0.00027,  0.13479,  0.13591
Pb,  0.00153,  0.00064,  0.00086,  0.00153,  0.00197,  0.00236,  0.00149,  0.00059,  0.39847,  0.38783
BC,  0.25794,  0.00000,  0.06372,  0.25776,  0.39045,  0.49231,  0.24787,  0.17260,  0.69633,  0.66913

Factor 3,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
