
Factor Contributions (avg = 1) from Base Run #10 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4
10,11/14/06 02:25,9.378700E-001,1.401500E+000,8.339300E-001,4.734800E-001
10,11/16/06 03:20,1.159700E+000,1.482100E+000,1.086400E+000,3.953300E-001
10,11/18/06 03:18,1.095800E+000,1.797200E+000,1.426200E+000,7.842400E-001
10,11/20/06 02:28,7.149900E-001,2.722000E+000,1.408800E+000,7.045300E-001
10,11/22/06 02:36,1.048800E+000,1.340300E+000,1.186400E+000,6.949400E-001
10,11/24/06 02:30,7.694400E-001,7.683000E-001,1.159900E-001,6.656800E-001
10,11/26/06 02:31,8.548800E-001,6.461500E-001,1.729300E-001,5.645800E-001
10,11/28/06 02:26,1.349500E+000,9.625200E-001,1.047700E+000,1.129400E-001
10,11/30/06 02:31,5.258600E-001,1.126700E+000,5.266800E-001,2.393400E-001
10,12/02/06 02:40,1.609200E+000,9.385100E-001,8.532300E-001,5.262100E-001
10,12/04/06 02:53,1.543500E+000,1.319900E+000,1.424100E+000,2.929400E-001
10,12/06/06 02:55,1.311800E+000,1.758600E+000,7.845600E-001,3.416700E-001
10,12/08/06 02:45,7.490400E-001,1.773900E+000,7.757900E-001,3.493900E-002
10,12/10/06 02:48,3.583100E+000,7.433600E-001,3.723900E+000,1.764100E+000
10,12/12/06 02:49,1.145100E+000,1.264200E+000,1.465700E+000,7.049100E-001
10,12/14/06 02:50,1.055300E+000,1.255800E+000,1.204300E+000,8.132600E-001
10,12/16/06 02:39,1.170500E+000,1.045200E+000,9.079900E-001,5.373600E-001
10,12/18/06 02:36,1.234600E+000,9.276800E-001,3.197000E-001,5.500200E-001
10,12/20/06 02:55,1.584200E+000,1.194600E+000,7.946000E-001,3.363400E-001
10,12/22/06 02:57,9.737800E-001,1.003200E+000,6.676700E-002,3.199300E-001
10,12/24/06 04:00,1.063400E+000,7.824400E-001,2.957200E-002,9.444600E-001
