
Factor Profiles (conc. of species) from Base Run #10 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4
10,mass,1.713100E+001,2.785500E+001,9.152700E-001,9.746900E+000
10,Na,0.000000E+000,0.000000E+000,0.000000E+000,5.326000E-001
10,Mg,4.417100E-002,2.123000E-001,7.295700E-002,4.272600E-002
10,Al,1.135500E+000,1.455800E+000,4.905200E-002,2.126000E-001
10,Si,2.118700E+000,3.766900E+000,2.661400E-001,5.458400E-001
10,P,2.631000E-002,1.228200E-003,1.985000E-004,8.540800E-004
10,S,4.253500E-002,0.000000E+000,1.603900E-001,3.508200E-002
10,Cl,3.254000E-001,8.828200E-002,1.898500E-001,1.144400E+000
10,K,1.421000E-001,2.298800E-001,2.015600E-001,0.000000E+000
10,Ca,7.631200E-001,1.011800E+000,2.573000E-002,3.284300E-001
10,Ti,8.880000E-002,1.336500E-001,2.966600E-003,2.141000E-002
10,V,1.255100E-003,2.037500E-003,1.051900E-004,2.862100E-004
10,Mn,7.547100E-003,2.046200E-002,2.335000E-003,2.233300E-003
10,Fe,8.474400E-001,1.151200E+000,0.000000E+000,2.581500E-001
10,Zn,1.612600E-002,3.747300E-003,2.642300E-003,2.988100E-003
10,Br,0.000000E+000,1.730000E-004,4.494100E-003,7.880300E-004
10,Pb,3.526300E-003,1.932600E-003,1.732300E-003,5.862000E-004

Factor Profiles (% of species sum) from Base Run #10 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4
10,mass,3.078448E+001,5.005555E+001,1.644744E+000,1.751522E+001
10,Na,0.000000E+000,0.000000E+000,0.000000E+000,1.000000E+002
10,Mg,1.186901E+001,5.704628E+001,1.960398E+001,1.148073E+001
10,Al,3.980088E+001,5.102785E+001,1.719342E+000,7.451931E+000
10,Si,3.163381E+001,5.624270E+001,3.973674E+000,8.149809E+000
10,P,9.202267E+001,4.295791E+000,6.942798E-001,2.987257E+000
10,S,1.787132E+001,0.000000E+000,6.738877E+001,1.473990E+001
10,Cl,1.861629E+001,5.050654E+000,1.086141E+001,6.547166E+001
10,K,2.477595E+001,4.008090E+001,3.514315E+001,0.000000E+000
10,Ca,3.584271E+001,4.752287E+001,1.208503E+000,1.542591E+001
10,Ti,3.597667E+001,5.414732E+001,1.201896E+000,8.674106E+000
10,V,3.406895E+001,5.530673E+001,2.855320E+000,7.769001E+000
10,Mn,2.316667E+001,6.281041E+001,7.167546E+000,6.855366E+000
10,Fe,3.755068E+001,5.101051E+001,0.000000E+000,1.143881E+001
10,Zn,6.323004E+001,1.469316E+001,1.036046E+001,1.171634E+001
10,Br,0.000000E+000,3.171327E+000,8.238300E+001,1.444567E+001
10,Pb,4.534034E+001,2.484892E+001,2.227351E+001,7.537223E+000

Factor Profiles (% of total variable) from Base Run #10 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4
10,mass,*,*,*,*
10,Na,0.000000E+000,0.000000E+000,0.000000E+000,5.464302E+000
10,Mg,2.578425E-001,7.621612E-001,7.971090E+000,4.383548E-001
10,Al,6.628335E+000,5.226351E+000,5.359293E+000,2.181206E+000
10,Si,1.236764E+001,1.352325E+001,2.907776E+001,5.600140E+000
10,P,1.535812E-001,4.409262E-003,2.168759E-002,8.762581E-003
10,S,2.482926E-001,0.000000E+000,1.752379E+001,3.599298E-001
10,Cl,1.899480E+000,3.169341E-001,2.074251E+001,1.174117E+001
10,K,8.294904E-001,8.252738E-001,2.202192E+001,0.000000E+000
10,Ca,4.454615E+000,3.632382E+000,2.811192E+000,3.369584E+000
10,Ti,5.183585E-001,4.798061E-001,3.241229E-001,2.196596E-001
10,V,7.326484E-003,7.314665E-003,1.149278E-002,2.936421E-003
10,Mn,4.405522E-002,7.345898E-002,2.551160E-001,2.291293E-002
10,Fe,4.946822E+000,4.132831E+000,0.000000E+000,2.648534E+000
10,Zn,9.413344E-002,1.345288E-002,2.886908E-001,3.065693E-002
10,Br,0.000000E+000,6.210734E-004,4.910136E-001,8.084930E-003
10,Pb,2.058432E-002,6.938072E-003,1.892666E-001,6.014220E-003
