**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 10

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 17.13100, 10.46900, 12.85850, 16.69250, 17.84900, 19.62200, 15.77200,  2.76603,  0.17538,  0.16146
Na,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Mg,  0.04417,  0.00000,  0.01808,  0.04777,  0.05679,  0.06372,  0.03933,  0.02106,  0.53540,  0.47671
Al,  1.13550,  0.76977,  0.89478,  1.08740,  1.15410,  1.27400,  1.04904,  0.14511,  0.13833,  0.12780
Si,  2.11870,  1.23280,  1.55563,  2.07980,  2.23100,  2.44820,  1.94748,  0.37351,  0.19179,  0.17629
P,  0.02631,  0.02341,  0.02371,  0.02436,  0.02514,  0.02730,  0.02461,  0.00105,  0.04255,  0.03979
S,  0.04254,  0.03699,  0.03789,  0.03973,  0.04106,  0.04357,  0.03974,  0.00200,  0.05026,  0.04695
Cl,  0.32540,  0.28612,  0.29446,  0.29896,  0.30784,  0.34182,  0.30367,  0.01387,  0.04566,  0.04261
K,  0.14210,  0.08824,  0.10742,  0.13792,  0.14728,  0.16214,  0.13077,  0.02213,  0.16921,  0.15572
Ca,  0.76312,  0.51074,  0.59763,  0.73228,  0.77760,  0.85851,  0.70466,  0.10081,  0.14306,  0.13210
Ti,  0.08880,  0.05634,  0.06781,  0.08601,  0.09172,  0.10098,  0.08185,  0.01329,  0.16234,  0.14964
V,  0.00126,  0.00077,  0.00094,  0.00122,  0.00131,  0.00144,  0.00116,  0.00020,  0.17511,  0.16121
Mn,  0.00755,  0.00303,  0.00478,  0.00759,  0.00847,  0.00927,  0.00687,  0.00203,  0.29564,  0.26919
Fe,  0.84744,  0.56172,  0.66064,  0.81485,  0.86584,  0.95534,  0.78234,  0.11472,  0.14664,  0.13537
Zn,  0.01613,  0.01424,  0.01458,  0.01484,  0.01524,  0.01693,  0.01505,  0.00068,  0.04507,  0.04207
Br,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Pb,  0.00353,  0.00290,  0.00310,  0.00325,  0.00341,  0.00378,  0.00328,  0.00021,  0.06443,  0.05996

Factor 2,,Statistics Over All Runs
