
Factor Contributions (avg = 1) from Base Run #1 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4
1,11/14/06 02:25,8.727700E-001,7.831100E-001,4.816000E-001,5.938400E-001
1,11/16/06 03:20,8.553400E-001,1.029600E+000,7.032900E-001,5.710000E-001
1,11/18/06 03:18,1.349100E+000,1.252600E+000,6.073500E-001,6.928600E-001
1,11/20/06 02:28,1.200600E+000,1.101000E+000,4.590100E-001,1.155100E+000
1,11/22/06 02:36,1.171900E+000,1.060800E+000,5.030800E-001,5.459100E-001
1,11/24/06 02:30,9.310700E-001,1.844600E-002,2.946400E-001,3.631600E-001
1,11/26/06 02:31,8.479200E-001,1.284900E-001,3.250100E-001,3.109100E-001
1,11/28/06 02:26,5.570100E-001,1.008500E+000,1.018000E+000,2.200400E-001
1,11/30/06 02:31,4.592900E-001,3.905900E-001,3.194400E-001,4.961200E-001
1,12/04/06 02:53,8.192000E-001,1.384600E+000,1.207400E+000,3.100300E-001
1,12/06/06 02:55,7.968300E-001,6.820700E-001,8.966700E-001,6.702500E-001
1,12/08/06 02:45,2.773800E-001,7.346000E-001,7.587300E-001,6.389300E-001
1,12/10/06 02:48,3.275000E+000,3.671900E+000,2.027800E+000,-1.999900E-001
1,12/12/06 02:49,1.276900E+000,1.341700E+000,6.058900E-001,4.441100E-001
1,12/14/06 02:50,1.335000E+000,9.060600E-001,5.640100E-001,4.609700E-001
1,12/16/06 02:39,9.540100E-001,6.872200E-001,8.695600E-001,2.749400E-001
1,12/18/06 02:36,9.635300E-001,1.194200E-001,7.524200E-001,3.217400E-001
1,12/20/06 02:55,8.079300E-001,7.587800E-001,1.163700E+000,3.121200E-001
1,12/22/06 02:57,5.580700E-001,-7.435600E-002,7.134300E-001,3.606300E-001
1,12/24/06 04:00,1.333500E+000,-1.967700E-001,4.352100E-001,3.478500E-001
1,12/26/06 02:52,1.021600E+000,-2.000000E-001,1.445800E-001,5.782900E-001
1,12/30/06 03:04,6.953000E-001,8.947200E-001,1.711600E+000,9.532400E-002
1,01/01/07 03:27,3.343900E-001,2.095700E-001,1.755000E+000,1.780300E+000
1,01/03/07 03:25,-2.000000E-001,4.466400E-001,2.531500E+000,3.195000E+000
1,01/05/07 02:58,-2.000000E-001,4.881700E+000,1.484900E-001,1.577600E+000
1,01/07/07 02:53,3.051600E-001,1.155200E+000,2.813400E+000,2.660800E+000
1,01/09/07 02:25,3.664700E-001,1.936800E+000,3.907100E+000,1.937700E+000
1,01/11/07 02:28,1.159600E+000,2.786500E+000,3.625000E+000,2.614000E+000
1,01/13/07 02:51,4.072200E-001,1.197800E+000,2.670200E+000,2.000300E+000
1,01/17/07 02:40,-1.014400E-001,3.231400E-001,2.933100E+000,1.354100E+000
1,01/19/07 03:06,1.619800E-001,-1.808300E-001,-4.618600E-002,2.545000E+000
1,01/21/07 02:59,5.285500E-002,-5.169900E-002,2.700100E+000,3.258600E+000
1,01/23/07 05:16,1.016700E+000,5.177000E-001,8.631800E-003,2.034000E+000
1,01/25/07 03:02,1.488700E+000,7.478800E-001,2.926600E-001,1.335200E+000
1,01/27/07 02:55,1.642800E+000,7.579100E-001,-2.696600E-002,1.211800E+000
1,01/29/07 03:00,1.131100E+000,4.339300E-001,9.933800E-001,7.524900E-001
1,01/31/07 02:59,1.681200E+000,8.012500E-001,6.916800E-001,5.830400E-001
1,02/02/07 02:41,1.159400E+000,1.173300E+000,1.095600E+000,2.761100E-001
1,02/04/07 02:45,1.607600E+000,1.133400E+000,9.095100E-001,4.663500E-001
1,02/16/07 02:20,1.158400E+000,8.416700E-001,4.837900E-001,6.226900E-001
1,02/18/07 02:08,1.568700E+000,1.099500E+000,1.195700E+000,3.458300E-001
1,02/20/07 02:12,1.818400E+000,7.634700E-001,5.676400E-003,4.501100E-001
1,02/24/07 02:17,1.808500E+000,1.157800E+000,6.613600E-001,4.810300E-001
1,02/26/07 00:17,1.781600E+000,1.993700E+000,6.066700E-001,6.368600E-001
1,02/28/07 00:09,1.990100E+000,1.847400E+000,4.428000E-001,8.388600E-001
1,11/14/07 04:30,1.470400E+000,9.982000E-001,2.937100E-001,4.027800E-001
1,12/08/07 03:43,1.203200E+000,1.101000E+000,7.443700E-001,3.570900E-001
1,12/14/07 04:03,9.618900E-001,1.599800E+000,1.069800E+000,2.000400E-001
