
Factor Profiles (conc. of species) from Base Run #1 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4
1,mass,8.048900E+000,4.260400E-002,2.941500E+001,6.798300E+001
1,Na,2.312900E-001,0.000000E+000,0.000000E+000,0.000000E+000
1,Mg,7.797000E-002,1.361800E-001,8.103500E-002,3.838900E-001
1,Al,1.029500E+000,1.680700E-001,1.555100E+000,2.285800E+000
1,Si,1.874100E+000,5.674800E-001,3.539400E+000,6.729300E+000
1,P,1.124000E-002,0.000000E+000,2.686500E-002,7.665900E-011
1,S,5.301600E-002,1.799700E-001,9.929400E-008,2.743100E-002
1,Cl,1.064600E+000,1.695300E-002,2.135000E-001,1.865200E-001
1,K,1.034500E-001,1.801200E-001,3.193400E-001,4.125700E-001
1,Ca,5.011000E-001,1.995200E-001,9.897500E-001,2.152100E+000
1,Ti,4.849500E-002,3.822700E-003,1.603800E-001,2.609800E-001
1,V,2.301700E-005,6.643300E-004,3.104000E-003,3.567800E-003
1,Mn,1.315200E-003,4.057200E-003,1.873300E-002,4.456300E-002
1,Fe,3.180700E-001,1.017900E-001,1.559700E+000,2.348600E+000
1,Zn,9.180100E-003,3.662500E-003,1.885200E-002,3.700700E-003
1,Br,2.706400E-004,3.629100E-003,6.683700E-004,1.850400E-003
1,Pb,2.958500E-003,3.633500E-004,5.156700E-003,3.455000E-003

Factor Profiles (% of species sum) from Base Run #1 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4
1,mass,7.630048E+000,4.038696E-002,2.788429E+001,6.444527E+001
1,Na,1.000000E+002,0.000000E+000,0.000000E+000,0.000000E+000
1,Mg,1.148180E+001,2.005375E+001,1.193314E+001,5.653131E+001
1,Al,2.043279E+001,3.335735E+000,3.086453E+001,4.536695E+001
1,Si,1.474476E+001,4.464733E+000,2.784675E+001,5.294376E+001
1,P,2.949744E+001,0.000000E+000,7.050256E+001,2.011783E-007
1,S,2.035811E+001,6.910837E+001,3.812883E-005,1.053349E+001
1,Cl,7.185606E+001,1.144257E+000,1.441036E+001,1.258932E+001
1,K,1.018730E+001,1.773742E+001,3.144720E+001,4.062808E+001
1,Ca,1.304109E+001,5.192493E+000,2.575817E+001,5.600824E+001
1,Ti,1.023797E+001,8.070256E-001,3.385847E+001,5.509653E+001
1,V,3.127672E-001,9.027269E+000,4.217880E+001,4.848116E+001
1,Mn,1.915291E+000,5.908394E+000,2.728038E+001,6.489594E+001
1,Fe,7.348850E+000,2.351808E+000,3.603610E+001,5.426324E+001
1,Zn,2.593593E+001,1.034742E+001,5.326131E+001,1.045534E+001
1,Br,4.216555E+000,5.654116E+001,1.041316E+001,2.882912E+001
1,Pb,2.479145E+001,3.044777E+000,4.321178E+001,2.895199E+001

Factor Profiles (% of total variable) from Base Run #1 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4
1,mass,*,*,*,*
1,Na,2.873560E+000,0.000000E+000,0.000000E+000,0.000000E+000
1,Mg,9.687038E-001,3.196414E+002,2.754887E-001,5.646853E-001
1,Al,1.279057E+001,3.944935E+002,5.286758E+000,3.362311E+000
1,Si,2.328393E+001,1.331988E+003,1.203264E+001,9.898504E+000
1,P,1.396464E-001,0.000000E+000,9.133095E-002,1.127620E-010
1,S,6.586739E-001,4.224251E+002,3.375625E-007,4.034979E-002
1,Cl,1.322665E+001,3.979204E+001,7.258202E-001,2.743627E-001
1,K,1.285269E+000,4.227772E+002,1.085637E+000,6.068723E-001
1,Ca,6.225696E+000,4.683128E+002,3.364780E+000,3.165644E+000
1,Ti,6.025047E-001,8.972631E+000,5.452320E-001,3.838901E-001
1,V,2.859645E-004,1.559314E+000,1.055244E-002,5.248077E-003
1,Mn,1.634012E-002,9.523049E+000,6.368519E-002,6.555021E-002
1,Fe,3.951720E+000,2.389212E+002,5.302397E+000,3.454687E+000
1,Zn,1.140541E-001,8.596611E+000,6.408975E-002,5.443567E-003
1,Br,3.362447E-003,8.518214E+000,2.272208E-003,2.721857E-003
1,Pb,3.675658E-002,8.528542E-001,1.753085E-002,5.082153E-003
