
Residuals from Base Run #1 (Convergent Run)

Base_Run,Date_Time,mass,Na,Mg,Al,Si,P,S,Cl,K,Ca,Ti,V,Mn,Fe,Zn,Br,Pb
1,11/14/06 02:25,4.483000E+000,-1.142000E-001,-4.718000E-002,3.356000E-003,8.186000E-001,1.730000E-003,2.151000E-002,-1.764000E-002,-4.978000E-002,2.439000E-001,-1.892000E-002,1.635000E-003,-2.147000E-003,-3.939000E-002,7.202000E-004,-2.295000E-003,-9.343000E-004
1,11/16/06 03:20,2.084000E+000,1.386000E-001,-4.672000E-002,1.536000E-001,6.365000E-001,1.400000E-002,2.021000E-002,-5.488000E-002,-1.603000E-002,2.480000E-001,-1.232000E-002,-1.916000E-003,-1.183000E-003,-7.426000E-003,-1.633000E-003,-6.614000E-004,-2.509000E-003
1,11/18/06 03:18,-9.102000E+000,1.996000E-001,5.382000E-002,7.865000E-002,6.183000E-001,-5.467000E-003,-8.431000E-004,-6.557000E-002,2.875000E-002,-1.523000E-001,-1.018000E-002,-2.222000E-003,1.013000E-003,1.583000E-001,2.930000E-003,-9.657000E-004,1.539000E-003
1,11/20/06 02:28,-1.664000E+001,-1.098000E-002,3.099000E-002,6.164000E-001,1.499000E+000,-6.285000E-003,-8.968000E-003,-8.224000E-003,7.637000E-002,-4.087000E-001,-9.311000E-003,4.713000E-005,-1.248000E-003,-1.333000E-002,2.069000E-004,-1.636000E-004,1.896000E-004
1,11/22/06 02:36,1.485000E+000,5.418000E-002,-5.298000E-002,-1.663000E-001,-2.267000E-001,2.040000E-003,-9.066000E-004,-6.651000E-003,-6.120000E-002,2.328000E-001,-7.130000E-003,7.017000E-004,-2.388000E-004,-8.341000E-003,4.945000E-004,1.757000E-003,2.028000E-003
1,11/24/06 02:30,1.284000E+001,-8.972000E-002,-5.111000E-002,-2.972000E-001,-3.352000E-001,3.481000E-004,3.409000E-003,2.132000E-002,-3.589000E-002,2.444000E-001,-9.279000E-003,5.534000E-004,-2.943000E-003,2.338000E-001,4.210000E-004,1.035000E-003,2.870000E-004
1,11/26/06 02:31,6.651000E+000,-3.721000E-002,-4.525000E-002,-1.684000E-001,-4.414000E-001,-4.083000E-004,1.860000E-002,-9.160000E-003,-6.889000E-002,2.588000E-001,1.530000E-003,1.356000E-004,-1.452000E-003,9.101000E-002,2.642000E-003,6.427000E-004,1.623000E-004
1,11/28/06 02:26,-2.602000E+000,-1.081000E-001,-1.501000E-002,1.570000E-001,1.006000E-001,2.220000E-003,4.826000E-003,-9.993000E-003,-2.975000E-002,1.749000E-001,-1.866000E-003,-2.389000E-004,-2.871000E-003,-1.467000E-002,-1.451000E-003,7.021000E-004,2.435000E-003
1,11/30/06 02:31,-1.983000E-001,-2.106000E-002,-6.123000E-002,2.011000E-001,-3.019000E-001,2.189000E-002,2.279000E-002,-7.457000E-003,2.562000E-002,2.200000E-001,4.568000E-003,3.642000E-004,-4.738000E-003,8.363000E-002,-1.007000E-002,8.494000E-004,4.273000E-003
1,12/04/06 02:53,-1.977000E+000,-6.576000E-003,-1.149000E-002,5.082000E-002,-1.258000E-001,-3.425000E-003,-7.472000E-003,2.228000E-003,6.044000E-004,1.180000E-001,-1.152000E-002,5.840000E-004,-1.960000E-003,1.437000E-001,7.898000E-004,4.588000E-004,-2.066000E-003
1,12/06/06 02:55,4.754000E+000,4.038000E+001,7.291000E-004,2.955000E-001,5.896000E-001,4.101000E-004,1.079000E-002,-3.489000E-002,-3.493000E-004,1.954000E-001,-1.858000E-002,-1.796000E-003,-2.646000E-003,-7.821000E-002,1.593000E-003,-1.196000E-003,4.488000E-004
1,12/08/06 02:45,-1.964000E+000,1.474000E-001,1.521000E-001,4.513000E-001,7.139000E-001,8.351000E-003,-1.702000E-002,-1.013000E-002,3.390000E-003,-2.791000E-002,-2.887000E-004,7.489000E-004,-5.831000E-003,-6.786000E-002,-3.072000E-003,9.200000E-004,1.293000E-003
1,12/10/06 02:48,-1.647000E+001,-1.147000E-001,1.045000E-001,-1.369000E+000,-2.747000E-001,-7.350000E-003,-1.282000E-001,4.113000E-001,8.272000E-001,2.484000E-001,-5.082000E-002,-6.622000E-004,1.201000E-002,-3.197000E-001,1.955000E-002,-5.263000E-003,2.463000E-003
1,12/12/06 02:49,-2.102000E-001,-5.252000E-002,6.484000E-002,-2.578000E-001,-1.424000E-002,6.231000E-004,-1.867000E-002,3.415000E-002,9.853000E-003,1.317000E-001,-9.606000E-003,1.615000E-003,-1.953000E-003,6.662000E-003,-1.422000E-003,1.495000E-004,3.478000E-003
1,12/14/06 02:50,3.666000E-001,2.705000E-002,-5.884000E-002,-1.832000E-002,-1.513000E-001,-7.917000E-003,-3.217000E-002,1.698000E-002,1.359000E-002,-7.700000E-002,1.176000E-002,-1.547000E-003,3.962000E-004,1.514000E-001,2.800000E-003,9.518000E-003,-1.604000E-003
1,12/16/06 02:39,3.066000E+000,6.181000E-003,-4.515000E-002,1.244000E-001,1.421000E-001,-3.307000E-003,-4.590000E-003,2.631000E-002,-4.137000E-002,-1.250000E-001,1.326000E-002,2.620000E-003,-5.421000E-004,2.749000E-002,-2.705000E-003,4.256000E-003,3.237000E-003
1,12/18/06 02:36,3.682000E+000,-2.002000E-002,-2.553000E-002,1.371000E-001,4.203000E-001,1.285000E-002,6.350000E-003,-2.775000E-002,-2.299000E-002,4.745000E-002,-2.335000E-004,-5.622000E-004,-1.098000E-004,-1.281000E-001,-2.946000E-003,1.129000E-003,3.340000E-003
1,12/20/06 02:55,-1.667000E+000,1.118000E-001,3.444000E-002,2.118000E-001,4.663000E-001,7.380000E-003,1.283000E-002,-4.488000E-002,-2.857000E-002,1.036000E-001,-6.114000E-003,-4.443000E-004,-1.429000E-003,-1.305000E-001,-4.133000E-004,-5.371000E-004,-9.245000E-004
1,12/22/06 02:57,1.117000E+000,-1.777000E-002,-5.373000E-002,2.584000E-001,1.282000E-001,-3.356000E-003,5.095000E-003,-1.834000E-002,-4.176000E-002,1.280000E-001,-8.672000E-003,9.441000E-005,-1.816000E-003,4.906000E-003,6.327000E-004,1.289000E-003,9.193000E-004
1,12/24/06 04:00,1.694000E+000,3.928000E-002,-3.405000E-002,-1.852000E-001,-4.521000E-001,4.924000E-003,1.865000E-002,3.420000E-002,1.036000E-002,1.347000E-001,5.546000E-003,-2.893000E-004,-3.952000E-005,1.014000E-001,-1.189000E-003,-3.405000E-004,-2.570000E-003
1,12/26/06 02:52,-9.432000E+000,1.955000E-001,1.196000E-001,-5.975000E-003,-4.933000E-001,-1.093000E-002,-2.766000E-002,-4.352000E-002,-4.888000E-002,1.157000E-001,6.123000E-003,-1.930000E-004,-5.392000E-004,2.538000E-003,5.361000E-003,3.775000E-004,3.914000E-003
1,12/30/06 03:04,-9.155000E+000,1.334000E-002,1.127000E-002,3.651000E-001,3.763000E-002,2.071000E-002,1.253000E-002,-4.712000E-003,-1.453000E-002,-1.112000E-001,4.285000E-003,6.288000E-004,-1.187000E-003,9.069000E-002,-9.963000E-003,6.515000E-004,1.044000E-003
1,01/01/07 03:27,-3.491000E+001,4.048000E+001,3.787000E-001,1.234000E-001,-5.668000E-002,-2.431000E-003,-4.094000E-002,-1.399000E-004,6.140000E-002,-9.705000E-002,-3.739000E-002,-1.029000E-003,-9.995000E-004,-1.632000E-001,4.186000E-003,4.868000E-003,-3.062000E-003
1,01/03/07 03:25,9.293000E+001,4.061000E+001,-6.368000E-001,-3.237000E+000,-6.511000E+000,-1.149000E-002,-1.149000E-003,2.617000E-002,4.535000E-001,4.826000E-001,1.126000E-001,1.384000E-002,6.677000E-002,1.707000E+000,-1.432000E-003,-1.450000E-003,-3.663000E-003
1,01/05/07 02:58,2.698000E+002,4.061000E+001,-5.108000E-001,-1.162000E+000,-4.637000E+000,2.334000E-002,1.359000E-001,-5.617000E-003,-1.244000E+000,1.702000E+000,1.577000E-001,6.782000E-003,1.716000E-002,2.253000E+000,5.313000E-003,4.661000E-001,1.949000E-003
