**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 1

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,  8.04890,  1.97630,  2.48773,  8.87850, 21.01725, 28.03900, 11.89805,  9.47892,  0.79668,  1.17767
Na,  0.23129,  0.23126,  0.23145,  1.19835,  1.38038,  1.54460,  0.98816,  0.51935,  0.52557,  2.24544
Mg,  0.07797,  0.07797,  0.08288,  0.09221,  0.15110,  0.20754,  0.11844,  0.04452,  0.37588,  0.57097
Al,  1.02950,  0.61230,  0.68242,  1.05675,  1.42508,  1.70440,  1.06139,  0.39081,  0.36821,  0.37962
Si,  1.87410,  0.97873,  1.14875,  1.94895,  3.07088,  3.82160,  2.10504,  1.02019,  0.48464,  0.54436
P,  0.01124,  0.00300,  0.00329,  0.00536,  0.00988,  0.01143,  0.00613,  0.00324,  0.52848,  0.28799
S,  0.05302,  0.02658,  0.05319,  0.06210,  0.06911,  0.08131,  0.05946,  0.01574,  0.26480,  0.29698
Cl,  1.06460,  1.03480,  1.05483,  1.09075,  1.21043,  1.33510,  1.13789,  0.10904,  0.09583,  0.10243
K,  0.10345,  0.10345,  0.14068,  0.15121,  0.20064,  0.26475,  0.16871,  0.04920,  0.29162,  0.47559
Ca,  0.50110,  0.25725,  0.30352,  0.52422,  0.88683,  1.11860,  0.59337,  0.30914,  0.52099,  0.61692
Ti,  0.04850,  0.02374,  0.02811,  0.05178,  0.09712,  0.12600,  0.06269,  0.03661,  0.58406,  0.75500
V,  0.00002,  0.00002,  0.00010,  0.00018,  0.00070,  0.00110,  0.00039,  0.00036,  0.93757, 15.71605
Mn,  0.00132,  0.00000,  0.00024,  0.00199,  0.00970,  0.01475,  0.00507,  0.00526,  1.03699,  3.99856
Fe,  0.31807,  0.15749,  0.18771,  0.34679,  0.74504,  1.02480,  0.47409,  0.30739,  0.64839,  0.96644
Zn,  0.00918,  0.00794,  0.00939,  0.01484,  0.01648,  0.01748,  0.01376,  0.00341,  0.24809,  0.37199
Br,  0.00027,  0.00000,  0.00000,  0.00000,  0.00003,  0.00048,  0.00005,  0.00012,  2.29231,  0.45455
Pb,  0.00296,  0.00198,  0.00212,  0.00299,  0.00345,  0.00379,  0.00280,  0.00066,  0.23684,  0.22423

Factor 2,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,  0.04260,  0.00000,  0.03496,  4.34350, 24.71925, 27.30800, 11.82027, 12.20867,  1.03286,286.56170
Na,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Mg,  0.13618,  0.08131,  0.11145,  0.15726,  0.19463,  0.21480,  0.15541,  0.04586,  0.29511,  0.33679
Al,  0.16807,  0.15926,  0.23036,  0.60816,  1.38975,  1.53540,  0.83077,  0.56012,  0.67422,  3.33264
Si,  0.56748,  0.53916,  0.69514,  1.32220,  3.45988,  3.82250,  2.05244,  1.37885,  0.67181,  2.42978
P,  0.00000,  0.00000,  0.00161,  0.01744,  0.02021,  0.02214,  0.01376,  0.00891,  0.64748,  0.00000
S,  0.17997,  0.16866,  0.17410,  0.18256,  0.19421,  0.22825,  0.18550,  0.01439,  0.07757,  0.07995
Cl,  0.01695,  0.01624,  0.02496,  0.08001,  0.09950,  0.11060,  0.06749,  0.03621,  0.53656,  2.13610
K,  0.18012,  0.17334,  0.21178,  0.26924,  0.36016,  0.39356,  0.28985,  0.07926,  0.27345,  0.44004
Ca,  0.19952,  0.18984,  0.22131,  0.37655,  1.03040,  1.13840,  0.61476,  0.40488,  0.65860,  2.02926
Ti,  0.00382,  0.00334,  0.00802,  0.04736,  0.12672,  0.13999,  0.06971,  0.05653,  0.81083, 14.78692
V,  0.00066,  0.00064,  0.00085,  0.00175,  0.00269,  0.00294,  0.00188,  0.00088,  0.46843,  1.32786
Mn,  0.00406,  0.00379,  0.00422,  0.00652,  0.01850,  0.02044,  0.01109,  0.00720,  0.64968,  1.77527
Fe,  0.10179,  0.09510,  0.15456,  0.54503,  1.23945,  1.36930,  0.72827,  0.51734,  0.71037,  5.08244
Zn,  0.00366,  0.00353,  0.00513,  0.00985,  0.01096,  0.01152,  0.00867,  0.00294,  0.33959,  0.80360
Br,  0.00363,  0.00350,  0.00394,  0.00447,  0.00470,  0.00511,  0.00438,  0.00051,  0.11664,  0.14065
Pb,  0.00036,  0.00035,  0.00063,  0.00282,  0.00412,  0.00450,  0.00273,  0.00162,  0.59335,  4.45604

Factor 3,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 29.41500,  7.89230, 14.65175, 22.80550, 24.31475, 29.41500, 20.29637,  6.09636,  0.30037,  0.20725
Na,  0.00000,  0.00000,  0.00000, 20.78800, 21.21050, 21.33600, 14.69985,  9.87645,  0.67187,  0.00000
Mg,  0.08104,  0.00000,  0.06072,  0.08808,  0.10887,  0.12790,  0.07744,  0.04332,  0.55942,  0.53459
Al,  1.55510,  0.31428,  0.55562,  0.75032,  0.95330,  1.55510,  0.79749,  0.32306,  0.40509,  0.20774
Si,  3.53940,  0.96756,  1.54230,  2.06145,  2.19925,  3.53940,  2.01591,  0.63959,  0.31727,  0.18071
P,  0.02687,  0.00260,  0.00328,  0.00450,  0.02654,  0.02687,  0.01076,  0.01072,  0.99694,  0.39916
S,  0.00000,  0.00000,  0.00000,  0.00211,  0.01119,  0.04378,  0.00799,  0.01187,  1.48478,119525.75559
Cl,  0.21350,  0.00000,  0.00000,  0.04800,  0.16501,  0.21350,  0.07636,  0.07802,  1.02175,  0.36543
K,  0.31934,  0.16004,  0.18692,  0.21875,  0.23328,  0.33669,  0.22052,  0.04406,  0.19981,  0.13798
Ca,  0.98975,  0.33368,  0.46150,  0.63893,  0.70800,  0.98975,  0.61143,  0.18237,  0.29826,  0.18425
Ti,  0.16038,  0.06107,  0.08086,  0.10206,  0.10668,  0.16038,  0.10015,  0.02445,  0.24411,  0.15244
V,  0.00310,  0.00145,  0.00172,  0.00200,  0.00222,  0.00310,  0.00205,  0.00044,  0.21292,  0.14073
Mn,  0.01873,  0.00580,  0.01134,  0.01679,  0.01788,  0.01949,  0.01466,  0.00424,  0.28912,  0.22625
Fe,  1.55970,  0.63531,  0.82383,  1.01535,  1.04465,  1.55970,  0.99298,  0.22685,  0.22846,  0.14545
Zn,  0.01885,  0.00805,  0.00849,  0.00881,  0.01805,  0.01929,  0.01161,  0.00465,  0.40016,  0.24642
Br,  0.00067,  0.00004,  0.00016,  0.00033,  0.00061,  0.00126,  0.00041,  0.00033,  0.81113,  0.50120
Pb,  0.00516,  0.00102,  0.00139,  0.00178,  0.00423,  0.00516,  0.00246,  0.00145,  0.58839,  0.28122

Factor 4,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 67.98300, 52.88200, 54.16200, 59.61050, 68.53650, 75.61500, 61.70020,  8.02811,  0.13011,  0.11809
Na,  0.00000,  0.00000,  0.00000,  0.00000,  0.37227,  0.69306,  0.15853,  0.27232,  1.71780,  0.00000
Mg,  0.38389,  0.26123,  0.26723,  0.29276,  0.37970,  0.41592,  0.31610,  0.05642,  0.17848,  0.14697
Al,  2.28580,  2.14720,  2.18420,  2.31875,  2.46338,  2.64160,  2.34153,  0.15059,  0.06431,  0.06588
Si,  6.72930,  5.74310,  5.86978,  6.45125,  7.07085,  7.38920,  6.46874,  0.57565,  0.08899,  0.08554
P,  0.00000,  0.00000,  0.00001,  0.01129,  0.01264,  0.01357,  0.00829,  0.00564,  0.68110,73636124.66729
S,  0.02743,  0.00000,  0.00000,  0.00186,  0.02061,  0.03058,  0.00879,  0.01088,  1.23712,  0.39658
Cl,  0.18652,  0.05972,  0.17623,  0.20147,  0.27583,  0.30490,  0.20183,  0.07644,  0.37875,  0.40984
K,  0.41257,  0.27496,  0.29975,  0.31158,  0.40676,  0.44721,  0.33958,  0.05878,  0.17309,  0.14247
Ca,  2.15210,  1.74750,  1.78748,  1.96475,  2.16815,  2.36010,  2.00233,  0.21546,  0.10761,  0.10012
Ti,  0.26098,  0.21058,  0.21690,  0.23723,  0.26382,  0.28969,  0.24309,  0.02708,  0.11138,  0.10374
V,  0.00357,  0.00250,  0.00275,  0.00286,  0.00355,  0.00386,  0.00309,  0.00047,  0.15303,  0.13262
Mn,  0.04456,  0.03136,  0.03286,  0.03547,  0.04453,  0.04889,  0.03812,  0.00638,  0.16738,  0.14317
Fe,  2.34860,  1.84040,  1.92978,  2.07815,  2.35603,  2.59570,  2.15469,  0.25762,  0.11956,  0.10969
Zn,  0.00370,  0.00000,  0.00003,  0.00106,  0.00333,  0.00402,  0.00150,  0.00151,  1.00658,  0.40776
Br,  0.00185,  0.00115,  0.00130,  0.00145,  0.00184,  0.00204,  0.00157,  0.00032,  0.20132,  0.17061
Pb,  0.00346,  0.00344,  0.00374,  0.00389,  0.00412,  0.00461,  0.00394,  0.00030,  0.07659,  0.08728

Percent of Species Sum

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,  7.63005,  1.86730,  2.35016,  8.41661, 19.87657, 26.50440, 11.25908,  8.96829,  0.79654,  1.17539
Na,100.00000,  5.13941,  5.38764,  6.20339,100.00000,100.00000, 34.07611, 44.28097,  1.29947,  0.44281
Mg, 11.48180, 11.48180, 12.43684, 13.92681, 22.68002, 31.33436, 17.75772,  6.73322,  0.37917,  0.58643
Al, 20.43279, 12.18641, 13.57193, 20.97194, 28.28677, 33.90741, 21.09430,  7.76573,  0.36814,  0.38006
Si, 14.74476,  7.76491,  9.10381, 15.33351, 24.16538, 30.30599, 16.64363,  8.06470,  0.48455,  0.54695
P, 29.49744,  7.64079,  8.38510, 13.65959, 25.91622, 29.96931, 15.84044,  8.60263,  0.54308,  0.29164
S, 20.35811, 10.21733, 20.43159, 23.66221, 26.34308, 30.96767, 22.69791,  5.95509,  0.26236,  0.29252
Cl, 71.85606, 69.67571, 71.10356, 73.58645, 81.53569, 89.98735, 76.69877,  7.34093,  0.09571,  0.10216
K, 10.18730, 10.18730, 13.83092, 14.84279, 19.66434, 25.95919, 16.55737,  4.81143,  0.29059,  0.47230
Ca, 13.04109,  6.75078,  7.95717, 13.64329, 23.08573, 29.34248, 15.51872,  8.08597,  0.52105,  0.62004
Ti, 10.23797,  4.98516,  5.89692, 10.93135, 20.50566, 26.44981, 13.18544,  7.70081,  0.58404,  0.75218
V,  0.31277,  0.31277,  1.37165,  2.44598,  9.45075, 14.78921,  5.20320,  4.86942,  0.93585, 15.56883
Mn,  1.91529,  0.00000,  0.34404,  2.89242, 14.11124, 21.36341,  7.35979,  7.62476,  1.03600,  3.98099
Fe,  7.34885,  3.60976,  4.30471,  8.01243, 17.18562, 23.51338, 10.90347,  7.06563,  0.64802,  0.96146
