
Factor Contributions (avg = 1) from Base Run #5 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4
5,03/12/07 00:18,6.051800E-001,1.668800E+000,4.157600E+000,7.412800E-001
5,03/16/07 00:10,1.437300E-001,1.515300E+000,2.211300E+000,7.115300E-001
5,03/18/07 00:15,5.277600E-001,1.616600E+000,2.470600E+000,1.340800E+000
5,03/22/07 00:21,2.590800E-001,1.815900E+000,3.685500E+000,8.050600E-001
5,03/24/07 00:07,2.262400E-001,2.298600E+000,2.133500E+000,1.240000E+000
5,03/26/07 00:47,7.364100E-002,2.579700E+000,1.212000E+000,1.654800E+000
5,03/28/07 00:47,5.995200E-001,1.237200E+000,1.194000E+000,1.723500E-001
5,03/30/07 00:36,4.811900E-001,1.548800E+000,1.908200E+000,1.770900E+000
5,04/01/07 00:27,7.229700E-001,1.183400E+000,1.120400E+000,1.182300E+000
5,04/03/07 00:30,4.219900E-001,8.137600E-001,9.476100E-001,1.829100E+000
5,04/05/07 00:29,5.534300E-001,7.693200E-001,1.207000E+000,5.171800E-001
5,04/07/07 00:12,4.360700E-001,5.893000E-001,9.610000E-001,3.634500E-001
5,04/09/07 00:30,4.903500E-001,6.489300E-001,6.913300E-001,2.243000E-001
5,04/11/07 00:36,5.125300E-001,1.134000E+000,1.390900E+000,8.102800E-001
5,04/13/07 00:28,8.168100E-001,1.220500E+000,1.916700E+000,1.083200E+000
5,04/15/07 00:33,4.859100E-001,1.281700E+000,1.823700E+000,1.126000E+000
5,04/17/07 00:38,8.162300E-001,1.267300E+000,1.853300E+000,1.027500E+000
5,04/19/07 00:42,4.737500E-001,2.277800E+000,1.952800E+000,1.309000E+000
5,04/21/07 00:40,2.747200E-001,1.629600E+000,1.672500E+000,8.748900E-001
5,04/23/07 00:42,2.531100E-001,1.478000E+000,1.663800E+000,3.460600E-001
5,04/25/07 00:54,-1.119100E-002,3.168400E+000,1.211500E+000,8.584600E-001
5,04/27/07 00:45,1.180300E+000,4.694300E-001,9.115000E-001,1.430700E+000
5,04/29/07 00:52,3.650300E-001,1.664800E+000,1.404200E+000,9.677200E-001
5,05/01/07 00:57,-3.349300E-002,1.700500E+000,1.619700E+000,5.814500E-001
5,05/03/07 01:03,-7.705000E-002,1.586800E+000,1.891800E+000,9.168200E-001
5,05/05/07 00:59,3.152900E-001,1.843400E+000,1.411200E+000,4.145300E-001
5,05/07/07 00:57,3.439800E-001,1.969700E+000,1.803700E+000,1.206000E+000
