**** Analysis Summary ****

Time of run: ,04/10/16 02:07
Concentration file: ,C:\Users\Andrea\Documents\EPA PMF\Data\pmf_fa\TGsH.csv
Uncertainty file: ,C:\Users\Andrea\Documents\EPA PMF\Data\pmf_fa\TGsHunc8.csv
Configuration file: ,


**** Input Data Statistics ****

Species,Category,S/N,Min,25th,Median,75th,Max,% Modeled Samples,% Raw Samples
mass,Weak,      6.1, 14.50000, 26.49000, 32.08500, 37.79875, 70.70000, 100.00 %, 100.00 %
Na,Strong,      3.4,  0.04057,  0.41918,  0.60181,  0.90070,  2.18075, 100.00 %, 100.00 %
Mg,Strong,      2.0,  0.05743,  0.14820,  0.17713,  0.24230,  0.61463, 100.00 %, 100.00 %
Al,Strong,      9.8,  0.28771,  1.04255,  1.36843,  1.93418,  4.25301, 100.00 %, 100.00 %
Si,Strong,     10.0,  0.74909,  2.36221,  3.08746,  4.08080,  9.75735, 100.00 %, 100.00 %
P,Strong,      3.3,  0.00026,  0.01448,  0.02435,  0.03060,  0.05943, 100.00 %, 100.00 %
S,Strong,      6.7,  0.05471,  0.16991,  0.22326,  0.27385,  0.72962, 100.00 %, 100.00 %
Cl,Strong,     10.0,  0.85284,  1.35277,  1.75464,  2.23249,  4.19312, 100.00 %, 100.00 %
K,Strong,      8.1,  0.06489,  0.25567,  0.32577,  0.43147,  0.93165, 100.00 %, 100.00 %
Ca,Strong,     10.0,  0.37105,  0.93883,  1.23251,  1.50585,  2.81288, 100.00 %, 100.00 %
Ti,Strong,      9.9,  0.02810,  0.08739,  0.11839,  0.16507,  0.33576, 100.00 %, 100.00 %
V,Strong,      1.5,  0.00017,  0.00114,  0.00177,  0.00267,  0.00576, 100.00 %, 100.00 %
Mn,Strong,      8.3,  0.00377,  0.01026,  0.01404,  0.01830,  0.04548, 100.00 %, 100.00 %
Fe,Strong,      9.9,  0.28551,  0.89859,  1.18161,  1.57235,  2.88928, 100.00 %, 100.00 %
Zn,Strong,      5.0,  0.00014,  0.01497,  0.01983,  0.02560,  0.05550, 100.00 %, 100.00 %
Br,Strong,      2.4,  0.00049,  0.00282,  0.00493,  0.00708,  0.01792, 100.00 %, 100.00 %
Pb,Strong,      1.0,  0.00022,  0.00385,  0.00503,  0.00745,  0.01216, 100.00 %, 100.00 %

Excluded Samples


**** Base Run Summary ****

Number of base runs:  ,20
Base user-selected seed:  123
Number of factors:  ,4
Extra modeling uncertainty (%):,0

Base run summary table:

Run #,Q(Robust),Q(True)     ,Converged,# Steps,Q(true)/Qexp
1,1187.72     ,1194.39     ,Yes      ,296,0.9021072
2,1187.72     ,1194.39     ,Yes      ,345,0.9021072
3,1187.72     ,1194.39     ,Yes      ,462,0.9021072
4,1187.72     ,1194.39     ,Yes      ,423,0.9021072
5,1187.71     ,1194.39     ,Yes      ,265,0.9021072
6,1187.71     ,1194.4      ,Yes      ,288,0.9021148
7,1187.72     ,1194.39     ,Yes      ,226,0.9021072
8,1187.71     ,1194.39     ,Yes      ,239,0.9021072
9,1187.72     ,1194.39     ,Yes      ,268,0.9021072
10,1187.74     ,1194.39     ,Yes      ,314,0.9021072
11,1187.72     ,1194.39     ,Yes      ,351,0.9021072
12,1187.71     ,1194.39     ,Yes      ,258,0.9021072
13,1187.71     ,1194.39     ,Yes      ,484,0.9021072
14,1187.73     ,1194.39     ,Yes      ,253,0.9021072
15,1187.75     ,1194.38     ,Yes      ,307,0.9020997
16,1187.72     ,1194.39     ,Yes      ,457,0.9021072
17,1187.75     ,1194.39     ,Yes      ,320,0.9021072
18,1187.73     ,1194.39     ,Yes      ,226,0.9021072
19,1187.74     ,1194.39     ,Yes      ,384,0.9021072
20,1187.73     ,1194.38     ,Yes      ,336,0.9020997

Scaled residual analysis:

Sum of the squares of the differences in scaled residuals for each base run pair by species (d)
Run #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,
2,0.00031,
3,0.00066,0.00083,
4,0.00068,0.00075,0.00042,
5,0.00019,0.00015,0.00063,0.00060,
6,0.00045,0.00018,0.00107,0.00091,0.00027,
7,0.00032,0.00042,0.00041,0.00033,0.00030,0.00062,
8,0.00024,0.00015,0.00082,0.00077,0.00016,0.00028,0.00040,
9,0.00031,0.00022,0.00055,0.00057,0.00018,0.00038,0.00029,0.00024,
10,0.00032,0.00023,0.00080,0.00085,0.00026,0.00039,0.00041,0.00021,0.00030,
11,0.00024,0.00018,0.00053,0.00053,0.00018,0.00037,0.00024,0.00024,0.00017,0.00025,
12,0.00026,0.00016,0.00082,0.00074,0.00011,0.00024,0.00039,0.00018,0.00026,0.00029,0.00023,
13,0.00039,0.00014,0.00098,0.00090,0.00023,0.00012,0.00056,0.00024,0.00034,0.00028,0.00031,0.00020,
14,0.00031,0.00017,0.00092,0.00077,0.00021,0.00023,0.00042,0.00021,0.00032,0.00026,0.00026,0.00016,0.00017,
15,0.00104,0.00134,0.00048,0.00076,0.00106,0.00173,0.00062,0.00124,0.00093,0.00114,0.00098,0.00126,0.00158,0.00139,
16,0.00033,0.00014,0.00062,0.00060,0.00015,0.00029,0.00030,0.00019,0.00017,0.00022,0.00017,0.00020,0.00021,0.00021,0.00104,
17,0.00043,0.00019,0.00107,0.00094,0.00028,0.00019,0.00059,0.00029,0.00038,0.00036,0.00035,0.00025,0.00019,0.00023,0.00163,0.00028,
18,0.00045,0.00059,0.00041,0.00041,0.00044,0.00085,0.00020,0.00058,0.00040,0.00055,0.00036,0.00053,0.00076,0.00060,0.00044,0.00045,0.00078,
19,0.00029,0.00021,0.00083,0.00091,0.00023,0.00036,0.00045,0.00024,0.00022,0.00022,0.00022,0.00021,0.00029,0.00028,0.00120,0.00024,0.00032,0.00053,
20,0.00078,0.00094,0.00029,0.00067,0.00073,0.00125,0.00048,0.00087,0.00062,0.00075,0.00068,0.00092,0.00109,0.00101,0.00030,0.00069,0.00119,0.00040,0.00083,

Sum of d across all species for each base run pair (D)
Run #            Run #,mass        ,Na          ,Mg          ,Al          ,Si          ,P           ,S           ,Cl          ,K           ,Ca          ,Ti          ,V           ,Mn          ,Fe          ,Zn          ,Br          ,Pb          ,
2                    1,0.00000,0.00001,0.00004,0.00001,0.00000,0.00006,0.00001,0.00003,0.00001,0.00003,0.00001,0.00001,0.00000,0.00001,0.00003,0.00003,0.00001,
3                    1,0.00000,0.00002,0.00004,0.00001,0.00000,0.00007,0.00010,0.00003,0.00015,0.00004,0.00002,0.00001,0.00001,0.00002,0.00006,0.00008,0.00001,
3                    2,0.00000,0.00002,0.00001,0.00001,0.00001,0.00017,0.00009,0.00008,0.00013,0.00007,0.00002,0.00001,0.00001,0.00002,0.00007,0.00010,0.00001,
4                    1,0.00000,0.00001,0.00004,0.00002,0.00002,0.00005,0.00009,0.00003,0.00017,0.00006,0.00001,0.00001,0.00002,0.00004,0.00006,0.00005,0.00001,
4                    2,0.00000,0.00002,0.00001,0.00002,0.00002,0.00012,0.00009,0.00005,0.00015,0.00007,0.00002,0.00001,0.00002,0.00003,0.00008,0.00005,0.00001,
4                    3,0.00000,0.00001,0.00001,0.00001,0.00002,0.00003,0.00002,0.00003,0.00002,0.00006,0.00002,0.00001,0.00001,0.00002,0.00009,0.00005,0.00001,
5                    1,0.00000,0.00001,0.00004,0.00001,0.00000,0.00002,0.00001,0.00001,0.00001,0.00002,0.00000,0.00000,0.00000,0.00001,0.00002,0.00002,0.00000,
5                    2,0.00000,0.00001,0.00000,0.00001,0.00000,0.00004,0.00001,0.00001,0.00001,0.00002,0.00000,0.00000,0.00000,0.00001,0.00001,0.00001,0.00000,
5                    3,0.00000,0.00002,0.00001,0.00001,0.00000,0.00009,0.00009,0.00005,0.00010,0.00005,0.00002,0.00001,0.00001,0.00002,0.00006,0.00009,0.00001,
5                    4,0.00000,0.00001,0.00001,0.00002,0.00002,0.00005,0.00008,0.00003,0.00012,0.00006,0.00001,0.00001,0.00002,0.00003,0.00007,0.00004,0.00001,
6                    1,0.00000,0.00003,0.00005,0.00001,0.00001,0.00007,0.00002,0.00003,0.00002,0.00005,0.00001,0.00001,0.00001,0.00001,0.00004,0.00006,0.00001,
6                    2,0.00000,0.00002,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00002,0.00000,0.00000,0.00000,0.00001,0.00001,0.00003,0.00001,
6                    3,0.00001,0.00003,0.00002,0.00001,0.00001,0.00018,0.00012,0.00007,0.00018,0.00009,0.00003,0.00001,0.00001,0.00002,0.00009,0.00017,0.00002,
6                    4,0.00001,0.00002,0.00001,0.00002,0.00002,0.00013,0.00012,0.00004,0.00021,0.00007,0.00002,0.00001,0.00002,0.00003,0.00008,0.00009,0.00001,
6                    5,0.00000,0.00002,0.00001,0.00001,0.00001,0.00004,0.00002,0.00002,0.00002,0.00003,0.00001,0.00001,0.00000,0.00001,0.00002,0.00003,0.00001,
7                    1,0.00000,0.00002,0.00002,0.00001,0.00001,0.00002,0.00004,0.00003,0.00006,0.00002,0.00001,0.00001,0.00001,0.00001,0.00003,0.00003,0.00000,
7                    2,0.00000,0.00001,0.00002,0.00001,0.00001,0.00009,0.00004,0.00002,0.00005,0.00004,0.00001,0.00000,0.00000,0.00001,0.00004,0.00005,0.00000,
7                    3,0.00000,0.00002,0.00002,0.00000,0.00001,0.00005,0.00003,0.00006,0.00003,0.00004,0.00002,0.00001,0.00001,0.00001,0.00006,0.00004,0.00001,
7                    4,0.00000,0.00002,0.00001,0.00001,0.00001,0.00003,0.00002,0.00003,0.00004,0.00003,0.00001,0.00001,0.00001,0.00002,0.00004,0.00003,0.00000,
7                    5,0.00000,0.00001,0.00002,0.00001,0.00001,0.00004,0.00004,0.00002,0.00004,0.00003,0.00001,0.00000,0.00001,0.00001,0.00003,0.00004,0.00001,
7                    6,0.00000,0.00002,0.00002,0.00001,0.00001,0.00011,0.00007,0.00003,0.00009,0.00005,0.00001,0.00001,0.00001,0.00002,0.00006,0.00009,0.00001,
8                    1,0.00000,0.00001,0.00002,0.00001,0.00001,0.00004,0.00002,0.00003,0.00001,0.00002,0.00000,0.00000,0.00000,0.00001,0.00003,0.00003,0.00001,
8                    2,0.00000,0.00001,0.00002,0.00000,0.00001,0.00002,0.00001,0.00000,0.00001,0.00002,0.00000,0.00001,0.00001,0.00002,0.00001,0.00001,0.00000,
