
Factor Profiles (conc. of species) from Base Run #5 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4
5,mass,8.770400E+000,9.116200E+000,1.174700E+001,3.391400E+000
5,Na,5.135400E-001,7.486300E-002,9.528700E-010,1.208200E-001
5,Mg,6.628800E-002,8.762200E-003,1.051200E-001,1.951900E-002
5,Al,2.348800E-001,3.941800E-001,8.094900E-001,1.127100E-001
5,Si,6.246700E-001,8.392700E-001,1.668700E+000,2.671500E-001
5,P,0.000000E+000,1.095800E-002,5.782500E-003,6.386200E-003
5,S,5.973800E-002,1.765100E-002,3.670200E-002,1.133000E-001
5,Cl,1.075500E+000,3.852600E-001,1.903600E-001,2.224000E-001
5,K,4.231700E-002,4.057500E-002,1.275500E-001,1.352500E-001
5,Ca,2.697600E-001,5.567000E-001,2.844600E-001,1.609900E-001
5,Ti,2.067400E-002,4.094100E-002,5.658100E-002,1.063800E-002
5,V,4.348500E-004,2.520100E-004,1.168100E-003,6.217000E-005
5,Mn,2.684100E-003,3.849400E-003,7.099000E-003,1.460200E-003
5,Fe,2.660200E-001,3.086500E-001,6.175200E-001,7.326100E-002
5,Zn,1.678300E-003,1.145100E-002,8.014600E-004,6.412100E-003
5,Br,1.427600E-003,0.000000E+000,4.238800E-004,3.477100E-003
5,Pb,4.096000E-004,2.024900E-003,7.864300E-004,2.338600E-003

Factor Profiles (% of species sum) from Base Run #5 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4
5,mass,2.655685E+001,2.760394E+001,3.557002E+001,1.026919E+001
5,Na,7.240882E+001,1.055564E+001,1.343541E-007,1.703555E+001
5,Mg,3.319559E+001,4.387919E+000,5.264180E+001,9.774690E+000
5,Al,1.514124E+001,2.541031E+001,5.218274E+001,7.265707E+000
5,Si,1.837378E+001,2.468594E+001,4.908244E+001,7.857838E+000
5,P,0.000000E+000,4.738246E+001,2.500357E+001,2.761397E+001
5,S,2.627105E+001,7.762401E+000,1.614048E+001,4.982607E+001
5,Cl,5.740531E+001,2.056343E+001,1.016055E+001,1.187070E+001
5,K,1.224124E+001,1.173733E+001,3.689701E+001,3.912442E+001
5,Ca,2.120905E+001,4.376882E+001,2.236479E+001,1.265734E+001
5,Ti,1.604701E+001,3.177810E+001,4.391776E+001,8.257137E+000
5,V,2.268234E+001,1.314517E+001,6.092962E+001,3.242868E+000
5,Mn,1.778409E+001,2.550504E+001,4.703598E+001,9.674876E+000
5,Fe,2.102176E+001,2.439051E+001,4.879841E+001,5.789320E+000
5,Zn,8.250069E+000,5.629002E+001,3.939761E+000,3.152015E+001
5,Br,2.679138E+001,0.000000E+000,7.954840E+000,6.525378E+001
5,Pb,7.367529E+000,3.642214E+001,1.414562E+001,4.206471E+001

Factor Profiles (% of total variable) from Base Run #5 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4
5,mass,*,*,*,*
5,Na,5.855377E+000,8.212084E-001,8.111603E-009,3.562541E+000
5,Mg,7.558150E-001,9.611680E-002,8.948668E-001,5.755440E-001
5,Al,2.678099E+000,4.323951E+000,6.891036E+000,3.323406E+000
5,Si,7.122480E+000,9.206358E+000,1.420533E+001,7.877278E+000
5,P,0.000000E+000,1.202036E-001,4.922533E-002,1.883057E-001
5,S,6.811320E-001,1.936223E-001,3.124372E-001,3.340803E+000
5,Cl,1.226284E+001,4.226103E+000,1.620499E+000,6.557764E+000
5,K,4.824980E-001,4.450868E-001,1.085809E+000,3.988029E+000
5,Ca,3.075800E+000,6.106711E+000,2.421554E+000,4.747007E+000
5,Ti,2.357247E-001,4.491016E-001,4.816634E-001,3.136758E-001
5,V,4.958155E-003,2.764419E-003,9.943816E-003,1.833166E-003
5,Mn,3.060408E-002,4.222593E-002,6.043245E-002,4.305597E-002
5,Fe,3.033157E+000,3.385731E+000,5.256832E+000,2.160199E+000
5,Zn,1.913596E-002,1.256115E-001,6.822678E-003,1.890694E-001
5,Br,1.627748E-002,0.000000E+000,3.608411E-003,1.025270E-001
5,Pb,4.670254E-003,2.221211E-002,6.694730E-003,6.895677E-002
