
Factor Contributions (avg = 1) from Base Run #18 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4
18,11/14/06 02:25,1.450400E+000,9.120800E-001,5.549200E-001,-3.876800E-002
18,11/16/06 03:20,1.179900E+000,7.822500E-001,7.423400E-001,-2.642000E-002
18,11/18/06 03:18,1.527500E+000,7.675800E-001,6.760000E-001,2.106400E-002
18,11/20/06 02:28,1.395700E+000,9.926000E-001,5.200800E-001,1.556000E-001
18,11/22/06 02:36,1.479100E+000,5.644800E-001,7.351400E-001,7.409900E-001
18,11/24/06 02:30,1.131000E+000,6.007200E-001,7.308200E-001,1.019600E-001
18,11/26/06 02:31,9.254300E-001,2.054300E-001,6.355200E-001,1.135000E+000
18,11/28/06 02:26,4.801100E-001,2.668900E-001,9.616600E-001,8.167100E-001
18,11/30/06 02:31,4.424900E-001,2.120900E-001,1.270900E+000,3.442600E-001
18,12/04/06 02:53,7.692800E-001,6.557800E-002,1.378900E+000,1.758700E+000
18,12/06/06 02:55,5.216600E-001,7.755100E-001,1.360700E+000,4.218600E-001
18,12/08/06 02:45,9.739000E-002,3.323900E-001,1.247300E+000,1.751800E+000
18,12/10/06 02:48,3.160500E+000,5.478200E-001,2.086200E+000,1.360000E-001
18,12/12/06 02:49,1.331400E+000,4.405800E-001,1.130900E+000,6.694900E-001
18,12/14/06 02:50,1.138300E+000,4.358900E-004,1.058600E+000,2.618300E+000
18,12/16/06 02:39,8.452600E-001,1.314900E-001,1.208000E+000,1.473400E+000
18,12/18/06 02:36,1.157200E+000,2.985300E-001,1.183500E+000,4.224500E-001
18,12/20/06 02:55,9.115100E-001,2.424400E-001,1.446200E+000,7.532400E-001
18,12/22/06 02:57,9.746400E-001,2.224600E-001,1.291400E+000,3.390200E-001
18,12/24/06 04:00,1.351000E+000,1.038600E-001,1.231800E+000,3.717000E-001
18,12/26/06 02:52,9.750200E-001,-1.754400E-001,1.142600E+000,1.970100E+000
18,12/30/06 03:04,1.067800E+000,2.204400E-001,1.978600E+000,4.779000E-001
18,01/01/07 03:27,9.383400E-002,1.399100E+000,1.594800E+000,2.774800E+000
18,01/03/07 03:25,-2.000000E-001,4.686400E+000,5.908600E-001,1.424800E+000
18,01/05/07 02:58,-2.276600E-002,4.044800E+000,6.271600E-001,1.900600E+000
