**** Analysis Summary ****

Time of run: ,04/24/16 18:11
Concentration file: ,E:\pmf_fa\TIeH.csv
Uncertainty file: ,E:\pmf_fa\TIeHunc8.csv
Configuration file: ,


**** Input Data Statistics ****

Species,Category,S/N,Min,25th,Median,75th,Max,% Modeled Samples,% Raw Samples
mass,Weak,      9.4, 97.03000,129.12000,159.70000,366.29000,1255.81000, 100.00 %, 100.00 %
Na,Strong,      1.7,  0.03125,  0.11513,  0.30695,  0.51615,  1.22921, 100.00 %, 100.00 %
Mg,Strong,      8.2,  0.45468,  0.79078,  1.35169,  2.57252,  5.33921, 100.00 %, 100.00 %
Al,Strong,     10.0,  4.80949,  6.91519,  8.54380, 15.79036, 33.89111, 100.00 %, 100.00 %
Si,Strong,     10.0, 10.56995, 14.97886, 21.37055, 42.06341, 93.30729, 100.00 %, 100.00 %
P,Strong,      6.5,  0.00706,  0.06129,  0.07592,  0.09784,  0.22152, 100.00 %, 100.00 %
S,Strong,     10.0,  0.70247,  1.18360,  1.42494,  1.62583,  2.57730, 100.00 %, 100.00 %
Cl,Strong,     10.0,  0.82596,  1.73508,  2.30370,  2.86768,  4.94692, 100.00 %, 100.00 %
K,Strong,     10.0,  1.60228,  2.34528,  2.90818,  5.13192, 11.09877, 100.00 %, 100.00 %
Ca,Strong,     10.0,  2.88317,  3.32523,  4.69981,  8.73348, 25.19560, 100.00 %, 100.00 %
Ti,Strong,     10.0,  0.34147,  0.49883,  0.60918,  1.30397,  3.77692, 100.00 %, 100.00 %
V,Strong,      6.7,  0.00477,  0.00848,  0.01107,  0.02097,  0.07357, 100.00 %, 100.00 %
Mn,Strong,     10.0,  0.05021,  0.06909,  0.09825,  0.22019,  0.73609, 100.00 %, 100.00 %
Fe,Strong,     10.0,  3.13457,  4.31381,  5.49419, 11.72718, 35.34541, 100.00 %, 100.00 %
Zn,Strong,     10.0,  0.05206,  0.06654,  0.07724,  0.10639,  0.24775, 100.00 %, 100.00 %
Br,Strong,      9.0,  0.01339,  0.02258,  0.03306,  0.05757,  0.16748, 100.00 %, 100.00 %
Pb,Strong,      6.9,  0.02112,  0.02747,  0.03116,  0.05143,  0.09681, 100.00 %, 100.00 %

Excluded Samples


**** Base Run Summary ****

Number of base runs:  ,20
Base user-selected seed:  123
Number of factors:  ,4
Extra modeling uncertainty (%):,0

Base run summary table:

Run #,Q(Robust),Q(True)     ,Converged,# Steps,Q(true)/Qexp
1,1083.79     ,1092.74     ,Yes      ,472,1.707406
2,1083.77     ,1092.74     ,Yes      ,198,1.707406
3,1083.78     ,1092.74     ,Yes      ,213,1.707406
4,1083.78     ,1092.74     ,Yes      ,163,1.707406
5,1083.78     ,1092.74     ,Yes      ,365,1.707406
6,1083.77     ,1092.74     ,Yes      ,302,1.707406
7,1083.77     ,1092.74     ,Yes      ,251,1.707406
8,1083.77     ,1092.74     ,Yes      ,281,1.707406
9,1083.78     ,1092.74     ,Yes      ,383,1.707406
10,1083.78     ,1092.74     ,Yes      ,227,1.707406
11,1083.78     ,1092.74     ,Yes      ,244,1.707406
12,1083.78     ,1092.74     ,Yes      ,263,1.707406
13,1083.79     ,1092.74     ,Yes      ,373,1.707406
14,1083.78     ,1092.74     ,Yes      ,244,1.707406
15,1083.79     ,1092.74     ,Yes      ,273,1.707406
16,1083.78     ,1092.74     ,Yes      ,205,1.707406
17,1083.78     ,1092.74     ,Yes      ,208,1.707406
18,1083.77     ,1092.74     ,Yes      ,266,1.707406
19,1083.78     ,1092.74     ,Yes      ,289,1.707406
20,1083.78     ,1092.74     ,Yes      ,369,1.707406

Scaled residual analysis:

Sum of the squares of the differences in scaled residuals for each base run pair by species (d)
Run #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,
2,0.00012,
3,0.00010,0.00011,
4,0.00008,0.00007,0.00008,
5,0.00009,0.00007,0.00007,0.00005,
6,0.00008,0.00012,0.00010,0.00007,0.00007,
7,0.00020,0.00012,0.00018,0.00015,0.00014,0.00020,
8,0.00009,0.00006,0.00008,0.00006,0.00005,0.00008,0.00014,
9,0.00009,0.00010,0.00010,0.00009,0.00009,0.00012,0.00017,0.00009,
10,0.00018,0.00016,0.00020,0.00017,0.00018,0.00022,0.00019,0.00017,0.00012,
11,0.00015,0.00012,0.00015,0.00011,0.00013,0.00014,0.00021,0.00012,0.00013,0.00018,
12,0.00016,0.00015,0.00021,0.00014,0.00016,0.00016,0.00019,0.00016,0.00012,0.00012,0.00016,
13,0.00011,0.00010,0.00011,0.00012,0.00010,0.00014,0.00017,0.00009,0.00008,0.00014,0.00015,0.00016,
14,0.00012,0.00011,0.00009,0.00010,0.00007,0.00009,0.00018,0.00006,0.00013,0.00023,0.00017,0.00021,0.00012,
15,0.00013,0.00013,0.00012,0.00012,0.00012,0.00016,0.00018,0.00012,0.00008,0.00014,0.00016,0.00017,0.00011,0.00016,
16,0.00011,0.00012,0.00008,0.00009,0.00008,0.00011,0.00017,0.00009,0.00010,0.00020,0.00017,0.00018,0.00013,0.00009,0.00014,
17,0.00011,0.00010,0.00008,0.00007,0.00006,0.00009,0.00017,0.00007,0.00013,0.00021,0.00015,0.00019,0.00011,0.00007,0.00015,0.00009,
18,0.00010,0.00016,0.00011,0.00013,0.00013,0.00013,0.00023,0.00014,0.00010,0.00017,0.00017,0.00012,0.00014,0.00016,0.00013,0.00011,0.00014,
19,0.00010,0.00012,0.00010,0.00010,0.00010,0.00014,0.00017,0.00011,0.00009,0.00014,0.00015,0.00017,0.00010,0.00014,0.00008,0.00012,0.00011,0.00012,
20,0.00036,0.00040,0.00039,0.00040,0.00041,0.00045,0.00042,0.00041,0.00026,0.00023,0.00040,0.00032,0.00032,0.00048,0.00022,0.00040,0.00042,0.00030,0.00027,

Sum of d across all species for each base run pair (D)
Run #            Run #,mass        ,Na          ,Mg          ,Al          ,Si          ,P           ,S           ,Cl          ,K           ,Ca          ,Ti          ,V           ,Mn          ,Fe          ,Zn          ,Br          ,Pb          ,
2                    1,0.00000,0.00002,0.00000,0.00000,0.00000,0.00001,0.00001,0.00001,0.00000,0.00000,0.00000,0.00000,0.00001,0.00000,0.00000,0.00002,0.00000,
3                    1,0.00000,0.00002,0.00001,0.00000,0.00000,0.00001,0.00001,0.00001,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00001,0.00001,0.00000,
3                    2,0.00000,0.00002,0.00001,0.00000,0.00000,0.00000,0.00001,0.00001,0.00001,0.00000,0.00000,0.00000,0.00001,0.00000,0.00001,0.00002,0.00000,
4                    1,0.00000,0.00002,0.00000,0.00000,0.00000,0.00001,0.00001,0.00001,0.00001,0.00000,0.00000,0.00000,0.00001,0.00000,0.00000,0.00001,0.00000,
4                    2,0.00000,0.00001,0.00000,0.00000,0.00000,0.00001,0.00001,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00001,0.00000,
4                    3,0.00000,0.00002,0.00001,0.00001,0.00000,0.00000,0.00001,0.00001,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00001,0.00001,0.00000,
5                    1,0.00000,0.00002,0.00000,0.00000,0.00000,0.00001,0.00001,0.00001,0.00000,0.00000,0.00000,0.00000,0.00001,0.00000,0.00000,0.00001,0.00000,
5                    2,0.00000,0.00000,0.00000,0.00000,0.00000,0.00001,0.00001,0.00001,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00001,0.00000,
5                    3,0.00000,0.00002,0.00000,0.00000,0.00000,0.00000,0.00001,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00001,0.00000,
5                    4,0.00000,0.00001,0.00000,0.00000,0.00000,0.00000,0.00001,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
6                    1,0.00000,0.00002,0.00000,0.00000,0.00000,0.00001,0.00001,0.00001,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00001,0.00000,
6                    2,0.00000,0.00003,0.00000,0.00000,0.00000,0.00001,0.00002,0.00001,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00002,0.00000,
6                    3,0.00000,0.00003,0.00001,0.00000,0.00000,0.00001,0.00001,0.00001,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00001,0.00001,0.00000,
6                    4,0.00000,0.00002,0.00000,0.00000,0.00000,0.00001,0.00001,0.00000,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00001,0.00000,
6                    5,0.00000,0.00002,0.00000,0.00000,0.00000,0.00001,0.00001,0.00000,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00001,0.00000,
7                    1,0.00000,0.00006,0.00001,0.00000,0.00000,0.00002,0.00001,0.00002,0.00001,0.00001,0.00001,0.00001,0.00002,0.00001,0.00000,0.00002,0.00000,
7                    2,0.00000,0.00002,0.00000,0.00000,0.00000,0.00001,0.00001,0.00002,0.00001,0.00000,0.00000,0.00000,0.00001,0.00000,0.00001,0.00001,0.00000,
7                    3,0.00000,0.00005,0.00001,0.00001,0.00000,0.00001,0.00001,0.00003,0.00001,0.00000,0.00001,0.00000,0.00002,0.00000,0.00001,0.00001,0.00000,
7                    4,0.00000,0.00004,0.00001,0.00000,0.00000,0.00001,0.00001,0.00002,0.00001,0.00000,0.00000,0.00000,0.00001,0.00000,0.00001,0.00002,0.00000,
7                    5,0.00000,0.00003,0.00001,0.00000,0.00000,0.00001,0.00001,0.00002,0.00001,0.00000,0.00001,0.00000,0.00001,0.00000,0.00000,0.00002,0.00000,
7                    6,0.00000,0.00007,0.00000,0.00000,0.00000,0.00001,0.00001,0.00002,0.00001,0.00000,0.00000,0.00000,0.00001,0.00000,0.00000,0.00002,0.00000,
8                    1,0.00000,0.00002,0.00000,0.00000,0.00000,0.00002,0.00001,0.00000,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00001,0.00000,
