
Factor Profiles (conc. of species) from Base Run #18 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4
18,mass,1.389300E+000,1.763100E+002,4.635200E+001,3.789800E+001
18,Na,3.463000E-001,0.000000E+000,0.000000E+000,0.000000E+000
18,Mg,2.430900E-001,1.247400E+000,0.000000E+000,3.018000E-001
18,Al,1.214700E+000,7.642400E+000,1.899500E+000,1.582200E+000
18,Si,2.608900E+000,2.077700E+001,3.126100E+000,4.424900E+000
18,P,0.000000E+000,1.448800E-002,6.820800E-002,0.000000E+000
18,S,3.676800E-001,1.205300E-001,7.666900E-001,1.368700E-001
18,Cl,1.228100E+000,7.410800E-001,1.715100E-001,1.746300E-001
18,K,1.140400E-001,1.948900E+000,1.298000E+000,5.229500E-001
18,Ca,5.777100E-001,4.351100E+000,9.085000E-001,9.773900E-001
18,Ti,3.389300E-002,6.615300E-001,1.529300E-001,1.344300E-001
18,V,2.862200E-006,1.069400E-002,3.699600E-003,2.051400E-003
18,Mn,8.141200E-004,1.147400E-001,1.993000E-002,2.246100E-002
18,Fe,1.378700E-001,6.016100E+000,1.513900E+000,1.221200E+000
18,Zn,5.056000E-003,3.833500E-002,4.562900E-002,7.857100E-003
18,Br,9.116400E-003,2.863400E-007,4.501900E-003,2.878500E-002
18,Pb,3.478100E-003,1.376900E-002,1.669500E-002,5.137000E-003

Factor Profiles (% of species sum) from Base Run #18 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4
18,mass,5.303698E-001,6.730692E+001,1.769503E+001,1.446768E+001
18,Na,1.000000E+002,0.000000E+000,0.000000E+000,0.000000E+000
18,Mg,1.356310E+001,6.959811E+001,0.000000E+000,1.683879E+001
18,Al,9.844556E+000,6.193795E+001,1.539453E+001,1.282296E+001
18,Si,8.432972E+000,6.715928E+001,1.010476E+001,1.430298E+001
18,P,0.000000E+000,1.751959E+001,8.248041E+001,0.000000E+000
18,S,2.641816E+001,8.660195E+000,5.508741E+001,9.834240E+000
18,Cl,5.304234E+001,3.200767E+001,7.407615E+000,7.542370E+000
18,K,2.936231E+000,5.017907E+001,3.342010E+001,1.346459E+001
18,Ca,8.477409E+000,6.384874E+001,1.333147E+001,1.434238E+001
18,Ti,3.448676E+000,6.731191E+001,1.556091E+001,1.367850E+001
18,V,1.740165E-002,6.501757E+001,2.249289E+001,1.247214E+001
18,Mn,5.154449E-001,7.264548E+001,1.261831E+001,1.422076E+001
18,Fe,1.551006E+000,6.767975E+001,1.703103E+001,1.373822E+001
18,Zn,5.218984E+000,3.957076E+001,4.709988E+001,8.110379E+000
18,Br,2.149912E+001,6.752731E-004,1.061679E+001,6.788341E+001
18,Pb,8.900154E+000,3.523367E+001,4.272105E+001,1.314513E+001

Factor Profiles (% of total variable) from Base Run #18 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4
18,mass,*,*,*,*
18,Na,2.492622E+001,0.000000E+000,0.000000E+000,0.000000E+000
18,Mg,1.749730E+001,7.075039E-001,0.000000E+000,7.963481E-001
18,Al,8.743252E+001,4.334638E+000,4.097989E+000,4.174891E+000
18,Si,1.877852E+002,1.178436E+001,6.744261E+000,1.167581E+001
18,P,0.000000E+000,8.217344E-003,1.471522E-001,0.000000E+000
18,S,2.646513E+001,6.836254E-002,1.654060E+000,3.611536E-001
18,Cl,8.839703E+001,4.203278E-001,3.700164E-001,4.607895E-001
18,K,8.208450E+000,1.105383E+000,2.800311E+000,1.379888E+000
18,Ca,4.158281E+001,2.467869E+000,1.960002E+000,2.579001E+000
18,Ti,2.439574E+000,3.752084E-001,3.299318E-001,3.547153E-001
18,V,2.060174E-004,6.065453E-003,7.981532E-003,5.412951E-003
18,Mn,5.859929E-002,6.507856E-002,4.299707E-002,5.926698E-002
18,Fe,9.923702E+000,3.412228E+000,3.266094E+000,3.222334E+000
18,Zn,3.639243E-001,2.174295E-002,9.844020E-002,2.073223E-002
18,Br,6.561866E-001,1.624071E-007,9.712418E-003,7.595388E-002
18,Pb,2.503491E-001,7.809540E-003,3.601786E-002,1.355480E-002
