
Residuals from Base Run #18 (Convergent Run)

Base_Run,Date_Time,mass,Na,Mg,Al,Si,P,S,Cl,K,Ca,Ti,V,Mn,Fe,Zn,Br,Pb
18,11/14/06 02:25,-1.429000E+001,-5.412000E-002,2.210000E-001,7.320000E-001,3.394000E+000,1.597000E-002,2.855000E-002,-1.180000E-001,-3.050000E-001,3.273000E-001,-6.239000E-002,1.969000E-003,-3.411000E-003,-2.060000E-001,-5.844000E-003,8.693000E-005,4.834000E-004
18,11/16/06 03:20,-3.079000E+000,-2.128000E-002,1.838000E-001,6.518000E-001,2.462000E+000,2.911000E-002,4.227000E-002,-1.134000E-001,-3.414000E-001,4.176000E-001,-3.813000E-002,-1.302000E-003,4.593000E-003,-7.261000E-002,-9.484000E-003,5.482000E-005,1.321000E-003
18,11/18/06 03:18,-6.869000E+000,9.721000E-002,1.035000E-001,2.960000E-001,1.208000E+000,4.125000E-003,3.541000E-002,-1.726000E-001,-2.133000E-001,-6.433000E-002,-1.626000E-002,-4.348000E-003,1.761000E-002,4.565000E-001,5.142000E-003,1.438000E-005,1.975000E-004
18,11/20/06 02:28,-1.513000E+001,-3.904000E-002,1.234000E-001,9.039000E-001,2.194000E+000,1.143000E-002,1.279000E-002,-3.268000E-002,-1.470000E-001,-2.233000E-001,-2.074000E-002,-4.191000E-004,2.858000E-003,-7.567000E-002,-4.616000E-003,1.156000E-004,-1.694000E-003
18,11/22/06 02:36,-7.924000E+000,3.918000E-003,5.210000E-002,-1.358000E-001,2.058000E-001,3.231000E-004,-1.328000E-001,1.349000E-001,6.314000E-002,-3.004000E-003,-4.076000E-002,-6.509000E-005,1.379000E-003,-2.537000E-001,1.370000E-002,4.920000E-004,1.151000E-003
18,11/24/06 02:30,8.013000E+000,-1.059000E-001,8.320000E-002,-7.136000E-002,2.704000E-001,9.675000E-003,-7.925000E-004,8.777000E-002,9.729000E-002,-6.017000E-002,-5.551000E-002,-4.697000E-004,1.155000E-002,-8.669000E-002,-4.001000E-003,4.201000E-005,-2.098000E-003
18,11/26/06 02:31,5.502000E-001,2.220000E-002,-1.028000E-001,1.394000E-001,-6.180000E-002,1.014000E-002,-1.074000E-001,1.330000E-001,-1.265000E-002,-1.718000E-002,-9.658000E-003,3.998000E-004,3.299000E-003,-5.385000E-002,1.590000E-003,1.932000E-003,-1.366000E-003
18,11/28/06 02:26,-1.020000E+001,3.049000E-003,2.348000E-002,1.143000E-001,-7.316000E-002,1.701000E-003,4.684000E-002,-2.010000E-002,-1.182000E-001,1.404000E-001,-2.429000E-002,6.341000E-004,3.072000E-003,-1.237000E-001,-1.576000E-003,-7.359000E-005,3.557000E-004
18,11/30/06 02:31,-1.656000E+000,6.873000E-002,6.358000E-002,-2.167000E-001,-4.084000E-001,9.476000E-004,1.381000E-001,-4.342000E-002,-1.359000E-002,3.894000E-001,-2.423000E-002,-7.056000E-004,6.685000E-003,-2.412000E-001,-4.524000E-003,-3.122000E-004,2.752000E-003
18,12/04/06 02:53,-7.144000E+000,3.735000E-002,4.272000E-002,-2.122000E-001,-4.840000E-001,-2.282000E-003,1.766000E-002,-2.123000E-002,-1.803000E-001,1.647000E-001,-2.937000E-002,1.641000E-003,-1.923000E-004,1.341000E-001,3.972000E-003,-4.106000E-005,1.123000E-003
18,12/06/06 02:55,-5.352000E+000,-1.494000E-001,3.317000E-001,1.053000E+000,2.806000E+000,-5.532000E-003,4.101000E-001,-9.022000E-002,-7.954000E-002,1.447000E-001,-5.966000E-002,-1.242000E-003,-4.871000E-003,-5.526000E-001,-2.209000E-003,-4.473000E-004,-4.581000E-003
18,12/08/06 02:45,-1.137000E+001,2.281000E-001,3.846000E-001,9.992000E-001,2.832000E+000,6.580000E-003,4.860000E-001,-5.985000E-002,1.383000E-001,-1.098000E-001,-2.426000E-002,-2.684000E-004,-7.566000E-003,-3.386000E-001,-1.351000E-002,-2.164000E-003,-4.823000E-003
18,12/10/06 02:48,-4.278000E+001,-1.249000E-001,4.027000E-001,-1.203000E+000,1.497000E+000,6.475000E-004,-2.689000E-001,2.778000E-001,1.324000E+000,-1.739000E-002,-9.816000E-002,8.267000E-006,6.530000E-003,-3.831000E-001,1.311000E-002,-2.343000E-004,-2.426000E-003
18,12/12/06 02:49,-1.013000E+001,-4.415000E-003,2.291000E-001,-2.389000E-001,1.146000E+000,-7.416000E-003,1.419000E-001,-1.226000E-001,3.964000E-001,-8.433000E-002,-5.221000E-002,1.471000E-003,-3.437000E-003,-2.788000E-001,-3.648000E-003,-9.491000E-004,2.757000E-003
18,12/14/06 02:50,-5.061000E+000,-8.637000E-003,-4.744000E-002,3.881000E-001,7.590000E-001,3.703000E-003,-8.615000E-002,4.780000E-002,-1.280000E-001,-2.506000E-001,1.163000E-002,-1.487000E-003,2.525000E-003,1.498000E-001,1.047000E-002,4.115000E-003,-3.928000E-003
18,12/16/06 02:39,-7.071000E+000,1.051000E-001,-3.638000E-002,8.210000E-001,1.182000E+000,2.184000E-002,4.873000E-002,-3.439000E-002,-3.625000E-001,-4.048000E-001,3.639000E-002,2.437000E-003,4.960000E-004,6.875000E-002,-7.205000E-003,2.473000E-003,-2.718000E-003
18,12/18/06 02:36,6.733000E+000,3.199000E-002,-1.641000E-002,5.347000E-001,1.503000E+000,6.302000E-003,1.593000E-001,-7.492000E-002,2.327000E-002,-3.052000E-001,2.712000E-002,-5.378000E-004,8.132000E-004,-8.136000E-002,-1.141000E-002,-2.362000E-004,3.115000E-003
18,12/20/06 02:55,-3.309000E+000,1.438000E-001,7.534000E-002,1.214000E-001,1.023000E+000,9.844000E-003,1.234000E-001,-1.165000E-001,-1.175000E-001,-4.504000E-002,-4.935000E-003,2.803000E-005,-5.476000E-004,-1.642000E-001,-5.001000E-003,-1.184000E-004,-7.705000E-004
18,12/22/06 02:57,3.819000E+000,-1.237000E-001,-9.926000E-002,4.496000E-002,3.577000E-001,-8.800000E-003,2.040000E-001,8.687000E-002,1.130000E-002,-1.056000E-001,7.942000E-003,7.599000E-004,3.307000E-003,5.226000E-002,-6.459000E-003,-9.924000E-005,1.475000E-004
18,12/24/06 04:00,1.883000E+001,1.849000E-001,-1.155000E-001,-4.466000E-001,-6.085000E-001,-3.746000E-003,1.288000E-001,6.377000E-002,1.758000E-001,1.682000E-001,2.678000E-002,-3.645000E-004,4.460000E-003,1.881000E-001,-8.863000E-003,-5.342000E-006,-9.836000E-004
18,12/26/06 02:52,1.024000E+001,3.196000E-001,3.093000E-002,-3.217000E-001,-5.873000E-001,-3.859000E-003,2.295000E-001,-1.161000E-001,6.254000E-001,1.808000E-001,1.954000E-002,-1.626000E-003,2.523000E-003,-6.392000E-002,-7.403000E-003,-3.607000E-003,6.271000E-004
18,12/30/06 03:04,9.523000E+000,-7.031000E-002,-7.820000E-002,-5.855000E-001,-1.366000E+000,3.209000E-003,-2.606000E-001,2.541000E-001,-1.310000E-001,7.465000E-001,1.093000E-002,1.809000E-003,-1.780000E-003,4.416000E-001,1.335000E-002,6.611000E-004,-2.050000E-003
18,01/01/07 03:27,-2.326000E+001,8.070000E-003,3.922000E-001,2.384000E-001,6.205000E-001,-2.730000E-002,-5.146000E-002,-4.891000E-002,9.276000E-002,-1.636000E-001,-8.318000E-002,-3.713000E-003,-1.267000E-002,-6.851000E-001,4.871000E-002,-2.563000E-003,3.633000E-002
18,01/03/07 03:25,1.465000E+002,1.098000E-001,-8.882000E-001,-5.059000E+000,-1.169000E+001,1.133000E-001,-8.522000E-002,-2.486000E-001,4.758000E-001,2.692000E+000,4.014000E-001,1.796000E-002,1.547000E-001,4.543000E+000,-2.019000E-002,2.160000E-003,-5.742000E-003
18,01/05/07 02:58,4.415000E+002,4.845000E-002,-1.281000E+000,-6.623000E+000,-1.375000E+001,3.207000E-002,-5.983000E-002,8.217000E-002,3.345000E-001,5.181000E+000,4.158000E-001,2.409000E-002,1.352000E-001,6.515000E+000,-1.746000E-002,1.544000E-003,8.926000E-003
18,01/07/07 02:53,-1.716000E+001,-4.285000E-002,-3.582000E-001,-3.006000E-002,-4.392000E+000,2.607000E-002,-1.496000E-001,3.677000E-001,2.986000E-002,3.424000E-001,1.373000E-001,-2.172000E-004,-8.548000E-003,2.614000E-001,8.569000E-003,7.689000E-004,-3.291000E-003
18,01/09/07 02:25,-9.164000E-001,-4.050000E-002,1.148000E-001,8.221000E-001,1.248000E+000,-1.983000E-002,9.857000E-002,4.326000E-002,-5.630000E-001,-1.875000E+000,1.698000E-001,6.511000E-003,1.170000E-002,5.040000E-001,1.965000E-002,6.831000E-005,-1.951000E-002
18,01/11/07 02:28,6.054000E+000,-1.004000E-001,-1.677000E-001,9.635000E-001,1.026000E+000,2.292000E-002,-6.276000E-002,6.974000E-001,-9.238000E-001,-2.101000E+000,1.436000E-001,7.317000E-003,4.751000E-003,8.070000E-001,3.577000E-003,1.488000E-003,-6.011000E-003
18,01/13/07 02:51,-1.601000E+001,-4.419000E-002,-9.727000E-002,-2.724000E+000,-4.552000E+000,-3.415000E-002,6.109000E-002,1.024000E-001,3.072000E-001,3.639000E+000,-1.248000E-001,2.102000E-003,-1.137000E-002,7.354000E-002,1.710000E-002,-8.395000E-004,-2.932000E-005
18,01/15/07 02:43,1.644000E+002,1.869000E-002,1.773000E-001,4.304000E-001,1.196000E+000,6.473000E-003,4.167000E-002,-6.248000E-002,2.001000E-001,2.964000E-002,-1.074000E-003,-7.903000E-004,1.669000E-002,-3.068000E-001,-1.246000E-002,-2.111000E-004,-5.674000E-003
18,01/17/07 02:40,2.044000E+001,4.767000E-002,-6.650000E-001,1.021000E-001,-5.053000E+000,1.752000E-002,-2.075000E-001,1.848000E-001,6.121000E-001,-1.615000E+000,2.350000E-001,5.568000E-003,3.933000E-003,1.199000E+000,6.091000E-002,2.023000E-003,3.120000E-003
18,01/19/07 03:06,-2.597000E+001,3.959000E-002,-2.208000E-001,1.237000E+000,-2.086000E+000,-1.646000E-002,-3.651000E-003,-1.220000E-001,-2.773000E-002,-6.282000E-001,2.173000E-001,-5.747000E-003,1.499000E-002,1.393000E+000,2.236000E-002,3.654000E-005,2.805000E-004
18,01/21/07 02:59,2.124000E+001,-2.052000E-002,-4.131000E-001,-1.645000E+000,-5.547000E+000,-2.020000E-003,-6.357000E-002,2.238000E-001,1.550000E-001,-1.282000E-001,9.024000E-002,6.857000E-003,-3.100000E-003,9.139000E-001,4.391000E-003,4.809000E-004,8.623000E-003
18,01/23/07 05:16,-1.037000E+001,-1.145000E-001,3.462000E-001,7.307000E-001,3.381000E+000,-2.771000E-002,5.007000E-001,-4.092000E-001,4.101000E-001,-1.307000E-001,-3.855000E-002,1.448000E-003,3.020000E-003,-7.738000E-001,-9.338000E-003,-1.166000E-003,-2.272000E-003
18,01/25/07 03:02,-6.129000E+000,-1.614000E-001,7.153000E-002,6.229000E-001,2.426000E+000,6.910000E-003,1.444000E-001,-2.548000E-002,1.438000E-001,-1.000000E-001,-6.150000E-003,4.521000E-004,-9.646000E-004,-3.067000E-001,-8.464000E-003,-2.234000E-004,-5.547000E-003
18,01/27/07 02:55,4.612000E-002,-2.796000E-001,2.220000E-001,4.310000E-001,2.112000E+000,-3.097000E-003,2.686000E-001,-8.039000E-002,1.791000E-001,-7.366000E-002,-1.714000E-002,-6.672000E-004,-2.241000E-003,-3.536000E-001,-5.413000E-003,-3.091000E-004,-3.590000E-003
18,01/29/07 03:00,-1.136000E+001,-2.902000E-001,3.697000E-001,1.832000E+000,3.996000E+000,5.790000E-003,1.595000E-001,-1.112000E-001,-2.448000E-001,1.466000E-001,-1.990000E-002,-1.358000E-003,-1.011000E-002,-6.536000E-001,-5.026000E-004,-1.425000E-004,-3.305000E-003
18,01/31/07 02:59,1.158000E+000,1.942000E-001,4.170000E-002,1.869000E-001,1.543000E-001,1.160000E-002,-2.080000E-002,-1.133000E-001,-2.219000E-001,-1.526000E-001,4.213000E-002,2.478000E-004,-9.478000E-004,3.152000E-002,1.451000E-003,5.700000E-004,-2.666000E-003
18,02/02/07 02:41,2.856000E-001,1.887000E-001,5.303000E-002,3.065000E-001,5.394000E-001,1.242000E-002,3.864000E-002,-1.080000E-001,-1.342000E-001,4.663000E-002,2.076000E-002,-2.353000E-004,-4.136000E-003,5.712000E-002,-2.033000E-003,1.375000E-004,-3.882000E-003
18,02/04/07 02:45,5.551000E-001,3.940000E-002,-8.357000E-002,7.487000E-001,1.030000E+000,1.353000E-002,-1.006000E-001,1.181000E-001,-8.717000E-002,-3.702000E-001,6.561000E-002,1.326000E-003,-4.120000E-003,7.733000E-002,-5.751000E-003,3.709000E-004,-7.080000E-004
18,02/16/07 02:20,1.451000E+000,-5.287000E-002,-5.173000E-002,2.007000E-001,-3.660000E-001,9.008000E-004,-4.677000E-003,4.501000E-002,-7.696000E-002,2.717000E-002,3.677000E-002,-1.047000E-003,1.126000E-005,1.714000E-001,8.899000E-004,6.816000E-005,-4.226000E-004
18,02/18/07 02:08,-2.728000E+000,-2.168000E-001,-3.011000E-001,2.452000E-001,-3.868000E-001,9.396000E-003,-2.423000E-001,6.908000E-001,-7.985000E-002,3.649000E-001,4.371000E-002,9.803000E-004,-5.718000E-003,2.399000E-001,7.246000E-003,7.041000E-004,2.802000E-003
18,02/20/07 02:12,1.272000E+001,5.415000E-001,-2.296000E-001,-4.742000E-001,-1.417000E+000,-6.002000E-003,-2.427000E-001,1.073000E+000,4.112000E-002,5.234000E-002,4.658000E-002,8.576000E-004,3.107000E-003,1.958000E-001,1.229000E-002,8.439000E-004,5.458000E-004
18,02/24/07 02:17,8.865000E+000,1.173000E-001,-7.102000E-003,-7.522000E-002,-1.505000E+000,-1.519000E-002,-1.283000E-001,1.316000E-001,2.086000E-001,-3.503000E-001,7.840000E-003,1.197000E-003,-1.425000E-003,1.245000E-001,2.713000E-002,-1.279000E-004,4.593000E-003
18,02/26/07 00:17,-8.003000E+000,-1.229000E-002,1.769000E-001,1.633000E-001,-2.292000E+000,-4.686000E-003,-1.500000E-001,1.354000E-001,1.090000E-001,1.240000E-002,7.727000E-003,2.497000E-003,-7.979000E-003,4.736000E-002,2.029000E-003,-2.312000E-004,2.888000E-002
18,02/28/07 00:09,2.617000E+000,2.167000E-002,1.777000E-001,2.394000E-002,-3.006000E+000,-4.228000E-003,7.853000E-002,-7.332000E-002,2.508000E-001,5.374000E-001,2.113000E-002,1.662000E-003,-7.369000E-003,1.564000E-001,1.407000E-003,-6.781000E-005,-5.295000E-003
18,11/14/07 04:30,6.330000E+000,7.854000E-002,-4.226000E-002,-5.827000E-001,6.860000E-002,7.862000E-003,-2.162000E-001,2.875000E-001,-2.427000E-001,2.363000E-001,-1.473000E-002,4.904000E-004,2.892000E-003,6.900000E-002,6.826000E-003,4.709000E-003,5.934000E-003
18,12/08/07 03:43,5.399000E+000,-4.852000E-002,2.025000E-002,-2.725000E-001,2.421000E-001,-1.112000E-002,-1.162000E-001,1.060000E-001,3.911000E-001,-5.928000E-002,-2.634000E-002,9.399000E-004,-3.743000E-003,-4.625000E-002,1.384000E-002,-2.284000E-004,3.020000E-003
18,12/14/07 04:03,1.630000E+000,-2.460000E-002,-9.018000E-002,-2.211000E-001,-2.169000E-001,8.017000E-003,-1.689000E-001,1.235000E-001,-2.549000E-001,3.018000E-001,5.421000E-003,8.102000E-004,-5.867000E-004,2.339000E-001,3.988000E-003,7.086000E-003,-2.806000E-006
18,12/26/07 03:15,2.526000E+001,-1.718000E-001,6.119000E-002,1.170000E+000,4.475000E+000,-2.755000E-002,2.522000E-001,-1.124000E-001,2.733000E-001,-6.861000E-001,2.056000E-002,-1.359000E-003,-1.247000E-002,2.984000E-001,-5.902000E-003,-7.594000E-004,2.978000E-003
18,01/01/08 03:06,2.475000E+001,2.647000E-002,2.594000E-001,4.256000E-002,2.237000E+000,-2.020000E-002,1.150000E-001,-1.611000E-001,9.967000E-001,-3.413000E-001,-4.099000E-002,-2.375000E-003,-1.149000E-003,-2.367000E-001,1.732000E-002,-3.094000E-003,1.576000E-002
18,01/07/08 02:43,-1.378000E+001,-1.642000E-001,5.832000E-001,1.241000E+000,-3.885000E+000,-1.235000E-002,1.901000E-002,-1.648000E-002,1.819000E+000,3.281000E-001,3.063000E-002,-1.125000E-003,-2.329000E-002,-3.715000E-001,6.190000E-003,-1.697000E-003,-5.426000E-003
