**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 18

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,  1.38930,  0.44676,  3.09655,  5.13575, 28.30675, 41.38000, 13.53462, 13.80320,  1.01984,  9.93537
Na,  0.34630,  0.30168,  0.30497,  0.31372,  0.34559,  0.34651,  0.32406,  0.02030,  0.06264,  0.05862
Mg,  0.24309,  0.13281,  0.15452,  0.23714,  0.39180,  0.51345,  0.27285,  0.12188,  0.44669,  0.50138
Al,  1.21470,  1.13900,  1.20300,  1.30590,  2.27983,  2.79510,  1.66647,  0.60129,  0.36082,  0.49501
Si,  2.60890,  1.93040,  2.19958,  2.62190,  5.51053,  6.98300,  3.64193,  1.75820,  0.48277,  0.67392
P,  0.00000,  0.00000,  0.00001,  0.00803,  0.01660,  0.01775,  0.00844,  0.00773,  0.91550,  0.00000
S,  0.36768,  0.28151,  0.32955,  0.45443,  0.47442,  0.49957,  0.41006,  0.07489,  0.18264,  0.20369
Cl,  1.22810,  1.07750,  1.10790,  1.20065,  1.23338,  1.37310,  1.19526,  0.09131,  0.07639,  0.07435
K,  0.11404,  0.06136,  0.22189,  0.29674,  0.34175,  0.67587,  0.30627,  0.14389,  0.46980,  1.26172
Ca,  0.57771,  0.48009,  0.53388,  0.60266,  1.17303,  1.48090,  0.80962,  0.35325,  0.43631,  0.61146
Ti,  0.03389,  0.03103,  0.03416,  0.04218,  0.13299,  0.17824,  0.07683,  0.05263,  0.68508,  1.55291
V,  0.00000,  0.00000,  0.00033,  0.00053,  0.00168,  0.00270,  0.00089,  0.00081,  0.90954,281.33574
Mn,  0.00081,  0.00000,  0.00067,  0.00145,  0.01814,  0.02539,  0.00804,  0.00949,  1.17976, 11.65589
Fe,  0.13787,  0.12342,  0.19044,  0.26086,  1.07020,  1.49880,  0.55264,  0.47318,  0.85621,  3.43206
Zn,  0.00506,  0.00449,  0.00842,  0.01073,  0.01396,  0.02070,  0.01125,  0.00415,  0.36878,  0.82035
Br,  0.00912,  0.00000,  0.00001,  0.00065,  0.00803,  0.01162,  0.00366,  0.00422,  1.15221,  0.46320
Pb,  0.00348,  0.00254,  0.00394,  0.00558,  0.00596,  0.00823,  0.00520,  0.00141,  0.27193,  0.40638

Factor 2,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,176.31000,146.64000,152.09000,157.19500,167.80000,182.33000,160.17250,  9.97718,  0.06229,  0.05659
Na,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Mg,  1.24740,  1.10480,  1.14553,  1.17225,  1.24050,  1.29700,  1.18576,  0.05380,  0.04537,  0.04313
Al,  7.64240,  6.35500,  6.59258,  6.81380,  7.28973,  7.89810,  6.94517,  0.43396,  0.06248,  0.05678
Si, 20.77700, 17.66700, 18.32675, 18.93900, 20.14700, 21.35900, 19.18950,  1.06945,  0.05573,  0.05147
P,  0.01449,  0.00000,  0.00000,  0.00007,  0.00547,  0.01857,  0.00360,  0.00575,  1.59820,  0.39720
S,  0.12053,  0.00000,  0.00686,  0.01168,  0.02561,  0.16431,  0.03190,  0.04817,  1.50971,  0.39962
Cl,  0.74108,  0.62549,  0.64843,  0.66927,  0.70943,  0.76499,  0.67977,  0.03907,  0.05748,  0.05273
K,  1.94890,  1.52170,  1.57480,  1.62860,  1.79363,  2.05800,  1.68447,  0.14363,  0.08527,  0.07370
Ca,  4.35110,  3.67340,  3.80920,  3.93685,  4.17990,  4.48650,  3.99450,  0.22996,  0.05757,  0.05285
Ti,  0.66153,  0.55120,  0.57189,  0.59105,  0.63278,  0.68305,  0.60222,  0.03728,  0.06191,  0.05636
V,  0.01069,  0.00866,  0.00899,  0.00929,  0.01003,  0.01111,  0.00954,  0.00068,  0.07145,  0.06374
Mn,  0.11474,  0.09644,  0.10008,  0.10343,  0.11078,  0.11811,  0.10518,  0.00625,  0.05940,  0.05445
Fe,  6.01610,  4.99130,  5.17840,  5.35210,  5.73493,  6.21860,  5.45943,  0.34539,  0.06327,  0.05741
Zn,  0.03834,  0.02568,  0.02661,  0.02754,  0.03237,  0.04161,  0.02984,  0.00446,  0.14964,  0.11647
Br,  0.00000,  0.00000,  0.00000,  0.00815,  0.00912,  0.00953,  0.00557,  0.00428,  0.76739,14933.44668
Pb,  0.01377,  0.00995,  0.01023,  0.01053,  0.01175,  0.01494,  0.01117,  0.00136,  0.12140,  0.09850

Factor 3,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 46.35200, 42.54100, 48.01025, 56.69200, 80.33725, 92.09300, 62.71390, 16.72440,  0.26668,  0.36081
Na,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Mg,  0.00000,  0.00000,  0.00000,  0.06135,  0.25080,  0.32929,  0.11354,  0.12635,  1.11283,  0.00000
Al,  1.89950,  1.70980,  1.97863,  2.34640,  3.38768,  3.88260,  2.61042,  0.73223,  0.28050,  0.38549
Si,  3.12610,  2.74430,  3.28213,  4.17820,  7.14945,  8.31940,  5.04793,  2.03567,  0.40327,  0.65118
P,  0.06821,  0.06404,  0.06532,  0.06870,  0.07325,  0.07936,  0.06988,  0.00526,  0.07526,  0.07710
S,  0.76669,  0.71486,  0.72157,  0.76610,  0.83281,  0.86669,  0.77642,  0.05591,  0.07201,  0.07292
Cl,  0.17151,  0.16357,  0.17581,  0.21040,  0.31455,  0.35904,  0.23963,  0.06965,  0.29066,  0.40612
K,  1.29800,  1.27580,  1.32393,  1.43115,  1.60110,  1.85440,  1.47779,  0.16881,  0.11423,  0.13005
Ca,  0.90850,  0.84307,  0.93798,  1.13445,  1.75395,  2.00960,  1.31001,  0.41534,  0.31705,  0.45717
Ti,  0.15293,  0.13575,  0.15997,  0.19088,  0.28291,  0.32402,  0.21452,  0.06387,  0.29773,  0.41762
V,  0.00370,  0.00332,  0.00386,  0.00445,  0.00572,  0.00659,  0.00470,  0.00102,  0.21640,  0.27512
Mn,  0.01993,  0.01679,  0.02116,  0.02601,  0.04250,  0.04918,  0.03062,  0.01132,  0.36964,  0.56791
Fe,  1.51390,  1.35240,  1.58053,  1.87110,  2.68650,  3.08080,  2.07440,  0.57802,  0.27865,  0.38181
Zn,  0.04563,  0.04330,  0.04664,  0.04918,  0.05130,  0.05873,  0.04932,  0.00400,  0.08117,  0.08773
Br,  0.00450,  0.00000,  0.00003,  0.00109,  0.00443,  0.01793,  0.00353,  0.00526,  1.49028,  1.16793
Pb,  0.01670,  0.01615,  0.01680,  0.01790,  0.01860,  0.02104,  0.01794,  0.00127,  0.07090,  0.07619

Factor 4,,Statistics Over All Runs
