
Factor Contributions (avg = 1) from Base Run #2 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5
2,11/12/06 06:43,9.066700E-001,1.228800E+000,1.093600E+000,2.517800E+000,-1.377200E-001
2,11/14/06 03:18,7.970800E-001,1.314700E+000,5.278300E-001,2.477400E+000,-7.690100E-002
2,11/16/06 04:08,1.097200E+000,1.072700E+000,1.034200E+000,1.974800E+000,-1.605800E-002
2,11/18/06 04:01,1.114900E+000,1.142900E+000,1.108900E+000,1.761300E+000,4.499000E-002
2,11/20/06 03:11,6.494700E-001,1.408700E+000,4.978600E-001,2.900300E+000,4.397700E-002
2,11/22/06 03:22,1.063800E+000,1.195900E+000,7.962000E-001,1.832400E+000,1.233700E+000
2,11/26/06 03:04,9.639900E-001,6.028200E-001,9.146200E-001,1.135700E+000,1.168300E+000
2,11/28/06 03:01,1.027100E+000,-1.453500E-001,1.604600E+000,5.487500E-001,2.691100E+000
2,11/30/06 03:08,1.521100E+000,5.448900E-002,2.479700E+000,4.942400E-001,6.030800E-001
2,12/02/06 05:11,1.090100E+000,4.624400E-001,1.951400E+000,3.825000E-001,9.088900E-001
2,12/04/06 05:21,1.815400E+000,-1.659400E-001,2.738400E+000,7.193800E-001,2.046900E+000
2,12/06/06 03:32,2.647600E+000,-2.000000E-001,3.635200E+000,1.991300E+000,7.837900E-001
2,12/08/06 03:28,1.518800E+000,-2.000000E-001,3.385700E+000,1.764400E+000,1.570700E+000
2,12/10/06 03:20,1.631300E+000,2.095100E-001,3.337100E+000,1.614100E-001,1.148900E+000
2,12/12/06 03:18,1.387200E+000,6.138200E-001,2.577900E+000,1.690800E+000,1.261900E+000
2,12/14/06 03:19,1.207700E+000,3.497000E-001,2.018300E+000,1.216300E+000,2.473500E+000
2,12/16/06 03:09,1.136800E+000,5.772400E-002,2.240000E+000,9.108500E-001,1.962700E+000
2,12/18/06 03:10,1.255700E+000,1.112700E-001,2.802900E+000,1.033200E+000,1.063500E+000
2,12/20/06 03:26,1.351800E+000,9.590300E-001,2.583000E+000,9.422900E-001,1.298900E+000
2,12/22/06 03:29,1.158400E+000,9.629400E-001,2.520000E+000,7.548400E-001,6.948800E-001
2,12/24/06 04:27,1.985400E+000,2.386300E-001,3.109000E+000,1.267000E-001,1.198000E+000
2,12/26/06 03:20,1.225800E+000,4.516600E-001,3.473100E+000,4.492400E-001,3.663200E+000
2,12/28/06 03:22,1.588900E+000,9.265900E-001,2.726000E+000,2.345300E-001,1.725000E+000
2,01/01/07 03:20,1.567200E+000,7.476200E-001,2.477700E+000,4.029300E+000,3.833000E+000
2,01/03/07 03:07,1.358400E+000,-2.000000E-001,-2.000000E-001,1.295700E+001,-2.000000E-001
2,01/05/07 02:54,1.512600E+000,1.861400E-001,-1.958700E-001,1.531700E+001,9.314400E-001
2,01/07/07 03:09,1.512000E+000,3.913700E-001,1.570900E+000,6.991600E+000,7.422600E-001
2,01/09/07 03:02,1.330100E+000,-2.000000E-001,1.790900E+000,9.841300E+000,-2.000000E-001
2,01/11/07 02:55,1.490500E+000,-2.000000E-001,2.270700E+000,8.094500E+000,2.710000E+000
2,01/13/07 03:27,1.373400E+000,1.690600E-001,7.383500E-001,8.714300E+000,3.030800E-001
2,01/15/07 03:19,1.683800E+000,4.947500E-002,1.094500E-001,1.147700E+001,1.343900E-001
2,01/17/07 03:14,1.942900E+000,1.127300E-001,1.200300E+000,7.553000E+000,9.879200E-001
2,01/19/07 03:40,1.512700E+000,-1.658900E-001,6.608200E-001,8.549200E+000,6.560600E-001
2,01/21/07 03:30,1.461400E+000,3.611800E-001,8.065400E-001,8.839100E+000,2.207400E+000
