
Factor Profiles (conc. of species) from Base Run #2 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5
2,mass,1.496500E+001,4.648700E+000,6.684700E+000,3.217900E+001,1.048500E+000
2,Na,0.000000E+000,1.919600E-001,4.536900E-002,0.000000E+000,1.481300E-002
2,Mg,3.431400E-002,1.701900E-002,3.108300E-002,3.341100E-001,7.176500E-003
2,Al,4.085500E-001,1.309900E-003,1.391300E-001,2.390900E+000,1.571400E-002
2,Si,8.600200E-001,0.000000E+000,3.231400E-001,5.376800E+000,1.302000E-002
2,P,7.234600E-004,1.804800E-003,1.295600E-002,6.672300E-003,0.000000E+000
2,S,5.812200E-002,1.695900E-001,4.184600E-001,7.581300E-002,3.904000E-002
2,Cl,0.000000E+000,3.497300E-001,0.000000E+000,2.254100E-001,0.000000E+000
2,K,3.820200E-001,1.456500E-001,3.091200E-001,5.042100E-001,4.886200E-002
2,Ca,1.582900E-001,3.703700E-002,6.382300E-002,7.786100E-001,1.596400E-003
2,Ti,2.710700E-002,9.950100E-004,8.754500E-003,1.537500E-001,3.508000E-004
2,V,9.040600E-004,2.720700E-004,4.003600E-004,2.221100E-003,6.047800E-005
2,Mn,5.571800E-003,5.623800E-004,1.298400E-003,2.190600E-002,1.850200E-004
2,Fe,2.679900E-001,1.275400E-002,8.022300E-002,1.331800E+000,0.000000E+000
2,Zn,1.529300E-002,5.286800E-003,2.368000E-003,7.109500E-003,2.541700E-003
2,Br,0.000000E+000,4.861700E-003,0.000000E+000,3.043800E-003,1.909200E-002
2,Pb,9.282200E-003,3.319600E-003,1.535400E-004,2.926200E-003,1.740900E-003
2,BC,2.222300E+000,5.636200E-001,1.472100E-001,0.000000E+000,1.630900E-001

Factor Profiles (% of species sum) from Base Run #2 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5
2,mass,2.514032E+001,7.809542E+000,1.122990E+001,5.405882E+001,1.761418E+000
2,Na,0.000000E+000,7.613171E+001,1.799343E+001,0.000000E+000,5.874864E+000
2,Mg,8.098607E+000,4.016734E+000,7.336043E+000,7.885486E+001,1.693759E+000
2,Al,1.382289E+001,4.431920E-002,4.707329E+000,8.089379E+001,5.316680E-001
2,Si,1.308417E+001,0.000000E+000,4.916187E+000,8.180156E+001,1.980837E-001
2,P,3.265218E+000,8.145669E+000,5.847478E+001,3.011433E+001,0.000000E+000
2,S,7.637331E+000,2.228442E+001,5.498637E+001,9.961959E+000,5.129923E+000
2,Cl,0.000000E+000,6.080780E+001,0.000000E+000,3.919220E+001,0.000000E+000
2,K,2.748618E+001,1.047946E+001,2.224106E+001,3.627770E+001,3.515601E+000
2,Ca,1.522962E+001,3.563455E+000,6.140627E+000,7.491270E+001,1.535950E-001
2,Ti,1.419532E+001,5.210641E-001,4.584533E+000,8.051538E+001,1.837060E-001
2,V,2.343297E+001,7.051975E+000,1.037721E+001,5.757027E+001,1.567572E+000
2,Mn,1.887236E+001,1.904849E+000,4.397838E+000,7.419827E+001,6.266851E-001
2,Fe,1.583148E+001,7.534410E-001,4.739164E+000,7.867592E+001,0.000000E+000
2,Zn,4.691248E+001,1.621768E+001,7.264027E+000,2.180895E+001,7.796865E+000
2,Br,0.000000E+000,1.800796E+001,0.000000E+000,1.127438E+001,7.071766E+001
2,Pb,5.327727E+001,1.905359E+001,8.812773E-001,1.679558E+001,9.992286E+000
2,BC,7.177461E+001,1.820349E+001,4.754507E+000,0.000000E+000,5.267391E+000

Factor Profiles (% of total variable) from Base Run #2 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5
2,mass,*,*,*,*,*
2,Na,0.000000E+000,4.129326E+000,6.786991E-001,0.000000E+000,1.412780E+000
2,Mg,2.292950E-001,3.661023E-001,4.649872E-001,1.038286E+000,6.844540E-001
2,Al,2.730037E+000,2.817777E-002,2.081320E+000,7.430001E+000,1.498712E+000
2,Si,5.746876E+000,0.000000E+000,4.834024E+000,1.670903E+001,1.241774E+000
2,P,4.834347E-003,3.882376E-002,1.938157E-001,2.073495E-002,0.000000E+000
2,S,3.883862E-001,3.648117E+000,6.259967E+000,2.355977E-001,3.723414E+000
2,Cl,0.000000E+000,7.523179E+000,0.000000E+000,7.004879E-001,0.000000E+000
2,K,2.552757E+000,3.133134E+000,4.624291E+000,1.566891E+000,4.660181E+000
2,Ca,1.057735E+000,7.967173E-001,9.547623E-001,2.419621E+000,1.522556E-001
2,Ti,1.811360E-001,2.140405E-002,1.309633E-001,4.777961E-001,3.345732E-002
2,V,6.041163E-003,5.852604E-003,5.989199E-003,6.902328E-003,5.768050E-003
2,Mn,3.723221E-002,1.209758E-002,1.942346E-002,6.807546E-002,1.764616E-002
2,Fe,1.790779E+000,2.743563E-001,1.200099E+000,4.138724E+000,0.000000E+000
2,Zn,1.021918E-001,1.137264E-001,3.542418E-002,2.209360E-002,2.424130E-001
2,Br,0.000000E+000,1.045819E-001,0.000000E+000,9.458964E-003,1.820887E+000
2,Pb,6.202606E-002,7.140921E-002,2.296887E-003,9.093508E-003,1.660372E-001
2,BC,1.484998E+001,1.212425E+001,2.202193E+000,0.000000E+000,1.555460E+001
