**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 2

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 14.96500,  9.25850, 10.79675, 11.46750, 14.89950, 15.12900, 12.27136,  1.98052,  0.16139,  0.13234
Na,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.01453,  0.00142,  0.00437,  3.07894,  0.00000
Mg,  0.03431,  0.00000,  0.00000,  0.02474,  0.03414,  0.03480,  0.02006,  0.01414,  0.70473,  0.41198
Al,  0.40855,  0.12157,  0.14260,  0.29645,  0.40686,  0.41333,  0.28019,  0.10954,  0.39094,  0.26811
Si,  0.86002,  0.22720,  0.26650,  0.61820,  0.85637,  0.87025,  0.57679,  0.24517,  0.42506,  0.28508
P,  0.00072,  0.00000,  0.00021,  0.00028,  0.00066,  0.00077,  0.00035,  0.00026,  0.76021,  0.36478
S,  0.05812,  0.03943,  0.04363,  0.04824,  0.05747,  0.07679,  0.05163,  0.01024,  0.19837,  0.17622
Cl,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
K,  0.38202,  0.26182,  0.28743,  0.30422,  0.37956,  0.38658,  0.32476,  0.04707,  0.14495,  0.12322
Ca,  0.15829,  0.06055,  0.07480,  0.11499,  0.15762,  0.16012,  0.11377,  0.03552,  0.31219,  0.22439
Ti,  0.02711,  0.00849,  0.01012,  0.01960,  0.02700,  0.02742,  0.01872,  0.00704,  0.37603,  0.25975
V,  0.00090,  0.00053,  0.00064,  0.00069,  0.00090,  0.00091,  0.00073,  0.00013,  0.17420,  0.14051
Mn,  0.00557,  0.00259,  0.00329,  0.00413,  0.00555,  0.00563,  0.00421,  0.00104,  0.24719,  0.18663
Fe,  0.26799,  0.09944,  0.12223,  0.19452,  0.26691,  0.27102,  0.19126,  0.06182,  0.32320,  0.23066
Zn,  0.01529,  0.01097,  0.01206,  0.01303,  0.01527,  0.01673,  0.01357,  0.00181,  0.13356,  0.11850
Br,  0.00000,  0.00000,  0.00000,  0.00000,  0.00335,  0.00374,  0.00136,  0.00172,  1.25838,  0.00000
Pb,  0.00928,  0.00674,  0.00739,  0.00805,  0.00927,  0.01038,  0.00833,  0.00110,  0.13175,  0.11818
BC,  2.22230,  1.56580,  1.73563,  1.95220,  2.21885,  2.55110,  1.99030,  0.29041,  0.14591,  0.13068

