
Factor Contributions (avg = 1) from Base Run #9 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5
9,11/14/06 03:18,1.441600E+000,-1.994800E-001,2.341700E-001,1.109400E+000,1.971400E-001
9,11/16/06 04:08,1.055500E+000,-7.415400E-002,2.777400E-001,1.294500E+000,1.410600E-001
9,11/18/06 04:01,9.047400E-001,2.835000E-002,4.407900E-001,1.260000E+000,8.964000E-002
9,11/20/06 03:11,1.525300E+000,-7.422500E-002,4.598100E-001,9.485100E-001,3.465100E-001
9,11/22/06 03:22,1.011200E+000,9.093900E-001,6.962000E-001,7.646300E-001,7.092000E-002
9,11/26/06 03:04,4.755800E-001,9.479100E-001,2.333900E-001,6.346400E-001,2.265000E-001
9,11/28/06 03:01,-6.579700E-002,2.216300E+000,-1.999900E-001,3.868800E-001,4.919900E-001
9,12/04/06 05:21,-1.683100E-001,1.741300E+000,9.048100E-002,1.174400E+000,5.239000E-001
9,12/06/06 03:32,-1.728900E-001,8.891700E-001,4.678600E-001,1.992300E+000,1.495600E+000
9,12/08/06 03:28,6.626700E-002,1.379600E+000,-1.030000E-001,1.449200E+000,1.026300E+000
9,12/10/06 03:20,-2.000000E-001,1.059200E+000,2.059500E-003,1.590100E+000,1.538000E-001
9,12/12/06 03:18,5.168700E-001,1.023400E+000,6.691500E-001,1.354800E+000,3.168700E-001
9,12/14/06 03:19,3.063400E-001,1.967700E+000,8.945000E-002,8.148900E-001,4.481300E-001
9,12/16/06 03:09,6.041300E-002,1.549400E+000,-1.787200E-001,9.825800E-001,4.994100E-001
9,12/18/06 03:10,6.841000E-002,9.339600E-001,-1.757600E-001,1.411300E+000,5.065300E-001
9,12/20/06 03:26,4.502500E-001,1.074500E+000,1.131000E-001,1.484700E+000,3.720200E-002
9,12/22/06 03:29,4.059600E-001,6.265500E-001,-1.351000E-001,1.562100E+000,-6.779900E-003
9,01/01/07 03:20,1.545000E+000,2.754900E+000,4.936100E+000,8.391400E-001,-2.000000E-001
9,01/03/07 03:07,2.772800E+000,-7.444000E-002,3.026500E+000,7.934500E-001,5.672400E+000
9,01/05/07 02:54,3.962300E+000,6.001500E-001,3.113800E+000,7.890800E-001,6.043700E+000
9,01/07/07 03:09,2.004700E+000,4.654000E-001,3.803100E+000,1.280300E+000,1.483200E+000
9,01/09/07 03:02,2.260200E+000,-1.999900E-001,1.521000E+000,1.379000E+000,4.129000E+000
9,01/11/07 02:55,1.987400E+000,1.918300E+000,2.427700E+000,8.581300E-001,2.692600E+000
9,01/13/07 03:27,2.373900E+000,1.141700E-001,2.427600E+000,1.080400E+000,2.774700E+000
9,01/15/07 03:19,2.889200E+000,4.390600E-002,3.211500E+000,1.040000E+000,4.130700E+000
9,01/17/07 03:14,1.734800E+000,7.944600E-001,4.140900E+000,1.213600E+000,2.063700E+000
9,01/19/07 03:40,1.961900E+000,4.980000E-001,2.899100E+000,9.041500E-001,2.883300E+000
9,01/21/07 03:30,2.829400E+000,1.441500E+000,3.440300E+000,6.439800E-001,2.193200E+000
9,01/23/07 07:32,1.915900E+000,-1.961700E-002,1.088300E+000,1.693600E+000,1.567300E+000
9,01/25/07 05:42,1.339600E+000,2.152100E+000,4.462600E-001,6.054000E-001,5.616300E-001
9,01/27/07 03:15,8.257100E-001,1.294200E-001,2.460200E-001,1.393100E+000,4.646400E-001
9,01/29/07 03:26,7.000000E-001,4.245400E-001,2.606100E-001,1.361500E+000,2.819800E-001
9,01/31/07 03:30,4.407000E-001,8.473000E-001,-5.588200E-003,1.130200E+000,3.200600E-002
9,02/02/07 03:13,3.016500E-001,6.260300E-001,-1.929100E-001,1.241100E+000,1.151500E-001
9,02/04/07 03:16,4.775100E-001,3.896200E-001,-9.512400E-002,1.409600E+000,1.099000E-001
9,02/16/07 02:51,3.992900E-001,4.450600E-001,2.466000E-001,1.103600E+000,5.748600E-002
9,02/18/07 02:34,3.922600E-001,5.451400E-001,1.290900E-001,8.231100E-001,-8.453800E-002
9,02/24/07 02:38,1.005100E-001,8.181000E-001,2.100500E-001,1.022000E+000,1.500500E-001
9,02/26/07 00:46,3.796000E-001,5.165400E-001,1.716300E-001,7.261100E-001,-6.226200E-003
9,02/28/07 00:39,4.371500E-001,2.501600E-001,-1.859100E-002,1.014000E+000,5.561500E-002
9,11/14/07 04:52,6.406000E-001,1.314500E+000,-1.485600E-002,4.477900E-001,-2.000000E-001
9,12/08/07 04:07,6.934200E-002,9.345300E-001,2.886400E-001,6.549700E-001,1.742700E-001
9,12/26/07 03:31,2.637200E-001,7.053600E-001,7.355200E-001,1.470000E+000,7.297400E-001
9,01/01/08 03:23,-1.999900E-001,2.266800E+000,1.501600E+000,9.755400E-001,2.466400E-001
9,01/07/08 03:04,1.274500E+000,1.811000E+000,9.391300E-001,7.516200E-001,7.425800E-001
9,01/13/08 03:21,2.688900E-001,3.785200E+000,-1.175200E-001,4.192000E-002,2.943100E-001
9,01/19/08 02:55,1.179300E+000,2.851100E+000,1.746700E+000,1.430400E-001,5.897900E-001
9,01/31/08 03:32,1.461000E+000,3.221600E-001,4.190200E+000,1.040900E+000,1.935000E+000
9,02/06/08 03:36,2.107400E-002,2.264400E+000,1.234600E-002,6.176800E-001,8.662100E-001
9,02/18/08 02:24,5.664100E-001,1.737200E+000,9.727500E-002,5.409000E-001,3.194500E-001
9,02/24/08 01:52,3.764300E+000,1.587000E+000,1.178400E+000,-1.998400E-001,1.558000E+000

Factor Contributions (conc. units) from Base Run #9 (Convergent Run)
(Total Variable = mass)

,,,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5
9,11/14/06 03:18,5.486874E+001,-1.602941E+000,7.295332E+000,2.842061E+001,1.181460E+001
