
Factor Profiles (conc. of species) from Base Run #9 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5
9,mass,3.806100E+001,8.035600E+000,3.115400E+001,2.561800E+001,5.993000E+001
9,Na,2.363900E-002,3.414300E-002,1.120300E-002,8.367900E-002,6.177800E-003
9,Mg,4.624100E-001,3.957000E-002,1.377300E-001,1.501300E-001,4.300600E-001
9,Al,2.709600E+000,2.138100E-001,8.698100E-001,1.255600E+000,2.992100E+000
9,Si,6.802100E+000,3.172100E-001,2.482900E+000,2.753800E+000,7.991600E+000
9,P,1.158400E-005,5.178500E-003,0.000000E+000,2.403700E-002,1.236400E-002
9,S,1.203200E-001,2.922900E-001,1.067400E-002,6.529400E-001,8.389300E-003
9,Cl,7.351600E-001,3.479600E-002,4.904700E-002,1.388600E-001,0.000000E+000
9,K,3.010500E-001,3.736900E-001,7.314100E-001,8.563200E-001,8.060000E-001
9,Ca,1.187900E+000,2.117300E-002,3.470100E-001,2.647600E-001,1.257500E+000
9,Ti,1.884700E-001,2.573300E-003,6.194100E-002,6.237100E-002,2.456900E-001
9,V,2.693300E-003,3.226200E-004,6.450100E-004,1.821300E-003,4.175900E-003
9,Mn,3.041000E-002,0.000000E+000,1.106700E-002,9.475300E-003,4.387600E-002
9,Fe,1.623700E+000,3.412000E-002,6.165100E-001,5.520000E-001,2.206300E+000
9,Zn,6.105900E-007,8.497900E-003,2.857700E-002,2.120600E-002,4.886200E-003
9,Br,1.209100E-002,2.440700E-002,1.585700E-012,3.833300E-009,4.383700E-004
9,Pb,3.229800E-003,5.281200E-003,9.101300E-003,9.286300E-003,1.571000E-009
9,BC,2.440200E-001,9.945500E-001,3.665800E-002,2.273000E+000,0.000000E+000

Factor Profiles (% of species sum) from Base Run #9 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5
9,mass,2.337919E+001,4.935915E+000,1.913653E+001,1.573601E+001,3.681236E+001
9,Na,1.488210E+001,2.149497E+001,7.052929E+000,5.268072E+001,3.889278E+000
9,Mg,3.790557E+001,3.243709E+000,1.129027E+001,1.230675E+001,3.525371E+001
9,Al,3.369764E+001,2.659024E+000,1.081729E+001,1.561513E+001,3.721091E+001
9,Si,3.342948E+001,1.558955E+000,1.220242E+001,1.353378E+001,3.927538E+001
9,P,2.785212E-002,1.245099E+001,0.000000E+000,5.779364E+001,2.972753E+001
9,S,1.109335E+001,2.694877E+001,9.841295E-001,6.020026E+001,7.734830E-001
9,Cl,7.675002E+001,3.632670E+000,5.120461E+000,1.449685E+001,0.000000E+000
9,K,9.811078E+000,1.217838E+001,2.383631E+001,2.790707E+001,2.626716E+001
9,Ca,3.858894E+001,6.878051E-001,1.127262E+001,8.600731E+000,4.084990E+001
9,Ti,3.359265E+001,4.586617E-001,1.104029E+001,1.111693E+001,4.379147E+001
9,V,2.788635E+001,3.340398E+000,6.678415E+000,1.885769E+001,4.323715E+001
9,Mn,3.206849E+001,0.000000E+000,1.167057E+001,9.992060E+000,4.626889E+001
9,Fe,3.226345E+001,6.779755E-001,1.225025E+001,1.096842E+001,4.383990E+001
9,Zn,9.666173E-004,1.345292E+001,4.523989E+001,3.357095E+001,7.735281E+000
9,Br,3.273467E+001,6.607850E+001,4.293058E-009,1.037812E-005,1.186825E+000
9,Pb,1.200732E+001,1.963373E+001,3.383559E+001,3.452336E+001,5.840452E-006
9,BC,6.877235E+000,2.802948E+001,1.033135E+000,6.406014E+001,0.000000E+000

Factor Profiles (% of total variable) from Base Run #9 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5
9,mass,*,*,*,*,*
9,Na,6.210820E-002,4.248967E-001,3.596007E-002,3.266414E-001,1.030836E-002
9,Mg,1.214918E+000,4.924337E-001,4.420941E-001,5.860333E-001,7.176039E-001
9,Al,7.119098E+000,2.660784E+000,2.791969E+000,4.901241E+000,4.992658E+000
9,Si,1.787157E+001,3.947558E+000,7.969763E+000,1.074947E+001,1.333489E+001
9,P,3.043535E-005,6.444447E-002,0.000000E+000,9.382856E-002,2.063074E-002
9,S,3.161241E-001,3.637438E+000,3.426205E-002,2.548755E+000,1.399850E-002
9,Cl,1.931531E+000,4.330230E-001,1.574340E-001,5.420408E-001,0.000000E+000
9,K,7.909671E-001,4.650431E+000,2.347724E+000,3.342650E+000,1.344902E+000
9,Ca,3.121042E+000,2.634900E-001,1.113854E+000,1.033492E+000,2.098281E+000
9,Ti,4.951788E-001,3.202374E-002,1.988220E-001,2.434655E-001,4.099616E-001
9,V,7.076272E-003,4.014884E-003,2.070392E-003,7.109454E-003,6.967963E-003
9,Mn,7.989806E-002,0.000000E+000,3.552353E-002,3.698688E-002,7.321208E-002
9,Fe,4.266047E+000,4.246105E-001,1.978911E+000,2.154735E+000,3.681462E+000
9,Zn,1.604241E-006,1.057531E-001,9.172819E-002,8.277773E-002,8.153179E-003
9,Br,3.176742E-002,3.037359E-001,5.089876E-012,1.496331E-008,7.314701E-004
9,Pb,8.485852E-003,6.572253E-002,2.921391E-002,3.624912E-002,2.621392E-009
9,BC,6.411287E-001,1.237680E+001,1.176671E-001,8.872667E+000,0.000000E+000
