
Factor Contributions (avg = 1) from Base Run #19 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5
19,11/12/06 06:43,-2.000000E-001,4.322600E-001,6.650800E+000,1.214900E+000,1.203800E+000
19,11/14/06 03:18,-1.547000E-001,-2.000000E-001,6.529700E+000,1.341300E+000,1.018100E+000
19,11/16/06 04:08,-8.891200E-002,3.634000E-001,5.289200E+000,1.070000E+000,1.381700E+000
19,11/18/06 04:01,1.930800E-002,6.829500E-001,4.725500E+000,1.070000E+000,1.359300E+000
19,11/20/06 03:11,-6.369200E-002,-2.000000E-001,7.444700E+000,1.502400E+000,7.702100E-001
19,11/22/06 03:22,1.120300E+000,2.646700E-001,4.808900E+000,1.197200E+000,1.282400E+000
19,11/26/06 03:04,1.016500E+000,6.163400E-001,3.116400E+000,5.182300E-001,1.192200E+000
19,11/28/06 03:01,2.257800E+000,1.565300E+000,1.787000E+000,-2.000000E-001,1.295100E+000
19,11/30/06 03:08,4.187200E-001,2.484900E+000,1.854100E+000,-7.293400E-002,1.842800E+000
19,02/02/07 03:13,6.466500E-001,2.055900E+000,2.214400E+000,5.080500E-001,1.220900E+000
19,02/04/07 03:16,3.956900E-001,2.295800E+000,3.006700E+000,7.525800E-001,1.184100E+000
19,02/06/07 03:20,9.101000E-001,1.654000E+000,1.106100E+000,1.824300E+000,8.595600E-001
19,02/08/07 03:14,6.849200E-001,1.845200E+000,1.102500E+000,2.343200E+000,7.823700E-001
19,02/12/07 03:09,1.338200E+000,1.168400E+000,7.267900E-001,9.213300E-001,9.385000E-001
19,02/14/07 03:01,6.695100E-001,1.308000E+000,1.301700E+000,5.568800E-001,1.109600E+000
19,02/16/07 02:51,4.432700E-001,1.103000E+000,2.607900E+000,5.893400E-001,1.522000E+000
19,02/18/07 02:34,6.599600E-001,7.253400E-001,1.595500E+000,7.503500E-001,1.325300E+000
19,02/20/07 02:37,5.416600E-001,9.004000E-001,1.937800E+000,3.105500E+000,4.474400E-001
19,02/22/07 02:35,8.878000E-001,7.525400E-001,1.014100E+000,1.525500E+000,9.820600E-001
19,02/24/07 02:38,7.897600E-001,1.484000E+000,1.877300E+000,2.306400E-001,1.691400E+000
19,02/26/07 00:46,5.745100E-001,8.346200E-001,1.925600E+000,5.793300E-001,1.026800E+000
19,02/28/07 00:39,2.457300E-001,1.206700E+000,2.416000E+000,6.154800E-001,1.057900E+000
19,03/02/07 00:30,3.875200E-001,8.629200E-001,2.379500E+000,3.388600E-001,1.357000E+000
19,03/04/07 00:54,3.130200E-001,7.403400E-001,3.725400E+000,3.518600E-001,1.064600E+000
19,03/06/07 01:01,9.122500E-001,4.000900E-001,5.513900E+000,2.699200E-001,8.455600E-001
19,03/08/07 00:42,2.975000E-001,4.346100E-001,3.509100E+000,1.457800E+000,8.938300E-001
19,03/10/07 00:43,2.453200E-001,4.033900E-001,3.131900E+000,8.193500E-001,9.236500E-001
19,03/12/07 00:44,7.686400E-001,8.516900E-001,2.868700E+000,9.553500E-001,7.892400E-001
19,03/14/07 00:44,4.160200E-001,5.556100E-001,2.640000E+000,1.171100E+000,8.758700E-001
19,03/16/07 00:42,5.654000E-001,6.176900E-002,1.755300E+000,1.478900E+000,1.420400E+000
19,03/18/07 00:52,5.652800E-001,6.631500E-001,1.536200E+000,1.254400E+000,8.971600E-001
19,03/20/07 00:53,1.785600E+000,5.418800E-001,2.262200E+000,1.154600E+000,7.140700E-001
19,03/22/07 00:46,8.711900E-001,5.575300E-001,2.110300E+000,6.260400E-001,7.610100E-001
19,03/24/07 00:30,6.171400E-001,4.131900E-001,1.492100E+000,8.846900E-001,1.050300E+000
19,03/26/07 01:08,4.805900E-001,-2.000000E-001,5.056900E-001,2.158900E+000,1.491300E+000
19,03/28/07 01:29,5.820300E-001,7.087900E-001,3.650200E-001,5.407500E-001,1.127700E+000
19,03/30/07 00:38,7.955900E-001,6.779700E-001,5.017900E-001,9.503900E-001,1.152100E+000
19,04/01/07 00:30,5.602800E-001,2.789800E-001,9.091800E-001,1.433000E+000,1.037300E+000
19,04/03/07 00:34,1.233700E+000,3.645000E-001,9.072200E-002,3.830300E-001,1.078500E+000
19,04/05/07 00:24,3.928800E-001,1.724800E-001,4.863200E-001,7.132500E-001,1.140600E+000
19,04/07/07 00:28,1.549500E+000,3.458000E-001,4.618900E-001,2.350300E-001,1.157000E+000
19,04/09/07 00:46,5.881400E-001,9.992900E-001,3.805500E-001,8.604800E-002,2.923300E-001
19,04/11/07 00:50,6.559000E-001,4.695900E-001,2.422700E-001,5.724600E-001,7.552900E-001
19,04/13/07 00:45,3.041600E+000,6.647800E-001,5.290100E-001,9.684800E-001,6.629800E-001
19,04/15/07 01:15,6.636800E-001,4.376600E-001,7.924100E-001,9.303700E-001,8.436800E-001
19,04/17/07 01:10,1.021900E+000,2.571100E-001,8.220800E-001,1.460400E+000,8.106800E-001
19,04/19/07 01:21,5.085200E-001,4.946300E-001,1.067300E+000,9.850600E-001,9.745300E-001
19,04/21/07 01:15,7.457200E-001,4.515000E-001,4.064400E-001,7.486600E-001,7.618200E-001
19,04/23/07 01:00,4.722400E-001,4.872600E-001,5.459800E-001,4.904400E-001,1.147500E+000
19,04/25/07 01:11,1.096000E+000,5.775400E-002,3.081900E-001,1.120800E+000,9.971200E-001
