**** Analysis Summary ****

Time of run: ,02/05/16 15:05
Concentration file: ,\\VBOXSVR\Downloads\pmf_fa\RFsH.csv
Uncertainty file: ,\\VBOXSVR\Downloads\pmf_fa\RFsHunc8.csv
Configuration file: ,


**** Input Data Statistics ****

Species,Category,S/N,Min,25th,Median,75th,Max,% Modeled Samples,% Raw Samples
mass,Weak,      9.6,  2.45000, 21.41000, 26.84500, 38.98500,298.89000, 100.00 %, 100.00 %
Na,Strong,      3.3,  0.02182,  0.16490,  0.25052,  0.41704,  1.43352, 100.00 %, 100.00 %
Mg,Strong,      2.7,  0.00236,  0.04732,  0.09097,  0.21455,  2.81918, 100.00 %, 100.00 %
Al,Strong,      9.4,  0.08604,  0.21547,  0.52338,  1.54504, 14.89216, 100.00 %, 100.00 %
Si,Strong,     10.0,  0.12979,  0.43208,  0.99133,  3.32821, 45.09615, 100.00 %, 100.00 %
P,Strong,      4.0,  0.00021,  0.00846,  0.01420,  0.02096,  0.05093, 100.00 %, 100.00 %
S,Strong,     10.0,  0.04298,  0.43683,  0.59279,  0.81779,  1.29675, 100.00 %, 100.00 %
Cl,Strong,     10.0,  0.02523,  0.24506,  0.42634,  0.63546,  2.55173, 100.00 %, 100.00 %
K,Strong,     10.0,  0.07243,  0.67927,  0.86307,  1.07966,  3.46680, 100.00 %, 100.00 %
Ca,Strong,     10.0,  0.02640,  0.16467,  0.26319,  0.61152,  9.00901, 100.00 %, 100.00 %
Ti,Strong,      9.8,  0.00530,  0.01628,  0.03514,  0.09978,  1.14153, 100.00 %, 100.00 %
V,Strong,      3.4,  0.00052,  0.00121,  0.00179,  0.00286,  0.01426, 100.00 %, 100.00 %
Mn,Strong,      8.6,  0.00202,  0.00471,  0.00718,  0.01541,  0.20077, 100.00 %, 100.00 %
Fe,Strong,     10.0,  0.04657,  0.17182,  0.35465,  0.88609,  9.85383, 100.00 %, 100.00 %
Zn,Strong,      8.6,  0.00075,  0.02061,  0.02500,  0.03269,  0.10811, 100.00 %, 100.00 %
Br,Strong,      9.3,  0.00678,  0.01323,  0.01772,  0.02714,  0.10359, 100.00 %, 100.00 %
Pb,Strong,      6.2,  0.00738,  0.01190,  0.01407,  0.01785,  0.03033, 100.00 %, 100.00 %
BC,Strong,     10.0,  0.39235,  2.60144,  2.85286,  3.25504,  5.70093, 100.00 %, 100.00 %

Excluded Samples


**** Base Run Summary ****

Number of base runs:  ,20
Base user-selected seed:  666
Number of factors:  ,5
Extra modeling uncertainty (%):,0

Base run summary table:

Run #,Q(Robust),Q(True)     ,Converged,# Steps,Q(true)/Qexp
1,4035.61     ,4300.2      ,Yes      ,833,2.413131
2,4049        ,4310.05     ,Yes      ,616,2.418659
3,4049.03     ,4310.11     ,Yes      ,536,2.418693
4,4036.89     ,4300.96     ,Yes      ,629,2.413558
5,4049.17     ,4310.14     ,Yes      ,486,2.418709
6,4049.01     ,4310.05     ,Yes      ,696,2.418659
7,4049.01     ,4310.13     ,Yes      ,652,2.418704
8,4049.03     ,4310.15     ,Yes      ,594,2.418715
9,4048.92     ,4310.12     ,Yes      ,516,2.418698
10,4035.58     ,4300.17     ,Yes      ,708,2.413115
11,4049.18     ,4310.15     ,Yes      ,539,2.418715
12,4035.56     ,4300.12     ,Yes      ,587,2.413086
13,4037.01     ,4300.92     ,Yes      ,776,2.413535
14,4036.95     ,4300.98     ,Yes      ,814,2.413569
15,4048.9      ,4310.14     ,Yes      ,875,2.418709
16,4037.01     ,4301.03     ,Yes      ,707,2.413597
17,4035.63     ,4300.19     ,Yes      ,778,2.413126
18,4036.93     ,4300.96     ,Yes      ,766,2.413558
19,4035.52     ,4300.14     ,Yes      ,587,2.413098
20,4035.56     ,4300.19     ,Yes      ,653,2.413126

Scaled residual analysis:

Sum of the squares of the differences in scaled residuals for each base run pair by species (d)
Run #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,
2,24.29110,
3,24.29977,0.00028,
4,2.53150,25.28956,25.29962,
5,24.17760,0.00090,0.00089,25.17697,
6,24.19184,0.00094,0.00092,25.19219,0.00094,
7,24.24729,0.00039,0.00034,25.24559,0.00054,0.00053,
8,24.14073,0.00099,0.00101,25.14412,0.00055,0.00099,0.00071,
9,24.20937,0.00046,0.00049,25.20816,0.00046,0.00055,0.00027,0.00047,
10,0.00076,24.31106,24.31991,2.54939,24.19775,24.21230,24.26753,24.16066,24.22948,
11,24.21545,0.00054,0.00049,25.21113,0.00030,0.00070,0.00029,0.00051,0.00028,24.23561,
12,0.00044,24.28762,24.29646,2.53539,24.17437,24.18876,24.24408,24.13738,24.20606,0.00035,24.21219,
13,2.55213,25.25235,25.26229,0.00111,25.13971,25.15503,25.20837,25.10693,25.17094,2.57053,25.17391,2.55622,
14,2.53852,25.29094,25.30095,0.00046,25.17829,25.19356,25.24696,25.14536,25.20949,2.55651,25.21248,2.54248,0.00086,
15,24.19343,0.00058,0.00057,25.19362,0.00043,0.00061,0.00033,0.00044,0.00020,24.21356,0.00033,24.19017,25.15641,25.19489,
16,2.54866,25.26958,25.27948,0.00088,25.15672,25.17210,25.22547,25.12385,25.18798,2.56704,25.19096,2.55284,0.00039,0.00058,25.17338,
17,0.00031,24.30795,24.31661,2.53376,24.19446,24.20850,24.26412,24.15759,24.22618,0.00078,24.23231,0.00057,2.55436,2.54070,24.21023,2.55087,
18,2.55368,25.24978,25.25971,0.00108,25.13702,25.15241,25.20576,25.10428,25.16830,2.57210,25.17125,2.55778,0.00018,0.00084,25.15376,0.00034,2.55587,
19,0.00083,24.31779,24.32664,2.55124,24.20454,24.21905,24.27430,24.16739,24.23621,0.00028,24.24240,0.00040,2.57219,2.55830,24.22031,2.56871,0.00075,2.57375,
20,0.00104,24.31883,24.32767,2.55377,24.20551,24.22000,24.27529,24.16825,24.23716,0.00043,24.24338,0.00065,2.57467,2.56073,24.22122,2.57107,0.00088,2.57620,0.00033,

Sum of d across all species for each base run pair (D)
Run #            Run #,mass        ,Na          ,Mg          ,Al          ,Si          ,P           ,S           ,Cl          ,K           ,Ca          ,Ti          ,V           ,Mn          ,Fe          ,Zn          ,Br          ,Pb          ,BC          ,
2                    1,0.02164,3.08788,0.18250,0.23740,0.23720,4.70861,4.48338,2.49121,0.24521,0.21357,0.25002,0.03492,0.38106,0.46626,0.68333,0.56930,1.17030,4.82732,
3                    1,0.02160,3.08777,0.18333,0.23817,0.23852,4.70556,4.48332,2.49286,0.24528,0.21353,0.25013,0.03503,0.38173,0.46822,0.68305,0.57241,1.16987,4.82939,
3                    2,0.00000,0.00005,0.00003,0.00001,0.00001,0.00003,0.00002,0.00002,0.00001,0.00002,0.00001,0.00001,0.00000,0.00001,0.00000,0.00001,0.00001,0.00002,
4                    1,0.00242,0.28573,0.01131,0.03439,0.01776,0.10889,0.73675,0.36767,0.02152,0.04354,0.02621,0.00405,0.02291,0.03234,0.01948,0.47917,0.13081,0.18656,
4                    2,0.01440,3.47159,0.19320,0.21952,0.20436,5.24415,4.97693,1.85993,0.24290,0.20355,0.22769,0.03168,0.34481,0.43574,0.69120,1.17761,1.13028,4.62005,
4                    3,0.01440,3.47174,0.19374,0.22016,0.20547,5.24105,4.97686,1.86041,0.24312,0.20353,0.22783,0.03177,0.34543,0.43798,0.69093,1.18264,1.13029,4.62228,
5                    1,0.02148,3.07602,0.18141,0.23799,0.23780,4.67904,4.44765,2.49567,0.24329,0.21351,0.24951,0.03492,0.37917,0.46361,0.68150,0.56182,1.16654,4.80667,
5                    2,0.00001,0.00016,0.00002,0.00002,0.00002,0.00017,0.00015,0.00005,0.00004,0.00002,0.00002,0.00001,0.00001,0.00004,0.00002,0.00006,0.00002,0.00006,
5                    3,0.00000,0.00010,0.00002,0.00001,0.00002,0.00021,0.00017,0.00003,0.00004,0.00001,0.00002,0.00001,0.00002,0.00005,0.00001,0.00008,0.00002,0.00007,
5                    4,0.01433,3.46078,0.19201,0.22023,0.20492,5.21191,4.94298,1.86082,0.24067,0.20363,0.22713,0.03174,0.34299,0.43355,0.68929,1.17371,1.12612,4.60017,
6                    1,0.02154,3.07509,0.18284,0.23587,0.23742,4.68259,4.45211,2.49246,0.24358,0.21351,0.24932,0.03488,0.37902,0.46387,0.68259,0.56822,1.16628,4.81065,
6                    2,0.00001,0.00005,0.00033,0.00003,0.00002,0.00008,0.00013,0.00003,0.00002,0.00001,0.00001,0.00001,0.00002,0.00003,0.00002,0.00002,0.00002,0.00008,
6                    3,0.00000,0.00008,0.00024,0.00003,0.00003,0.00010,0.00013,0.00003,0.00003,0.00002,0.00001,0.00001,0.00002,0.00003,0.00002,0.00003,0.00002,0.00009,
6                    4,0.01436,3.46006,0.19206,0.21823,0.20455,5.21676,4.94892,1.85888,0.24106,0.20342,0.22697,0.03164,0.34295,0.43380,0.69035,1.17867,1.12562,4.60389,
6                    5,0.00001,0.00016,0.00028,0.00004,0.00002,0.00009,0.00006,0.00004,0.00002,0.00002,0.00002,0.00001,0.00001,0.00002,0.00002,0.00004,0.00003,0.00007,
7                    1,0.02160,3.08268,0.18269,0.23718,0.23723,4.69338,4.46835,2.49618,0.24473,0.21388,0.24953,0.03491,0.38054,0.46503,0.68306,0.56799,1.16769,4.82065,
7                    2,0.00000,0.00006,0.00007,0.00001,0.00001,0.00005,0.00005,0.00002,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00002,
7                    3,0.00000,0.00003,0.00004,0.00001,0.00001,0.00005,0.00005,0.00001,0.00001,0.00002,0.00001,0.00001,0.00001,0.00002,0.00001,0.00002,0.00001,0.00003,
7                    4,0.01438,3.46642,0.19291,0.21956,0.20451,5.22767,4.96467,1.86220,0.24232,0.20387,0.22732,0.03166,0.34434,0.43481,0.69083,1.17692,1.12765,4.61355,
7                    5,0.00001,0.00007,0.00005,0.00002,0.00001,0.00009,0.00007,0.00002,0.00002,0.00001,0.00001,0.00001,0.00001,0.00002,0.00002,0.00004,0.00002,0.00004,
7                    6,0.00000,0.00007,0.00015,0.00002,0.00002,0.00005,0.00005,0.00002,0.00001,0.00001,0.00001,0.00000,0.00001,0.00001,0.00001,0.00002,0.00001,0.00005,
8                    1,0.02144,3.07422,0.18128,0.23731,0.23684,4.66537,4.43444,2.49626,0.24244,0.21336,0.24928,0.03484,0.37819,0.46362,0.68085,0.56568,1.16357,4.80172,
8                    2,0.00001,0.00012,0.00005,0.00001,0.00002,0.00017,0.00024,0.00007,0.00004,0.00001,0.00002,0.00001,0.00002,0.00003,0.00001,0.00003,0.00003,0.00009,
