
Factor Profiles (conc. of species) from Base Run #17 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5
17,mass,1.051100E+001,1.222000E+000,5.831300E+000,3.059900E+000,5.665600E+000
17,Na,0.000000E+000,2.063500E-002,0.000000E+000,1.685300E-001,1.281000E-001
17,Mg,0.000000E+000,0.000000E+000,8.126100E-002,1.797700E-002,1.104300E-002
17,Al,1.296400E-001,1.245500E-002,5.396500E-001,0.000000E+000,0.000000E+000
17,Si,2.533800E-001,1.513300E-003,1.071600E+000,1.131100E-002,6.016400E-003
17,P,5.781100E-004,0.000000E+000,4.198700E-003,0.000000E+000,7.666700E-003
17,S,8.202200E-002,1.864500E-002,7.387600E-002,9.683400E-002,3.091600E-001
17,Cl,2.736700E-002,0.000000E+000,6.351300E-002,3.526800E-001,0.000000E+000
17,K,2.998100E-001,4.013900E-002,1.118100E-001,8.558800E-002,2.608300E-001
17,Ca,6.282100E-002,7.099200E-004,1.804200E-001,3.211700E-002,2.203300E-002
17,Ti,8.941300E-003,2.413200E-004,3.456800E-002,9.613600E-004,1.883900E-004
17,V,5.092800E-004,8.846900E-005,5.660800E-004,1.917100E-004,2.896000E-004
17,Mn,2.854400E-003,2.537300E-004,4.266900E-003,3.438500E-004,5.176500E-004
17,Fe,1.024700E-001,8.832300E-004,2.928600E-001,1.006300E-002,1.108700E-002
17,Zn,1.169200E-002,3.679800E-003,1.137000E-003,3.055400E-003,4.748700E-003
17,Br,2.287200E-003,1.686300E-002,1.852300E-003,2.040500E-003,7.234900E-005
17,Pb,7.302700E-003,2.108200E-003,3.498800E-004,2.309500E-003,1.932200E-003
17,BC,1.780000E+000,2.790100E-001,0.000000E+000,3.139000E-001,4.809600E-001

Factor Profiles (% of species sum) from Base Run #17 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5
17,mass,3.998129E+001,4.648190E+000,2.218085E+001,1.163911E+001,2.155056E+001
17,Na,0.000000E+000,6.504026E+000,0.000000E+000,5.311963E+001,4.037634E+001
17,Mg,0.000000E+000,0.000000E+000,7.368540E+001,1.630108E+001,1.001351E+001
17,Al,1.901591E+001,1.826929E+000,7.915717E+001,0.000000E+000,0.000000E+000
17,Si,1.885519E+001,1.126117E-001,7.974278E+001,8.417045E-001,4.477085E-001
17,P,4.645875E+000,0.000000E+000,3.374209E+001,0.000000E+000,6.161204E+001
17,S,1.412864E+001,3.211682E+000,1.272546E+001,1.668007E+001,5.325414E+001
17,Cl,6.169853E+000,0.000000E+000,1.431892E+001,7.951123E+001,0.000000E+000
17,K,3.756184E+001,5.028834E+000,1.400817E+001,1.072293E+001,3.267822E+001
17,Ca,2.107374E+001,2.381475E-001,6.052313E+001,1.077387E+001,7.391121E+000
17,Ti,1.991364E+001,5.374566E-001,7.698823E+001,2.141096E+000,4.195734E-001
17,V,3.095666E+001,5.377600E+000,3.440925E+001,1.165312E+001,1.760338E+001
17,Mn,3.465537E+001,3.080545E+000,5.180458E+001,4.174695E+000,6.284807E+000
17,Fe,2.455176E+001,2.116214E-001,7.016910E+001,2.411089E+000,2.656439E+000
17,Zn,4.808970E+001,1.513517E+001,4.676530E+000,1.256699E+001,1.953161E+001
17,Br,9.894724E+000,7.295153E+001,8.013290E+000,8.827468E+000,3.129912E-001
17,Pb,5.215290E+001,1.505590E+001,2.498700E+000,1.649351E+001,1.379898E+001
17,BC,6.237144E+001,9.776549E+000,0.000000E+000,1.099910E+001,1.685291E+001

Factor Profiles (% of total variable) from Base Run #17 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5
17,mass,*,*,*,*,*
17,Na,0.000000E+000,1.688625E+000,0.000000E+000,5.507696E+000,2.261014E+000
17,Mg,0.000000E+000,0.000000E+000,1.393531E+000,5.875028E-001,1.949132E-001
17,Al,1.233375E+000,1.019231E+000,9.254369E+000,0.000000E+000,0.000000E+000
17,Si,2.410617E+000,1.238380E-001,1.837669E+001,3.696526E-001,1.061918E-001
17,P,5.500047E-003,0.000000E+000,7.200281E-002,0.000000E+000,1.353202E-001
17,S,7.803444E-001,1.525777E+000,1.266887E+000,3.164613E+000,5.456792E+000
17,Cl,2.603653E-001,0.000000E+000,1.089174E+000,1.152587E+001,0.000000E+000
17,K,2.852345E+000,3.284697E+000,1.917411E+000,2.797085E+000,4.603749E+000
17,Ca,5.976691E-001,5.809493E-002,3.093993E+000,1.049609E+000,3.888909E-001
17,Ti,8.506612E-002,1.974795E-002,5.928009E-001,3.141802E-002,3.325155E-003
17,V,4.845210E-003,7.239689E-003,9.707612E-003,6.265237E-003,5.111550E-003
17,Mn,2.715631E-002,2.076350E-002,7.317236E-002,1.123730E-002,9.136720E-003
17,Fe,9.748834E-001,7.227741E-002,5.022208E+000,3.288670E-001,1.956898E-001
17,Zn,1.112358E-001,3.011293E-001,1.949823E-002,9.985293E-002,8.381636E-002
17,Br,2.176006E-002,1.379951E+000,3.176479E-002,6.668518E-002,1.276987E-003
17,Pb,6.947674E-002,1.725205E-001,6.000035E-003,7.547633E-002,3.410407E-002
17,BC,1.693464E+001,2.283224E+001,0.000000E+000,1.025850E+001,8.489127E+000
