
Residuals from Base Run #19 (Convergent Run)

Base_Run,Date_Time,mass,Na,Mg,Al,Si,P,S,Cl,K,Ca,Ti,V,Mn,Fe,Zn,Br,Pb,BC
19,11/12/06 06:43,4.467000E+000,-8.512000E-002,1.705000E-001,1.375000E-002,3.041000E+000,4.564000E-003,2.627000E-002,3.656000E-002,-8.824000E-002,4.773000E-002,-4.803000E-002,-2.499000E-004,4.059000E-003,-3.668000E-001,-4.685000E-003,-7.638000E-004,2.469000E-003,2.218000E-001
19,11/14/06 03:18,2.124000E+000,-9.213000E-002,2.369000E-001,-8.831000E-002,3.252000E+000,-3.314000E-003,4.838000E-002,2.768000E-002,-1.894000E-001,3.859000E-001,-5.612000E-002,-1.284000E-003,5.923000E-003,-3.592000E-001,-3.214000E-003,5.968000E-005,1.201000E-003,2.931000E-001
19,11/16/06 04:08,6.203000E+000,-1.479000E-001,1.114000E-001,-3.426000E-001,1.867000E+000,3.653000E-003,3.449000E-002,5.674000E-002,-2.419000E-002,1.544000E-001,-5.430000E-002,-3.040000E-004,4.124000E-003,-2.991000E-001,-1.077000E-003,4.446000E-005,2.427000E-003,-1.004000E-001
19,11/18/06 04:01,4.328000E+000,-7.294000E-002,5.731000E-002,-2.663000E-001,1.428000E+000,3.833000E-003,7.747000E-003,2.243000E-002,-1.049000E-001,-3.186000E-002,-3.268000E-002,-4.303000E-005,5.109000E-003,-1.798000E-001,1.131000E-002,-4.828000E-005,-1.159000E-003,-2.238000E-001
19,11/20/06 03:11,1.428000E+001,-5.118000E-002,7.138000E-002,-4.025000E-001,2.336000E+000,-1.477000E-002,5.815000E-002,-1.896000E-002,9.382000E-002,9.212000E-002,-3.720000E-002,-5.888000E-004,9.316000E-003,-1.770000E-001,1.932000E-003,-5.004000E-005,2.146000E-004,-1.143000E-001
19,11/22/06 03:22,7.065000E+000,-1.376000E-001,3.111000E-002,-2.742000E-001,1.673000E+000,-4.591000E-003,4.212000E-002,6.258000E-002,2.209000E-001,-2.809000E-002,-3.771000E-002,-1.825000E-004,4.646000E-003,-2.072000E-001,1.439000E-002,1.054000E-004,-3.152000E-003,-3.189000E-001
19,11/26/06 03:04,2.846000E+000,-4.860000E-002,-1.996000E-002,-7.790000E-002,9.236000E-001,-2.064000E-003,9.382000E-003,1.010000E-002,1.205000E-001,-9.199000E-003,-1.876000E-002,-1.741000E-004,3.684000E-003,-9.922000E-002,1.250000E-003,2.647000E-004,-2.603000E-003,3.091000E-003
19,11/28/06 03:01,5.495000E+000,-5.077000E-002,-6.919000E-003,-1.259000E-003,4.722000E-001,2.858000E-003,-1.261000E-002,3.246000E-004,1.339000E-001,-7.289000E-002,-1.059000E-002,1.563000E-004,4.398000E-003,-3.292000E-002,-4.152000E-003,3.055000E-003,-3.338000E-003,6.113000E-001
19,11/30/06 03:08,-1.985000E+000,-4.454000E-002,-3.169000E-002,-1.060000E-001,-3.387000E-003,1.734000E-002,-1.104000E-001,8.007000E-004,5.712000E-002,2.328000E-002,-1.036000E-002,-2.602000E-005,3.014000E-003,1.329000E-002,1.290000E-003,1.028000E-005,2.138000E-003,-3.592000E-001
19,02/02/07 03:13,2.144000E+000,-1.522000E-001,-7.803000E-002,1.615000E-001,8.460000E-001,9.800000E-003,6.281000E-002,2.660000E-002,-2.507000E-002,-1.018000E-001,2.283000E-003,-1.062000E-004,8.044000E-006,-2.155000E-002,-1.429000E-003,3.235000E-004,-1.106000E-003,1.356000E-001
