
Factor Contributions (avg = 1) from Base Run #19 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5
19,11/12/06 04:19,5.518400E-001,1.620100E+000,1.555300E+000,7.993200E-001,7.011700E-001
19,11/16/06 04:08,4.706000E-001,5.587200E-001,1.871100E+000,1.364100E+000,1.234700E+000
19,11/18/06 04:01,5.165300E-001,-2.000000E-001,2.225500E+000,1.487700E+000,1.368500E+000
19,11/20/06 03:11,3.460500E-001,1.325200E+000,1.711200E+000,1.357800E+000,1.163600E+000
19,11/22/06 03:22,4.894100E-001,8.315400E-001,9.707400E-001,9.537900E-001,7.751200E-001
19,11/26/06 03:04,2.694400E-001,9.315600E-001,5.887100E-001,1.428600E+000,8.893700E-001
19,11/28/06 03:01,-1.061900E-002,1.104400E+000,9.252300E-001,1.648400E+000,1.104200E+000
19,11/30/06 03:08,6.243400E-002,2.361700E+000,8.776300E-002,1.687400E+000,1.500600E+000
19,12/02/06 05:11,2.767400E-001,1.137400E+000,4.989800E-001,1.503900E+000,1.038900E+000
19,12/04/06 05:21,1.260900E-001,1.444600E+000,8.738800E-001,1.712800E+000,1.674400E+000
19,12/06/06 03:32,2.648700E-001,1.023200E+000,1.972600E+000,6.516200E-001,1.332800E-001
19,12/08/06 03:28,9.970500E-002,9.449800E-001,1.184000E+000,7.896600E-001,5.806300E-001
19,12/10/06 03:20,-1.770400E-001,3.173500E-002,3.886800E+000,2.279300E+000,2.147500E+000
19,12/12/06 03:18,8.663600E-001,1.030300E+000,1.015800E+000,5.286600E-001,1.026700E+000
19,12/14/06 03:19,5.754400E-001,6.148800E-001,1.410600E+000,1.144300E+000,1.890900E+000
19,12/16/06 03:09,1.346800E-001,8.853200E-001,1.122000E+000,1.961700E+000,2.307500E+000
19,12/18/06 03:10,2.935000E-001,7.635900E-001,7.807300E-001,1.792400E+000,9.745700E-001
19,12/20/06 03:26,1.086400E-001,5.678800E-001,1.402000E+000,1.098600E+000,1.338600E+000
19,12/22/06 03:29,1.577900E-001,1.048000E+000,6.501600E-001,1.046100E+000,5.471200E-001
19,12/24/06 04:27,9.662400E-002,1.328200E+000,4.035200E-001,1.868400E+000,-8.809600E-002
19,12/26/06 03:20,1.378300E-001,7.894900E-001,2.706500E-001,1.210600E+000,-2.000000E-001
19,12/28/06 03:22,3.751400E-001,1.173700E+000,4.269800E-001,1.436200E+000,-1.092400E-001
19,01/01/07 03:20,-1.269400E-001,2.383900E+000,4.655000E+000,1.897900E+000,4.238500E-001
19,01/03/07 03:07,-2.638700E-002,7.543100E+000,9.212100E+000,-2.000000E-001,1.390900E+000
19,01/05/07 02:54,2.227400E-002,4.568200E-002,-1.223600E-003,-4.434500E-002,6.896400E-003
19,01/07/07 03:09,1.222900E-002,-7.884600E-002,9.437500E+000,6.647500E-001,1.936300E+000
19,01/09/07 03:02,-9.614700E-002,1.880000E+000,6.270100E+000,1.541900E+000,2.324200E+000
19,01/11/07 02:55,1.240900E-001,2.886000E+000,4.834400E+000,2.791800E+000,1.574000E+000
