**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 19

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,  4.09280,  4.09280,  4.28715,  4.28915,  4.29748,  4.31680,  4.27983,  0.05003,  0.01169,  0.01222
Na,  0.46486,  0.45314,  0.45485,  0.45514,  0.45550,  0.46486,  0.45599,  0.00306,  0.00672,  0.00659
Mg,  0.05068,  0.05068,  0.05295,  0.05303,  0.05312,  0.05325,  0.05283,  0.00067,  0.01275,  0.01329
Al,  0.00000,  0.00000,  0.01527,  0.01540,  0.01611,  0.01745,  0.01424,  0.00491,  0.34519,  0.00000
Si,  0.04263,  0.04263,  0.08467,  0.08491,  0.08652,  0.09005,  0.08192,  0.01259,  0.15371,  0.29539
P,  0.00027,  0.00000,  0.00000,  0.00000,  0.00000,  0.00027,  0.00002,  0.00007,  3.21119,  0.25045
S,  0.03614,  0.03244,  0.03276,  0.03281,  0.03285,  0.03614,  0.03307,  0.00094,  0.02843,  0.02601
Cl,  0.95261,  0.92498,  0.92843,  0.92912,  0.92989,  0.95261,  0.93109,  0.00694,  0.00746,  0.00729
K,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Ca,  0.12867,  0.12867,  0.13310,  0.13318,  0.13347,  0.13424,  0.13308,  0.00116,  0.00871,  0.00901
Ti,  0.00326,  0.00326,  0.00451,  0.00452,  0.00457,  0.00469,  0.00444,  0.00036,  0.08108,  0.11050
V,  0.00005,  0.00005,  0.00007,  0.00007,  0.00007,  0.00007,  0.00007,  0.00001,  0.08910,  0.13092
Mn,  0.00034,  0.00034,  0.00061,  0.00061,  0.00062,  0.00064,  0.00059,  0.00007,  0.12048,  0.20777
Fe,  0.05227,  0.05227,  0.06194,  0.06202,  0.06247,  0.06355,  0.06147,  0.00276,  0.04491,  0.05281
