
Factor Contributions (avg = 1) from Base Run #19 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5
19,11/12/06 04:19,9.374900E-001,6.960600E-001,-1.539900E-003,1.076700E-002,-1.110600E-001
19,11/16/06 04:08,1.146700E+000,6.066100E-001,-5.481400E-002,7.434800E-003,1.391200E-001
19,11/18/06 04:01,1.234100E+000,5.696800E-001,-1.222800E-001,7.988800E-003,2.264100E-001
19,11/20/06 03:11,1.065600E+000,7.245000E-001,6.180600E-002,1.604700E-003,-2.607300E-002
19,11/22/06 03:22,8.973300E-001,3.274900E-001,5.545800E-002,3.580300E-003,4.659600E-002
19,11/26/06 03:04,8.950300E-001,2.513400E-001,-8.913900E-003,-1.054200E-004,2.034000E-001
19,11/28/06 03:01,6.323400E-001,2.359700E-001,3.362200E-002,1.271900E+000,2.251100E-001
19,12/04/06 05:21,8.169900E-001,2.271000E-001,1.012700E-001,1.312400E+000,1.496000E-001
19,12/06/06 03:32,7.207800E-001,5.201300E-001,-5.489800E-002,-1.989800E-001,1.130200E+001
19,12/08/06 03:28,3.445700E-001,3.105100E-001,4.009400E-002,1.298500E+000,3.485700E-002
19,12/10/06 03:20,1.083700E+000,1.446900E+000,5.354300E-002,1.203700E-003,3.394500E-001
19,12/12/06 03:18,1.110800E+000,6.774800E-003,2.341200E-002,-1.876600E-001,1.113800E+001
19,12/14/06 03:19,1.178600E+000,4.012500E-001,2.118200E-001,5.495500E-003,-4.276400E-003
19,12/16/06 03:09,1.156900E+000,4.349100E-001,2.770600E-001,-8.148500E-003,1.481000E-001
19,12/18/06 03:10,1.102900E+000,2.455900E-001,1.951100E-003,-2.693200E-003,1.924200E-001
19,12/20/06 03:26,6.877600E-001,5.468600E-001,2.275600E-001,-1.096300E-003,8.879500E-002
19,12/22/06 03:29,6.107600E-001,3.600300E-001,1.993500E-002,8.988200E-003,4.104000E-002
19,01/01/07 03:20,6.511000E-001,1.664200E+000,7.035200E-002,2.471500E+000,2.448000E-001
19,01/03/07 03:07,-4.732200E-002,3.871900E+000,3.595700E-001,5.680100E+000,3.585300E-001
19,01/05/07 02:54,7.251300E-001,-5.988500E-002,4.551000E+001,-1.999900E-001,-1.336700E-001
19,01/07/07 03:09,7.476200E-001,3.007200E+000,3.166300E-001,2.959400E+000,3.420700E-001
19,01/09/07 03:02,1.131900E+000,2.731300E+000,3.038500E-002,6.095400E-002,9.421800E-002
19,01/11/07 02:55,1.290500E+000,1.667200E+000,-5.395800E-002,2.823700E+000,2.864100E-001
19,01/13/07 03:27,4.751300E-001,1.543200E+000,2.380600E-001,4.614400E+000,1.120200E+001
19,01/15/07 03:19,1.448000E-001,2.008700E+000,7.430200E-003,2.761000E+000,3.872000E-002
19,01/17/07 03:14,3.891700E-002,1.693600E+000,2.103600E-001,5.370300E+000,5.084400E-001
19,01/19/07 03:40,3.265200E-001,2.914000E+000,5.557900E-001,4.517300E+000,8.704400E-002
19,01/21/07 03:30,-2.000000E-001,1.725900E+000,-1.999900E-001,7.026100E+000,2.534900E-001
19,01/23/07 07:32,1.111800E+000,1.667200E+000,5.862800E-002,5.345300E-003,-1.193100E-001
19,01/25/07 05:42,1.354900E+000,7.995300E-001,-8.722400E-002,1.108200E-002,-5.691300E-002
19,01/27/07 03:15,1.349000E+000,6.619200E-001,-1.184300E-001,1.564100E-002,-1.782500E-002
19,01/29/07 03:26,1.314400E+000,5.882300E-001,1.382000E-002,9.800400E-003,-2.806300E-002
19,01/31/07 03:30,9.741500E-001,2.487100E-001,-6.031000E-002,5.033000E-003,1.281300E-001
19,02/02/07 03:13,1.268400E+000,3.029900E-001,2.534200E-002,6.704600E-003,9.025800E-002
19,02/04/07 03:16,1.201400E+000,2.999800E-001,-1.061900E-002,5.887800E-003,1.067700E-001
19,02/16/07 02:51,1.196600E+000,4.008800E-001,-4.088700E-002,4.634000E-003,1.226000E-001
19,02/18/07 02:34,1.912300E+000,3.814700E-001,-1.297100E-001,1.340400E-002,2.287300E-001
19,02/24/07 02:38,1.803600E+000,3.624900E-001,2.276400E-002,1.759300E-002,-8.380900E-002
19,02/26/07 00:46,1.764400E+000,4.131900E-001,-3.951600E-003,1.462500E-002,-4.896300E-002
19,02/28/07 00:39,1.952600E+000,4.280000E-001,-8.988800E-002,1.465900E-002,-1.211200E-001
19,11/14/07 04:52,1.234200E+000,1.089900E-001,6.900400E-002,9.219500E-003,3.052100E-003
19,12/08/07 04:07,1.340400E+000,3.440100E-001,6.224300E-002,6.617600E-003,3.727500E-002
19,12/26/07 03:31,1.053000E+000,1.874900E+000,1.572100E-001,1.570800E+000,-2.000000E-001
19,01/07/08 03:04,6.731400E-001,1.275800E+000,1.792800E-001,4.971000E-001,7.595100E-002
19,01/13/08 03:21,9.470300E-001,7.307400E-001,1.156800E-001,-4.440300E-003,1.301900E-001
19,01/19/08 02:55,1.841200E+000,3.010000E+000,9.404600E-001,-2.099700E-002,-1.960700E-001
19,01/31/08 03:32,5.974300E-001,2.837900E+000,1.153800E-001,4.042800E+000,3.456400E-001
19,02/06/08 03:36,1.286200E+000,5.480800E-001,-1.937500E-001,1.100900E+000,1.133900E+001
19,02/18/08 02:24,1.901100E+000,9.947100E-001,3.748800E-002,1.307600E-002,-2.000000E-001

Factor Contributions (conc. units) from Base Run #19 (Convergent Run)
(Total Variable = mass)

,,,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5
19,11/12/06 04:19,1.958698E+001,4.065756E+001,-1.231412E-002,1.952057E-001,-2.610798E-001
19,11/16/06 04:08,2.395800E+001,3.543270E+001,-4.383311E-001,1.347929E-001,3.270433E-001
19,11/18/06 04:01,2.578405E+001,3.327558E+001,-9.778365E-001,1.448369E-001,5.322446E-001
19,11/20/06 03:11,2.226358E+001,4.231877E+001,4.942440E-001,2.909321E-002,-6.129241E-002
19,11/22/06 03:22,1.874792E+001,1.912902E+001,4.434810E-001,6.491084E-002,1.095379E-001
19,11/26/06 03:04,1.869986E+001,1.468102E+001,-7.128178E-002,-1.911265E-003,4.781527E-001
19,11/28/06 03:01,1.321148E+001,1.378324E+001,2.688650E-001,2.305955E+001,5.291886E-001
19,12/04/06 05:21,1.706937E+001,1.326514E+001,8.098258E-001,2.379381E+001,3.516797E-001
19,12/06/06 03:32,1.505926E+001,3.038131E+001,-4.390028E-001,-3.607507E+000,2.656874E+001
19,12/08/06 03:28,7.199101E+000,1.813720E+001,3.206197E-001,2.354181E+001,8.194184E-002
19,12/10/06 03:20,2.264174E+001,8.451488E+001,4.281673E-001,2.182308E-002,7.979791E-001
19,12/12/06 03:18,2.320794E+001,3.957228E-001,1.872187E-001,-3.402276E+000,2.618321E+001
19,12/14/06 03:19,2.462449E+001,2.343741E+001,1.693861E+000,9.963342E-002,-1.005296E-002
19,12/16/06 03:09,2.417111E+001,2.540353E+001,2.215566E+000,-1.477323E-001,3.481535E-001
19,12/18/06 03:10,2.304289E+001,1.434516E+001,1.560236E-002,-4.882772E-002,4.523409E-001
19,12/20/06 03:26,1.436937E+001,3.194264E+001,1.819729E+000,-1.987592E-002,2.087393E-001
19,12/22/06 03:29,1.276061E+001,2.102971E+001,1.594142E-001,1.629561E-001,9.647683E-002
19,01/01/07 03:20,1.360343E+001,9.720759E+001,5.625838E-001,4.480830E+001,5.754758E-001
19,01/03/07 03:07,-9.886985E-001,2.261616E+002,2.875373E+000,1.029802E+002,8.428323E-001
19,01/05/07 02:54,1.515014E+001,-3.497943E+000,3.639298E+002,-3.625819E+000,-3.142314E-001
19,01/07/07 03:09,1.562002E+001,1.756536E+002,2.531995E+000,5.365392E+001,8.041382E-001
19,01/09/07 03:02,2.364879E+001,1.595380E+002,2.429797E-001,1.105096E+000,2.214877E-001
19,01/11/07 02:55,2.696242E+001,9.738282E+001,-4.314859E-001,5.119368E+001,6.732926E-001
19,01/13/07 03:27,9.926891E+000,9.013986E+001,1.903694E+000,8.365907E+001,2.633366E+001
19,01/15/07 03:19,3.025306E+000,1.173302E+002,5.941708E-002,5.005693E+001,9.102298E-002
19,01/17/07 03:14,8.130929E-001,9.892487E+001,1.682186E+000,9.736354E+001,1.195241E+000
19,01/19/07 03:40,6.821982E+000,1.702097E+002,4.444486E+000,8.189865E+001,2.046230E-001
19,01/21/07 03:30,-4.178600E+000,1.008115E+002,-1.599260E+000,1.273832E+002,5.959043E-001
19,01/23/07 07:32,2.322884E+001,9.738282E+001,4.688305E-001,9.691029E-002,-2.804739E-001
19,01/25/07 05:42,2.830793E+001,4.670135E+001,-6.975042E-001,2.009167E-001,-1.337911E-001
19,01/27/07 03:15,2.818466E+001,3.866341E+001,-9.470492E-001,2.835713E-001,-4.190301E-002
19,01/29/07 03:26,2.746176E+001,3.435910E+001,1.105144E-001,1.776813E-001,-6.597050E-002
19,01/31/07 03:30,2.035292E+001,1.452740E+001,-4.822810E-001,9.124829E-002,3.012080E-001
19,02/02/07 03:13,2.650068E+001,1.769795E+001,2.026524E-001,1.215544E-001,2.121785E-001
19,02/04/07 03:16,2.510085E+001,1.752213E+001,-8.491696E-002,1.067458E-001,2.509949E-001
19,02/16/07 02:51,2.500056E+001,2.341580E+001,-3.269611E-001,8.401442E-002,2.882081E-001
19,02/18/07 02:34,3.995368E+001,2.228204E+001,-1.037252E+000,2.430145E-001,5.376985E-001
19,02/24/07 02:38,3.768261E+001,2.117340E+001,1.820369E-001,3.189611E-001,-1.970182E-001
19,02/26/07 00:46,3.686361E+001,2.413484E+001,-3.159976E-002,2.651513E-001,-1.151022E-001
19,02/28/07 00:39,4.079567E+001,2.499991E+001,-7.188074E-001,2.657677E-001,-2.847289E-001
19,11/14/07 04:52,2.578614E+001,6.366215E+000,5.518043E-001,1.671495E-001,7.174877E-003
19,12/08/07 04:07,2.800498E+001,2.009397E+001,4.977386E-001,1.199771E-001,8.762607E-002
19,12/26/07 03:31,2.200033E+001,1.095148E+002,1.257161E+000,2.847860E+001,-4.701600E-001
19,01/07/08 03:04,1.406391E+001,7.452075E+001,1.433648E+000,9.012423E+000,1.785456E-001
19,01/13/08 03:21,1.978630E+001,4.268325E+001,9.250583E-001,-8.050264E-002,3.060507E-001
19,01/19/08 02:55,3.846819E+001,1.758171E+002,7.520576E+000,-3.806756E-001,-4.609214E-001
19,01/31/08 03:32,1.248210E+001,1.657646E+002,9.226592E-001,7.329596E+001,8.125305E-001
19,02/06/08 03:36,2.687258E+001,3.201390E+001,-1.549361E+000,1.995932E+001,2.665572E+001
19,02/18/08 02:24,3.971968E+001,5.810201E+001,2.997803E-001,2.370679E-001,-4.701600E-001
