
Factor Profiles (conc. of species) from Base Run #19 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5
19,mass,2.089300E+001,5.841100E+001,7.996700E+000,1.813000E+001,2.350800E+000
19,Na,4.888700E-009,6.193200E-003,8.156300E-001,3.039800E+001,5.446300E-001
19,Mg,2.078900E-001,4.024000E-001,1.894600E-001,2.862700E-002,1.681500E-002
19,Al,1.565400E+000,2.593200E+000,5.819800E-002,5.189800E-001,4.629800E-002
19,Si,3.541300E+000,7.206800E+000,0.000000E+000,1.403100E+000,1.974800E-001
19,P,9.077800E-003,7.317800E-003,2.538100E-002,1.043500E-004,1.008000E-001
19,S,1.422900E-001,5.129500E-002,2.103900E-002,0.000000E+000,1.228000E-003
19,Cl,1.073500E+000,0.000000E+000,4.281200E-004,1.527300E-001,1.323600E-003
19,K,2.938900E-001,5.020500E-001,7.399500E-003,1.333600E-001,8.371000E-003
19,Ca,8.505900E-001,1.988600E+000,8.502400E-004,5.048200E-001,7.334300E-002
19,Ti,9.626600E-002,2.660300E-001,8.424500E-003,7.146900E-002,7.083700E-003
19,V,1.787300E-003,3.564300E-003,8.702200E-003,1.280700E-003,8.103000E-005
19,Mn,1.170700E-002,4.250800E-002,8.788300E-003,1.094300E-002,1.297000E-003
19,Fe,8.906100E-001,2.486200E+000,3.219900E-003,7.584700E-001,7.397700E-002
19,Zn,1.105600E-002,7.015100E-003,8.821300E-003,6.328800E-003,6.610600E-005
19,Br,3.464700E-003,6.738500E-004,1.130300E-002,3.188700E-004,1.206400E-004
19,Pb,3.821200E-003,1.459600E-003,2.237800E-002,2.293500E-003,4.760600E-004

Factor Profiles (% of species sum) from Base Run #19 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5
19,mass,1.938459E+001,5.419390E+001,7.419363E+000,1.682107E+001,2.181079E+000
19,Na,1.539047E-008,1.949727E-002,2.567744E+000,9.569817E+001,1.714590E+000
19,Mg,2.459678E+001,4.761049E+001,2.241621E+001,3.387041E+000,1.989489E+000
19,Al,3.273474E+001,5.422749E+001,1.217003E+000,1.085261E+001,9.681569E-001
19,Si,2.867756E+001,5.836089E+001,0.000000E+000,1.136235E+001,1.599199E+000
19,P,6.362307E+000,5.128786E+000,1.778864E+001,7.313520E-002,7.064713E+001
19,S,6.592017E+001,2.376397E+001,9.746956E+000,0.000000E+000,5.689083E-001
19,Cl,8.741987E+001,0.000000E+000,3.486371E-002,1.243748E+001,1.077866E-001
19,K,3.109715E+001,5.312302E+001,7.829574E-001,1.411112E+001,8.857540E-001
19,Ca,2.488413E+001,5.817676E+001,2.487389E-002,1.476858E+001,2.145659E+000
19,Ti,2.142705E+001,5.921341E+001,1.875140E+000,1.590769E+001,1.576702E+000
19,V,1.159415E+001,2.312149E+001,5.645087E+001,8.307856E+000,5.256388E-001
19,Mn,1.555886E+001,5.649407E+001,1.167984E+001,1.454349E+001,1.723742E+000
19,Fe,2.114219E+001,5.901991E+001,7.643721E-002,1.800532E+001,1.756140E+000
19,Zn,3.321386E+001,2.107440E+001,2.650049E+001,1.901265E+001,1.985922E-001
19,Br,2.181655E+001,4.243104E+000,7.117283E+001,2.007864E+000,7.596470E-001
19,Pb,1.255802E+001,4.796841E+000,7.354324E+001,7.537376E+000,1.564527E+000

Factor Profiles (% of total variable) from Base Run #19 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5
19,mass,*,*,*,*,*
19,Na,2.339875E-008,1.060280E-002,1.019958E+001,1.676669E+002,2.316786E+001
19,Mg,9.950222E-001,6.889113E-001,2.369227E+000,1.578985E-001,7.152884E-001
19,Al,7.492462E+000,4.439575E+000,7.277752E-001,2.862548E+000,1.969457E+000
19,Si,1.694970E+001,1.233809E+001,0.000000E+000,7.739107E+000,8.400544E+000
19,P,4.344900E-002,1.252812E-002,3.173934E-001,5.755654E-004,4.287902E+000
19,S,6.810415E-001,8.781736E-002,2.630960E-001,0.000000E+000,5.223754E-002
19,Cl,5.138084E+000,0.000000E+000,5.353708E-003,8.424159E-001,5.630424E-002
19,K,1.406643E+000,8.595127E-001,9.253192E-002,7.355764E-001,3.560915E-001
19,Ca,4.071172E+000,3.404496E+000,1.063239E-002,2.784446E+000,3.119917E+000
19,Ti,4.607572E-001,4.554450E-001,1.053497E-001,3.942030E-001,3.013315E-001
19,V,8.554540E-003,6.102104E-003,1.088224E-001,7.063983E-003,3.446912E-003
19,Mn,5.603312E-002,7.277396E-002,1.098991E-001,6.035852E-002,5.517271E-002
19,Fe,4.262720E+000,4.256390E+000,4.026536E-002,4.183508E+000,3.146886E+000
19,Zn,5.291725E-002,1.200990E-002,1.103118E-001,3.490789E-002,2.812064E-003
19,Br,1.658307E-002,1.153635E-003,1.413458E-001,1.758798E-003,5.131870E-003
19,Pb,1.828938E-002,2.498844E-003,2.798404E-001,1.265030E-002,2.025098E-002
