
Factor Contributions (avg = 1) from Base Run #7 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5
7,11/12/06 04:19,3.246700E+000,2.267300E+000,7.091300E-002,-2.000000E-001,6.410400E-001
7,11/16/06 04:08,3.300100E+000,8.397600E-001,1.884600E-001,1.954700E+000,1.093400E+000
7,11/18/06 04:01,3.646400E+000,-1.690000E-001,3.138300E-001,2.767700E+000,1.205800E+000
7,11/20/06 03:11,3.470600E+000,1.977900E+000,1.008600E-002,6.031800E-001,1.024000E+000
7,11/22/06 03:22,1.894000E+000,1.131100E+000,2.599600E-001,1.028600E+000,7.150900E-001
7,11/26/06 03:04,1.253000E+000,1.136000E+000,1.502000E-001,2.029800E+000,8.133700E-001
7,11/28/06 03:01,1.926500E+000,1.357900E+000,-1.542700E-001,2.162300E+000,9.898800E-001
7,11/30/06 03:08,5.860600E-001,3.997800E+000,-2.000000E-001,3.326000E-001,1.604600E+000
7,02/02/07 03:13,2.315500E+000,9.868900E-001,4.674800E-001,1.441400E+000,1.175600E+000
7,02/04/07 03:16,1.959100E+000,1.640900E+000,4.490600E-001,1.402800E+000,5.950600E-001
7,02/06/07 03:20,8.523600E-001,1.139700E+000,8.024400E-001,9.452800E-001,4.780500E-001
7,02/08/07 03:14,1.261100E+000,-2.000000E-001,1.201100E+000,1.626200E+000,5.084200E-001
7,02/12/07 03:09,6.011800E-001,1.271400E+000,6.334500E-001,1.469800E+000,1.386400E+000
7,02/14/07 03:01,8.156800E-001,2.090600E+000,2.200800E-001,1.145400E+000,9.290100E-001
7,02/16/07 02:51,2.440300E+000,1.265300E+000,3.441000E-001,1.715800E+000,8.174400E-001
7,02/18/07 02:34,2.273000E+000,2.932800E+000,5.843800E-001,2.403200E+000,1.551500E+000
7,02/20/07 02:37,1.252500E+000,1.152200E+000,1.142200E+000,1.070500E+000,8.253100E-001
7,02/22/07 02:35,1.367800E+000,4.322700E-001,1.468700E+000,1.094500E+000,1.084300E+000
7,02/24/07 02:38,3.494800E+000,1.102000E+000,8.726200E-001,7.037600E-001,1.743100E+000
7,02/26/07 00:46,3.700600E+000,8.319200E-001,7.250200E-001,9.529500E-001,1.897400E+000
7,02/28/07 00:39,4.092700E+000,1.033200E+000,8.490800E-001,3.872300E-001,1.867800E+000
