
Factor Profiles (conc. of species) from Base Run #7 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5
7,mass,1.214900E+001,7.375600E+000,4.508700E+000,3.463800E+000,3.368100E+000
7,Na,0.000000E+000,2.842300E-003,5.281600E-001,2.834300E-002,0.000000E+000
7,Mg,1.378400E-001,2.180900E-002,6.807200E-002,8.845900E-003,0.000000E+000
7,Al,8.372600E-001,4.049900E-001,4.432800E-002,2.164300E-001,4.774400E-002
7,Si,1.958000E+000,9.436800E-001,1.369900E-001,5.141600E-001,1.326200E-001
7,P,0.000000E+000,2.390900E-003,0.000000E+000,1.304400E-002,0.000000E+000
7,S,1.159700E-002,0.000000E+000,3.351800E-002,7.864300E-003,1.366600E-001
7,Cl,1.660900E-001,2.027300E-001,1.027300E+000,1.481400E-001,4.806700E-002
7,K,1.137700E-001,3.425500E-002,0.000000E+000,3.232100E-002,1.747600E-001
7,Ca,4.116500E-001,3.670400E-001,1.286300E-001,1.533700E-001,7.276100E-002
7,Ti,5.989100E-002,3.598200E-002,5.192500E-003,1.755200E-002,5.724400E-003
7,V,9.588200E-004,5.538200E-004,1.207000E-004,2.004700E-004,1.235900E-004
7,Mn,8.692600E-003,4.066700E-003,6.399800E-004,1.554800E-003,1.411900E-003
7,Fe,5.017600E-001,3.236700E-001,6.431200E-002,2.535400E-001,7.352000E-002
7,Zn,0.000000E+000,8.768200E-003,0.000000E+000,0.000000E+000,6.831300E-003
7,Br,1.843000E-004,1.802800E-004,1.039700E-003,0.000000E+000,3.072500E-003
7,Pb,5.245600E-004,1.137800E-003,8.665700E-005,5.450800E-004,2.156100E-003

Factor Profiles (% of species sum) from Base Run #7 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5
7,mass,3.936148E+001,2.389617E+001,1.460771E+001,1.122235E+001,1.091229E+001
7,Na,0.000000E+000,5.081477E-001,9.442467E+001,5.067174E+000,0.000000E+000
7,Mg,5.826682E+001,9.218957E+000,2.877495E+001,3.739280E+000,0.000000E+000
7,Al,5.399058E+001,2.611572E+001,2.858484E+000,1.395645E+001,3.078764E+000
7,Si,5.312784E+001,2.560556E+001,3.717049E+000,1.395108E+001,3.598475E+000
7,P,0.000000E+000,1.549022E+001,0.000000E+000,8.450978E+001,0.000000E+000
7,S,6.115294E+000,0.000000E+000,1.767461E+001,4.146978E+000,7.206313E+001
7,Cl,1.043065E+001,1.273168E+001,6.451564E+001,9.303366E+000,3.018664E+000
7,K,3.203832E+001,9.646416E+000,0.000000E+000,9.101789E+000,4.921347E+001
7,Ca,3.631829E+001,3.238252E+001,1.134853E+001,1.353124E+001,6.419422E+000
7,Ti,4.816639E+001,2.893795E+001,4.175986E+000,1.411592E+001,4.603758E+000
7,V,4.898437E+001,2.829366E+001,6.166343E+000,1.024165E+001,6.313988E+000
7,Mn,5.311384E+001,2.484850E+001,3.910429E+000,9.500195E+000,8.627042E+000
7,Fe,4.123596E+001,2.660006E+001,5.285330E+000,2.083659E+001,6.042068E+000
7,Zn,0.000000E+000,5.620821E+001,0.000000E+000,0.000000E+000,4.379179E+001
7,Br,4.116798E+000,4.027001E+000,2.322428E+001,0.000000E+000,6.863192E+001
7,Pb,1.178734E+001,2.556741E+001,1.947262E+000,1.224845E+001,4.844954E+001

Factor Profiles (% of total variable) from Base Run #7 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5
7,mass,*,*,*,*,*
7,Na,0.000000E+000,3.853653E-002,1.171424E+001,8.182632E-001,0.000000E+000
7,Mg,1.134579E+000,2.956912E-001,1.509792E+000,2.553814E-001,0.000000E+000
7,Al,6.891596E+000,5.490943E+000,9.831659E-001,6.248340E+000,1.417535E+000
7,Si,1.611655E+001,1.279462E+001,3.038348E+000,1.484381E+001,3.937531E+000
7,P,0.000000E+000,3.241635E-002,0.000000E+000,3.765806E-001,0.000000E+000
7,S,9.545641E-002,0.000000E+000,7.434072E-001,2.270426E-001,4.057480E+000
7,Cl,1.367108E+000,2.748658E+000,2.278484E+001,4.276806E+000,1.427125E+000
7,K,9.364557E-001,4.644368E-001,0.000000E+000,9.331082E-001,5.188682E+000
7,Ca,3.388345E+000,4.976408E+000,2.852929E+000,4.427796E+000,2.160298E+000
7,Ti,4.929706E-001,4.878518E-001,1.151662E-001,5.067267E-001,1.699593E-001
7,V,7.892172E-003,7.508813E-003,2.677047E-003,5.787574E-003,3.669428E-003
7,Mn,7.154992E-002,5.513721E-002,1.419434E-002,4.488712E-002,4.191978E-002
7,Fe,4.130052E+000,4.388389E+000,1.426398E+000,7.319707E+000,2.182833E+000
7,Zn,0.000000E+000,1.188812E-001,0.000000E+000,0.000000E+000,2.028235E-001
7,Br,1.516997E-003,2.444276E-003,2.305986E-002,0.000000E+000,9.122354E-002
7,Pb,4.317722E-003,1.542654E-002,1.921995E-003,1.573647E-002,6.401532E-002
