
Factor Contributions (avg = 1) from Base Run #14 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5
14,11/12/06 03:20,1.225800E+000,1.089200E+000,3.948500E-001,2.188500E+000,-2.000000E-001
14,11/14/06 02:25,1.819400E+000,1.015900E+000,3.190600E-001,2.481300E+000,-1.533600E-001
14,11/16/06 03:20,9.987600E-001,1.324400E+000,5.432300E-001,1.964600E+000,-1.020000E-001
14,11/18/06 03:18,8.630900E-001,1.253900E+000,9.081100E-001,1.657400E+000,1.355400E-001
14,11/20/06 02:28,1.108900E+000,1.143000E+000,3.846700E-001,2.034200E+000,8.205500E-002
14,11/22/06 02:36,1.655700E+000,9.359300E-001,6.439400E-001,1.825700E+000,9.101000E-001
14,11/24/06 02:30,1.158100E+000,1.571900E+000,9.762900E-001,1.838400E+000,1.623400E-001
14,11/26/06 02:31,9.854500E-001,9.915000E-001,7.092800E-001,1.220800E+000,1.620700E+000
14,11/28/06 02:26,9.544400E-002,1.450600E+000,1.355100E+000,7.852100E-001,1.121800E+000
14,11/30/06 02:31,4.027800E-001,2.275900E+000,1.524900E+000,5.617300E-001,6.101400E-001
14,12/02/06 02:40,2.995600E-001,1.750300E+000,1.311300E+000,1.584100E-001,8.197400E-001
14,12/04/06 02:53,3.576800E-001,1.987100E+000,1.604800E+000,6.900400E-001,2.578500E+000
14,12/06/06 02:55,-2.000000E-001,3.074000E+000,2.059700E+000,1.803400E+000,6.682800E-001
14,12/08/06 02:45,-2.000000E-001,2.851900E+000,1.237500E+000,1.446600E+000,2.171100E+000
14,12/10/06 02:48,6.512200E-001,3.149800E+000,1.236500E+000,1.500300E+000,1.188000E+000
14,12/12/06 02:49,5.491600E-001,2.131600E+000,9.939000E-001,1.394900E+000,1.107500E+000
14,12/14/06 02:50,2.805900E-001,1.767700E+000,1.317900E+000,1.285800E+000,3.429800E+000
14,12/16/06 02:39,9.830200E-002,2.212400E+000,9.703500E-001,1.029800E+000,2.168100E+000
14,12/18/06 02:36,1.015100E+000,2.229500E+000,8.268600E-001,9.945700E-001,8.639300E-001
14,12/20/06 02:55,6.551800E-001,2.532400E+000,1.253900E+000,7.334400E-001,1.344700E+000
14,12/22/06 02:57,1.610200E+000,2.514900E+000,7.109900E-001,7.335400E-001,6.413300E-001
14,12/24/06 04:00,9.694500E-001,2.402900E+000,1.134700E+000,4.176000E-001,1.144700E+000
14,12/26/06 02:52,5.996000E-001,2.827500E+000,9.471200E-001,3.273100E-001,2.988800E+000
14,12/28/06 02:53,9.621800E-001,2.019400E+000,1.264400E+000,2.760900E-001,1.976800E+000
14,12/30/06 03:04,1.778400E+000,2.507800E+000,1.492000E+000,6.845000E-001,8.874000E-001
14,01/01/07 03:27,-2.000000E-001,2.519700E+000,6.412600E-001,4.132300E+000,3.198700E+000
14,01/03/07 03:25,-2.000000E-001,1.939100E+000,-1.348800E-001,1.254100E+001,-2.000000E-001
14,01/05/07 02:58,7.060700E-002,2.051600E+000,-2.000000E-001,1.369300E+001,1.069600E+000
14,01/07/07 02:53,4.851700E-001,2.604900E+000,3.512400E-001,6.296200E+000,5.451300E-001
14,01/09/07 02:25,-2.000000E-001,3.082500E+000,2.091000E-001,7.319900E+000,-1.382100E-001
14,01/11/07 02:28,-5.983700E-002,2.577900E+000,9.442800E-001,4.467000E+000,1.697900E+000
14,01/13/07 02:51,-2.000000E-001,2.111100E+000,6.033600E-001,8.046100E+000,1.941500E-001
14,01/15/07 02:43,-2.000000E-001,4.516900E+000,1.646200E+000,2.141800E+001,8.865800E-002
14,01/17/07 02:40,1.857500E-001,2.163800E+000,1.101800E+000,6.291000E+000,8.569300E-001
14,01/19/07 03:06,-2.000000E-001,2.379100E+000,8.626000E-001,1.034600E+001,3.375200E-001
14,01/21/07 02:59,6.063000E-001,1.711000E+000,7.742800E-001,6.302000E+000,1.724600E+000
14,01/23/07 05:16,8.887800E-001,2.153700E+000,7.145700E-001,4.820100E+000,-4.504300E-003
14,01/25/07 03:02,1.269200E+000,1.595200E+000,4.534300E-001,2.670700E+000,1.579400E+000
14,01/27/07 02:55,7.869000E-001,2.007700E+000,5.503700E-001,1.922900E+000,1.124400E-001
14,01/29/07 03:00,5.957000E-001,2.246500E+000,1.478600E+000,2.065000E+000,3.102100E-001
14,01/31/07 02:59,5.199900E-001,1.802100E+000,1.028500E+000,6.770600E-001,1.095200E+000
14,02/02/07 02:41,8.408100E-001,1.879000E+000,8.213400E-001,8.300200E-001,6.586300E-001
14,02/04/07 02:45,9.831100E-001,1.770700E+000,7.100600E-001,8.222600E-001,4.405700E-001
14,02/06/07 02:47,1.998800E+000,9.534600E-001,6.071300E-001,4.938100E-001,8.877200E-001
14,02/08/07 02:47,2.433500E+000,1.156600E+000,2.513700E-001,4.518100E-001,2.366900E-001
14,02/10/07 02:43,1.994100E+000,1.112700E+000,6.258800E-001,4.452100E-001,5.396300E-001
14,02/12/07 02:42,1.273500E+000,5.994900E-001,9.153600E-001,2.977200E-001,1.479900E+000
14,02/14/07 02:34,3.548200E-001,1.298800E+000,1.140700E+000,2.948000E-001,9.008000E-001
14,02/16/07 02:20,7.234700E-001,1.395200E+000,1.043600E+000,8.922500E-001,2.609100E-001
14,02/18/07 02:08,1.943200E+000,9.924000E-001,1.277300E+000,1.054900E+000,3.819500E-001
14,02/20/07 02:12,3.456200E+000,4.389700E-001,5.259300E-002,9.560300E-001,2.923800E-001
14,02/22/07 02:11,1.652600E+000,7.461000E-001,8.786500E-001,3.998900E-001,6.582200E-001
14,02/24/07 02:17,6.573200E-001,1.315600E+000,1.467500E+000,5.896500E-001,1.033200E+000
14,02/26/07 00:17,8.385400E-001,9.471400E-001,1.076200E+000,7.042200E-001,7.606000E-001
14,02/28/07 00:09,7.280500E-001,1.271300E+000,8.738400E-001,8.383500E-001,2.626200E-001
14,03/02/07 00:06,4.174900E-001,1.057900E+000,1.095700E+000,7.490100E-001,5.587800E-001
14,03/04/07 00:26,7.281400E-001,1.195700E+000,5.638600E-001,1.818600E+000,3.493500E-001
14,03/06/07 00:33,1.322000E+000,9.131400E-001,1.834400E-001,2.733500E+000,9.325000E-001
14,03/08/07 00:13,1.477900E+000,8.626200E-001,3.760800E-001,1.398400E+000,8.307300E-002
14,03/10/07 00:11,1.227200E+000,9.582600E-001,4.192000E-001,1.306900E+000,1.257300E-001
14,03/12/07 00:18,1.515000E+000,7.494800E-001,5.312700E-001,9.882200E-001,5.617900E-001
14,03/16/07 00:10,1.461300E+000,7.206100E-001,1.275500E+000,6.540600E-001,3.473400E-001
14,03/18/07 00:15,8.429700E-001,7.022300E-001,9.416000E-001,3.429500E-001,4.377700E-001
14,03/20/07 00:26,1.321100E+000,5.203600E-001,8.446100E-001,8.597200E-001,1.235300E+000
14,03/22/07 00:21,8.832500E-001,7.833800E-001,7.717200E-001,8.832100E-001,1.051200E+000
14,03/24/07 00:07,1.176700E+000,5.216700E-001,7.850900E-001,5.419600E-001,5.178100E-001
14,03/26/07 00:47,1.285200E+000,3.599500E-001,1.957100E+000,1.580200E-001,3.252900E-001
14,03/28/07 00:47,7.903500E-001,7.070900E-001,1.472800E+000,4.794100E-002,7.643600E-001
14,03/30/07 00:36,8.552200E-001,7.015500E-001,1.341000E+000,1.697700E-001,6.590200E-001
14,04/01/07 00:27,8.704100E-001,2.866600E-001,9.063000E-001,1.294900E-001,2.669400E-001
14,04/03/07 00:30,7.563800E-001,8.076200E-002,1.381800E+000,1.145100E-001,1.950100E+000
14,04/05/07 00:29,6.759000E-001,4.065900E-001,1.138900E+000,1.757300E-001,3.443400E-001
14,04/07/07 00:12,5.361600E-001,6.086500E-001,1.286000E+000,1.220900E-001,6.610700E-001
14,04/09/07 00:30,5.114600E-001,6.395600E-001,1.354800E+000,1.610300E-001,6.672100E-001
14,04/11/07 00:36,7.339700E-001,3.989100E-001,8.792000E-001,1.087500E-001,4.537600E-001
14,04/13/07 00:28,9.627500E-001,5.164700E-001,1.202300E+000,2.041400E-001,1.670800E+000
14,04/15/07 00:33,1.077400E+000,3.515300E-001,9.557100E-001,3.103200E-001,5.931600E-001
14,04/17/07 00:38,1.218500E+000,3.761800E-001,1.227300E+000,2.604200E-001,2.709700E-001
14,04/19/07 00:42,1.047900E+000,4.992400E-001,1.231100E+000,3.085600E-001,9.854200E-001
14,04/21/07 00:40,1.590200E+000,2.556700E-001,9.358100E-001,3.847800E-001,6.519000E-001
14,04/23/07 00:42,6.320200E-001,5.928200E-001,1.139400E+000,2.080700E-001,3.850300E-001
14,04/25/07 00:54,1.421200E+000,1.074600E-001,1.276000E+000,1.639700E-001,1.403200E+000
14,04/27/07 00:45,6.880400E-001,2.724300E-002,1.069000E+000,1.303600E-001,1.213800E+000
14,04/29/07 00:52,6.678200E-001,2.476900E-001,1.230100E+000,7.999400E-002,9.261900E-001
14,05/01/07 00:57,7.041500E-001,4.676100E-001,1.232500E+000,1.599700E-001,5.273500E-001
14,05/03/07 01:03,5.366600E-001,4.780100E-001,1.148700E+000,1.392800E-001,9.820900E-001
14,05/05/07 00:59,1.170500E+000,1.063600E-001,1.296200E+000,1.963500E-001,7.326900E-001
14,05/07/07 00:57,1.031900E+000,2.205700E-001,9.606700E-001,1.675500E-001,2.738100E-001
14,05/09/07 00:57,4.876500E-001,6.590100E-001,1.446200E+000,1.730900E-001,3.668000E-001
14,05/11/07 01:03,4.610200E-001,6.191600E-001,1.454000E+000,3.772700E-002,3.885600E-001
14,05/13/07 01:04,6.100800E-001,3.709400E-001,1.294100E+000,2.802800E-001,6.296700E-001
14,05/15/07 01:10,6.611700E-001,4.055100E-001,8.272600E-001,3.190500E-001,2.573500E-001
14,05/17/07 01:01,7.395500E-001,9.688000E-001,1.281300E+000,4.181500E-002,4.080600E-001
14,05/19/07 01:01,2.746400E-001,1.227300E-001,6.671000E-001,4.689200E-002,2.075800E-001
14,05/21/07 00:47,8.739700E-001,4.145400E-001,1.762500E+000,-1.745900E-002,3.238900E-001
14,05/23/07 01:28,1.365200E+000,-1.570700E-002,1.028900E+000,7.743800E-002,5.554800E-001
14,05/25/07 01:33,1.151400E+000,2.661900E-001,1.070300E+000,1.398800E-001,4.007200E-001
