
Factor Profiles (conc. of species) from Base Run #14 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5
14,mass,6.439600E+000,1.192000E+001,1.189700E+001,3.690300E+001,1.343300E+000
14,Na,1.723700E-001,0.000000E+000,3.972000E-002,0.000000E+000,2.956200E-002
14,Mg,8.257300E-003,4.195300E-002,0.000000E+000,3.831400E-001,1.676200E-002
14,Al,2.515600E-003,3.677800E-001,1.695000E-001,2.693200E+000,3.557500E-002
14,Si,0.000000E+000,8.195400E-001,3.107100E-001,5.911900E+000,5.744400E-002
14,P,2.751700E-003,1.839000E-002,5.224300E-018,4.473700E-003,1.991400E-003
14,S,1.756600E-001,5.172400E-001,8.715400E-003,0.000000E+000,1.132900E-001
14,Cl,3.897100E-001,0.000000E+000,0.000000E+000,2.289300E-001,0.000000E+000
14,K,1.930200E-001,4.504400E-001,2.387700E-001,5.220900E-001,9.835000E-002
14,Ca,4.048800E-002,1.412800E-001,1.110700E-001,9.650200E-001,3.002000E-002
14,Ti,1.316600E-003,2.291300E-002,1.340600E-002,1.770900E-001,1.935300E-003
14,V,3.535900E-004,5.402600E-004,7.237100E-004,2.602900E-003,2.022500E-005
14,Mn,8.740000E-004,3.629400E-003,3.941200E-003,2.485700E-002,0.000000E+000
14,Fe,2.179500E-002,1.988800E-001,1.688800E-001,1.499300E+000,2.789500E-003
14,Zn,7.274400E-003,6.582000E-003,1.274900E-002,9.644000E-003,2.363000E-003
14,Br,3.747800E-003,0.000000E+000,2.212300E-011,3.453700E-003,2.041000E-002
14,Pb,3.994500E-003,1.763200E-003,7.364600E-003,4.303500E-003,1.754300E-003
14,BC,8.279300E-001,5.655000E-001,1.960300E+000,1.667100E-001,0.000000E+000

Factor Profiles (% of species sum) from Base Run #14 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5
14,mass,9.400478E+000,1.740072E+001,1.736715E+001,5.387071E+001,1.960939E+000
14,Na,7.132985E+001,0.000000E+000,1.643686E+001,0.000000E+000,1.223329E+001
14,Mg,1.834498E+000,9.320563E+000,0.000000E+000,8.512098E+001,3.723959E+000
14,Al,7.696331E-002,1.125201E+001,5.185753E+000,8.239687E+001,1.088396E+000
14,Si,0.000000E+000,1.154348E+001,4.376448E+000,8.327096E+001,8.091167E-001
14,P,9.967472E+000,6.661402E+001,1.892396E-014,1.620506E+001,7.213440E+000
14,S,2.155588E+001,6.347240E+001,1.069498E+000,0.000000E+000,1.390223E+001
14,Cl,6.299463E+001,0.000000E+000,0.000000E+000,3.700537E+001,0.000000E+000
14,K,1.284514E+001,2.997598E+001,1.588972E+001,3.474416E+001,6.545017E+000
14,Ca,3.143776E+000,1.096998E+001,8.624264E+000,7.493101E+001,2.330966E+000
14,Ti,6.076777E-001,1.057551E+001,6.187549E+000,8.173602E+001,8.932391E-001
14,V,8.338039E+000,1.273992E+001,1.706587E+001,6.137923E+001,4.769277E-001
14,Mn,2.624499E+000,1.089858E+001,1.183487E+001,7.464206E+001,0.000000E+000
14,Fe,1.152172E+000,1.051360E+001,8.927682E+000,7.925908E+001,1.474643E-001
14,Zn,1.883954E+001,1.704634E+001,3.301789E+001,2.497643E+001,6.119796E+000
14,Br,1.357333E+001,0.000000E+000,8.012241E-008,1.250819E+001,7.391847E+001
14,Pb,2.082627E+001,9.192862E+000,3.839709E+001,2.243732E+001,9.146459E+000
14,BC,2.351780E+001,1.606333E+001,5.568338E+001,4.735487E+000,0.000000E+000

Factor Profiles (% of total variable) from Base Run #14 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5
14,mass,*,*,*,*,*
14,Na,2.676719E+000,0.000000E+000,3.338657E-001,0.000000E+000,2.200700E+000
14,Mg,1.282269E-001,3.519547E-001,0.000000E+000,1.038235E+000,1.247823E+000
14,Al,3.906454E-002,3.085403E+000,1.424729E+000,7.298052E+000,2.648329E+000
14,Si,0.000000E+000,6.875336E+000,2.611667E+000,1.602011E+001,4.276334E+000
14,P,4.273092E-002,1.542785E-001,4.391275E-017,1.212286E-002,1.482469E-001
14,S,2.727809E+000,4.339262E+000,7.325713E-002,0.000000E+000,8.433708E+000
14,Cl,6.051774E+000,0.000000E+000,0.000000E+000,6.203561E-001,0.000000E+000
14,K,2.997391E+000,3.778859E+000,2.006977E+000,1.414763E+000,7.321522E+000
14,Ca,6.287347E-001,1.185235E+000,9.335967E-001,2.615018E+000,2.234795E+000
14,Ti,2.044537E-002,1.922232E-001,1.126839E-001,4.798797E-001,1.440706E-001
14,V,5.490869E-003,4.532382E-003,6.083130E-003,7.053356E-003,1.505621E-003
14,Mn,1.357227E-002,3.044799E-002,3.312768E-002,6.735767E-002,0.000000E+000
14,Fe,3.384527E-001,1.668456E+000,1.419518E+000,4.062813E+000,2.076602E-001
14,Zn,1.129635E-001,5.521812E-002,1.071615E-001,2.613338E-002,1.759101E-001
14,Br,5.819927E-002,0.000000E+000,1.859544E-010,9.358860E-003,1.519392E+000
14,Pb,6.203025E-002,1.479195E-002,6.190300E-002,1.166165E-002,1.305963E-001
14,BC,1.285685E+001,4.744128E+000,1.647726E+001,4.517519E-001,0.000000E+000
