
Factor Contributions (avg = 1) from Base Run #18 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5
18,11/14/06 02:25,1.181200E+000,2.325500E+000,6.470700E-001,-1.345500E-001,4.368100E-001
18,11/16/06 03:20,8.644900E-001,1.474200E+000,8.231900E-001,-3.333100E-002,2.760700E-001
18,11/18/06 03:18,6.872900E-001,1.305000E+000,8.969500E-001,-2.894900E-002,3.986500E-001
18,11/20/06 02:28,8.831000E-001,1.437900E+000,6.614200E-001,1.008600E-001,3.976400E-001
18,11/22/06 02:36,6.397300E-001,2.036100E+000,6.275600E-001,3.157800E-001,1.000600E+000
18,11/24/06 02:30,7.435200E-001,1.612700E+000,1.097300E+000,-5.447200E-002,4.867800E-001
18,11/26/06 02:31,3.937200E-001,1.201600E+000,7.353700E-001,7.170400E-002,1.453000E+000
18,11/28/06 02:26,1.416700E-001,2.715700E-001,1.056900E+000,2.045500E-001,8.656700E-001
18,11/30/06 02:31,-9.313100E-002,6.065300E-001,1.484700E+000,3.860100E-001,4.366000E-001
18,12/04/06 02:53,-6.796400E-002,5.121900E-001,1.402900E+000,3.485400E-001,1.872500E+000
18,12/06/06 02:55,5.772700E-001,7.126600E-002,1.975200E+000,3.396400E-001,5.524800E-001
18,12/08/06 02:45,3.597300E-001,3.568300E-002,1.599700E+000,3.352300E-001,1.620600E+000
18,12/10/06 02:48,4.660300E-001,1.005400E+000,1.954100E+000,-2.000000E-001,1.185400E+000
18,12/12/06 02:49,3.690200E-001,7.551600E-001,1.249400E+000,3.422000E-001,9.299700E-001
18,12/14/06 02:50,2.244200E-001,4.708000E-001,1.194100E+000,4.163900E-001,2.556300E+000
18,12/16/06 02:39,2.217000E-001,2.930800E-001,1.324100E+000,1.228600E-001,1.621900E+000
18,12/18/06 02:36,2.471500E-001,1.199000E+000,1.371700E+000,-7.452000E-002,8.910800E-001
18,12/20/06 02:55,3.887700E-002,8.771700E-001,1.623000E+000,2.732200E-002,1.125700E+000
18,12/22/06 02:57,7.688800E-002,1.767600E+000,1.435700E+000,-5.552500E-002,7.730200E-001
18,12/24/06 04:00,-1.085100E-001,1.106700E+000,1.488700E+000,3.577100E-002,9.883900E-001
18,12/26/06 02:52,-2.000000E-001,6.820000E-001,1.545600E+000,7.218100E-002,2.224900E+000
18,12/30/06 03:04,-1.846100E-001,2.137000E+000,1.510000E+000,7.986400E-001,7.293900E-001
18,01/01/07 03:27,8.728300E-001,-2.000000E-001,9.983800E-001,3.510800E+000,1.715100E+000
18,01/03/07 03:25,5.398300E+000,-2.000000E-001,-3.087200E-002,4.574800E+000,-2.000000E-001
18,01/05/07 02:58,5.274500E+000,7.922800E-001,-2.000000E-001,5.497200E+000,7.232900E-001
18,01/07/07 02:53,2.100200E+000,9.605800E-001,8.311600E-001,3.071400E+000,2.756400E-001
18,01/09/07 02:25,3.103600E+000,-1.940500E-001,8.768200E-001,2.430900E+000,-2.471000E-002
18,01/11/07 02:28,1.505800E+000,3.490800E-001,1.135900E+000,1.810500E+000,1.168800E+000
18,01/13/07 02:51,3.081100E+000,4.806700E-001,5.445000E-001,3.227000E+000,6.964200E-002
18,01/15/07 02:43,8.566700E+000,1.612100E+000,8.925900E-001,8.065500E+000,7.964400E-002
18,01/17/07 02:40,1.919100E+000,1.012400E+000,9.064800E-001,3.540200E+000,3.208300E-001
18,01/19/07 03:06,3.766400E+000,6.777900E-001,6.032300E-001,4.711500E+000,6.438800E-003
