
Factor Profiles (conc. of species) from Base Run #18 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5
18,mass,6.917800E+001,5.971300E+000,3.611000E+001,5.106200E+001,4.296500E+000
18,Na,0.000000E+000,8.725400E-002,5.421200E-002,0.000000E+000,1.528100E-002
18,Mg,8.714300E-001,5.622000E-005,1.937300E-001,9.062800E-002,7.476900E-002
18,Al,4.956800E+000,1.873300E-001,1.655400E+000,9.576300E-001,3.125000E-001
18,Si,1.309200E+001,1.864200E-001,3.600800E+000,2.420600E+000,8.032900E-001
18,P,1.477500E-002,0.000000E+000,3.330700E-002,1.366700E-004,0.000000E+000
18,S,1.373700E-001,8.203000E-002,7.510600E-001,6.775200E-002,1.430700E-001
18,Cl,3.446400E-001,4.095200E-001,7.846900E-004,1.401700E-001,3.532600E-002
18,K,7.705500E-001,1.394900E-001,1.042200E+000,9.607100E-001,1.675200E-001
18,Ca,1.597400E+000,1.994000E-001,4.949600E-001,7.919200E-001,9.769700E-002
18,Ti,3.096700E-001,1.499500E-002,9.895700E-002,1.197300E-001,1.210200E-002
18,V,4.465600E-003,5.196100E-004,2.006900E-003,2.370700E-003,3.623300E-004
18,Mn,5.530800E-002,1.056200E-003,1.710600E-002,1.989600E-002,1.540200E-003
18,Fe,2.686100E+000,1.313000E-001,8.816400E-001,1.159100E+000,1.051200E-001
18,Zn,3.398400E-009,1.174500E-002,2.280800E-002,3.298900E-002,6.590800E-004
18,Br,9.403500E-004,1.813200E-006,3.149900E-004,7.841100E-003,2.800100E-002
18,Pb,9.283800E-004,4.377300E-003,1.003700E-002,1.097000E-002,2.318400E-003
18,BC,5.254200E-001,6.352600E-001,2.408200E+000,0.000000E+000,3.871800E-001

Factor Profiles (% of species sum) from Base Run #18 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5
18,mass,4.151897E+001,3.583831E+000,2.167235E+001,3.064618E+001,2.578656E+000
18,Na,0.000000E+000,5.566550E+001,3.458567E+001,0.000000E+000,9.748831E+000
18,Mg,7.081266E+001,4.568454E-003,1.574256E+001,7.364459E+000,6.075751E+000
18,Al,6.142514E+001,2.321411E+000,2.051388E+001,1.186704E+001,3.872530E+000
18,Si,6.512425E+001,9.273192E-001,1.791166E+001,1.204092E+001,3.995849E+000
18,P,3.064166E+001,0.000000E+000,6.907491E+001,2.834379E-001,0.000000E+000
18,S,1.162889E+001,6.944150E+000,6.358008E+001,5.735464E+000,1.211142E+001
18,Cl,3.704051E+001,4.401355E+001,8.433530E-002,1.506490E+001,3.796695E+000
18,K,2.501404E+001,4.528205E+000,3.383250E+001,3.118712E+001,5.438131E+000
18,Ca,5.021096E+001,6.267726E+000,1.555804E+001,2.489237E+001,3.070903E+000
18,Ti,5.575079E+001,2.699594E+000,1.781552E+001,2.155534E+001,2.178758E+000
18,V,4.591811E+001,5.342957E+000,2.063621E+001,2.437703E+001,3.725705E+000
18,Mn,5.827636E+001,1.112886E+000,1.802407E+001,2.096381E+001,1.622862E+000
18,Fe,5.411967E+001,2.645439E+000,1.776332E+001,2.335360E+001,2.117963E+000
18,Zn,4.982912E-006,1.722113E+001,3.344228E+001,4.837020E+001,9.663776E-001
18,Br,2.534687E+000,4.887430E-003,8.490468E-001,2.113547E+001,7.547591E+001
18,Pb,3.242560E+000,1.528863E+001,3.505631E+001,3.831501E+001,8.097494E+000
18,BC,1.328140E+001,1.605790E+001,6.087370E+001,0.000000E+000,9.787010E+000

Factor Profiles (% of total variable) from Base Run #18 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5
18,mass,*,*,*,*,*
18,Na,0.000000E+000,1.461223E+000,1.501302E-001,0.000000E+000,3.556616E-001
18,Mg,1.259692E+000,9.415035E-004,5.364996E-001,1.774862E-001,1.740230E+000
18,Al,7.165284E+000,3.137173E+000,4.584326E+000,1.875426E+000,7.273362E+000
18,Si,1.892509E+001,3.121933E+000,9.971753E+000,4.740511E+000,1.869638E+001
18,P,2.135795E-002,0.000000E+000,9.223761E-002,2.676550E-004,0.000000E+000
18,S,1.985747E-001,1.373738E+000,2.079922E+000,1.326858E-001,3.329920E+000
18,Cl,4.981931E-001,6.858138E+000,2.173054E-003,2.745094E-001,8.222041E-001
18,K,1.113866E+000,2.336007E+000,2.886181E+000,1.881458E+000,3.898988E+000
18,Ca,2.309116E+000,3.339306E+000,1.370701E+000,1.550899E+000,2.273874E+000
18,Ti,4.476423E-001,2.511179E-001,2.740432E-001,2.344797E-001,2.816711E-001
18,V,6.455231E-003,8.701790E-003,5.557740E-003,4.642787E-003,8.433144E-003
18,Mn,7.995027E-002,1.768794E-002,4.737192E-002,3.896439E-002,3.584778E-002
18,Fe,3.882882E+000,2.198851E+000,2.441540E+000,2.269985E+000,2.446643E+000
18,Zn,4.912545E-009,1.966908E-001,6.316256E-002,6.460577E-002,1.533993E-002
18,Br,1.359319E-003,3.036525E-005,8.723068E-004,1.535604E-002,6.517165E-001
18,Pb,1.342016E-003,7.330564E-002,2.779562E-002,2.148369E-002,5.396020E-002
18,BC,7.595189E-001,1.063855E+001,6.669067E+000,0.000000E+000,9.011521E+000
