**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 18

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 69.17800, 57.83700, 68.20650, 70.12350, 98.01700,107.44000, 77.77065, 17.61245,  0.22647,  0.25460
Na,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  7.48100,  1.10765,  2.70540,  2.44248,  0.00000
Mg,  0.87143,  0.23288,  0.85417,  0.87458,  0.88744,  0.90637,  0.76473,  0.23900,  0.31253,  0.27426
Al,  4.95680,  1.89830,  4.44925,  4.97785,  5.27170,  5.47960,  4.50024,  1.19836,  0.26629,  0.24176
Si, 13.09200,  4.96590, 11.88700, 13.18400, 13.91375, 14.42100, 11.89566,  3.17895,  0.26724,  0.24282
P,  0.01478,  0.00199,  0.01043,  0.01179,  0.01306,  0.01490,  0.01109,  0.00330,  0.29760,  0.22340
S,  0.13737,  0.03921,  0.08336,  0.10857,  0.13637,  0.15066,  0.10430,  0.03261,  0.31264,  0.23737
Cl,  0.34464,  0.00345,  0.26701,  0.37280,  0.43120,  0.44713,  0.32502,  0.13504,  0.41550,  0.39184
K,  0.77055,  0.73679,  0.76618,  0.78342,  1.38198,  1.49760,  0.98186,  0.31198,  0.31774,  0.40487
Ca,  1.59740,  0.98333,  1.41053,  1.62790,  2.03128,  2.16340,  1.64401,  0.36852,  0.22416,  0.23070
Ti,  0.30967,  0.19285,  0.26116,  0.31288,  0.37039,  0.39160,  0.30815,  0.06348,  0.20600,  0.20498
V,  0.00447,  0.00301,  0.00403,  0.00453,  0.00573,  0.00615,  0.00467,  0.00098,  0.20913,  0.21858
Mn,  0.05531,  0.03280,  0.04760,  0.05575,  0.06518,  0.06876,  0.05446,  0.01134,  0.20828,  0.20510
Fe,  2.68610,  1.71370,  2.31413,  2.71700,  3.29253,  3.49430,  2.71675,  0.56138,  0.20664,  0.20899
Zn,  0.00000,  0.00000,  0.00000,  0.00291,  0.02689,  0.03148,  0.01119,  0.01267,  1.13248,3727714.79060
Br,  0.00094,  0.00000,  0.00119,  0.00406,  0.00665,  0.00724,  0.00388,  0.00270,  0.69680,  2.87220
Pb,  0.00093,  0.00073,  0.00094,  0.00157,  0.00963,  0.01023,  0.00439,  0.00401,  0.91343,  4.32287
BC,  0.52542,  0.00000,  0.17398,  0.32628,  0.43905,  0.52542,  0.30024,  0.17285,  0.57570,  0.32897

Factor 2,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,  5.97130,  1.35050,  3.17613,  5.94910, 11.23105, 24.99900,  8.08832,  6.49995,  0.80362,  1.08853
