
Factor Contributions (avg = 1) from Base Run #11 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5
11,03/02/07 00:06,3.465800E-001,-4.899800E-002,4.096200E+000,6.062500E-001,1.821700E+000
11,03/10/07 00:11,5.777900E-002,1.006000E+000,6.435200E+000,-2.000000E-001,1.721700E+000
11,03/12/07 00:18,6.390700E-001,1.345400E+000,4.889700E+000,5.236300E-002,1.493300E+000
11,03/16/07 00:10,6.573600E-002,1.317800E+000,3.543300E+000,3.858700E-001,2.125000E+000
11,03/18/07 00:15,2.965100E-001,6.246500E-001,2.089700E+000,6.891700E-001,1.307700E+000
11,03/20/07 00:26,1.313700E+000,1.178800E+000,4.225200E+000,-6.502600E-002,1.767100E+000
11,03/22/07 00:21,1.144800E+000,6.222700E-001,4.589000E+000,3.373900E-002,1.652300E+000
11,03/24/07 00:07,4.643500E-001,1.064400E+000,2.832600E+000,2.572700E-001,1.398500E+000
11,03/26/07 00:47,-1.978100E-001,1.247100E+000,1.072700E+000,6.189400E-001,2.396600E+000
11,03/28/07 00:47,5.120300E-001,5.839000E-001,7.850800E-001,1.095800E+000,1.630100E+000
11,03/30/07 00:36,5.187200E-001,6.163600E-001,1.419600E+000,9.997200E-001,1.392600E+000
11,04/01/07 00:27,1.036900E-001,8.225300E-001,8.556700E-001,4.613200E-001,1.082600E+000
11,04/03/07 00:30,2.149400E+000,7.232700E-001,8.253500E-001,2.685200E-001,1.398000E+000
11,04/05/07 00:29,2.379400E-002,5.628600E-001,1.065500E+000,4.852500E-001,1.590800E+000
11,04/07/07 00:12,4.542300E-001,3.184000E-001,1.059400E+000,8.311500E-001,1.448800E+000
11,04/09/07 00:30,4.292600E-001,2.706200E-001,1.260700E+000,8.299600E-001,1.560000E+000
11,04/11/07 00:36,3.681200E-001,6.286700E-001,8.724900E-001,5.999400E-001,9.469900E-001
11,04/13/07 00:28,1.872600E+000,7.865800E-001,1.473100E+000,7.577400E-001,1.252500E+000
11,04/15/07 00:33,5.146100E-001,1.016400E+000,1.693100E+000,3.532000E-001,1.343200E+000
11,04/17/07 00:38,-1.446900E-002,1.192700E+000,1.483400E+000,4.407800E-001,1.692300E+000
11,04/19/07 00:42,9.678000E-001,8.903800E-001,1.890900E+000,5.778800E-001,1.516100E+000
11,04/21/07 00:40,6.553400E-001,1.613100E+000,2.064100E+000,2.234700E-001,1.374800E+000
11,04/23/07 00:42,1.795700E-001,4.180600E-001,1.490300E+000,7.021300E-001,1.329900E+000
