**** Analysis Summary ****

Time of run: ,04/10/16 01:58
Concentration file: ,C:\Users\Andrea\Documents\EPA PMF\Data\pmf_fa\TFsH.csv
Uncertainty file: ,C:\Users\Andrea\Documents\EPA PMF\Data\pmf_fa\TFsHunc8.csv
Configuration file: ,


**** Input Data Statistics ****

Species,Category,S/N,Min,25th,Median,75th,Max,% Modeled Samples,% Raw Samples
mass,Weak,      9.4, 11.98000, 26.85500, 31.16500, 34.81500, 64.32000, 100.00 %, 100.00 %
Na,Strong,      3.1,  0.01309,  0.17182,  0.26493,  0.42985,  1.27128, 100.00 %, 100.00 %
Mg,Strong,      1.4,  0.00110,  0.04481,  0.06795,  0.10630,  0.66830, 100.00 %, 100.00 %
Al,Strong,      9.6,  0.09335,  0.30399,  0.46337,  0.95108,  4.31396, 100.00 %, 100.00 %
Si,Strong,     10.0,  0.18537,  0.59475,  0.90865,  1.72925,  9.50896, 100.00 %, 100.00 %
P,Strong,      4.2,  0.00115,  0.01006,  0.01562,  0.02110,  0.03692, 100.00 %, 100.00 %
S,Strong,     10.0,  0.17551,  0.43488,  0.56668,  0.79429,  1.33687, 100.00 %, 100.00 %
Cl,Strong,     10.0,  0.04426,  0.28180,  0.38455,  0.62045,  1.60694, 100.00 %, 100.00 %
K,Strong,     10.0,  0.23489,  0.74174,  0.87180,  1.01712,  1.53229, 100.00 %, 100.00 %
Ca,Strong,     10.0,  0.07104,  0.24080,  0.34063,  0.48376,  1.36213, 100.00 %, 100.00 %
Ti,Strong,      9.9,  0.00656,  0.02337,  0.03435,  0.06513,  0.25636, 100.00 %, 100.00 %
V,Strong,      2.9,  0.00039,  0.00127,  0.00172,  0.00224,  0.00466, 100.00 %, 100.00 %
Mn,Strong,      9.1,  0.00318,  0.00645,  0.00837,  0.01205,  0.03810, 100.00 %, 100.00 %
Fe,Strong,     10.0,  0.07834,  0.24563,  0.38087,  0.59335,  2.06289, 100.00 %, 100.00 %
Zn,Strong,      8.8,  0.01001,  0.02364,  0.02934,  0.03374,  0.26166, 100.00 %, 100.00 %
Br,Strong,      9.1,  0.00550,  0.01233,  0.01881,  0.02899,  0.08869, 100.00 %, 100.00 %
Pb,Strong,      6.4,  0.00929,  0.01268,  0.01538,  0.01868,  0.02811, 100.00 %, 100.00 %
BC,Strong,     10.0,  1.55456,  3.01005,  3.32135,  3.60010,  5.08873, 100.00 %, 100.00 %

Excluded Samples


**** Base Run Summary ****

Number of base runs:  ,20
Base user-selected seed:  123
Number of factors:  ,5
Extra modeling uncertainty (%):,0

Base run summary table:

Run #,Q(Robust),Q(True)     ,Converged,# Steps,Q(true)/Qexp
1,3168.85     ,3389.14     ,Yes      ,541,2.466623
2,3168.51     ,3388.34     ,Yes      ,1347,2.466041
3,3168.51     ,3388.33     ,Yes      ,1223,2.466033
4,3168.53     ,3388.33     ,Yes      ,834,2.466033
5,3168.52     ,3388.33     ,Yes      ,1047,2.466033
6,3168.53     ,3388.33     ,Yes      ,856,2.466033
7,3168.51     ,3388.34     ,Yes      ,1006,2.466041
8,3168.78     ,3389.05     ,Yes      ,937,2.466558
9,3168.51     ,3388.33     ,Yes      ,638,2.466033
10,3168.53     ,3388.34     ,Yes      ,871,2.466041
11,3168.47     ,3388.32     ,Yes      ,844,2.466026
12,3168.5      ,3388.33     ,Yes      ,985,2.466033
13,3168.5      ,3388.33     ,Yes      ,1140,2.466033
14,3168.51     ,3388.33     ,Yes      ,1178,2.466033
15,3168.5      ,3388.33     ,Yes      ,844,2.466033
16,3168.52     ,3388.33     ,Yes      ,686,2.466033
17,3168.53     ,3388.33     ,Yes      ,500,2.466033
18,3168.8      ,3389.04     ,Yes      ,543,2.46655
19,3168.57     ,3388.34     ,Yes      ,571,2.466041
20,3168.48     ,3388.31     ,Yes      ,575,2.466019

Scaled residual analysis:

Sum of the squares of the differences in scaled residuals for each base run pair by species (d)
Run #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,
2,0.67197,
3,0.68075,0.00070,
4,0.66336,0.00572,0.00455,
5,0.71909,0.00195,0.00170,0.00854,
6,0.67058,0.00303,0.00201,0.00083,0.00512,
7,0.70827,0.00144,0.00090,0.00740,0.00046,0.00409,
8,0.09114,0.44959,0.45967,0.46921,0.48082,0.46601,0.47515,
9,0.71254,0.03008,0.03180,0.02672,0.03079,0.02767,0.03328,0.50211,
10,0.67243,0.00134,0.00080,0.00214,0.00300,0.00067,0.00221,0.46041,0.02772,
11,0.72613,0.02951,0.03199,0.02937,0.02942,0.02956,0.03248,0.50450,0.00179,0.02854,
12,0.65199,0.00379,0.00316,0.00068,0.00731,0.00061,0.00608,0.45561,0.02659,0.00128,0.02866,
13,0.67891,0.00127,0.00039,0.00316,0.00244,0.00116,0.00144,0.46339,0.03147,0.00047,0.03228,0.00221,
14,0.72253,0.00210,0.00163,0.00855,0.00024,0.00507,0.00034,0.48451,0.03242,0.00302,0.03129,0.00738,0.00226,
15,0.66091,0.00390,0.00304,0.00047,0.00674,0.00037,0.00565,0.46260,0.02637,0.00114,0.02846,0.00027,0.00198,0.00679,
16,0.71952,0.00258,0.00173,0.00933,0.00084,0.00559,0.00050,0.48172,0.03740,0.00358,0.03676,0.00815,0.00236,0.00048,0.00754,
17,0.65571,0.00559,0.00482,0.00050,0.00901,0.00115,0.00786,0.46268,0.02524,0.00231,0.02759,0.00064,0.00349,0.00909,0.00059,0.01011,
18,0.09317,0.45509,0.46506,0.47456,0.48616,0.47133,0.48052,0.00087,0.50577,0.46581,0.50853,0.46100,0.46878,0.48984,0.46794,0.48700,0.46805,
19,0.67316,0.00956,0.00942,0.00374,0.01189,0.00498,0.01197,0.47613,0.01510,0.00609,0.01746,0.00436,0.00826,0.01262,0.00413,0.01495,0.00338,0.48111,
20,0.72698,0.02966,0.03200,0.02975,0.02939,0.02977,0.03240,0.50418,0.00174,0.02872,0.00054,0.02904,0.03230,0.03119,0.02878,0.03653,0.02773,0.50807,0.01775,

Sum of d across all species for each base run pair (D)
Run #            Run #,mass        ,Na          ,Mg          ,Al          ,Si          ,P           ,S           ,Cl          ,K           ,Ca          ,Ti          ,V           ,Mn          ,Fe          ,Zn          ,Br          ,Pb          ,BC          ,
2                    1,0.00213,0.01948,0.29839,0.00762,0.00544,0.02790,0.03736,0.00867,0.01088,0.02393,0.00536,0.00224,0.04532,0.02169,0.01614,0.04797,0.01136,0.08009,
3                    1,0.00219,0.01988,0.29614,0.00776,0.00567,0.02910,0.03877,0.00872,0.01143,0.02507,0.00541,0.00225,0.04673,0.02284,0.01697,0.04772,0.01169,0.08243,
3                    2,0.00000,0.00002,0.00021,0.00002,0.00003,0.00006,0.00006,0.00003,0.00002,0.00003,0.00001,0.00001,0.00003,0.00004,0.00003,0.00004,0.00002,0.00005,
4                    1,0.00237,0.02077,0.26158,0.00908,0.00608,0.02975,0.03971,0.00861,0.01204,0.02648,0.00532,0.00235,0.04947,0.02455,0.01815,0.04721,0.01252,0.08733,
4                    2,0.00002,0.00012,0.00322,0.00011,0.00005,0.00021,0.00033,0.00016,0.00007,0.00015,0.00003,0.00003,0.00037,0.00013,0.00012,0.00006,0.00010,0.00046,
4                    3,0.00001,0.00009,0.00274,0.00011,0.00003,0.00013,0.00028,0.00011,0.00004,0.00008,0.00002,0.00003,0.00027,0.00006,0.00006,0.00008,0.00007,0.00033,
5                    1,0.00227,0.01991,0.32381,0.00791,0.00593,0.02950,0.03959,0.00904,0.01208,0.02610,0.00553,0.00235,0.04811,0.02396,0.01775,0.04811,0.01218,0.08497,
5                    2,0.00001,0.00004,0.00078,0.00005,0.00005,0.00008,0.00014,0.00005,0.00005,0.00009,0.00002,0.00001,0.00014,0.00008,0.00007,0.00004,0.00005,0.00021,
5                    3,0.00000,0.00002,0.00107,0.00004,0.00002,0.00005,0.00008,0.00004,0.00002,0.00004,0.00001,0.00001,0.00008,0.00004,0.00002,0.00003,0.00003,0.00010,
5                    4,0.00001,0.00008,0.00665,0.00015,0.00002,0.00019,0.00041,0.00012,0.00004,0.00008,0.00003,0.00002,0.00026,0.00004,0.00004,0.00009,0.00006,0.00027,
6                    1,0.00230,0.02024,0.27410,0.00860,0.00593,0.02983,0.03932,0.00863,0.01188,0.02623,0.00537,0.00236,0.04860,0.02394,0.01787,0.04729,0.01224,0.08586,
6                    2,0.00001,0.00006,0.00144,0.00006,0.00005,0.00017,0.00020,0.00009,0.00006,0.00011,0.00002,0.00001,0.00020,0.00009,0.00009,0.00004,0.00007,0.00027,
6                    3,0.00001,0.00004,0.00104,0.00005,0.00002,0.00008,0.00015,0.00005,0.00003,0.00004,0.00002,0.00001,0.00013,0.00004,0.00004,0.00006,0.00004,0.00017,
6                    4,0.00000,0.00003,0.00043,0.00003,0.00002,0.00004,0.00004,0.00003,0.00001,0.00002,0.00001,0.00001,0.00005,0.00002,0.00001,0.00001,0.00001,0.00005,
6                    5,0.00000,0.00004,0.00388,0.00008,0.00002,0.00014,0.00028,0.00007,0.00003,0.00004,0.00002,0.00001,0.00015,0.00003,0.00003,0.00007,0.00004,0.00018,
7                    1,0.00227,0.01980,0.31463,0.00782,0.00599,0.02986,0.03928,0.00891,0.01209,0.02595,0.00550,0.00231,0.04787,0.02384,0.01759,0.04804,0.01207,0.08444,
7                    2,0.00001,0.00002,0.00043,0.00005,0.00004,0.00010,0.00012,0.00003,0.00005,0.00008,0.00002,0.00001,0.00010,0.00008,0.00007,0.00006,0.00004,0.00015,
7                    3,0.00000,0.00001,0.00047,0.00002,0.00002,0.00004,0.00006,0.00002,0.00002,0.00003,0.00001,0.00000,0.00005,0.00004,0.00002,0.00002,0.00002,0.00006,
7                    4,0.00001,0.00010,0.00526,0.00014,0.00002,0.00019,0.00041,0.00013,0.00004,0.00009,0.00003,0.00003,0.00032,0.00004,0.00005,0.00012,0.00009,0.00033,
7                    5,0.00000,0.00001,0.00018,0.00002,0.00001,0.00002,0.00003,0.00002,0.00000,0.00001,0.00001,0.00001,0.00003,0.00000,0.00001,0.00003,0.00002,0.00004,
7                    6,0.00001,0.00005,0.00277,0.00008,0.00003,0.00012,0.00027,0.00006,0.00003,0.00005,0.00002,0.00001,0.00018,0.00002,0.00003,0.00010,0.00006,0.00019,
8                    1,0.00006,0.00041,0.06749,0.00087,0.00027,0.00277,0.00397,0.00091,0.00043,0.00102,0.00022,0.00015,0.00308,0.00042,0.00049,0.00277,0.00069,0.00515,
8                    2,0.00179,0.01773,0.15800,0.01029,0.00423,0.01879,0.02431,0.00911,0.00814,0.01789,0.00460,0.00165,0.03398,0.01877,0.01359,0.03801,0.00847,0.06024,
8                    3,0.00184,0.01809,0.15835,0.01036,0.00441,0.01984,0.02547,0.00926,0.00862,0.01892,0.00464,0.00167,0.03524,0.01983,0.01433,0.03770,0.00874,0.06234,
