
Factor Profiles (conc. of species) from Base Run #11 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5
11,mass,1.219600E+000,4.302200E+000,7.016700E+000,9.099800E+000,9.927800E+000
11,Na,3.758900E-002,1.324400E-001,0.000000E+000,1.097900E-001,9.358000E-003
11,Mg,3.516100E-003,9.185900E-003,8.070700E-002,0.000000E+000,0.000000E+000
11,Al,9.326600E-003,0.000000E+000,5.622600E-001,0.000000E+000,1.365400E-001
11,Si,0.000000E+000,1.266000E-002,1.067000E+000,1.115700E-002,2.708600E-001
11,P,1.300900E-003,0.000000E+000,5.714800E-003,8.791100E-003,0.000000E+000
11,S,6.211900E-002,8.313000E-002,1.010200E-001,3.522900E-001,2.112400E-002
11,Cl,0.000000E+000,3.360200E-001,7.736700E-002,4.712400E-002,5.135200E-003
11,K,6.826700E-002,1.160200E-001,1.328700E-001,3.337800E-001,2.288900E-001
11,Ca,1.567000E-002,3.021900E-002,2.491600E-001,3.561000E-002,6.030200E-002
11,Ti,5.439600E-004,8.868600E-004,3.861600E-002,1.807300E-004,9.830200E-003
11,V,2.019400E-005,2.455200E-004,5.201700E-004,4.095700E-004,5.584200E-004
11,Mn,2.868800E-005,6.661600E-004,3.907900E-003,1.371600E-003,3.641700E-003
11,Fe,0.000000E+000,1.101100E-002,3.341600E-001,2.351000E-002,1.111200E-001
11,Zn,3.635100E-003,4.569800E-003,1.461700E-003,8.670500E-003,1.051200E-002
11,Br,1.623800E-002,1.789400E-003,0.000000E+000,3.801300E-004,5.331000E-003
11,Pb,2.224100E-003,2.933500E-003,2.014200E-004,3.756600E-003,6.514500E-003
11,BC,1.611200E-001,4.985200E-001,0.000000E+000,1.045400E+000,1.601600E+000

Factor Profiles (% of species sum) from Base Run #11 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5
11,mass,3.863639E+000,1.362918E+001,2.222859E+001,2.882776E+001,3.145083E+001
11,Na,1.299861E+001,4.579894E+001,0.000000E+000,3.796637E+001,3.236080E+000
11,Mg,3.764198E+000,9.834064E+000,8.640174E+001,0.000000E+000,0.000000E+000
11,Al,1.317081E+000,0.000000E+000,7.940105E+001,0.000000E+000,1.928186E+001
11,Si,0.000000E+000,9.297359E-001,7.835926E+001,8.193573E-001,1.989165E+001
11,P,8.230002E+000,0.000000E+000,3.615406E+001,5.561594E+001,0.000000E+000
11,S,1.002432E+001,1.341492E+001,1.630188E+001,5.685003E+001,3.408840E+000
11,Cl,0.000000E+000,7.216209E+001,1.661497E+001,1.012013E+001,1.102812E+000
11,K,7.759139E+000,1.318668E+001,1.510183E+001,3.793700E+001,2.601534E+001
11,Ca,4.008072E+000,7.729415E+000,6.373014E+001,9.108325E+000,1.542404E+001
11,Ti,1.086665E+000,1.771674E+000,7.714290E+001,3.610430E-001,1.963772E+001
11,V,1.151394E+000,1.399872E+001,2.965834E+001,2.335230E+001,3.183923E+001
11,Mn,2.983346E-001,6.927586E+000,4.063935E+001,1.426366E+001,3.787107E+001
11,Fe,0.000000E+000,2.294910E+000,6.964554E+001,4.899948E+000,2.315960E+001
11,Zn,1.260039E+001,1.584036E+001,5.066709E+000,3.005466E+001,3.643788E+001
11,Br,6.840356E+001,7.537956E+000,0.000000E+000,1.601321E+000,2.245716E+001
11,Pb,1.422958E+001,1.876825E+001,1.288666E+000,2.403436E+001,4.167914E+001
11,BC,4.872620E+000,1.507633E+001,0.000000E+000,3.161518E+001,4.843587E+001

Factor Profiles (% of total variable) from Base Run #11 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5
11,mass,*,*,*,*,*
11,Na,3.082076E+000,3.078425E+000,0.000000E+000,1.206510E+000,9.426056E-002
11,Mg,2.882994E-001,2.135163E-001,1.150213E+000,0.000000E+000,0.000000E+000
11,Al,7.647262E-001,0.000000E+000,8.013168E+000,0.000000E+000,1.375330E+000
11,Si,0.000000E+000,2.942680E-001,1.520658E+001,1.226071E-001,2.728298E+000
11,P,1.066661E-001,0.000000E+000,8.144569E-002,9.660762E-002,0.000000E+000
11,S,5.093391E+000,1.932267E+000,1.439708E+000,3.871404E+000,2.127762E-001
11,Cl,0.000000E+000,7.810422E+000,1.102612E+000,5.178576E-001,5.172546E-002
11,K,5.597491E+000,2.696760E+000,1.893625E+000,3.667993E+000,2.305546E+000
11,Ca,1.284847E+000,7.024081E-001,3.550957E+000,3.913273E-001,6.074055E-001
11,Ti,4.460151E-002,2.061410E-002,5.503442E-001,1.986088E-003,9.901690E-002
11,V,1.655789E-003,5.706848E-003,7.413314E-003,4.500868E-003,5.624811E-003
11,Mn,2.352247E-003,1.548417E-002,5.569427E-002,1.507286E-002,3.668184E-002
11,Fe,0.000000E+000,2.559388E-001,4.762352E+000,2.583573E-001,1.119281E+000
11,Zn,2.980568E-001,1.062201E-001,2.083173E-002,9.528232E-002,1.058845E-001
11,Br,1.331420E+000,4.159267E-002,0.000000E+000,4.177344E-003,5.369770E-002
11,Pb,1.823631E-001,6.818604E-002,2.870580E-003,4.128223E-002,6.561877E-002
11,BC,1.321089E+001,1.158756E+001,0.000000E+000,1.148816E+001,1.613248E+001
