
Residuals from Base Run #11 (Convergent Run)

Base_Run,Date_Time,mass,Na,Mg,Al,Si,P,S,Cl,K,Ca,Ti,V,Mn,Fe,Zn,Br,Pb,BC
11,03/02/07 00:06,-6.275000E-001,3.606000E-002,1.587000E-001,2.792000E-001,1.026000E+000,-8.764000E-003,8.596000E-002,-6.996000E-003,6.814000E-002,-1.552000E-001,-8.812000E-003,1.120000E-004,1.144000E-003,-9.686000E-002,-2.767000E-003,-6.166000E-005,2.194000E-003,-8.268000E-002
11,03/10/07 00:11,-5.073000E-001,3.677000E-002,1.394000E-001,4.599000E-001,2.165000E+000,1.823000E-003,-3.325000E-002,4.094000E-003,1.496000E-001,-3.693000E-001,-9.958000E-003,1.476000E-004,6.286000E-003,-2.852000E-001,4.239000E-004,1.177000E-004,-2.679000E-003,7.802000E-002
11,03/12/07 00:18,3.897000E-001,-2.560000E-002,4.998000E-002,5.087000E-001,1.991000E+000,1.063000E-003,1.773000E-003,1.035000E-002,1.101000E-001,-3.116000E-001,4.251000E-004,1.427000E-005,3.821000E-003,-1.495000E-001,-2.275000E-003,-6.097000E-005,5.735000E-003,-2.069000E-001
11,03/16/07 00:10,1.333000E+000,-2.063000E-001,2.764000E-002,6.377000E-002,2.715000E-001,-2.314000E-003,-8.884000E-003,3.131000E-002,2.888000E-001,3.149000E-002,-6.092000E-003,-1.440000E-003,-7.370000E-004,-1.296000E-001,7.554000E-003,-1.152000E-004,-6.766000E-004,-3.579000E-001
11,03/18/07 00:15,2.203000E+000,-8.281000E-002,1.868000E-002,1.015000E-001,3.808000E-001,-3.632000E-003,3.373000E-002,5.440000E-003,1.033000E-001,-2.626000E-002,-2.930000E-003,-5.243000E-005,-6.544000E-004,-7.786000E-002,-3.207000E-003,1.876000E-005,3.288000E-003,-1.202000E-002
11,03/20/07 00:26,6.636000E-002,-4.590000E-002,3.838000E-002,3.933000E-001,1.699000E+000,-1.145000E-002,6.691000E-002,4.278000E-003,9.659000E-002,-2.104000E-001,-6.534000E-003,8.339000E-004,2.728000E-003,-1.251000E-001,-5.341000E-003,8.794000E-004,-1.388000E-003,8.517000E-002
11,03/22/07 00:21,-1.595000E+000,-1.315000E-001,2.490000E-002,3.922000E-001,1.352000E+000,4.414000E-003,8.271000E-003,4.052000E-002,2.911000E-002,-2.564000E-001,-7.623000E-003,-6.098000E-004,3.360000E-003,-1.649000E-001,1.695000E-003,2.587000E-004,8.381000E-005,-8.437000E-002
11,03/24/07 00:07,-6.706000E-002,-2.854000E-002,-9.187000E-003,2.348000E-001,5.023000E-001,-6.211000E-005,7.720000E-003,1.386000E-002,-1.348000E-002,-1.217000E-001,-1.756000E-004,4.795000E-004,1.752000E-003,-1.046000E-001,3.919000E-003,1.045000E-004,-2.107000E-003,-9.786000E-002
11,03/26/07 00:47,-3.706000E+000,3.028000E-002,-2.953000E-002,7.179000E-002,-9.612000E-002,-1.443000E-003,-1.686000E-002,-8.099000E-003,1.285000E-001,6.161000E-002,-5.046000E-004,-3.651000E-004,1.231000E-003,-6.934000E-002,3.116000E-002,-2.513000E-004,-1.697000E-003,-6.811000E-001
11,03/28/07 00:47,-7.183000E-002,-9.882000E-002,-1.229000E-002,8.556000E-002,1.136000E-001,-2.759000E-003,5.930000E-002,6.632000E-003,6.769000E-002,-4.422000E-002,-7.657000E-004,8.725000E-004,3.127000E-004,-1.988000E-002,-8.257000E-003,4.524000E-004,5.031000E-003,1.866000E-001
11,03/30/07 00:36,6.314000E-001,3.465000E-002,-6.887000E-002,-8.563000E-003,-1.818000E-002,2.064000E-003,-4.332000E-003,1.183000E-003,-8.352000E-002,6.901000E-002,-8.349000E-004,-4.805000E-004,-3.056000E-005,1.133000E-002,2.318000E-003,1.143000E-004,-2.976000E-003,4.497000E-001
11,04/01/07 00:27,3.745000E-001,8.956000E-002,-2.906000E-002,2.616000E-003,-5.811000E-003,-3.080000E-003,3.698000E-003,-1.041000E-002,-6.692000E-003,4.087000E-002,-1.462000E-003,2.620000E-004,3.137000E-004,-1.842000E-002,1.623000E-003,-1.241000E-004,6.403000E-004,-1.348000E-001
11,04/03/07 00:30,7.602000E+000,8.097000E-003,-1.004000E-002,-1.853000E-002,-9.881000E-002,3.569000E-003,-2.433000E-002,2.932000E-003,5.737000E-002,5.903000E-002,-2.008000E-003,-1.153000E-003,-4.898000E-004,6.701000E-002,-3.556000E-003,1.089000E-003,-1.851000E-003,6.774000E-001
11,04/05/07 00:29,7.529000E-001,-8.670000E-003,-8.246000E-003,1.532000E-001,1.753000E-001,-2.819000E-003,2.508000E-002,7.045000E-003,1.063000E-001,-9.475000E-002,9.298000E-003,1.034000E-003,1.015000E-003,-2.180000E-003,-5.878000E-003,3.619000E-004,-1.762000E-003,2.608000E-001
11,04/07/07 00:12,2.454000E+000,-2.999000E-002,1.295000E-002,5.186000E-002,2.406000E-002,1.714000E-003,-1.151000E-002,3.421000E-003,3.123000E-002,-5.709000E-002,2.934000E-003,4.505000E-004,1.136000E-003,-1.731000E-002,3.475000E-002,8.984000E-005,-2.479000E-003,-2.997000E-001
11,04/09/07 00:30,-2.154000E+000,5.138000E-002,4.487000E-004,8.240000E-002,2.622000E-002,8.601000E-004,-3.275000E-003,-1.704000E-004,5.585000E-002,-5.052000E-002,3.075000E-003,-7.911000E-004,1.646000E-003,-2.403000E-002,-2.052000E-003,-9.077000E-005,4.491000E-003,-2.355000E-001
11,04/11/07 00:36,5.431000E-001,1.838000E-004,-5.606000E-002,3.218000E-002,-2.771000E-002,5.129000E-004,-8.899000E-004,2.947000E-003,1.759000E-003,2.004000E-002,6.922000E-004,-4.338000E-004,-6.889000E-004,7.946000E-003,-2.295000E-003,1.140000E-004,-7.145000E-004,4.351000E-001
11,04/13/07 00:28,-2.684000E+000,8.187000E-003,-6.555000E-002,5.051000E-002,1.043000E-001,2.513000E-003,1.699000E-002,2.635000E-003,-7.330000E-002,-3.456000E-002,3.311000E-003,-9.175000E-005,4.560000E-004,-2.930000E-002,5.958000E-004,-3.270000E-004,3.420000E-003,-7.406000E-002
11,04/15/07 00:33,-1.930000E+000,3.695000E-002,-2.801000E-002,1.960000E-001,4.480000E-001,-1.138000E-003,1.772000E-002,-1.197000E-002,-6.340000E-002,-6.918000E-002,2.098000E-003,-4.390000E-005,-2.800000E-004,-5.027000E-002,1.295000E-002,-6.848000E-004,8.744000E-003,-4.673000E-001
11,04/17/07 00:38,8.445000E-002,-7.970000E-002,-5.308000E-002,1.590000E-001,2.930000E-001,2.088000E-004,-9.667000E-003,4.771000E-003,1.151000E-001,-3.601000E-002,1.432000E-003,1.430000E-004,-1.866000E-003,-5.984000E-002,4.582000E-003,-2.805000E-004,1.002000E-002,-4.511000E-001
11,04/19/07 00:42,-5.203000E-001,5.981000E-002,-4.378000E-002,1.202000E-001,2.087000E-001,5.485000E-003,4.137000E-002,-1.839000E-003,-2.190000E-001,-1.967000E-002,-1.297000E-003,4.045000E-004,1.116000E-003,-5.272000E-002,1.504000E-003,-1.488000E-004,3.111000E-003,2.839000E-001
11,04/21/07 00:40,-4.695000E+000,3.584000E-002,-3.653000E-002,5.180000E-002,-5.772000E-002,7.179000E-003,1.402000E-002,-2.545000E-003,-1.572000E-001,2.119000E-002,1.945000E-003,3.472000E-004,3.416000E-004,-2.664000E-002,3.419000E-003,-2.812000E-004,4.840000E-003,8.755000E-002
11,04/23/07 00:42,-9.881000E-001,4.056000E-002,-4.877000E-002,-1.392000E-002,-1.461000E-001,8.433000E-003,-4.391000E-002,1.772000E-003,-1.647000E-004,8.884000E-002,-1.447000E-003,4.934000E-004,7.149000E-005,3.098000E-003,-1.254000E-003,1.559000E-004,-2.320000E-003,3.687000E-001
11,04/25/07 00:54,-4.007000E+000,1.672000E-001,-2.618000E-002,-2.997000E-003,-5.890000E-002,-8.928000E-004,-1.046000E-002,-1.615000E-002,4.337000E-002,4.093000E-002,-3.266000E-003,9.770000E-004,1.509000E-003,3.463000E-003,-2.951000E-003,3.015000E-004,-1.079000E-003,-1.137000E-001
