
Factor Contributions (avg = 1) from Base Run #19 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5
19,11/14/06 02:25,1.025100E+000,3.482400E-001,1.531800E+000,8.843700E-001,7.483700E-001
19,11/16/06 03:20,1.225800E+000,3.067000E-001,1.621100E+000,9.975000E-001,1.049000E+000
19,11/18/06 03:18,1.146400E+000,6.591700E-001,2.083800E+000,9.101200E-001,1.383900E+000
19,11/20/06 02:28,8.077300E-001,4.277900E-001,3.010700E+000,1.188900E+000,1.269700E+000
19,11/22/06 02:36,1.052700E+000,6.912300E-001,1.246300E+000,1.298000E+000,1.169200E+000
19,11/24/06 02:30,8.824300E-001,5.841100E-001,6.580400E-001,8.564100E-001,3.479900E-002
19,11/26/06 02:31,9.719700E-001,4.944300E-001,6.188200E-001,6.868700E-001,1.137100E-001
19,11/28/06 02:26,1.409000E+000,9.716300E-002,1.170400E+000,7.210000E-001,1.041400E+000
19,11/30/06 02:31,5.729900E-001,1.340500E-001,1.147800E+000,7.497700E-001,4.551600E-001
19,12/02/06 02:40,1.720700E+000,4.795300E-001,1.199300E+000,7.111300E-001,8.302500E-001
19,12/04/06 02:53,1.568500E+000,3.181700E-001,1.354800E+000,1.285600E+000,1.440500E+000
19,12/06/06 02:55,1.476800E+000,1.412800E-001,1.948300E+000,1.077400E+000,6.668300E-001
19,12/08/06 02:45,8.320100E-001,-1.239000E-001,1.719300E+000,1.236300E+000,7.426800E-001
19,12/10/06 02:48,3.502800E+000,1.991000E+000,1.963700E+000,1.677800E-001,3.758200E+000
19,12/12/06 02:49,1.146300E+000,6.736500E-001,1.579200E+000,6.709400E-001,1.434600E+000
19,12/14/06 02:50,1.078600E+000,7.661600E-001,1.432400E+000,8.193600E-001,1.195300E+000
19,12/16/06 02:39,1.234600E+000,4.685200E-001,1.290400E+000,6.308400E-001,8.966500E-001
19,12/18/06 02:36,1.423200E+000,3.741000E-001,1.325100E+000,2.852900E-001,2.490600E-001
19,12/20/06 02:55,1.733100E+000,2.251000E-001,1.471100E+000,7.625800E-001,7.821300E-001
19,12/22/06 02:57,1.142200E+000,1.803100E-001,9.650100E-001,8.887300E-001,-2.236500E-003
19,12/24/06 04:00,1.255500E+000,7.768600E-001,1.095000E+000,2.687200E-001,-7.095700E-002
19,12/26/06 02:52,6.901300E-001,6.049100E-001,1.163000E+000,7.417900E-001,-2.000000E-001
19,12/28/06 02:53,1.519500E+000,5.047000E-001,1.050800E+000,3.803600E-001,4.568400E-001
19,12/30/06 03:04,2.159300E+000,9.693900E-002,1.481000E+000,6.821000E-001,9.719000E-001
19,01/01/07 03:27,1.566100E+000,-5.943900E-002,2.529300E+000,6.057900E+000,1.125600E-001
19,01/03/07 03:25,1.063400E+000,1.099700E-001,1.675900E+000,1.540700E+001,5.283800E-001
19,01/05/07 02:58,6.299900E-001,6.875600E-002,-2.000000E-001,8.426200E+000,-2.000000E-001
19,01/07/07 02:53,2.351600E+000,-1.442900E-001,3.535100E+000,9.856900E+000,1.010200E+000
19,01/09/07 02:25,3.313700E+000,-4.566500E-002,2.680900E+000,1.025500E+001,1.723500E+000
19,01/11/07 02:28,3.458300E+000,3.459700E-002,5.289700E+000,8.768700E+000,2.880500E+000
19,01/13/07 02:51,1.259200E+000,2.431200E-001,2.422200E+000,9.854900E+000,1.313000E+000
19,01/17/07 02:40,2.333200E+000,-1.289300E-001,1.132400E+000,8.186800E+000,4.932200E-003
19,01/19/07 03:06,-2.000000E-001,-6.268900E-002,2.706300E+000,5.884300E+000,-9.182600E-002
19,01/21/07 02:59,1.811900E+000,-1.012400E-001,3.177500E+000,1.265300E+001,-2.000000E-001
19,01/23/07 05:16,-1.300900E-001,5.763300E-001,2.908000E+000,4.226700E+000,6.710500E-001
19,01/25/07 03:02,9.178500E-001,7.087300E-001,2.764800E+000,1.839900E+000,8.109100E-001
19,01/27/07 02:55,6.372100E-001,8.301300E-001,2.628700E+000,1.151200E+000,9.000300E-001
19,01/29/07 03:00,2.126900E+000,1.502100E-001,2.604100E+000,3.293800E-001,2.468800E-001
19,01/31/07 02:59,1.589200E+000,8.471700E-001,2.201700E+000,2.145500E-001,8.676200E-001
19,02/02/07 02:41,1.785600E+000,4.073100E-001,1.846100E+000,1.325200E-001,1.200600E+000
19,02/04/07 02:45,1.580300E+000,7.379800E-001,2.429000E+000,-7.310700E-002,1.342800E+000
19,02/06/07 02:47,1.052100E+000,9.393300E-001,9.208500E-001,3.018800E-002,6.140900E-001
19,02/08/07 02:47,1.029800E+000,1.413400E+000,1.073200E+000,-2.000000E-001,1.208700E+000
19,02/10/07 02:43,1.386800E+000,8.275700E-001,7.613000E-001,2.725900E-001,3.094300E-001
19,02/12/07 02:42,1.179900E+000,7.146800E-001,5.106800E-001,1.773000E-001,1.123800E+000
19,02/14/07 02:34,1.386400E+000,5.659300E-001,1.208400E+000,6.655000E-001,8.804400E-001
19,02/16/07 02:20,1.011600E+000,4.702000E-001,2.024600E+000,3.822400E-001,1.011000E+000
19,02/18/07 02:08,2.183400E+000,6.151100E-001,2.059200E+000,1.982000E-001,1.135900E+000
19,02/20/07 02:12,7.306800E-001,1.379000E+000,1.368700E+000,4.017200E-002,9.751400E-001
19,02/22/07 02:11,6.191000E-001,1.862400E+000,1.144100E+000,9.555200E-002,1.399700E+000
19,02/24/07 02:17,1.321000E+000,1.012400E+000,2.074300E+000,2.713900E-001,1.317000E+000
19,02/26/07 00:17,1.261600E+000,8.307500E-001,2.853500E+000,-1.839600E-001,2.144900E+000
19,02/28/07 00:09,1.282300E+000,9.719500E-001,3.038400E+000,2.893500E-002,1.868800E+000
