**** Analysis Summary ****

Time of run: ,04/10/16 02:04
Concentration file: ,C:\Users\Andrea\Documents\EPA PMF\Data\pmf_fa\TGcH.csv
Uncertainty file: ,C:\Users\Andrea\Documents\EPA PMF\Data\pmf_fa\TGcHunc8.csv
Configuration file: ,


**** Input Data Statistics ****

Species,Category,S/N,Min,25th,Median,75th,Max,% Modeled Samples,% Raw Samples
mass,Weak,      5.8, 14.50000, 29.37000, 39.41750, 62.21875,383.02000, 100.00 %, 100.00 %
Na,Strong,      2.5,  0.00255,  0.25816,  0.44335,  0.72427,  2.18075, 100.00 %, 100.00 %
Mg,Strong,      2.6,  0.05743,  0.16509,  0.24228,  0.43811,  1.80718, 100.00 %, 100.00 %
Al,Strong,      9.4,  0.28771,  1.25725,  2.11471,  3.49897, 13.15560, 100.00 %, 100.00 %
Si,Strong,      9.6,  0.74909,  2.86667,  4.31106,  8.55344, 34.71317, 100.00 %, 100.00 %
P,Strong,      3.2,  0.00026,  0.01824,  0.02767,  0.03628,  0.09864, 100.00 %, 100.00 %
S,Strong,      5.9,  0.00105,  0.16984,  0.23223,  0.28688,  0.72962, 100.00 %, 100.00 %
Cl,Strong,      9.9,  0.19021,  1.29473,  1.60530,  2.12044,  4.35592, 100.00 %, 100.00 %
K,Strong,      8.2,  0.06489,  0.30608,  0.42337,  0.69624,  2.87272, 100.00 %, 100.00 %
Ca,Strong,     10.0,  0.37105,  1.14954,  1.55544,  2.48669,  9.85329, 100.00 %, 100.00 %
Ti,Strong,      9.5,  0.02810,  0.10806,  0.17546,  0.30077,  1.40457, 100.00 %, 100.00 %
V,Strong,      2.0,  0.00017,  0.00151,  0.00259,  0.00455,  0.03339, 100.00 %, 100.00 %
Mn,Strong,      8.5,  0.00377,  0.01304,  0.01951,  0.03839,  0.25813, 100.00 %, 100.00 %
Fe,Strong,      9.6,  0.28551,  1.13226,  1.60727,  2.73419, 13.14241, 100.00 %, 100.00 %
Zn,Strong,      5.4,  0.00014,  0.01700,  0.02303,  0.03067,  0.12713, 100.00 %, 100.00 %
Br,Strong,      2.3,  0.00024,  0.00312,  0.00531,  0.00733,  0.02795, 100.00 %, 100.00 %
Pb,Strong,      1.3,  0.00022,  0.00460,  0.00720,  0.00974,  0.03046, 100.00 %, 100.00 %

Excluded Samples


**** Base Run Summary ****

Number of base runs:  ,20
Base user-selected seed:  123
Number of factors:  ,5
Extra modeling uncertainty (%):,0

Base run summary table:

Run #,Q(Robust),Q(True)     ,Converged,# Steps,Q(true)/Qexp
1,1893.94     ,1909.81     ,Yes      ,805,0.922168
2,1894        ,1909.78     ,Yes      ,921,0.9221535
3,1893.92     ,1909.8      ,Yes      ,684,0.9221632
4,1894.35     ,1910.53     ,Yes      ,656,0.9225157
5,1893.92     ,1909.8      ,Yes      ,1104,0.9221632
6,1893.99     ,1910.07     ,Yes      ,889,0.9222936
7,1894.38     ,1910.53     ,Yes      ,577,0.9225157
8,1893.92     ,1909.8      ,Yes      ,1201,0.9221632
9,1894        ,1909.84     ,Yes      ,808,0.9221825
10,1893.92     ,1909.8      ,Yes      ,792,0.9221632
11,1893.93     ,1909.8      ,Yes      ,827,0.9221632
12,1893.93     ,1909.81     ,Yes      ,926,0.922168
13,1893.97     ,1910.05     ,Yes      ,939,0.9222839
14,1893.93     ,1909.8      ,Yes      ,1124,0.9221632
15,1893.95     ,1909.84     ,Yes      ,795,0.9221825
16,1893.92     ,1909.8      ,Yes      ,839,0.9221632
17,1893.92     ,1909.8      ,Yes      ,986,0.9221632
18,1894.4      ,1910.52     ,Yes      ,511,0.9225109
19,1893.92     ,1909.8      ,Yes      ,692,0.9221632
20,1894.39     ,1910.52     ,Yes      ,711,0.9225109

Scaled residual analysis:

Sum of the squares of the differences in scaled residuals for each base run pair by species (d)
Run #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,
2,0.07370,
3,0.01923,0.03653,
4,3.18381,3.13089,3.26532,
5,0.00544,0.06135,0.01093,3.21506,
6,0.62479,0.69581,0.54458,5.28520,0.61861,
7,3.29090,3.19535,3.35772,0.01366,3.31694,5.39564,
8,0.00666,0.05253,0.00678,3.19727,0.00142,0.60770,3.29618,
9,0.01889,0.10395,0.04944,3.05002,0.01990,0.75088,3.15620,0.02561,
10,0.03577,0.03493,0.00468,3.33590,0.02609,0.49840,3.42402,0.01915,0.07658,
11,0.00292,0.06462,0.01203,3.22946,0.00107,0.61188,3.33307,0.00198,0.02077,0.02707,
12,0.01000,0.07759,0.01774,3.30117,0.00982,0.55961,3.40460,0.00906,0.03836,0.02745,0.00759,
13,0.55126,0.66081,0.49265,5.16313,0.55065,0.01216,5.28754,0.54410,0.66358,0.45593,0.54277,0.49646,
14,0.00389,0.06201,0.00933,3.26662,0.00477,0.56891,3.36931,0.00412,0.02959,0.02141,0.00288,0.00802,0.50365,
15,0.00797,0.09347,0.03216,3.11889,0.01017,0.66289,3.22608,0.01315,0.00685,0.05400,0.00919,0.01806,0.58395,0.01433,
16,0.00632,0.05279,0.00498,3.24475,0.00449,0.56383,3.34480,0.00252,0.03313,0.01477,0.00336,0.00764,0.50247,0.00176,0.01625,
17,0.00714,0.05130,0.00438,3.26331,0.00411,0.56694,3.36235,0.00241,0.03348,0.01403,0.00325,0.00838,0.50576,0.00210,0.01744,0.00058,
18,3.25253,3.16456,3.32157,0.00935,3.28005,5.34873,0.00104,3.25973,3.11926,3.38815,3.29560,3.36685,5.23849,3.33119,3.18852,3.30738,3.32507,
19,0.00234,0.06968,0.01361,3.23748,0.00186,0.59940,3.34293,0.00307,0.02017,0.02894,0.00070,0.00703,0.52918,0.00269,0.00822,0.00372,0.00397,3.30500,
20,3.19330,3.13173,3.27176,0.00106,3.22344,5.29530,0.00905,3.20501,3.05885,3.34129,3.23821,3.30982,5.17598,3.27509,3.12819,3.25280,3.27119,0.00566,3.24660,

Sum of d across all species for each base run pair (D)
Run #            Run #,mass        ,Na          ,Mg          ,Al          ,Si          ,P           ,S           ,Cl          ,K           ,Ca          ,Ti          ,V           ,Mn          ,Fe          ,Zn          ,Br          ,Pb          ,
2                    1,0.00009,0.00287,0.00149,0.00364,0.00096,0.00276,0.02133,0.00123,0.01492,0.00149,0.00055,0.00037,0.00215,0.00209,0.00474,0.01250,0.00051,
3                    1,0.00006,0.00115,0.00083,0.00236,0.00059,0.00085,0.00353,0.00046,0.00223,0.00071,0.00011,0.00034,0.00149,0.00107,0.00162,0.00171,0.00011,
3                    2,0.00005,0.00274,0.00065,0.00120,0.00032,0.00222,0.00881,0.00056,0.00598,0.00061,0.00027,0.00014,0.00084,0.00065,0.00416,0.00707,0.00026,
4                    1,0.00794,0.83308,0.16768,0.32320,0.08132,0.41555,0.28771,0.17056,0.09583,0.12841,0.01344,0.04638,0.10310,0.12344,0.21000,0.16781,0.00835,
4                    2,0.00799,0.81698,0.16623,0.33194,0.08433,0.37796,0.31700,0.18272,0.08166,0.12744,0.01275,0.04691,0.09681,0.12279,0.18451,0.16520,0.00767,
4                    3,0.00800,0.87421,0.17312,0.33710,0.08429,0.40551,0.29128,0.18263,0.08933,0.13416,0.01326,0.04994,0.10544,0.12790,0.21128,0.16975,0.00812,
5                    1,0.00004,0.00045,0.00027,0.00099,0.00027,0.00019,0.00046,0.00017,0.00014,0.00041,0.00008,0.00029,0.00051,0.00054,0.00036,0.00024,0.00003,
5                    2,0.00007,0.00249,0.00104,0.00241,0.00062,0.00236,0.01745,0.00085,0.01295,0.00143,0.00051,0.00029,0.00139,0.00192,0.00384,0.01124,0.00051,
5                    3,0.00004,0.00035,0.00037,0.00125,0.00035,0.00043,0.00181,0.00018,0.00148,0.00085,0.00013,0.00012,0.00065,0.00110,0.00073,0.00099,0.00011,
5                    4,0.00790,0.85993,0.16893,0.32991,0.08152,0.41034,0.29287,0.17738,0.09531,0.12087,0.01282,0.05137,0.10401,0.11560,0.20716,0.17098,0.00817,
6                    1,0.00088,0.12074,0.01259,0.06550,0.01512,0.04961,0.06441,0.02148,0.02171,0.03935,0.00223,0.00297,0.03212,0.03193,0.07721,0.06496,0.00197,
6                    2,0.00101,0.14185,0.01337,0.06864,0.01560,0.06386,0.06279,0.02167,0.01308,0.03933,0.00223,0.00331,0.03625,0.03066,0.09230,0.08828,0.00159,
6                    3,0.00090,0.10882,0.01083,0.06009,0.01400,0.04522,0.05068,0.01853,0.01299,0.03538,0.00188,0.00315,0.02970,0.02812,0.06362,0.05917,0.00151,
6                    4,0.01041,1.52266,0.22613,0.57209,0.13952,0.62280,0.24292,0.29372,0.11771,0.28661,0.01905,0.05144,0.18620,0.24673,0.43469,0.29907,0.01345,
6                    5,0.00098,0.11404,0.01243,0.06814,0.01613,0.04861,0.05935,0.02017,0.01956,0.04435,0.00245,0.00356,0.03323,0.03701,0.07342,0.06317,0.00200,
7                    1,0.01011,0.82809,0.16715,0.32465,0.08134,0.45021,0.31212,0.16983,0.11244,0.12729,0.01437,0.04038,0.10703,0.12648,0.22702,0.18327,0.00914,
7                    2,0.01017,0.81009,0.16501,0.33182,0.08386,0.41124,0.32977,0.18135,0.08756,0.12582,0.01321,0.04058,0.10044,0.12510,0.19854,0.17276,0.00804,
7                    3,0.01016,0.86856,0.17209,0.33800,0.08404,0.44006,0.31105,0.18166,0.10204,0.13270,0.01402,0.04346,0.10945,0.13058,0.22815,0.18294,0.00877,
7                    4,0.00020,0.00074,0.00025,0.00078,0.00028,0.00145,0.00255,0.00028,0.00211,0.00023,0.00017,0.00047,0.00031,0.00028,0.00159,0.00183,0.00013,
7                    5,0.01005,0.85446,0.16815,0.33083,0.08142,0.44475,0.31633,0.17653,0.11126,0.11963,0.01373,0.04480,0.10780,0.11835,0.22383,0.18606,0.00895,
7                    6,0.01273,1.52082,0.22501,0.57645,0.13943,0.66562,0.25287,0.29381,0.12639,0.28425,0.01980,0.04598,0.19278,0.25006,0.45897,0.31672,0.01395,
8                    1,0.00004,0.00054,0.00029,0.00096,0.00026,0.00036,0.00092,0.00021,0.00038,0.00033,0.00007,0.00024,0.00056,0.00047,0.00061,0.00042,0.00004,
8                    2,0.00006,0.00224,0.00086,0.00187,0.00049,0.00211,0.01476,0.00071,0.01099,0.00107,0.00041,0.00020,0.00122,0.00144,0.00390,0.00977,0.00042,
