
Factor Profiles (conc. of species) from Base Run #19 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5
19,mass,1.100500E+001,9.026400E+000,2.060100E+001,1.681500E+001,1.898300E-001
19,Na,0.000000E+000,5.240000E-001,0.000000E+000,3.586800E-003,0.000000E+000
19,Mg,0.000000E+000,4.815300E-002,2.078500E-001,6.365700E-002,4.317300E-002
19,Al,7.473000E-001,2.406800E-001,1.340100E+000,3.969200E-001,7.182400E-002
19,Si,1.278600E+000,5.591400E-001,3.145500E+000,1.445200E+000,1.860100E-001
19,P,2.307000E-002,1.290600E-003,0.000000E+000,8.773300E-004,3.364400E-003
19,S,3.548300E-002,3.872300E-002,2.144200E-002,0.000000E+000,1.428800E-001
19,Cl,2.684300E-001,1.169900E+000,2.885000E-001,0.000000E+000,2.270300E-002
19,K,8.956000E-002,0.000000E+000,1.889700E-001,1.124700E-001,1.840800E-001
19,Ca,5.444800E-001,3.114800E-001,7.325800E-001,5.517600E-001,1.756900E-002
19,Ti,5.737500E-002,2.104900E-002,1.058600E-001,5.983000E-002,2.420600E-003
19,V,7.995700E-004,2.198000E-004,1.414000E-003,1.220600E-003,1.451300E-004
19,Mn,3.612400E-003,1.695600E-003,1.495600E-002,1.219400E-002,1.406800E-003
19,Fe,5.786600E-001,2.376400E-001,8.312600E-001,6.686700E-001,0.000000E+000
19,Zn,1.414800E-002,2.800200E-003,1.417900E-003,2.861200E-003,4.545100E-003
19,Br,0.000000E+000,6.105100E-004,0.000000E+000,6.363000E-004,4.410900E-003
19,Pb,2.930600E-003,5.364200E-004,1.274900E-003,1.195900E-003,1.929500E-003

Factor Profiles (% of species sum) from Base Run #19 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5
19,mass,1.909356E+001,1.566071E+001,3.574252E+001,2.917385E+001,3.293531E-001
19,Na,0.000000E+000,9.932015E+001,0.000000E+000,6.798502E-001,0.000000E+000
19,Mg,0.000000E+000,1.327139E+001,5.728531E+001,1.754444E+001,1.189886E+001
19,Al,2.671959E+001,8.605475E+000,4.791506E+001,1.419181E+001,2.568056E+000
19,Si,1.933041E+001,8.453311E+000,4.755497E+001,2.184913E+001,2.812176E+000
19,P,8.065777E+001,4.512220E+000,0.000000E+000,3.067338E+000,1.176268E+001
19,S,1.487582E+001,1.623415E+001,8.989301E+000,0.000000E+000,5.990073E+001
19,Cl,1.534295E+001,6.686927E+001,1.649011E+001,0.000000E+000,1.297661E+000
19,K,1.557349E+001,0.000000E+000,3.285978E+001,1.955728E+001,3.200946E+001
19,Ca,2.523230E+001,1.443461E+001,3.394923E+001,2.556967E+001,8.141829E-001
19,Ti,2.327260E+001,8.537950E+000,4.293921E+001,2.426840E+001,9.818500E-001
19,V,2.104630E+001,5.785581E+000,3.721934E+001,3.212866E+001,3.820115E+000
19,Mn,1.066712E+001,5.006969E+000,4.416385E+001,3.600789E+001,4.154166E+000
19,Fe,2.498284E+001,1.025978E+001,3.588849E+001,2.886889E+001,0.000000E+000
19,Zn,5.489594E+001,1.086511E+001,5.501622E+000,1.110180E+001,1.763553E+001
19,Br,0.000000E+000,1.079076E+001,0.000000E+000,1.124660E+001,7.796264E+001
19,Pb,3.725030E+001,6.818332E+000,1.620501E+001,1.520086E+001,2.452551E+001

Factor Profiles (% of total variable) from Base Run #19 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5
19,mass,*,*,*,*,*
19,Na,0.000000E+000,5.805193E+000,0.000000E+000,2.133095E-002,0.000000E+000
19,Mg,0.000000E+000,5.334685E-001,1.008932E+000,3.785727E-001,2.274298E+001
19,Al,6.790550E+000,2.666401E+000,6.505024E+000,2.360512E+000,3.783596E+001
19,Si,1.161836E+001,6.194496E+000,1.526868E+001,8.594707E+000,9.798767E+001
19,P,2.096320E-001,1.429806E-002,0.000000E+000,5.217544E-003,1.772323E+000
19,S,3.224262E-001,4.289972E-001,1.040823E-001,0.000000E+000,7.526734E+001
19,Cl,2.439164E+000,1.296087E+001,1.400417E+000,0.000000E+000,1.195965E+001
19,K,8.138119E-001,0.000000E+000,9.172856E-001,6.688671E-001,9.697098E+001
19,Ca,4.947569E+000,3.450767E+000,3.556041E+000,3.281356E+000,9.255123E+000
19,Ti,5.213539E-001,2.331937E-001,5.138586E-001,3.558133E-001,1.275141E+000
19,V,7.265516E-003,2.435079E-003,6.863744E-003,7.258995E-003,7.645261E-002
19,Mn,3.282508E-002,1.878490E-002,7.259842E-002,7.251859E-002,7.410841E-001
19,Fe,5.258155E+000,2.632722E+000,4.035047E+000,3.976628E+000,0.000000E+000
19,Zn,1.285597E-001,3.102233E-002,6.882675E-003,1.701576E-002,2.394300E+000
19,Br,0.000000E+000,6.763604E-003,0.000000E+000,3.784121E-003,2.323605E+000
19,Pb,2.662971E-002,5.942790E-003,6.188535E-003,7.112102E-003,1.016436E+000
