
Residuals from Base Run #19 (Convergent Run)

Base_Run,Date_Time,mass,Na,Mg,Al,Si,P,S,Cl,K,Ca,Ti,V,Mn,Fe,Zn,Br,Pb
19,11/14/06 02:25,5.083000E+000,-9.807000E-002,-2.924000E-002,-1.675000E-001,8.582000E-001,-2.913000E-003,3.537000E-002,-3.135000E-003,-3.816000E-002,3.022000E-001,-2.441000E-002,1.538000E-003,-1.377000E-003,-7.686000E-002,-7.058000E-004,-1.873000E-003,-1.178000E-003
19,11/16/06 03:20,1.890000E+000,1.722000E-001,-2.411000E-002,-2.738000E-002,6.807000E-001,9.438000E-003,2.651000E-002,-4.953000E-002,-3.351000E-003,2.876000E-001,-1.571000E-002,-1.701000E-003,-9.273000E-005,1.067000E-002,-2.761000E-003,-6.157000E-004,-3.046000E-003
19,11/18/06 03:18,-1.028000E+001,1.630000E-001,6.226000E-002,-6.205000E-002,7.080000E-001,-6.738000E-003,6.497000E-003,-6.063000E-002,2.017000E-002,-1.669000E-002,-1.978000E-002,-2.322000E-003,6.550000E-004,1.287000E-001,4.002000E-003,-1.452000E-003,1.382000E-003
19,11/20/06 02:28,-9.912000E+000,3.829000E-002,-2.167000E-002,8.754000E-002,1.075000E+000,-4.959000E-003,-6.692000E-003,-1.257000E-002,1.329000E-002,-1.040000E-001,-2.006000E-002,-2.802000E-004,-8.126000E-005,4.283000E-002,2.121000E-003,-1.722000E-005,1.928000E-004
19,11/22/06 02:36,-2.675000E+000,-4.162000E-002,7.747000E-003,2.620000E-002,2.794000E-001,-1.521000E-003,9.197000E-003,-9.204000E-003,-5.404000E-002,2.662000E-001,-1.046000E-002,4.325000E-004,-1.729000E-003,-1.382000E-001,-9.833000E-004,8.655000E-004,1.508000E-003
19,11/24/06 02:30,1.075000E+001,-1.835000E-001,-3.363000E-002,-7.150000E-002,1.378000E-001,-3.250000E-003,-6.958000E-003,3.262000E-002,1.558000E-003,1.702000E-001,-5.931000E-003,-1.751000E-005,-4.452000E-003,7.528000E-002,-1.728000E-003,1.168000E-003,9.927000E-004
19,11/26/06 02:31,4.699000E+000,-1.026000E-001,-1.701000E-002,-1.311000E-002,-1.640000E-002,-6.192000E-003,1.205000E-002,2.630000E-003,-2.815000E-002,1.826000E-001,3.356000E-003,-2.571000E-004,-2.012000E-003,-4.267000E-002,-3.212000E-004,8.905000E-004,5.242000E-004
19,11/28/06 02:26,-5.990000E+000,-3.284000E-002,-6.083000E-003,-1.972000E-002,2.736000E-002,-9.373000E-004,-5.768000E-003,5.258000E-003,5.226000E-003,6.543000E-002,-2.753000E-003,5.547000E-004,-2.187000E-003,7.627000E-002,-1.302000E-003,4.887000E-004,1.914000E-003
19,11/30/06 02:31,2.781000E+000,1.223000E-002,-6.830000E-002,4.139000E-002,-3.369000E-001,2.005000E-002,1.587000E-002,-3.274000E-003,1.382000E-002,2.956000E-001,5.870000E-003,3.038000E-004,-3.705000E-003,1.139000E-001,-1.089000E-002,9.562000E-004,4.145000E-003
19,12/02/06 02:40,-2.571000E+000,7.645000E-002,-4.718000E-002,5.247000E-002,-2.142000E-001,7.835000E-003,3.028000E-002,-3.904000E-002,4.509000E-002,1.832000E-001,3.637000E-003,3.956000E-004,-9.360000E-004,-3.564000E-002,-5.589000E-003,-8.811000E-004,5.388000E-004
