
Factor Contributions (avg = 1) from Base Run #16 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5
16,11/14/06 02:25,6.622800E-001,9.061900E-001,7.889900E-001,1.646800E-001,4.230600E-001
16,11/16/06 03:20,7.079500E-001,8.949300E-001,1.041500E+000,3.544300E-001,4.825900E-001
16,11/18/06 03:18,7.456800E-001,1.388800E+000,1.241500E+000,1.041200E-001,6.300600E-001
16,11/20/06 02:28,1.190300E+000,1.241700E+000,1.100000E+000,5.009500E-002,5.600700E-001
16,11/22/06 02:36,6.205500E-001,1.212600E+000,1.085200E+000,1.709000E-001,3.991300E-001
16,11/24/06 02:30,4.012300E-001,9.691500E-001,6.888300E-002,1.734000E-001,2.146800E-001
16,11/26/06 02:31,3.544100E-001,8.824800E-001,1.674600E-001,1.548500E-001,2.484700E-001
16,11/28/06 02:26,3.869400E-001,5.784100E-001,9.807500E-001,2.984500E-001,8.386700E-001
16,11/30/06 02:31,6.263900E-001,5.061000E-001,5.039200E-001,3.502700E-001,-2.164500E-002
16,12/04/06 02:53,4.651600E-001,8.382800E-001,1.318900E+000,2.760100E-001,1.128000E+000
16,12/06/06 02:55,7.964300E-001,8.293400E-001,6.746000E-001,2.889600E-001,8.181700E-001
16,12/08/06 02:45,7.714300E-001,2.979900E-001,7.478500E-001,2.878400E-001,6.369600E-001
16,12/10/06 02:48,-1.994100E-001,3.351400E+000,3.397500E+000,4.910100E-001,2.292600E+000
16,12/12/06 02:49,5.274700E-001,1.316100E+000,1.339900E+000,1.667200E-001,5.017700E-001
16,12/14/06 02:50,5.102900E-001,1.375000E+000,9.214500E-001,9.768700E-002,5.599200E-001
16,12/16/06 02:39,3.975600E-001,9.890800E-001,6.927700E-001,2.463700E-001,7.445800E-001
16,12/18/06 02:36,4.487500E-001,1.010500E+000,1.819100E-001,4.626400E-001,4.895500E-001
16,12/20/06 02:55,4.921700E-001,8.408500E-001,7.352900E-001,4.545700E-001,9.392100E-001
16,12/22/06 02:57,4.576900E-001,5.850000E-001,-5.221000E-002,2.449700E-001,6.412800E-001
16,12/24/06 04:00,4.029400E-001,1.394900E+000,-1.305200E-001,3.250700E-001,2.711400E-001
16,12/26/06 02:52,5.469500E-001,1.055400E+000,-1.956500E-001,2.145100E-002,2.728100E-001
16,12/30/06 03:04,3.888600E-001,7.335800E-001,8.536100E-001,7.690400E-001,1.244400E+000
16,01/01/07 03:27,1.951100E+000,3.435200E-001,1.434800E-001,5.646800E-001,1.936500E+000
16,01/03/07 03:25,3.456900E+000,-2.000000E-001,2.900600E-001,6.557400E-001,2.938700E+000
16,01/05/07 02:58,1.604600E+000,-2.000000E-001,4.774300E+000,-2.000000E-001,2.620500E-001
16,01/07/07 02:53,3.030300E+000,3.238800E-001,1.006100E+000,7.900100E-001,2.946900E+000
16,01/09/07 02:25,2.034300E+000,2.302400E-001,1.714100E+000,2.296500E-001,5.222000E+000
16,01/11/07 02:28,3.027300E+000,1.171500E+000,2.600700E+000,8.545500E-001,3.821100E+000
16,01/13/07 02:51,2.608200E-001,-2.000000E-001,1.497800E+000,1.395800E+001,2.478300E+000
16,01/17/07 02:40,1.711200E+000,-1.251300E-001,1.968800E-001,7.832000E-001,3.027300E+000
16,01/19/07 03:06,2.581400E+000,2.184900E-001,-1.996100E-001,4.731600E-001,1.704300E-002
16,01/21/07 02:59,3.586700E+000,7.538800E-002,-1.779300E-001,9.837200E-001,2.909300E+000
16,01/23/07 05:16,-2.000000E-001,4.139100E-001,8.852500E-001,1.366300E+001,1.410200E-001
16,01/25/07 03:02,1.361000E+000,1.548700E+000,8.057700E-001,1.580100E-001,3.094600E-001
16,01/27/07 02:55,1.154000E+000,1.693600E+000,8.143200E-001,-4.675400E-002,1.221000E-001
16,01/29/07 03:00,8.957200E-001,1.179500E+000,4.484100E-001,4.706600E-001,8.254100E-001
16,01/31/07 02:59,6.801500E-001,1.737400E+000,8.386000E-001,3.481100E-001,5.110600E-001
16,02/02/07 02:41,4.200000E-001,1.196600E+000,1.128700E+000,3.298100E-001,9.548300E-001
16,02/04/07 02:45,6.069300E-001,1.667200E+000,1.156500E+000,3.140900E-001,7.001900E-001
16,02/16/07 02:20,7.077500E-001,1.204100E+000,8.790900E-001,1.734400E-001,3.655900E-001
16,02/18/07 02:08,5.205100E-001,1.634000E+000,1.102900E+000,3.955000E-001,9.610500E-001
