**** Analysis Summary ****

Time of run: ,05/08/16 00:07
Concentration file: ,C:\Users\thiago\Documents\EPA PMF\Data\pmf_fa\TGeH.csv
Uncertainty file: ,C:\Users\thiago\Documents\EPA PMF\Data\pmf_fa\TGeHunc8.csv
Configuration file: ,


**** Input Data Statistics ****

Species,Category,S/N,Min,25th,Median,75th,Max,% Modeled Samples,% Raw Samples
mass,Weak,      5.2, 42.35000, 55.93375, 70.24500,130.74500,383.02000, 100.00 %, 100.00 %
Na,Strong,      1.0,  0.00255,  0.17299,  0.34212, 40.32221, 40.56603, 100.00 %, 100.00 %
Mg,Strong,      3.5,  0.17591,  0.38955,  0.55308,  0.83444,  1.80718, 100.00 %, 100.00 %
Al,Strong,      8.4,  1.94235,  3.23059,  4.18184,  5.97719, 13.15560, 100.00 %, 100.00 %
Si,Strong,      8.8,  4.46328,  7.95240,  9.76994, 14.96032, 34.71317, 100.00 %, 100.00 %
P,Strong,      3.1,  0.00443,  0.02578,  0.03558,  0.04775,  1.14626, 100.00 %, 100.00 %
S,Strong,      4.4,  0.00637,  0.15406,  0.24210,  0.31485,  1.04718, 100.00 %, 100.00 %
Cl,Strong,      9.7,  0.19021,  1.13751,  1.43509,  1.73792,  4.35592, 100.00 %, 100.00 %
K,Strong,      8.0,  0.27404,  0.61424,  0.78171,  1.17763,  2.87272, 100.00 %, 100.00 %
Ca,Strong,     10.0,  1.70024,  2.30287,  2.76319,  4.99313,  9.85329, 100.00 %, 100.00 %
Ti,Strong,      8.8,  0.17641,  0.26775,  0.34111,  0.56744,  1.40457, 100.00 %, 100.00 %
V,Strong,      2.8,  0.00195,  0.00339,  0.00583,  0.00841,  0.03339, 100.00 %, 100.00 %
Mn,Strong,      8.6,  0.02006,  0.03624,  0.04401,  0.08858,  0.25813, 100.00 %, 100.00 %
Fe,Strong,      9.0,  1.61097,  2.46855,  3.18330,  4.91515, 13.14241, 100.00 %, 100.00 %
Zn,Strong,      6.0,  0.00099,  0.02282,  0.03035,  0.03994,  0.12713, 100.00 %, 100.00 %
Br,Strong,      2.0,  0.00024,  0.00348,  0.00556,  0.00776,  0.48683, 100.00 %, 100.00 %
Pb,Strong,      1.6,  0.00343,  0.00839,  0.01021,  0.01321,  0.03046, 100.00 %, 100.00 %

Excluded Samples


**** Base Run Summary ****

Number of base runs:  ,20
Base user-selected seed:  123
Number of factors:  ,5
Extra modeling uncertainty (%):,0

Base run summary table:

Run #,Q(Robust),Q(True)     ,Converged,# Steps,Q(true)/Qexp
1,674.656     ,988.508     ,Yes      ,459,1.787537
2,674.66      ,988.506     ,Yes      ,561,1.787533
3,717.159     ,1098.58     ,Yes      ,585,1.986582
4,674.656     ,988.507     ,Yes      ,608,1.787535
5,717.084     ,1098.62     ,Yes      ,648,1.986655
6,717.127     ,1098.62     ,Yes      ,959,1.986655
7,717.091     ,1098.75     ,Yes      ,632,1.98689
8,717.086     ,1098.84     ,Yes      ,663,1.987052
9,717.146     ,1098.71     ,Yes      ,790,1.986817
10,717.045     ,1098.75     ,Yes      ,829,1.98689
11,674.655     ,988.506     ,Yes      ,492,1.787533
12,717.077     ,1098.69     ,Yes      ,876,1.986781
13,674.674     ,988.505     ,Yes      ,430,1.787532
14,674.652     ,988.526     ,Yes      ,516,1.78757
15,717.106     ,1098.64     ,Yes      ,778,1.986691
16,674.627     ,988.521     ,Yes      ,382,1.787561
17,717.091     ,1098.67     ,Yes      ,1026,1.986745
18,710.25      ,1198.26     ,Yes      ,1112,2.166836
19,727.45      ,1108.86     ,Yes      ,786,2.005172
20,710.247     ,1198.26     ,Yes      ,529,2.166836

Scaled residual analysis:

Sum of the squares of the differences in scaled residuals for each base run pair by species (d)
Run #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,
2,0.00026,
3,923.58581,923.57508,
4,0.00010,0.00022,923.59643,
5,923.37635,923.36561,0.00367,923.38701,
6,923.59742,923.58675,0.00155,923.60807,0.00334,
7,924.62759,924.61728,0.03656,924.63823,0.05517,0.03295,
8,925.06344,925.05320,0.10349,925.07399,0.13367,0.09755,0.02110,
9,924.69481,924.68441,0.04072,924.70540,0.06397,0.04063,0.00331,0.02156,
10,924.28056,924.27001,0.03085,924.29117,0.04693,0.02730,0.00326,0.02756,0.00725,
11,0.00010,0.00018,923.62897,0.00009,923.41955,923.64059,924.67071,925.10645,924.73791,924.32369,
12,923.88879,923.87826,0.00801,923.89946,0.01317,0.00389,0.01730,0.06755,0.02637,0.01408,923.93196,
13,0.00010,0.00035,923.59226,0.00015,923.38282,923.60379,924.63387,925.06952,924.70118,924.28694,0.00012,923.89507,
14,0.00050,0.00067,923.58868,0.00050,923.37870,923.59956,924.62952,925.06402,924.69782,924.28291,0.00052,923.89027,0.00050,
15,923.61923,923.60859,0.00221,923.62989,0.00332,0.00027,0.03291,0.09742,0.04147,0.02738,923.66241,0.00359,923.62559,923.62121,
16,0.00016,0.00022,923.58889,0.00017,923.37921,923.60018,924.63015,925.06556,924.69783,924.28323,0.00014,923.89122,0.00020,0.00038,923.62192,
17,923.93199,923.92144,0.00455,923.94264,0.01184,0.00344,0.01655,0.06880,0.02162,0.01376,923.97516,0.00208,923.93838,923.93437,0.00354,923.93481,
18,850.72852,850.76690,727.80153,850.74995,728.03756,727.80352,727.18175,726.57813,727.02164,727.36146,850.77178,727.63861,850.72787,850.76871,727.78891,850.75232,727.57113,
19,963.93912,963.95283,122.11955,963.95952,122.62220,121.99466,120.21739,118.68623,120.10762,120.49432,963.97772,121.40440,963.93123,963.91713,121.98924,963.93777,121.51064,609.52856,
20,850.77623,850.81449,727.85485,850.79764,728.09075,727.85668,727.23491,726.63161,727.07495,727.41478,850.81948,727.69166,850.77563,850.81661,727.84203,850.80000,727.62428,0.00044,609.55548,

Sum of d across all species for each base run pair (D)
Run #            Run #,mass        ,Na          ,Mg          ,Al          ,Si          ,P           ,S           ,Cl          ,K           ,Ca          ,Ti          ,V           ,Mn          ,Fe          ,Zn          ,Br          ,Pb          ,
2                    1,0.00000,0.00011,0.00001,0.00001,0.00001,0.00001,0.00001,0.00002,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00002,0.00000,0.00001,
3                    1,0.57815,331.63818,4.05830,26.82710,11.33016,466.47274,3.20679,4.75570,2.57721,4.31113,2.52347,3.99442,18.37297,4.78377,26.75208,7.26353,4.14011,
3                    2,0.57944,331.62019,4.06366,26.83130,11.32993,466.44448,3.21319,4.75298,2.57790,4.31216,2.52565,3.99382,18.37692,4.78397,26.76543,7.26282,4.14125,
4                    1,0.00000,0.00001,0.00001,0.00000,0.00000,0.00000,0.00001,0.00001,0.00001,0.00000,0.00001,0.00001,0.00001,0.00001,0.00001,0.00000,0.00000,
4                    2,0.00000,0.00009,0.00001,0.00001,0.00001,0.00001,0.00001,0.00002,0.00001,0.00000,0.00000,0.00000,0.00001,0.00001,0.00002,0.00000,0.00000,
4                    3,0.57865,331.63755,4.05907,26.82700,11.33016,466.47046,3.20901,4.75742,2.57625,4.31031,2.52524,3.99414,18.37337,4.78515,26.76049,7.26369,4.13850,
5                    1,0.57569,331.63800,4.07732,26.82797,11.28821,466.27257,3.20242,4.76129,2.58222,4.30434,2.51946,3.99172,18.37132,4.77969,26.80541,7.22652,4.15221,
5                    2,0.57698,331.62001,4.08271,26.83215,11.28798,466.24434,3.20882,4.75858,2.58291,4.30535,2.52164,3.99111,18.37525,4.77990,26.81874,7.22581,4.15336,
5                    3,0.00002,0.00010,0.00017,0.00032,0.00021,0.00063,0.00036,0.00014,0.00046,0.00010,0.00009,0.00005,0.00015,0.00007,0.00023,0.00053,0.00004,
5                    4,0.57618,331.63736,4.07810,26.82787,11.28821,466.27030,3.20463,4.76301,2.58130,4.30351,2.52123,3.99142,18.37170,4.78106,26.81383,7.22670,4.15061,
6                    1,0.57770,331.61029,4.07186,26.83989,11.33304,466.47615,3.20666,4.74874,2.58369,4.31852,2.52423,3.99764,18.36959,4.78412,26.77685,7.23776,4.14070,
6                    2,0.57899,331.59231,4.07724,26.84408,11.33281,466.44788,3.21306,4.74604,2.58439,4.31955,2.52642,3.99703,18.37353,4.78432,26.79021,7.23706,4.14185,
6                    3,0.00001,0.00001,0.00005,0.00003,0.00001,0.00006,0.00024,0.00011,0.00006,0.00002,0.00002,0.00001,0.00003,0.00002,0.00005,0.00081,0.00002,
6                    4,0.57820,331.60965,4.07263,26.83978,11.33304,466.47387,3.20887,4.75046,2.58274,4.31770,2.52601,3.99735,18.36999,4.78550,26.78526,7.23794,4.13910,
6                    5,0.00001,0.00013,0.00015,0.00039,0.00021,0.00079,0.00023,0.00011,0.00043,0.00013,0.00007,0.00006,0.00018,0.00009,0.00020,0.00011,0.00005,
7                    1,0.58747,331.58595,4.06215,26.91031,11.50789,467.17795,3.22968,4.72391,2.59220,4.37961,2.54626,4.02500,18.38944,4.81462,26.74891,7.25570,4.09054,
7                    2,0.58877,331.56799,4.06751,26.91455,11.50768,467.14966,3.23610,4.72123,2.59292,4.38067,2.54844,4.02443,18.39344,4.81479,26.76244,7.25501,4.09168,
7                    3,0.00011,0.00163,0.00176,0.00405,0.00272,0.00752,0.00165,0.00197,0.00252,0.00168,0.00061,0.00079,0.00202,0.00104,0.00391,0.00214,0.00044,
7                    4,0.58797,331.58532,4.06289,26.91019,11.50789,467.17565,3.23191,4.72561,2.59117,4.37880,2.54803,4.02476,18.38990,4.81604,26.75728,7.25587,4.08895,
7                    5,0.00016,0.00250,0.00276,0.00637,0.00427,0.01220,0.00269,0.00253,0.00455,0.00252,0.00104,0.00116,0.00309,0.00159,0.00568,0.00139,0.00067,
7                    6,0.00011,0.00153,0.00168,0.00372,0.00266,0.00700,0.00142,0.00169,0.00228,0.00153,0.00062,0.00075,0.00186,0.00098,0.00386,0.00085,0.00041,
8                    1,0.59614,331.56747,4.00390,26.92674,11.60573,467.64452,3.24272,4.67202,2.58913,4.42195,2.56555,4.04941,18.35861,4.83222,26.71305,7.20813,4.06615,
