
Factor Profiles (conc. of species) from Base Run #16 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5
16,mass,6.553100E+001,8.887800E+000,9.442000E-001,1.072500E+001,1.882400E+001
16,Na,0.000000E+000,2.243200E-001,0.000000E+000,0.000000E+000,0.000000E+000
16,Mg,3.377300E-001,8.133700E-002,1.223000E-001,5.764300E-002,6.985500E-002
16,Al,2.289700E+000,1.035300E+000,2.434700E-001,3.743400E-001,1.105600E+000
16,Si,6.351300E+000,1.964800E+000,6.384800E-001,1.146000E+000,2.591500E+000
16,P,0.000000E+000,4.340600E-003,9.071100E-003,8.184000E-002,7.161200E-020
16,S,3.202800E-002,4.040900E-002,1.874700E-001,8.950800E-006,6.828700E-005
16,Cl,1.445500E-001,1.038100E+000,2.770200E-002,7.510400E-002,1.967400E-001
16,K,3.689100E-001,1.161800E-001,1.823500E-001,6.349800E-002,2.869800E-001
16,Ca,2.040800E+000,5.219400E-001,2.338100E-001,3.856300E-001,6.533500E-001
16,Ti,2.557400E-001,5.219100E-002,9.423000E-003,4.126700E-002,1.159200E-001
16,V,3.192000E-003,1.918600E-004,6.870000E-004,5.834300E-004,2.762200E-003
16,Mn,4.076600E-002,2.469800E-003,3.633900E-003,7.151600E-003,1.419800E-002
16,Fe,2.290500E+000,3.610100E-001,1.444600E-001,3.543100E-001,1.193100E+000
16,Zn,1.434700E-005,1.061400E-002,3.622400E-003,5.697100E-004,2.132800E-002
16,Br,1.605200E-003,0.000000E+000,4.077600E-003,4.447000E-004,3.526300E-004
16,Pb,3.335100E-003,3.003600E-003,7.453900E-004,7.913900E-004,4.121800E-003

Factor Profiles (% of species sum) from Base Run #16 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5
16,mass,6.246283E+001,8.471671E+000,8.999923E-001,1.022285E+001,1.794266E+001
16,Na,0.000000E+000,1.000000E+002,0.000000E+000,0.000000E+000,0.000000E+000
16,Mg,5.049300E+001,1.216045E+001,1.828471E+001,8.618032E+000,1.044381E+001
16,Al,4.535487E+001,2.050745E+001,4.822707E+000,7.415008E+000,2.189997E+001
16,Si,5.004144E+001,1.548052E+001,5.030539E+000,9.029253E+000,2.041825E+001
16,P,0.000000E+000,4.556979E+000,9.523294E+000,8.591972E+001,7.518186E-017
16,S,1.231921E+001,1.554287E+001,7.210822E+001,3.442824E-003,2.626582E-002
16,Cl,9.752421E+000,7.003797E+001,1.868984E+000,5.067076E+000,1.327355E+001
16,K,3.624162E+001,1.141349E+001,1.791402E+001,6.238027E+000,2.819284E+001
16,Ca,5.320777E+001,1.360803E+001,6.095898E+000,1.005415E+001,1.703415E+001
16,Ti,5.389208E+001,1.099821E+001,1.985708E+000,8.696193E+000,2.442782E+001
16,V,4.303923E+001,2.586938E+000,9.263142E+000,7.866659E+000,3.724403E+001
16,Mn,5.975728E+001,3.620383E+000,5.326792E+000,1.048325E+001,2.081229E+001
16,Fe,5.273543E+001,8.311729E+000,3.325981E+000,8.157472E+000,2.746939E+001
16,Zn,3.968911E-002,2.936225E+001,1.002090E+001,1.576029E+000,5.900114E+001
16,Br,2.477111E+001,0.000000E+000,6.292466E+001,6.862517E+000,5.441712E+000
16,Pb,2.779880E+001,2.503568E+001,6.212992E+000,6.596412E+000,3.435612E+001

Factor Profiles (% of total variable) from Base Run #16 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5
16,mass,*,*,*,*,*
16,Na,0.000000E+000,2.523909E+000,0.000000E+000,0.000000E+000,0.000000E+000
16,Mg,5.153744E-001,9.151534E-001,1.295276E+001,5.374638E-001,3.710954E-001
16,Al,3.494071E+000,1.164855E+001,2.578585E+001,3.490350E+000,5.873353E+000
16,Si,9.692054E+000,2.210671E+001,6.762127E+001,1.068532E+001,1.376700E+001
16,P,0.000000E+000,4.883773E-002,9.607181E-001,7.630769E-001,3.804292E-019
16,S,4.887458E-002,4.546570E-001,1.985490E+001,8.345734E-005,3.627656E-004
16,Cl,2.205826E-001,1.168006E+001,2.933912E+000,7.002704E-001,1.045155E+000
16,K,5.629550E-001,1.307185E+000,1.931264E+001,5.920559E-001,1.524543E+000
16,Ca,3.114251E+000,5.872544E+000,2.476276E+001,3.595618E+000,3.470835E+000
16,Ti,3.902580E-001,5.872207E-001,9.979877E-001,3.847739E-001,6.158096E-001
16,V,4.870977E-003,2.158690E-003,7.276001E-002,5.439907E-003,1.467382E-002
16,Mn,6.220873E-002,2.778865E-002,3.848655E-001,6.668159E-002,7.542499E-002
16,Fe,3.495292E+000,4.061860E+000,1.529972E+001,3.303590E+000,6.338185E+000
16,Zn,2.189345E-005,1.194221E-001,3.836475E-001,5.311981E-003,1.133022E-001
16,Br,2.449528E-003,0.000000E+000,4.318576E-001,4.146387E-003,1.873300E-003
16,Pb,5.089347E-003,3.379464E-002,7.894408E-002,7.378928E-003,2.189652E-002
