
Factor Contributions (avg = 1) from Base Run #13 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5
13,11/14/06 02:25,2.376200E+000,1.133000E+000,5.124400E-001,1.320000E+000,8.310200E-002
13,11/16/06 03:20,2.411600E+000,1.244800E+000,8.067100E-001,1.742200E+000,3.145500E-002
13,11/18/06 03:18,2.991800E+000,1.050600E+000,1.013000E+000,1.966200E+000,4.418800E-001
13,11/20/06 02:28,4.698600E+000,5.938700E-001,7.767400E-001,1.798000E+000,2.432200E-001
13,11/22/06 02:36,2.435800E+000,1.274000E+000,1.341100E+000,8.504300E-001,3.648900E-001
13,11/24/06 02:30,1.482500E+000,1.290500E+000,2.055200E-001,1.946400E-001,2.700400E-001
13,11/26/06 02:31,1.280000E+000,1.340800E+000,3.812100E-001,1.989800E-001,1.975200E-001
13,11/28/06 02:26,1.558100E+000,1.571400E+000,1.043700E+000,1.407200E+000,-2.000000E-001
13,11/30/06 02:31,2.005300E+000,5.940600E-001,4.075700E-001,6.449200E-001,-3.609400E-002
13,02/02/07 02:41,1.703700E+000,1.769600E+000,7.336400E-001,2.518100E+000,1.828100E-001
13,02/04/07 02:45,2.500400E+000,1.422200E+000,8.720000E-001,2.422700E+000,5.846900E-001
13,02/06/07 02:47,9.809200E-001,1.231600E+000,5.909800E-001,8.830500E-001,7.653500E-001
13,02/08/07 02:47,9.413700E-001,1.052600E+000,1.135700E+000,1.209300E+000,1.294100E+000
13,02/10/07 02:43,8.910400E-001,1.759400E+000,3.435100E-001,8.749200E-001,5.336500E-001
13,02/12/07 02:42,4.369400E-001,1.420100E+000,1.433700E+000,7.560100E-001,5.027000E-001
13,02/14/07 02:34,1.637600E+000,1.590400E+000,7.900300E-001,1.404700E+000,2.788300E-001
13,02/16/07 02:20,2.724600E+000,9.916100E-001,8.294600E-001,1.276400E+000,3.117000E-001
13,02/18/07 02:08,2.018100E+000,2.438200E+000,7.670900E-001,2.418700E+000,2.634800E-001
13,02/20/07 02:12,1.666000E+000,6.990000E-001,7.326700E-001,1.147400E+000,1.289500E+000
13,02/22/07 02:11,1.541000E+000,6.413100E-001,1.420200E+000,7.657500E-001,1.747100E+000
13,02/24/07 02:17,2.492400E+000,1.310200E+000,9.883000E-001,1.867700E+000,8.207500E-001
13,02/26/07 00:17,2.937900E+000,8.053400E-001,1.545600E+000,2.821600E+000,7.719100E-001
