
Factor Profiles (conc. of species) from Base Run #9 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5
9,mass,7.069400E+000,7.783700E+000,6.914300E+000,1.125900E+000,1.006900E+001
9,Na,4.993400E-001,1.225400E-001,1.992200E-002,6.629400E-002,1.692200E-010
9,Mg,3.684300E-002,6.322200E-002,0.000000E+000,2.926800E-002,7.009400E-002
9,Al,7.998700E-002,4.239100E-001,2.443600E-001,9.134500E-002,7.196900E-001
9,Si,3.236100E-001,9.554800E-001,6.246000E-001,1.621100E-001,1.328800E+000
9,P,0.000000E+000,5.819100E-003,1.144000E-002,1.731700E-003,4.175300E-003
9,S,3.871800E-002,2.493700E-002,2.002500E-002,9.935600E-002,4.445000E-002
9,Cl,1.058800E+000,2.239000E-001,1.877700E-001,7.406700E-002,3.263500E-001
9,K,0.000000E+000,7.154500E-002,4.281900E-002,1.235600E-001,1.077600E-001
9,Ca,2.869500E-001,9.264000E-002,3.635000E-001,5.253500E-007,5.400100E-001
9,Ti,1.215700E-002,2.689600E-002,2.481500E-002,4.673900E-003,6.143200E-002
9,V,1.607300E-004,8.563600E-004,1.899100E-004,1.168300E-004,6.016800E-004
9,Mn,1.395600E-003,3.709100E-003,2.669100E-003,9.714900E-004,6.360600E-003
9,Fe,1.736500E-001,4.611900E-001,3.186500E-001,0.000000E+000,3.083600E-001
9,Zn,3.046100E-003,1.665800E-003,1.107600E-002,1.036000E-003,3.596200E-003
9,Br,9.060300E-004,3.242100E-006,1.611300E-004,3.166900E-003,1.099800E-003
9,Pb,3.495400E-004,0.000000E+000,1.691400E-003,1.487500E-003,1.995600E-003

Factor Profiles (% of species sum) from Base Run #9 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5
9,mass,2.144693E+001,2.361395E+001,2.097639E+001,3.415720E+000,3.054702E+001
9,Na,7.051868E+001,1.730556E+001,2.813460E+000,9.362289E+000,2.389789E-008
9,Mg,1.847443E+001,3.170183E+001,0.000000E+000,1.467605E+001,3.514770E+001
9,Al,5.129700E+000,2.718606E+001,1.567122E+001,5.858108E+000,4.615492E+001
9,Si,9.533082E+000,2.814706E+001,1.839981E+001,4.775526E+000,3.914452E+001
9,P,0.000000E+000,2.511903E+001,4.938250E+001,7.475147E+000,1.802332E+001
9,S,1.701995E+001,1.096199E+001,8.802739E+000,4.367566E+001,1.953966E+001
9,Cl,5.659348E+001,1.196759E+001,1.003642E+001,3.958924E+000,1.744360E+001
9,K,0.000000E+000,2.069665E+001,1.238675E+001,3.574363E+001,3.117298E+001
9,Ca,2.236380E+001,7.220011E+000,2.832981E+001,4.094379E-005,4.208633E+001
9,Ti,9.353416E+000,2.069339E+001,1.909229E+001,3.596030E+000,4.726487E+001
9,V,8.347399E+000,4.447445E+001,9.862842E+000,6.067483E+000,3.124783E+001
9,Mn,9.238780E+000,2.455400E+001,1.766927E+001,6.431200E+000,4.210675E+001
9,Fe,1.376154E+001,3.654872E+001,2.525261E+001,0.000000E+000,2.443714E+001
9,Zn,1.491716E+001,8.157649E+000,5.424067E+001,5.073432E+000,1.761108E+001
9,Br,1.697607E+001,6.074645E-002,3.019054E+000,5.933744E+001,2.060669E+001
9,Pb,6.327615E+000,0.000000E+000,3.061889E+001,2.692776E+001,3.612573E+001

Factor Profiles (% of total variable) from Base Run #9 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5
9,mass,*,*,*,*,*
9,Na,7.063400E+000,1.574316E+000,2.881275E-001,5.888090E+000,1.680604E-009
9,Mg,5.211616E-001,8.122358E-001,0.000000E+000,2.599520E+000,6.961367E-001
9,Al,1.131454E+000,5.446125E+000,3.534125E+000,8.113065E+000,7.147582E+000
9,Si,4.577616E+000,1.227540E+001,9.033452E+000,1.439826E+001,1.319694E+001
9,P,0.000000E+000,7.476007E-002,1.654542E-001,1.538058E-001,4.146688E-002
9,S,5.476844E-001,3.203746E-001,2.896172E-001,8.824585E+000,4.414540E-001
9,Cl,1.497723E+001,2.876524E+000,2.715676E+000,6.578471E+000,3.241136E+000
9,K,0.000000E+000,9.191644E-001,6.192818E-001,1.097433E+001,1.070215E+000
9,Ca,4.059043E+000,1.190179E+000,5.257221E+000,4.666045E-005,5.363095E+000
9,Ti,1.719665E-001,3.455426E-001,3.588939E-001,4.151257E-001,6.101102E-001
9,V,2.273602E-003,1.100197E-002,2.746627E-003,1.037659E-002,5.975569E-003
9,Mn,1.974142E-002,4.765214E-002,3.860261E-002,8.628564E-002,6.317013E-002
9,Fe,2.456361E+000,5.925074E+000,4.608565E+000,0.000000E+000,3.062469E+000
9,Zn,4.308852E-002,2.140113E-002,1.601897E-001,9.201527E-002,3.571556E-002
9,Br,1.281622E-002,4.165243E-005,2.330388E-003,2.812772E-001,1.092263E-002
9,Pb,4.944408E-003,0.000000E+000,2.446235E-002,1.321165E-001,1.981925E-002
