**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 9

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,  7.06940,  5.77050,  6.56368,  7.24620,  7.74458,  8.40870,  7.14680,  0.78811,  0.11027,  0.11148
Na,  0.49934,  0.48384,  0.49110,  0.51608,  0.54241,  0.56395,  0.51720,  0.02702,  0.05224,  0.05411
Mg,  0.03684,  0.03253,  0.04234,  0.04590,  0.05223,  0.06142,  0.04703,  0.00722,  0.15351,  0.19594
Al,  0.07999,  0.00824,  0.04833,  0.09676,  0.12880,  0.16209,  0.09254,  0.04746,  0.51290,  0.59337
Si,  0.32361,  0.21598,  0.28072,  0.37744,  0.43701,  0.48894,  0.36551,  0.08417,  0.23029,  0.26010
P,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00247,  0.00025,  0.00075,  3.04600,  0.00000
S,  0.03872,  0.03577,  0.03996,  0.04857,  0.06294,  0.07311,  0.05143,  0.01259,  0.24474,  0.32506
Cl,  1.05880,  0.86239,  0.98282,  1.04805,  1.08265,  1.16130,  1.03160,  0.07236,  0.07014,  0.06834
K,  0.00000,  0.00000,  0.00639,  0.01846,  0.03615,  0.04144,  0.02003,  0.01521,  0.75936,  0.00000
Ca,  0.28695,  0.06050,  0.13319,  0.22178,  0.30143,  0.32540,  0.21034,  0.08613,  0.40950,  0.30017
Ti,  0.01216,  0.00000,  0.00523,  0.01080,  0.01480,  0.01745,  0.01007,  0.00546,  0.54160,  0.44872
V,  0.00016,  0.00009,  0.00024,  0.00029,  0.00038,  0.00044,  0.00029,  0.00009,  0.31070,  0.56461
Mn,  0.00140,  0.00071,  0.00110,  0.00150,  0.00179,  0.00206,  0.00145,  0.00042,  0.29077,  0.30312
Fe,  0.17365,  0.14475,  0.19382,  0.20200,  0.24585,  0.31743,  0.21601,  0.03956,  0.18312,  0.22779
Zn,  0.00305,  0.00093,  0.00152,  0.00200,  0.00304,  0.00393,  0.00219,  0.00089,  0.40735,  0.29339
Br,  0.00091,  0.00065,  0.00089,  0.00114,  0.00155,  0.00190,  0.00121,  0.00039,  0.31872,  0.42590
Pb,  0.00035,  0.00000,  0.00001,  0.00015,  0.00040,  0.00071,  0.00021,  0.00022,  1.04496,  0.61525

Factor 2,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,  7.78370,  5.12120,  5.78823,  6.40445,  7.67535,  8.27880,  6.65349,  0.99580,  0.14967,  0.12793
Na,  0.12254,  0.00000,  0.04728,  0.09759,  0.13918,  0.20606,  0.09174,  0.05841,  0.63671,  0.47669
Mg,  0.06322,  0.00023,  0.01078,  0.01811,  0.04228,  0.06665,  0.02629,  0.02027,  0.77093,  0.32061
Al,  0.42391,  0.20415,  0.24631,  0.33594,  0.41097,  0.49291,  0.32568,  0.08674,  0.26633,  0.20461
Si,  0.95548,  0.44901,  0.54497,  0.63995,  0.77544,  0.96155,  0.67165,  0.15458,  0.23016,  0.16179
P,  0.00582,  0.00000,  0.00278,  0.00409,  0.00516,  0.01207,  0.00407,  0.00250,  0.61364,  0.42938
S,  0.02494,  0.00000,  0.00157,  0.00950,  0.02722,  0.05102,  0.01531,  0.01502,  0.98134,  0.60249
Cl,  0.22390,  0.14202,  0.24281,  0.34712,  0.50954,  0.63783,  0.38184,  0.15072,  0.39472,  0.67315
