
Factor Contributions (avg = 1) from Base Run #9 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6
9,11/12/06 06:43,3.752100E+000,-2.000000E-001,9.912400E-001,-1.290700E-001,9.358300E-001,1.930100E+000
9,11/14/06 03:18,3.853700E+000,-1.742500E-001,8.766500E-001,-3.364700E-002,2.964700E-001,1.819400E+000
9,11/16/06 04:08,2.822400E+000,-7.746000E-002,1.136000E+000,1.796500E-001,8.627100E-001,1.600500E+000
9,11/18/06 04:01,2.238800E+000,5.487100E-003,1.069500E+000,6.050200E-001,1.036200E+000,1.518900E+000
9,11/20/06 03:11,3.768100E+000,-4.083900E-002,5.348500E-001,4.383500E-001,3.890800E-001,2.242100E+000
9,11/22/06 03:22,2.374300E+000,1.197600E+000,1.091900E+000,6.719700E-001,6.771700E-001,1.530700E+000
9,11/26/06 03:04,1.371200E+000,1.175300E+000,1.041900E+000,2.264400E-001,8.193100E-001,1.047700E+000
9,11/28/06 03:01,4.161200E-001,2.720800E+000,1.224200E+000,-2.000000E-001,1.537900E+000,7.037900E-001
9,11/30/06 03:08,3.128300E-001,6.075500E-001,1.505500E+000,1.243200E-001,2.400100E+000,8.194200E-001
9,12/02/06 05:11,2.047700E-001,9.117200E-001,1.086000E+000,6.685600E-001,1.904700E+000,6.222000E-001
9,12/04/06 05:21,4.839300E-001,2.069200E+000,1.902400E+000,-1.687400E-001,2.593500E+000,1.077100E+000
9,12/06/06 03:32,8.479500E-001,9.248800E-001,2.119400E+000,-2.000000E-001,3.317300E+000,3.079000E+000
9,12/08/06 03:28,1.165000E+000,1.606900E+000,1.431700E+000,-2.000000E-001,3.299700E+000,2.029800E+000
9,12/10/06 03:20,5.447800E-001,1.158800E+000,1.900300E+000,-2.000000E-001,3.390500E+000,4.691400E-001
9,12/12/06 03:18,1.893600E+000,1.270800E+000,1.431500E+000,1.138900E-001,2.552500E+000,1.660500E+000
9,12/14/06 03:19,1.469300E+000,2.514500E+000,1.418000E+000,-1.601300E-001,1.961100E+000,1.204000E+000
9,12/16/06 03:09,9.282200E-001,1.986800E+000,1.273700E+000,-2.000000E-001,2.237200E+000,1.013100E+000
9,12/18/06 03:10,1.075800E+000,1.075300E+000,1.325400E+000,-2.000000E-001,2.862800E+000,1.156000E+000
9,12/20/06 03:26,1.302400E+000,1.304300E+000,1.494400E+000,5.919700E-001,2.574200E+000,9.966200E-001
9,12/22/06 03:29,1.238500E+000,6.981000E-001,1.324000E+000,4.853600E-001,2.494400E+000,7.878100E-001
9,12/24/06 04:27,2.270000E-001,1.203500E+000,2.122000E+000,1.580300E-001,3.047100E+000,5.554700E-001
9,12/26/06 03:20,2.406600E-001,3.666000E+000,1.443600E+000,6.755900E-001,3.531400E+000,7.556800E-001
9,12/28/06 03:22,3.574300E-002,1.732400E+000,1.617300E+000,1.321700E+000,2.729400E+000,6.103400E-001
9,01/01/07 03:20,4.924400E+000,3.710900E+000,1.512100E+000,-2.000000E-001,2.376500E+000,3.314300E+000
9,01/03/07 03:07,7.278200E+000,1.425100E-001,2.382800E-001,2.305900E-001,-2.000000E-001,1.244100E+001
9,01/05/07 02:54,9.915800E+000,1.142000E+000,2.158600E-001,3.640900E-001,-2.000000E-001,1.388800E+001
9,01/07/07 03:09,5.576500E+000,7.046200E-001,9.260400E-001,2.221700E-001,1.327000E+000,6.351500E+000
9,01/09/07 03:02,6.955500E+000,-2.000000E-001,4.138100E-001,-2.000000E-001,1.603100E+000,8.808100E+000
9,01/11/07 02:55,6.429300E+000,2.610400E+000,8.920000E-001,-2.000000E-001,1.970200E+000,7.108900E+000
9,01/13/07 03:27,6.389200E+000,3.023800E-001,5.631400E-001,1.749200E-001,4.844400E-001,7.868300E+000
9,01/15/07 03:19,7.382600E+000,2.696300E-001,6.109700E-001,3.865000E-001,-1.120600E-001,1.074100E+001
9,01/17/07 03:14,5.259500E+000,1.032000E+000,1.300000E+000,2.420800E-001,9.058200E-001,7.148900E+000
9,01/19/07 03:40,5.522900E+000,7.352000E-001,7.345100E-001,1.448100E-001,4.493200E-001,7.975000E+000
9,01/21/07 03:30,6.720000E+000,2.172700E+000,7.603600E-001,3.745900E-001,5.208600E-001,7.927500E+000
9,01/23/07 07:32,5.671800E+000,2.493500E-003,1.365900E+000,-2.000000E-001,1.041600E+000,4.962000E+000
9,01/25/07 05:42,3.832800E+000,2.760000E+000,1.064100E+000,1.989400E-001,1.198100E+000,2.275800E+000
9,01/27/07 03:15,2.885600E+000,1.093200E-001,1.066200E+000,-2.000000E-001,1.750400E+000,1.877300E+000
9,01/29/07 03:26,2.562600E+000,4.905700E-001,1.227600E+000,-2.000000E-001,1.847000E+000,1.503200E+000
9,01/31/07 03:30,1.358200E+000,1.025700E+000,1.133000E+000,3.435200E-001,1.777600E+000,7.716400E-001
9,02/02/07 03:13,1.062700E+000,7.117800E-001,1.038100E+000,2.962500E-001,2.006800E+000,7.416700E-001
9,02/04/07 03:16,1.524000E+000,3.967000E-001,9.555400E-001,4.467800E-001,2.242900E+000,9.630400E-001
9,02/06/07 03:20,5.209500E-001,5.330100E-001,6.793300E-001,2.375300E+000,1.267100E+000,3.880000E-001
9,02/08/07 03:14,6.618400E-001,1.387900E-001,5.866700E-001,2.929600E+000,1.393400E+000,3.495100E-001
9,02/12/07 03:09,1.641000E-001,1.255300E+000,8.139800E-001,1.369800E+000,9.419300E-001,3.224100E-001
9,02/14/07 03:01,3.629500E-001,6.627100E-001,8.987400E-001,8.113400E-001,1.235500E+000,5.273000E-001
9,02/16/07 02:51,1.083100E+000,4.878300E-001,1.278400E+000,4.841100E-001,1.248000E+000,9.243700E-001
9,02/18/07 02:34,6.418400E-001,6.135200E-001,1.146400E+000,8.700400E-001,7.748200E-001,5.935100E-001
