**** Analysis Summary ****

Time of run: ,03/27/16 12:41
Concentration file: ,E:\pmf_fa\RFcH.csv
Uncertainty file: ,E:\pmf_fa\RFcHunc8.csv
Configuration file: ,


**** Input Data Statistics ****

Species,Category,S/N,Min,25th,Median,75th,Max,% Modeled Samples,% Raw Samples
mass,Weak,      9.6,  2.45000, 23.19500, 29.43000, 55.60000,3318.47000, 100.00 %, 100.00 %
Na,Strong,      2.7,  0.02182,  0.13234,  0.21901,  0.35284,  1.43352, 100.00 %, 100.00 %
Mg,Strong,      3.6,  0.00236,  0.05843,  0.12468,  0.41947,  3.97355, 100.00 %, 100.00 %
Al,Strong,      9.5,  0.08604,  0.25628,  0.86578,  2.80725, 25.99831, 100.00 %, 100.00 %
Si,Strong,     10.0,  0.12979,  0.50012,  1.52113,  6.29837, 72.73362, 100.00 %, 100.00 %
P,Strong,      4.5,  0.00021,  0.00950,  0.01672,  0.02765,  0.12503, 100.00 %, 100.00 %
S,Strong,     10.0,  0.04298,  0.48028,  0.70075,  1.01076,  2.06221, 100.00 %, 100.00 %
Cl,Strong,     10.0,  0.02523,  0.24598,  0.43730,  0.69569,  3.53752, 100.00 %, 100.00 %
K,Strong,     10.0,  0.07243,  0.73668,  0.94841,  1.46857,  9.75564, 100.00 %, 100.00 %
Ca,Strong,     10.0,  0.02640,  0.18565,  0.37876,  0.89060, 18.55965, 100.00 %, 100.00 %
Ti,Strong,      9.8,  0.00530,  0.01874,  0.05657,  0.16998,  2.76983, 100.00 %, 100.00 %
V,Strong,      4.1,  0.00052,  0.00132,  0.00219,  0.00403,  0.05313, 100.00 %, 100.00 %
Mn,Strong,      8.9,  0.00202,  0.00500,  0.00997,  0.02566,  0.52763, 100.00 %, 100.00 %
Fe,Strong,     10.0,  0.04657,  0.19574,  0.51792,  1.46922, 26.52248, 100.00 %, 100.00 %
Zn,Strong,      8.9,  0.00075,  0.02145,  0.02729,  0.04094,  0.18204, 100.00 %, 100.00 %
Br,Strong,      9.4,  0.00678,  0.01441,  0.02089,  0.03231,  0.10359, 100.00 %, 100.00 %
Pb,Strong,      6.5,  0.00738,  0.01221,  0.01532,  0.02037,  0.09400, 100.00 %, 100.00 %
BC,Strong,     10.0,  0.39235,  2.66320,  3.02087,  3.56797,  5.70093, 100.00 %, 100.00 %

Excluded Samples


**** Base Run Summary ****

Number of base runs:  ,20
Base user-selected seed:  123
Number of factors:  ,6
Extra modeling uncertainty (%):,0

Base run summary table:

Run #,Q(Robust),Q(True)     ,Converged,# Steps,Q(true)/Qexp
1,4683.97     ,5016.39     ,Yes      ,1098,2.436323
2,4768.95     ,5043.03     ,Yes      ,828,2.449262
3,4725.99     ,4990.58     ,Yes      ,720,2.423788
4,4683.87     ,5016.4      ,Yes      ,1550,2.436328
5,4735.17     ,5093.46     ,Yes      ,781,2.473754
6,4724.48     ,4989.52     ,Yes      ,1459,2.423273
7,4666.84     ,4977.19     ,Yes      ,1120,2.417285
8,4725.49     ,4991.52     ,Yes      ,916,2.424245
9,4662.84     ,4980.18     ,Yes      ,1188,2.418737
10,4669.16     ,4976.93     ,Yes      ,1136,2.417159
11,4724.47     ,4989.55     ,Yes      ,1280,2.423288
12,4719.75     ,5001.32     ,Yes      ,1404,2.429004
13,4696.7      ,5018.7      ,Yes      ,660,2.437445
14,4683.87     ,5016.44     ,Yes      ,1187,2.436348
15,4719.8      ,5001.3      ,Yes      ,1961,2.428995
16,4724.43     ,4989.56     ,Yes      ,1185,2.423293
17,4719.8      ,5001.31     ,Yes      ,1325,2.428999
18,4666.68     ,4977.2      ,Yes      ,1128,2.41729
19,4684.09     ,5016.33     ,Yes      ,1110,2.436294
20,4719.94     ,5001.49     ,Yes      ,1226,2.429087

Scaled residual analysis:

Sum of the squares of the differences in scaled residuals for each base run pair by species (d)
Run #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,
2,638.39189,
3,1603.40629,1389.12037,
4,0.00058,638.61257,1603.51539,
5,305.53601,962.51285,1791.17557,305.34882,
6,1605.42832,1390.39110,0.41919,1605.53870,1793.15049,
7,1216.62845,1448.17980,791.15654,1216.68355,1394.34808,794.13570,
8,1603.25420,1386.65045,0.90041,1603.36564,1790.30063,1.32976,784.77609,
9,1192.20263,1438.17996,854.42410,1192.23387,1339.27692,857.14772,10.09933,848.60323,
10,1219.27095,1448.98973,787.48539,1219.33513,1403.69917,789.88464,4.91577,781.39479,18.18577,
11,1605.45203,1390.26117,0.43801,1605.56254,1793.05606,0.00209,794.05275,1.30751,857.06341,789.77767,
12,1523.61764,1373.51947,188.76613,1523.74448,1684.12026,190.36670,575.50457,172.56560,626.28707,576.70387,190.03289,
13,1317.40805,1605.63534,1217.53562,1317.38891,1292.98879,1216.99276,409.45529,1212.69630,351.98143,411.94296,1216.95723,946.14817,
14,0.00540,639.52183,1603.61973,0.00443,304.33980,1605.63875,1216.61954,1603.48023,1192.02950,1219.29010,1605.66263,1523.95654,1316.86554,
15,1523.63940,1373.73477,189.05391,1523.76628,1684.22161,190.65911,575.39270,172.83862,626.17624,576.59865,190.32491,0.00137,946.05805,1523.97840,
16,1605.56533,1390.34795,0.42363,1605.67582,1793.37177,0.00174,794.07653,1.28813,857.12320,789.81363,0.00118,189.98478,1217.05438,1605.77635,190.27669,
17,1523.53969,1373.47091,188.68355,1523.66639,1684.03015,190.28737,575.55192,172.48591,626.32170,576.75429,189.95369,0.00054,946.26520,1523.87804,0.00154,189.90547,
18,1215.90967,1447.94775,792.48448,1215.96407,1393.07514,795.44885,0.00745,786.12244,9.70905,4.84994,795.36525,576.68300,408.12287,1215.89680,576.57114,795.39016,576.73005,
19,0.00297,637.87677,1603.60852,0.00369,306.13218,1605.62947,1216.82708,1603.44773,1192.48200,1219.45464,1605.65307,1523.75188,1317.84115,0.01292,1523.77374,1605.76613,1523.67431,1216.11012,
20,1521.00820,1370.32348,186.81150,1521.13414,1680.50937,188.33170,576.09651,170.75474,626.51495,577.26262,188.00112,0.18400,945.82161,1521.33867,0.19959,187.95279,0.17712,577.26742,1521.14679,

Sum of d across all species for each base run pair (D)
Run #            Run #,mass        ,Na          ,Mg          ,Al          ,Si          ,P           ,S           ,Cl          ,K           ,Ca          ,Ti          ,V           ,Mn          ,Fe          ,Zn          ,Br          ,Pb          ,BC          ,
2                    1,3.16570,195.04977,9.53968,4.93964,8.90144,39.37225,9.90543,68.92096,67.17362,63.48254,4.80915,4.45693,23.31929,6.23091,67.80433,0.86464,19.75793,40.69769,
3                    1,9.98616,191.78612,70.94181,46.59811,57.48629,78.83732,14.73394,73.63299,172.93265,311.56014,6.07043,4.51469,86.37967,11.86525,214.66489,1.98323,41.86913,207.56346,
3                    2,11.14564,15.82169,59.72017,46.18196,62.51049,76.59417,13.69991,9.87592,181.75361,430.63505,7.09928,12.38640,91.18816,17.81181,126.53801,2.06805,14.00576,210.08429,
4                    1,0.00001,0.00007,0.00010,0.00001,0.00002,0.00004,0.00003,0.00004,0.00003,0.00004,0.00001,0.00001,0.00002,0.00001,0.00005,0.00001,0.00003,0.00004,
4                    2,3.16707,195.14721,9.54792,4.93857,8.90041,39.41304,9.90354,68.93961,67.19033,63.49232,4.80875,4.45793,23.32739,6.23000,67.82876,0.86359,19.77138,40.68476,
4                    3,9.98388,191.87007,70.93339,46.59349,57.46724,78.88272,14.73080,73.64778,172.93549,311.55884,6.07202,4.51348,86.36363,11.86421,214.68703,1.98081,41.88189,207.54863,
5                    1,0.91128,79.24281,6.69813,1.86401,4.35064,20.98813,6.64395,37.99550,28.74555,46.32372,3.24005,1.18961,8.81498,4.80317,30.48300,0.40076,5.15296,17.68777,
5                    2,3.64568,373.11102,22.86971,5.29823,11.22261,57.12384,19.24008,95.30276,87.41692,76.59643,5.85002,3.80566,28.46720,8.30628,78.01771,1.36408,31.39454,53.48008,
5                    3,8.70408,365.21991,82.80941,48.83311,61.02742,131.10923,23.89874,94.33026,122.19749,301.50755,7.62007,5.70861,86.75875,14.78556,228.78989,2.97376,51.96710,152.93463,
5                    4,0.91090,79.19168,6.71487,1.86137,4.34731,20.97204,6.64109,37.96675,28.73040,46.30712,3.23925,1.18922,8.81060,4.79970,30.44673,0.40182,5.14166,17.67630,
6                    1,9.97036,191.60090,70.75671,46.41051,57.25235,78.85804,14.37982,73.39858,172.83261,311.34644,6.06259,4.50187,86.21803,11.85790,217.79745,2.02945,42.23073,207.92400,
6                    2,11.12193,15.83248,59.58303,45.98993,62.33300,76.54696,13.47379,9.83706,181.51940,430.81770,7.08628,12.33354,91.09384,17.82881,128.06182,2.05366,14.10214,210.77575,
6                    3,0.00017,0.14283,0.00313,0.00275,0.00374,0.00705,0.07879,0.01515,0.00455,0.01347,0.00097,0.00095,0.01407,0.00296,0.02426,0.04223,0.00713,0.05499,
6                    4,9.96808,191.68611,70.74826,46.40577,57.23333,78.90355,14.37619,73.41366,172.83536,311.34519,6.06420,4.50066,86.20198,11.85681,217.81983,2.02707,42.24337,207.90929,
6                    5,8.68989,364.87121,82.58351,48.59375,60.78065,131.12275,23.30683,94.46557,121.85986,301.80595,7.59851,5.69561,86.76544,14.76462,231.81866,3.00888,52.23809,153.18076,
7                    1,8.53938,135.95200,67.53070,35.33250,41.55127,79.18776,16.37619,35.67206,119.92182,353.89380,7.27209,17.31022,86.98798,16.90461,57.98673,1.07104,8.01650,127.12182,
7                    2,11.13275,144.11721,53.80845,33.66551,34.42800,92.96193,22.85145,79.49623,189.41277,326.71731,11.28454,25.23160,66.88295,22.11063,121.97694,2.21526,21.52748,188.35883,
7                    3,0.42651,207.39623,45.59889,22.79654,26.84960,4.09409,8.08514,96.03902,21.62328,130.70317,5.76747,12.97636,14.75163,8.09004,118.05502,0.90591,31.95510,35.04256,
7                    4,8.53663,135.99471,67.53498,35.33460,41.54587,79.22493,16.36915,35.67046,119.91170,353.91306,7.27523,17.30631,86.98117,16.90458,57.96914,1.07042,8.02137,127.11925,
7                    5,7.40826,275.06096,85.23257,40.15344,47.69962,129.89320,26.93895,77.73666,78.74432,319.04499,7.94161,16.49754,87.53040,16.86020,70.99917,1.54387,16.81909,88.24326,
7                    6,0.42613,206.92092,45.81908,22.77874,26.84973,4.13950,7.61533,95.90628,21.59744,131.52240,5.75934,13.09893,14.72713,8.13630,120.58048,0.97938,32.40159,34.87700,
8                    1,10.12311,190.34656,71.36105,48.00446,58.94119,79.12448,14.64444,73.53473,173.33283,315.21303,6.05030,4.56706,87.16000,12.08069,209.00769,1.77500,41.02198,206.96560,
8                    2,11.21625,14.46361,59.69148,47.37081,63.80614,75.54085,13.35450,9.48214,180.92230,435.00674,7.03364,12.51673,91.59204,18.07241,121.99576,1.87308,13.54567,209.16631,
8                    3,0.00284,0.10355,0.03490,0.04583,0.06765,0.05564,0.06357,0.04398,0.04556,0.12154,0.00783,0.00305,0.03102,0.01980,0.16247,0.01066,0.03242,0.04810,
