
Factor Profiles (conc. of species) from Base Run #9 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6
9,mass,8.769100E+000,3.652000E-001,1.062200E+001,4.436500E+000,4.605900E+000,3.099300E+001
9,Na,0.000000E+000,9.314900E-003,0.000000E+000,1.796500E-001,6.363700E-002,0.000000E+000
9,Mg,1.723000E-001,1.120400E-002,0.000000E+000,2.327100E-003,2.214700E-002,2.052700E-001
9,Al,7.985200E-001,2.807000E-002,5.383100E-002,9.104400E-003,6.427400E-002,2.005100E+000
9,Si,1.897500E+000,4.686600E-002,7.219000E-002,0.000000E+000,1.621900E-001,4.472600E+000
9,P,3.074800E-003,0.000000E+000,2.546200E-003,0.000000E+000,1.136900E-002,5.130900E-003
9,S,1.245600E-001,2.669100E-002,1.425000E-001,9.060500E-002,3.782900E-001,0.000000E+000
9,Cl,3.078900E-001,0.000000E+000,0.000000E+000,2.674400E-001,0.000000E+000,0.000000E+000
9,K,1.136200E-001,2.251900E-002,3.455200E-001,1.204100E-001,2.535600E-001,5.497900E-001
9,Ca,0.000000E+000,0.000000E+000,4.418500E-003,9.903700E-002,0.000000E+000,9.884400E-001
9,Ti,3.650700E-002,9.908800E-004,2.059900E-003,4.758700E-003,1.956000E-003,1.436900E-001
9,V,3.103300E-004,2.641500E-005,5.232400E-004,3.350700E-004,2.402100E-004,2.500000E-003
9,Mn,7.388200E-003,1.314900E-004,2.404200E-003,5.940100E-004,5.814300E-004,1.802400E-002
9,Fe,2.733600E-001,2.985900E-003,4.361400E-002,5.493600E-002,1.506600E-002,1.301800E+000
9,Zn,0.000000E+000,1.412800E-003,1.309500E-002,5.711200E-003,1.810300E-003,1.144500E-002
9,Br,4.160800E-003,1.889900E-002,0.000000E+000,3.957200E-003,0.000000E+000,0.000000E+000
9,Pb,8.324200E-004,1.100000E-003,8.443200E-003,3.234600E-003,0.000000E+000,3.924800E-003
9,BC,2.804200E-001,0.000000E+000,2.277900E+000,4.580000E-001,9.263600E-002,0.000000E+000

