
Factor Contributions (avg = 1) from Base Run #12 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6
12,03/02/07 00:30,-6.036900E-002,9.118500E-001,3.540100E+000,5.799900E-001,1.312400E-003,5.268100E+000
12,03/04/07 00:54,-1.986300E-001,5.628000E-001,4.548800E+000,-2.000000E-001,-1.496800E-001,8.620700E+000
12,03/08/07 00:42,1.157600E+000,1.981800E-002,4.364600E+000,1.667700E-001,-1.666800E-001,8.280100E+000
12,03/10/07 00:43,4.229900E-001,1.403400E-001,3.762400E+000,1.975600E-001,-2.000000E-001,7.446200E+000
12,03/12/07 00:44,6.213900E-001,5.477500E-001,3.682900E+000,-1.588800E-001,5.233500E-001,6.767100E+000
12,03/14/07 00:44,9.030100E-001,2.851200E-001,3.582000E+000,2.780900E-001,8.098400E-002,6.080200E+000
12,03/16/07 00:42,1.282400E+000,4.594500E-002,3.136700E+000,1.612300E+000,2.181200E-001,3.882400E+000
12,03/18/07 00:52,1.111100E+000,5.450300E-001,2.760400E+000,6.166200E-001,3.646700E-001,3.313000E+000
12,03/20/07 00:53,9.424800E-001,2.581700E-001,2.943900E+000,1.510800E-001,1.859800E+000,5.328500E+000
12,03/22/07 00:46,3.254700E-001,3.787200E-001,2.585100E+000,1.711000E-001,7.115300E-001,5.083100E+000
12,03/24/07 00:30,6.747800E-001,3.979600E-001,2.505200E+000,8.574400E-001,4.005600E-001,3.351100E+000
12,03/26/07 01:08,2.110000E+000,-2.000000E-001,1.588300E+000,2.684700E+000,1.190200E-001,1.179900E+000
12,03/28/07 01:29,4.413000E-001,8.526200E-001,7.056700E-001,1.270000E+000,3.757800E-001,9.842200E-001
12,03/30/07 00:38,8.706600E-001,7.833000E-001,1.353100E+000,1.282400E+000,6.527900E-001,1.078900E+000
12,04/01/07 00:30,1.350200E+000,3.020100E-001,2.346700E+000,1.254300E+000,3.792200E-001,1.763300E+000
12,04/03/07 00:34,3.089400E-001,5.829100E-001,4.890300E-001,1.334700E+000,1.237000E+000,2.600600E-001
12,04/05/07 00:24,5.921200E-001,2.931500E-001,5.711000E-001,1.636900E+000,8.485700E-002,1.521700E+000
12,04/07/07 00:28,7.694800E-002,5.595100E-001,7.894300E-001,1.258400E+000,1.594600E+000,1.214200E+000
12,04/09/07 00:46,2.977100E-002,9.803600E-001,5.140200E-001,-1.994300E-001,6.143100E-001,9.217000E-001
12,04/11/07 00:50,5.233900E-001,5.573200E-001,6.877200E-001,8.534200E-001,5.961300E-001,5.572300E-001
12,04/13/07 00:45,9.246100E-001,6.083700E-001,9.612900E-001,5.552400E-001,3.580100E+000,1.326300E+000
12,04/15/07 01:15,8.179500E-001,4.472200E-001,1.523900E+000,8.695300E-001,5.504000E-001,1.787000E+000
12,04/17/07 01:10,1.411800E+000,1.620100E-001,1.431400E+000,1.086100E+000,9.599100E-001,2.003400E+000
12,04/19/07 01:21,8.369200E-001,5.026700E-001,1.918100E+000,9.569700E-001,2.980000E-001,2.390500E+000
12,04/21/07 01:15,6.957700E-001,5.084900E-001,1.118700E+000,8.264000E-001,7.067900E-001,8.276200E-001
12,04/23/07 01:00,3.711300E-001,6.954700E-001,1.647400E+000,1.144500E+000,2.949700E-001,9.887100E-001
12,04/25/07 01:11,1.056900E+000,1.976700E-001,1.536400E+000,1.424600E+000,1.122600E+000,4.271600E-001
12,04/27/07 01:17,1.190900E+000,-1.887900E-001,1.762900E+000,1.906200E+000,7.539200E-001,5.688900E-001
12,04/29/07 01:20,4.999300E-001,2.547000E-001,1.013600E+000,1.254600E+000,1.768600E-001,5.558400E-001
12,05/01/07 01:31,3.774500E-001,6.542100E-001,1.525400E+000,1.820000E+000,1.919100E-001,6.659600E-001
12,05/03/07 01:39,2.784800E-001,6.665600E-001,1.187800E+000,1.080400E+000,5.706500E-001,4.326800E-001
12,05/05/07 01:33,4.932500E-001,5.626000E-001,2.628100E+000,1.800200E+000,9.987200E-001,7.288800E-001
12,05/07/07 01:31,9.162800E-001,-5.217900E-002,2.375900E+000,1.577300E+000,3.265500E-001,7.819600E-001
12,05/09/07 01:25,9.144800E-001,7.120800E-001,2.341100E+000,9.987400E-001,3.356000E-001,1.456600E+000
12,05/11/07 01:32,7.114700E-002,9.304300E-001,1.034100E+000,1.244100E+000,3.291800E-001,3.774300E-001
12,05/13/07 01:55,2.134200E-001,1.946400E-001,1.333000E+000,1.112900E+000,3.761900E-001,2.247200E+000
12,05/15/07 01:51,9.841000E-002,-3.177600E-002,1.494900E+000,1.370900E+000,6.301600E-002,3.416200E+000
12,05/17/07 01:54,4.711200E-001,1.074200E+000,8.183200E-001,1.085700E+000,3.432100E-001,-5.123700E-002
12,05/19/07 01:20,2.918600E-001,1.186200E+000,8.676600E-001,5.621600E-001,3.136600E-001,1.020100E+000
12,05/21/07 01:12,1.907000E+000,3.096100E-001,4.399100E+000,8.474800E-001,1.094000E-001,1.769300E+000
12,05/23/07 01:57,1.944500E+000,2.603000E-001,3.452800E-001,2.163600E+000,3.659100E-001,1.347000E-001
12,05/25/07 02:08,7.898600E-001,6.035600E-001,6.336300E-001,1.425500E+000,5.845400E-001,6.997000E-001
12,05/27/07 01:23,3.614600E-001,4.313400E-001,1.224500E+000,2.069300E+000,1.351200E+000,1.826400E+000
12,05/29/07 01:05,8.003300E-001,2.188100E-001,1.674000E-001,2.273800E+000,1.953500E-001,2.596500E-001
12,05/31/07 01:09,6.561400E-001,7.302700E-001,4.284000E-001,2.164000E+000,7.689700E-001,2.195500E-001
12,06/02/07 00:39,7.212500E-001,6.958600E-001,3.220100E-001,1.245300E+000,2.447300E-001,7.108100E-002
12,06/04/07 01:06,1.324600E+000,5.181800E-001,2.845400E-001,1.787600E+000,4.085500E-001,-1.673500E-001
12,06/06/07 01:35,8.351000E-001,2.797700E-001,1.295700E-001,1.622600E+000,3.678400E-001,-8.988000E-002
12,06/08/07 01:20,1.254700E+000,7.880200E-002,6.199800E-002,2.767600E+000,1.060000E+000,-1.773500E-001
12,06/10/07 01:07,1.074700E+000,5.827800E-001,3.976800E-001,9.401600E-001,7.266100E-001,2.327800E-001
12,06/12/07 01:33,1.551200E+000,1.334800E-002,1.922200E-001,1.895700E+000,2.956800E-001,2.038400E-001
12,06/14/07 01:54,4.940800E-001,3.456800E-001,2.498900E-001,1.649900E+000,7.563700E-001,-3.224000E-002
12,06/16/07 01:45,1.926400E+000,1.567500E-002,3.213900E-001,1.120400E+000,1.162300E+000,2.052700E-001
12,06/18/07 01:52,2.413300E+000,9.755800E-001,7.400200E-002,6.562600E-001,1.161800E+000,4.552600E-002
12,06/20/07 01:53,1.447800E+000,1.653600E+000,1.021400E-002,7.838200E-001,8.409400E-001,8.737500E-002
12,06/22/07 01:50,1.195400E+000,2.754100E+000,-1.961000E-001,2.512200E-001,1.178200E+000,3.512500E-002
12,06/24/07 02:16,2.530900E+000,2.116900E+000,4.849200E-001,9.617200E-001,1.320900E+000,2.396800E-001
12,06/26/07 02:06,7.461600E-001,2.654300E+000,-1.264200E-001,5.104900E-001,1.424600E+000,-8.717800E-002
12,06/28/07 02:38,7.405100E-001,1.678300E+000,2.066000E-002,7.458400E-001,1.011000E+000,-8.407400E-002
12,06/30/07 02:14,1.315400E+000,1.649900E+000,-1.200800E-001,4.659500E-001,1.852200E+000,-1.497400E-001
