
Factor Profiles (conc. of species) from Base Run #8 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6
8,mass,2.927900E+000,9.668100E+000,4.400100E+000,3.645900E+000,2.924900E-002,1.314000E+001
8,Na,0.000000E+000,0.000000E+000,1.612700E-001,1.162900E-001,1.255300E-002,0.000000E+000
8,Mg,2.307400E-002,1.358000E-001,2.156700E-002,1.510400E-002,1.153200E-003,2.367300E-003
8,Al,3.228200E-001,7.796900E-001,5.408000E-003,3.082900E-003,9.930400E-003,1.889700E-001
8,Si,6.669400E-001,1.726500E+000,2.530300E-002,1.459300E-002,0.000000E+000,3.600000E-001
8,P,2.640200E-003,1.992700E-003,0.000000E+000,8.576900E-003,0.000000E+000,2.412200E-003
8,S,0.000000E+000,6.675700E-002,1.192400E-001,3.198200E-001,1.918500E-003,1.272500E-001
8,Cl,2.124500E-001,0.000000E+000,2.697500E-001,0.000000E+000,0.000000E+000,0.000000E+000
8,K,0.000000E+000,1.860300E-001,1.431300E-001,2.060200E-001,0.000000E+000,3.877500E-001
8,Ca,2.264100E-001,1.255200E-001,5.615700E-003,1.454900E-002,6.737600E-003,1.003000E-001
8,Ti,2.545000E-002,4.153800E-002,0.000000E+000,0.000000E+000,5.338500E-004,1.314700E-002
8,V,6.542800E-004,3.702500E-004,1.054700E-004,2.111900E-004,6.494500E-005,7.500100E-004
8,Mn,2.171600E-003,6.875700E-003,7.439700E-004,8.263600E-005,0.000000E+000,3.600200E-003
8,Fe,2.326800E-001,3.342100E-001,1.246600E-003,1.768800E-003,2.686600E-003,1.459600E-001
8,Zn,3.377800E-003,0.000000E+000,3.725800E-003,1.684100E-003,2.208700E-003,1.453400E-002
8,Br,0.000000E+000,9.349000E-004,0.000000E+000,0.000000E+000,1.557400E-002,6.874900E-003
8,Pb,1.686400E-003,0.000000E+000,2.542100E-003,0.000000E+000,1.213200E-003,8.968100E-003
8,BC,1.597800E-001,0.000000E+000,4.525200E-001,3.213900E-002,9.463400E-002,2.170300E+000

Factor Profiles (% of species sum) from Base Run #8 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6
8,mass,8.659544E+000,2.859433E+001,1.301372E+001,1.078310E+001,8.650671E-002,3.886280E+001
8,Na,0.000000E+000,0.000000E+000,5.558868E+001,4.008438E+001,4.326935E+000,0.000000E+000
8,Mg,1.159116E+001,6.821875E+001,1.083412E+001,7.587452E+000,5.793068E-001,1.189207E+000
8,Al,2.464461E+001,5.952280E+001,4.128555E-001,2.353536E-001,7.581029E-001,1.442628E+001
8,Si,2.387611E+001,6.180782E+001,9.058344E-001,5.224220E-001,0.000000E+000,1.288782E+001
8,P,1.690052E+001,1.275573E+001,0.000000E+000,5.490270E+001,0.000000E+000,1.544104E+001
8,S,0.000000E+000,1.051315E+001,1.877838E+001,5.036650E+001,3.021329E-001,2.003983E+001
8,Cl,4.405848E+001,0.000000E+000,5.594152E+001,0.000000E+000,0.000000E+000,0.000000E+000
8,K,0.000000E+000,2.015646E+001,1.550822E+001,2.232239E+001,0.000000E+000,4.201294E+001
8,Ca,4.725417E+001,2.619736E+001,1.172056E+000,3.036531E+000,1.406209E+000,2.093368E+001
8,Ti,3.154873E+001,5.149199E+001,0.000000E+000,0.000000E+000,6.617796E-001,1.629749E+001
8,V,3.034490E+001,1.717185E+001,4.891601E+000,9.794796E+000,3.012089E+000,3.478477E+001
8,Mn,1.611684E+001,5.102899E+001,5.521480E+000,6.132948E-001,0.000000E+000,2.671940E+001
8,Fe,3.238179E+001,4.651160E+001,1.734878E-001,2.461617E-001,3.738908E-001,2.031307E+001
8,Zn,1.323050E+001,0.000000E+000,1.459358E+001,6.596450E+000,8.651255E+000,5.692821E+001
8,Br,0.000000E+000,3.998067E+000,0.000000E+000,0.000000E+000,6.660166E+001,2.940027E+001
8,Pb,1.170315E+001,0.000000E+000,1.764147E+001,0.000000E+000,8.419271E+000,6.223612E+001
8,BC,5.491905E+000,0.000000E+000,1.555387E+001,1.104671E+000,3.252728E+000,7.459683E+001

Factor Profiles (% of total variable) from Base Run #8 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6
8,mass,*,*,*,*,*,*
8,Na,0.000000E+000,0.000000E+000,3.665144E+000,3.189610E+000,4.291771E+001,0.000000E+000
8,Mg,7.880734E-001,1.404619E+000,4.901479E-001,4.142736E-001,3.942699E+000,1.801598E-002
8,Al,1.102565E+001,8.064563E+000,1.229063E-001,8.455800E-002,3.395124E+001,1.438128E+000
8,Si,2.277878E+001,1.785770E+001,5.750551E-001,4.002578E-001,0.000000E+000,2.739726E+000
8,P,9.017385E-002,2.061108E-002,0.000000E+000,2.352478E-001,0.000000E+000,1.835769E-002
8,S,0.000000E+000,6.904873E-001,2.709939E+000,8.772045E+000,6.559198E+000,9.684170E-001
8,Cl,7.256054E+000,0.000000E+000,6.130542E+000,0.000000E+000,0.000000E+000,0.000000E+000
8,K,0.000000E+000,1.924163E+000,3.252881E+000,5.650731E+000,0.000000E+000,2.950913E+000
8,Ca,7.732846E+000,1.298290E+000,1.276266E-001,3.990510E-001,2.303532E+001,7.633181E-001
8,Ti,8.692237E-001,4.296398E-001,0.000000E+000,0.000000E+000,1.825191E+000,1.000533E-001
8,V,2.234639E-002,3.829604E-003,2.396991E-003,5.792534E-003,2.220418E-001,5.707839E-003
8,Mn,7.416920E-002,7.111739E-002,1.690803E-002,2.266546E-003,0.000000E+000,2.739878E-002
8,Fe,7.946993E+000,3.456832E+000,2.833117E-002,4.851477E-002,9.185271E+000,1.110807E+000
8,Zn,1.153660E-001,0.000000E+000,8.467535E-002,4.619161E-002,7.551369E+000,1.106088E-001
8,Br,0.000000E+000,9.669946E-003,0.000000E+000,0.000000E+000,5.324627E+001,5.232039E-002
8,Pb,5.759760E-002,0.000000E+000,5.777369E-002,0.000000E+000,4.147834E+000,6.825038E-002
8,BC,5.457154E+000,0.000000E+000,1.028431E+001,8.815107E-001,3.235461E+002,1.651674E+001
