**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 12

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,  2.67590,  1.18730,  2.14865,  2.66530,  2.86988,  3.58310,  2.50584,  0.59635,  0.23798,  0.22286
Na,  0.16610,  0.14774,  0.15275,  0.16102,  0.16564,  0.16884,  0.15918,  0.00698,  0.04386,  0.04203
Mg,  0.02186,  0.01793,  0.02038,  0.02131,  0.02179,  0.02215,  0.02094,  0.00114,  0.05444,  0.05215
Al,  0.00114,  0.00000,  0.00000,  0.00306,  0.02117,  0.04195,  0.01081,  0.01421,  1.31541, 12.46701
Si,  0.01771,  0.00977,  0.01178,  0.01867,  0.05647,  0.09805,  0.03427,  0.02905,  0.84760,  1.63992
P,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  2.44767,  0.00000
S,  0.09769,  0.06273,  0.07921,  0.09133,  0.09762,  0.10574,  0.08854,  0.01110,  0.12536,  0.11362
Cl,  0.35191,  0.33297,  0.33685,  0.33918,  0.34184,  0.35511,  0.34067,  0.00561,  0.01648,  0.01595
K,  0.07997,  0.02026,  0.06279,  0.07469,  0.08222,  0.10068,  0.07073,  0.02005,  0.28347,  0.25070
Ca,  0.02634,  0.01842,  0.02492,  0.03107,  0.04809,  0.05747,  0.03553,  0.01307,  0.36774,  0.49611
Ti,  0.00077,  0.00034,  0.00068,  0.00115,  0.00247,  0.00411,  0.00163,  0.00123,  0.75535,  1.59490
V,  0.00014,  0.00012,  0.00014,  0.00016,  0.00019,  0.00023,  0.00016,  0.00003,  0.19542,  0.23249
Mn,  0.00029,  0.00004,  0.00019,  0.00031,  0.00040,  0.00062,  0.00032,  0.00016,  0.49696,  0.53992
Fe,  0.00607,  0.00133,  0.00370,  0.01026,  0.02434,  0.03849,  0.01410,  0.01200,  0.85065,  1.97662
Zn,  0.00191,  0.00143,  0.00192,  0.00229,  0.00263,  0.00331,  0.00229,  0.00047,  0.20469,  0.24574
Br,  0.00001,  0.00000,  0.00000,  0.00213,  0.00299,  0.00423,  0.00164,  0.00157,  0.95858,303.96799
Pb,  0.00155,  0.00112,  0.00148,  0.00175,  0.00195,  0.00233,  0.00169,  0.00031,  0.18536,  0.20197
BC,  0.19090,  0.00166,  0.13021,  0.20870,  0.25563,  0.37521,  0.19124,  0.09096,  0.47563,  0.47648

Factor 2,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,  7.41120,  3.63980,  5.28648,  5.91380,  6.42763,  7.50770,  5.89862,  0.92121,  0.15617,  0.12430
Na,  0.12573,  0.11598,  0.13509,  0.13870,  0.14142,  0.14606,  0.13704,  0.00695,  0.05073,  0.05529
Mg,  0.01903,  0.01256,  0.01737,  0.01962,  0.02022,  0.02069,  0.01839,  0.00271,  0.14716,  0.14219
Al,  0.05992,  0.00000,  0.00810,  0.01893,  0.03198,  0.05992,  0.02088,  0.01587,  0.75993,  0.26478
Si,  0.12046,  0.00000,  0.01448,  0.03473,  0.06166,  0.12046,  0.04112,  0.03226,  0.78462,  0.26781
P,  0.00796,  0.00719,  0.00736,  0.00762,  0.00778,  0.00796,  0.00758,  0.00025,  0.03344,  0.03185
S,  0.32630,  0.29466,  0.31148,  0.31505,  0.32715,  0.34147,  0.31867,  0.01224,  0.03843,  0.03753
Cl,  0.00000,  0.00000,  0.00000,  0.01023,  0.01982,  0.02901,  0.01119,  0.01108,  0.98986,41331.57020
K,  0.30870,  0.20222,  0.25122,  0.26622,  0.28819,  0.32293,  0.26946,  0.02817,  0.10456,  0.09127
Ca,  0.03754,  0.00000,  0.00300,  0.01025,  0.02518,  0.03754,  0.01384,  0.01206,  0.87113,  0.32132
Ti,  0.00369,  0.00000,  0.00000,  0.00040,  0.00097,  0.00369,  0.00078,  0.00105,  1.35316,  0.28436
V,  0.00036,  0.00021,  0.00024,  0.00026,  0.00029,  0.00036,  0.00027,  0.00004,  0.15966,  0.11613
Mn,  0.00125,  0.00015,  0.00054,  0.00070,  0.00091,  0.00125,  0.00071,  0.00026,  0.36737,  0.20932
Fe,  0.04241,  0.00023,  0.00422,  0.00877,  0.01533,  0.04241,  0.01218,  0.01098,  0.90171,  0.25895
Zn,  0.00592,  0.00284,  0.00393,  0.00457,  0.00500,  0.00592,  0.00442,  0.00090,  0.20408,  0.15234
Br,  0.00152,  0.00000,  0.00036,  0.00449,  0.00633,  0.00688,  0.00359,  0.00275,  0.76673,  1.80966
Pb,  0.00276,  0.00080,  0.00158,  0.00182,  0.00232,  0.00284,  0.00194,  0.00054,  0.28143,  0.19757
BC,  0.68446,  0.08957,  0.34456,  0.48104,  0.54882,  0.68624,  0.45302,  0.14617,  0.32266,  0.21356

Factor 3,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,  1.09240,  0.66538,  1.15668,  1.45600,  1.80303,  4.78740,  1.71090,  1.00298,  0.58623,  0.91815
Na,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00009,  0.00000,  0.00002,  4.47134,  0.00000
Mg,  0.00095,  0.00000,  0.00000,  0.00017,  0.00431,  0.02000,  0.00387,  0.00693,  1.78956,  7.29162
Al,  0.14294,  0.09568,  0.11152,  0.13382,  0.17284,  0.25955,  0.14914,  0.05374,  0.36031,  0.37593
Si,  0.28376,  0.18739,  0.21862,  0.26455,  0.34025,  0.51945,  0.29592,  0.10847,  0.36656,  0.38226
P,  0.00293,  0.00137,  0.00194,  0.00250,  0.00330,  0.00419,  0.00262,  0.00085,  0.32622,  0.29108
S,  0.01717,  0.00078,  0.00754,  0.02037,  0.02896,  0.05100,  0.02043,  0.01394,  0.68232,  0.81172
Cl,  0.01855,  0.00168,  0.00956,  0.01831,  0.02897,  0.04231,  0.01984,  0.01230,  0.62000,  0.66284
K,  0.00003,  0.00000,  0.00000,  0.00377,  0.02604,  0.11450,  0.01998,  0.03263,  1.63346,1157.45467
Ca,  0.17057,  0.10858,  0.12372,  0.15906,  0.17968,  0.20824,  0.15339,  0.03172,  0.20681,  0.18598
Ti,  0.01405,  0.00938,  0.01078,  0.01315,  0.01551,  0.02121,  0.01361,  0.00382,  0.28101,  0.27218
V,  0.00051,  0.00034,  0.00040,  0.00049,  0.00054,  0.00061,  0.00047,  0.00009,  0.18294,  0.17163
Mn,  0.00087,  0.00055,  0.00081,  0.00094,  0.00136,  0.00174,  0.00105,  0.00035,  0.33035,  0.40154
Fe,  0.14032,  0.09443,  0.10847,  0.13246,  0.15339,  0.19875,  0.13436,  0.03335,  0.24818,  0.23765
Zn,  0.00530,  0.00385,  0.00458,  0.00498,  0.00570,  0.00831,  0.00520,  0.00103,  0.19730,  0.19370
Br,  0.00000,  0.00000,  0.00000,  0.00001,  0.00110,  0.00292,  0.00057,  0.00096,  1.67462,11592164.40647
Pb,  0.00176,  0.00096,  0.00138,  0.00185,  0.00217,  0.00391,  0.00191,  0.00069,  0.36012,  0.39250
BC,  0.20196,  0.00000,  0.14216,  0.24505,  0.32620,  0.78875,  0.26727,  0.19079,  0.71384,  0.94468

Factor 4,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,  8.54240,  7.70550,  8.54250,  9.06290,  9.96475, 10.66600,  9.16874,  0.84178,  0.09181,  0.09854
Na,  0.00301,  0.00000,  0.00014,  0.00124,  0.00452,  0.01141,  0.00266,  0.00334,  1.25695,  1.10865
Mg,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00153,  0.00009,  0.00034,  3.95807,31545.01238
