
Factor Contributions (avg = 1) from Base Run #19 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6
19,11/12/06 04:19,-1.126400E-001,6.334600E-001,4.344200E-001,1.905500E+000,1.671600E+000,1.469200E+000
19,11/16/06 04:08,1.542400E+000,1.213000E+000,4.400300E-001,1.352200E+000,1.958000E+000,7.178300E-001
19,11/18/06 04:01,2.083100E+000,1.401600E+000,4.802100E-001,1.109300E+000,2.440800E+000,1.437700E-001
19,11/20/06 03:11,5.341100E-001,1.072300E+000,2.588500E-001,1.621200E+000,2.235000E+000,1.426300E+000
19,11/22/06 03:22,9.546200E-001,7.658000E-001,4.807200E-001,8.969300E-001,1.076000E+000,7.683200E-001
19,11/26/06 03:04,1.828600E+000,8.911200E-001,3.157200E-001,4.044000E-001,9.123400E-001,8.201900E-001
19,11/28/06 03:01,1.881200E+000,1.078200E+000,3.515000E-002,7.575900E-001,1.256900E+000,1.010600E+000
19,11/30/06 03:08,7.285300E-001,1.403100E+000,9.164900E-003,5.504600E-001,4.870400E-001,3.232000E+000
19,12/02/06 05:11,1.943500E+000,1.047900E+000,3.276300E-001,4.115700E-001,8.114800E-001,9.709400E-001
19,12/04/06 05:21,1.905900E+000,1.662200E+000,1.630200E-001,8.654500E-001,1.180800E+000,1.295000E+000
19,12/06/06 03:32,9.303600E-002,7.518000E-002,2.072700E-001,2.172500E+000,1.623100E+000,8.249900E-001
19,12/08/06 03:28,5.118100E-001,5.278500E-001,7.941800E-002,1.314200E+000,1.104300E+000,8.227600E-001
19,12/10/06 03:20,2.507800E+000,2.037700E+000,-2.000000E-001,2.555600E+000,3.860500E+000,6.660400E-001
19,12/12/06 03:18,5.185600E-002,9.820100E-001,8.096300E-001,1.222600E+000,9.577400E-001,1.035700E+000
19,12/14/06 03:19,9.574900E-001,1.854700E+000,5.203000E-001,1.016000E+000,1.718300E+000,9.002400E-001
19,12/16/06 03:09,2.102500E+000,2.284300E+000,1.593500E-001,5.926600E-001,1.769100E+000,1.136700E+000
19,12/18/06 03:10,2.045800E+000,9.780000E-001,3.548400E-001,3.117000E-001,1.401900E+000,8.673800E-001
19,12/20/06 03:26,1.428200E+000,1.356100E+000,8.206700E-002,1.069900E+000,1.393600E+000,5.729100E-001
19,12/22/06 03:29,6.871900E-001,4.611500E-001,1.749500E-001,7.510900E-001,8.909800E-001,1.088800E+000
19,12/24/06 04:27,1.013800E+000,-1.555600E-001,1.826600E-001,3.392400E-001,1.103700E+000,2.018700E+000
19,12/26/06 03:20,1.725800E+000,-2.000000E-001,2.165300E-001,1.628300E-001,5.545900E-001,5.038100E-001
19,12/28/06 03:22,1.668400E+000,-1.125200E-001,4.685400E-001,4.665200E-001,7.109700E-001,9.142500E-001
19,01/01/07 03:20,1.255500E+000,2.674600E-001,-1.790200E-001,5.079500E+000,3.467100E+000,1.877600E+000
19,01/03/07 03:07,2.340400E+000,1.445800E+000,-1.090800E-001,1.498000E+001,-2.000000E-001,3.435800E+000
19,01/05/07 02:54,-3.326600E-002,9.925000E-003,2.189800E-002,5.389200E-002,-6.945700E-002,1.748100E-002
19,01/07/07 03:09,2.932100E+000,1.870800E+000,-1.086700E-001,9.266200E+000,3.934200E+000,-2.000000E-001
19,01/09/07 03:02,1.212300E+000,2.191700E+000,-2.000000E-001,6.558400E+000,3.975800E+000,1.573200E+000
19,01/11/07 02:55,3.120500E+000,1.489000E+000,1.200600E-001,5.216300E+000,3.451100E+000,2.213600E+000
19,01/13/07 03:27,-2.000000E-001,1.016700E+000,8.183200E-001,9.120300E+000,-2.000000E-001,3.027700E+000
19,01/15/07 03:19,7.942800E-001,7.563600E-001,-7.515200E-003,7.264300E+000,8.039600E-001,1.592400E+000
19,01/17/07 03:14,2.057100E+000,7.871000E-001,-2.000000E-001,6.969100E+000,7.148200E-001,3.334400E+000
19,01/19/07 03:40,5.506800E-001,1.464700E+000,-1.757900E-001,1.024700E+001,2.156100E+000,3.497000E+000
19,01/21/07 03:30,7.972200E-001,4.387600E-002,-6.732400E-002,8.521900E+000,1.004200E+000,3.371600E+000
19,01/23/07 07:32,-4.300600E-002,9.738900E-001,3.246800E-001,4.464100E+000,3.360800E+000,1.043400E+000
19,01/25/07 05:42,5.611400E-001,4.847300E-001,9.234900E-001,2.307300E+000,2.688600E+000,8.309900E-001
19,01/27/07 03:15,4.810200E-001,7.067900E-001,9.388700E-001,1.977100E+000,2.329100E+000,8.430500E-001
19,01/29/07 03:26,6.846900E-001,8.304900E-001,7.607000E-001,1.560600E+000,2.554900E+000,8.444800E-001
19,01/31/07 03:30,1.257600E+000,2.739500E-001,5.520700E-001,4.546000E-001,1.657000E+000,6.961300E-001
19,02/02/07 03:13,1.234700E+000,1.243000E+000,5.962700E-001,6.824400E-001,1.858400E+000,9.099200E-001
19,02/04/07 03:16,1.349900E+000,6.788300E-001,5.669100E-001,5.566000E-001,1.836100E+000,1.161700E+000
19,02/06/07 03:20,9.438900E-001,5.031600E-001,9.828100E-001,2.973500E-001,7.340900E-001,7.789800E-001
19,02/08/07 03:14,1.289600E+000,6.666400E-001,1.374500E+000,2.848000E-001,9.135600E-001,-1.318400E-001
19,02/12/07 03:09,1.454200E+000,1.354300E+000,8.334900E-001,1.773600E-001,4.479100E-001,1.075900E+000
