**** Analysis Summary ****

Time of run: ,04/10/16 01:50
Concentration file: ,C:\Users\Andrea\Documents\EPA PMF\Data\pmf_fa\RGcH.csv
Uncertainty file: ,C:\Users\Andrea\Documents\EPA PMF\Data\pmf_fa\RGcHunc8.csv
Configuration file: ,


**** Input Data Statistics ****

Species,Category,S/N,Min,25th,Median,75th,Max,% Modeled Samples,% Raw Samples
mass,Weak,      5.8,  7.62000, 19.81000, 29.66000, 49.52000,437.88000, 100.00 %, 100.00 %
Na,Strong,      2.4,  0.01957,  0.20677,  0.38114,  0.62658,  3.96295, 100.00 %, 100.00 %
Mg,Strong,      2.4,  0.00898,  0.13366,  0.19566,  0.39788,  1.60603, 100.00 %, 100.00 %
Al,Strong,      9.1,  0.00353,  0.63994,  1.59943,  2.83009, 10.48102, 100.00 %, 100.00 %
Si,Strong,      9.6,  0.00186,  1.63112,  3.54954,  7.02649, 29.53665, 100.00 %, 100.00 %
P,Strong,      2.1,  0.00039,  0.00790,  0.01510,  0.02410,  0.07352, 100.00 %, 100.00 %
S,Strong,      5.4,  0.00028,  0.12922,  0.17290,  0.23003,  2.06066, 100.00 %, 100.00 %
Cl,Strong,      9.9,  0.00077,  1.05613,  1.39451,  1.76715,  6.45379, 100.00 %, 100.00 %
K,Strong,      7.8,  0.00047,  0.20929,  0.33720,  0.55960,  3.15296, 100.00 %, 100.00 %
Ca,Strong,      9.9,  0.00043,  0.65751,  1.14776,  1.84966, 11.59203, 100.00 %, 100.00 %
Ti,Strong,      9.5,  0.00042,  0.05707,  0.12898,  0.22414,  1.56528, 100.00 %, 100.00 %
V,Strong,      1.7,  0.00000,  0.00082,  0.00206,  0.00350,  0.03096, 100.00 %, 100.00 %
Mn,Strong,      7.9,  0.00042,  0.00765,  0.01509,  0.03025,  0.31505, 100.00 %, 100.00 %
Fe,Strong,      9.6,  0.00042,  0.64293,  1.19815,  2.09693, 15.58105, 100.00 %, 100.00 %
Zn,Strong,      4.2,  0.00038,  0.01058,  0.01544,  0.02165,  0.08107, 100.00 %, 100.00 %
Br,Strong,      2.0,  0.00003,  0.00264,  0.00405,  0.00628,  0.08034, 100.00 %, 100.00 %
Pb,Strong,      0.8,  0.00050,  0.00304,  0.00466,  0.00732,  0.06992, 100.00 %, 100.00 %

Excluded Samples


**** Base Run Summary ****

Number of base runs:  ,20
Base user-selected seed:  123
Number of factors:  ,6
Extra modeling uncertainty (%):,0

Base run summary table:

Run #,Q(Robust),Q(True)     ,Converged,# Steps,Q(true)/Qexp
1,1395.66     ,1395.66     ,Yes      ,990,0.8076736
2,1395.66     ,1395.65     ,Yes      ,712,0.8076679
3,1395.66     ,1395.66     ,Yes      ,938,0.8076736
4,1395.65     ,1395.65     ,Yes      ,716,0.8076679
5,1395.66     ,1395.66     ,Yes      ,813,0.8076736
6,1395.66     ,1395.66     ,Yes      ,892,0.8076736
7,1395.66     ,1395.65     ,Yes      ,860,0.8076679
8,1395.66     ,1395.66     ,Yes      ,680,0.8076736
9,1395.66     ,1395.66     ,Yes      ,835,0.8076736
10,1395.66     ,1395.66     ,Yes      ,841,0.8076736
11,1395.65     ,1395.65     ,Yes      ,834,0.8076679
12,1395.66     ,1395.65     ,Yes      ,990,0.8076679
13,1395.65     ,1395.65     ,Yes      ,747,0.8076679
14,1395.65     ,1395.65     ,Yes      ,1455,0.8076679
15,1395.66     ,1395.66     ,Yes      ,901,0.8076736
16,1395.65     ,1395.65     ,Yes      ,762,0.8076679
17,1395.65     ,1395.65     ,Yes      ,853,0.8076679
18,1395.66     ,1395.66     ,Yes      ,984,0.8076736
19,1395.65     ,1395.65     ,Yes      ,1003,0.8076679
20,1395.66     ,1395.66     ,Yes      ,761,0.8076736

Scaled residual analysis:

Sum of the squares of the differences in scaled residuals for each base run pair by species (d)
Run #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,
2,0.01089,
3,0.00573,0.00380,
4,0.00883,0.00191,0.00288,
5,0.01058,0.00306,0.00141,0.00326,
6,0.00789,0.00356,0.00080,0.00316,0.00068,
7,0.01225,0.00132,0.00359,0.00122,0.00264,0.00335,
8,0.00740,0.00411,0.00061,0.00280,0.00106,0.00053,0.00333,
9,0.01078,0.00374,0.00148,0.00372,0.00049,0.00086,0.00285,0.00100,
10,0.00575,0.00372,0.00028,0.00316,0.00134,0.00064,0.00371,0.00063,0.00138,
11,0.00700,0.00177,0.00211,0.00087,0.00296,0.00256,0.00140,0.00230,0.00309,0.00219,
12,0.00981,0.00388,0.00133,0.00416,0.00067,0.00071,0.00336,0.00099,0.00046,0.00112,0.00319,
13,0.00847,0.00109,0.00265,0.00182,0.00285,0.00297,0.00126,0.00310,0.00297,0.00263,0.00088,0.00301,
14,0.01169,0.00685,0.00649,0.00237,0.00768,0.00709,0.00477,0.00596,0.00816,0.00708,0.00400,0.00908,0.00657,
15,0.00767,0.00280,0.00078,0.00247,0.00082,0.00041,0.00251,0.00060,0.00093,0.00064,0.00182,0.00075,0.00212,0.00644,
16,0.00731,0.00112,0.00209,0.00095,0.00254,0.00229,0.00145,0.00238,0.00305,0.00209,0.00070,0.00301,0.00102,0.00455,0.00160,
17,0.00725,0.00252,0.00255,0.00063,0.00366,0.00318,0.00162,0.00267,0.00385,0.00281,0.00057,0.00406,0.00160,0.00271,0.00235,0.00107,
18,0.01010,0.00362,0.00133,0.00317,0.00052,0.00062,0.00273,0.00072,0.00049,0.00126,0.00279,0.00055,0.00305,0.00702,0.00062,0.00256,0.00331,
19,0.00979,0.00129,0.00288,0.00072,0.00276,0.00296,0.00062,0.00292,0.00309,0.00302,0.00081,0.00347,0.00103,0.00381,0.00219,0.00091,0.00092,0.00290,
20,0.00793,0.00362,0.00074,0.00361,0.00083,0.00061,0.00327,0.00072,0.00069,0.00058,0.00255,0.00044,0.00251,0.00822,0.00054,0.00252,0.00328,0.00075,0.00304,

Sum of d across all species for each base run pair (D)
Run #            Run #,mass        ,Na          ,Mg          ,Al          ,Si          ,P           ,S           ,Cl          ,K           ,Ca          ,Ti          ,V           ,Mn          ,Fe          ,Zn          ,Br          ,Pb          ,
2                    1,0.00002,0.00077,0.00041,0.00044,0.00019,0.00247,0.00018,0.00016,0.00027,0.00073,0.00005,0.00005,0.00016,0.00048,0.00108,0.00094,0.00249,
3                    1,0.00001,0.00059,0.00023,0.00019,0.00009,0.00148,0.00015,0.00015,0.00012,0.00018,0.00002,0.00003,0.00017,0.00013,0.00048,0.00058,0.00114,
3                    2,0.00001,0.00049,0.00010,0.00025,0.00008,0.00032,0.00012,0.00016,0.00013,0.00046,0.00006,0.00003,0.00014,0.00040,0.00067,0.00009,0.00030,
4                    1,0.00002,0.00077,0.00044,0.00045,0.00020,0.00190,0.00015,0.00014,0.00021,0.00057,0.00007,0.00005,0.00035,0.00042,0.00133,0.00062,0.00118,
4                    2,0.00001,0.00023,0.00007,0.00010,0.00004,0.00020,0.00007,0.00011,0.00005,0.00008,0.00004,0.00003,0.00017,0.00005,0.00029,0.00009,0.00028,
4                    3,0.00001,0.00035,0.00011,0.00020,0.00007,0.00027,0.00011,0.00007,0.00010,0.00031,0.00005,0.00002,0.00013,0.00034,0.00068,0.00004,0.00001,
5                    1,0.00002,0.00086,0.00046,0.00036,0.00016,0.00254,0.00021,0.00023,0.00018,0.00033,0.00002,0.00004,0.00021,0.00021,0.00080,0.00087,0.00310,
5                    2,0.00001,0.00054,0.00012,0.00019,0.00006,0.00020,0.00014,0.00020,0.00011,0.00032,0.00005,0.00002,0.00014,0.00030,0.00055,0.00003,0.00006,
5                    3,0.00001,0.00006,0.00008,0.00007,0.00003,0.00019,0.00004,0.00003,0.00004,0.00007,0.00001,0.00001,0.00003,0.00005,0.00010,0.00007,0.00052,
5                    4,0.00001,0.00035,0.00011,0.00015,0.00007,0.00032,0.00015,0.00010,0.00010,0.00023,0.00005,0.00002,0.00015,0.00026,0.00061,0.00008,0.00050,
6                    1,0.00002,0.00081,0.00039,0.00029,0.00013,0.00194,0.00017,0.00021,0.00014,0.00026,0.00002,0.00003,0.00015,0.00018,0.00062,0.00073,0.00180,
6                    2,0.00001,0.00063,0.00014,0.00018,0.00007,0.00026,0.00015,0.00020,0.00013,0.00039,0.00006,0.00002,0.00012,0.00037,0.00065,0.00008,0.00009,
6                    3,0.00000,0.00008,0.00008,0.00005,0.00003,0.00008,0.00003,0.00003,0.00004,0.00004,0.00002,0.00001,0.00003,0.00003,0.00007,0.00007,0.00011,
6                    4,0.00001,0.00038,0.00011,0.00016,0.00008,0.00030,0.00015,0.00009,0.00011,0.00028,0.00006,0.00002,0.00018,0.00032,0.00071,0.00012,0.00010,
6                    5,0.00000,0.00005,0.00002,0.00003,0.00002,0.00007,0.00002,0.00001,0.00002,0.00004,0.00001,0.00001,0.00003,0.00002,0.00006,0.00006,0.00021,
7                    1,0.00002,0.00095,0.00055,0.00051,0.00019,0.00256,0.00021,0.00018,0.00026,0.00068,0.00005,0.00004,0.00023,0.00043,0.00155,0.00098,0.00286,
7                    2,0.00000,0.00019,0.00006,0.00007,0.00003,0.00006,0.00007,0.00009,0.00004,0.00006,0.00003,0.00002,0.00006,0.00004,0.00039,0.00008,0.00004,
7                    3,0.00001,0.00035,0.00019,0.00023,0.00006,0.00027,0.00010,0.00008,0.00011,0.00035,0.00004,0.00002,0.00009,0.00031,0.00083,0.00011,0.00043,
7                    4,0.00001,0.00006,0.00009,0.00005,0.00003,0.00017,0.00004,0.00003,0.00003,0.00004,0.00001,0.00001,0.00006,0.00004,0.00007,0.00008,0.00041,
7                    5,0.00001,0.00031,0.00022,0.00016,0.00005,0.00014,0.00014,0.00009,0.00010,0.00023,0.00004,0.00001,0.00010,0.00022,0.00073,0.00009,0.00003,
7                    6,0.00001,0.00037,0.00024,0.00017,0.00006,0.00022,0.00014,0.00009,0.00011,0.00029,0.00005,0.00001,0.00011,0.00028,0.00084,0.00020,0.00016,
8                    1,0.00002,0.00084,0.00042,0.00029,0.00013,0.00170,0.00017,0.00023,0.00014,0.00023,0.00003,0.00004,0.00024,0.00016,0.00058,0.00063,0.00158,
8                    2,0.00001,0.00067,0.00012,0.00024,0.00008,0.00032,0.00015,0.00025,0.00015,0.00048,0.00006,0.00003,0.00017,0.00043,0.00073,0.00008,0.00014,
