
Factor Contributions (avg = 1) from Base Run #17 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6
17,03/02/07 00:30,1.373300E+000,2.622000E-001,2.891500E+000,4.964500E-001,9.751800E-001,6.431500E+000
17,03/12/07 00:44,1.246300E+000,4.747600E-001,1.075700E+000,1.172900E+000,7.771400E-001,4.624600E+000
17,03/14/07 00:44,-1.236300E-001,5.748100E-001,9.843500E-001,1.230700E+000,1.051700E+000,4.956100E+000
17,03/16/07 00:42,1.502700E+000,8.048000E-002,1.538300E+000,1.172000E+000,5.689600E-001,1.655100E+000
17,03/18/07 00:52,9.986600E-001,7.152300E-001,1.314500E+000,9.313600E-001,4.330600E-001,1.614600E+000
17,03/20/07 00:53,1.650000E+000,7.905100E-001,1.792600E+000,9.370400E-001,2.155900E+000,4.162600E+000
17,03/22/07 00:46,1.419800E+000,3.647200E-001,1.940100E+000,9.171600E-001,1.437600E+000,3.915200E+000
17,03/24/07 00:30,8.879400E-001,7.553500E-001,1.163600E+000,9.706300E-001,4.669100E-001,2.447500E+000
17,03/28/07 01:29,1.529700E+000,4.832500E-001,9.724700E-001,8.622200E-001,9.867400E-002,9.805900E-001
17,03/30/07 00:38,2.167900E+000,9.114600E-001,1.885100E+000,1.229300E+000,7.668900E-001,1.210200E+000
17,04/01/07 00:30,1.663300E+000,4.890900E-001,9.005200E-001,1.044200E+000,1.776000E-001,1.051200E+000
17,04/03/07 00:34,9.008800E-001,7.959900E-001,9.811100E-001,9.445200E-001,1.146200E+000,7.253600E-001
17,04/05/07 00:24,7.521600E-001,4.618700E-001,1.699000E+000,1.174600E+000,3.548300E-001,1.209600E+000
17,04/07/07 00:28,9.902900E-001,3.754100E-001,8.981700E-001,5.669200E-001,4.311000E-001,7.349100E-001
17,04/09/07 00:46,9.566800E-001,4.983600E-001,1.148100E+000,5.420900E-001,3.235700E-001,5.198100E-001
17,04/11/07 00:50,6.110200E-001,5.988100E-001,7.445000E-001,6.428300E-001,8.096300E-001,1.024700E+000
17,04/13/07 00:45,3.931100E-001,9.720700E-001,5.689300E-001,5.211900E-001,1.400300E+000,1.873300E+000
17,04/15/07 01:15,1.138400E+000,7.829500E-001,1.044100E+000,1.023200E+000,9.310800E-001,1.585900E+000
17,04/17/07 01:10,1.280700E+000,8.293000E-001,1.109100E+000,1.916300E+000,1.632400E+000,1.431000E+000
17,04/19/07 01:21,1.851000E+000,6.679000E-001,6.373200E-001,3.087700E-001,2.959700E-001,1.817300E+000
17,04/21/07 01:15,1.704700E+000,4.150000E-001,1.176300E+000,1.340900E+000,1.135000E+000,1.149100E+000
17,04/23/07 01:00,2.009100E+000,2.673100E-001,1.201300E+000,1.278300E+000,6.148700E-001,1.691200E+000
17,04/25/07 01:11,1.783300E+000,7.485300E-001,1.043800E+000,1.296600E+000,7.678600E-001,9.656100E-001
17,04/27/07 01:17,1.252900E+000,5.643100E-002,8.039000E-001,1.840400E+000,1.338600E+000,4.617000E-001
17,04/29/07 01:20,2.279200E+000,4.695000E-001,1.440800E+000,1.566900E+000,6.880500E-001,1.148400E+000
17,05/01/07 01:31,1.860000E+000,-2.000000E-001,1.084900E+000,2.179800E+000,8.601900E-001,1.837800E+000
17,05/03/07 01:39,2.028700E+000,8.808900E-003,1.287300E+000,1.642700E+000,1.111000E+000,1.091800E+000
17,05/05/07 01:33,8.786100E-002,-8.466800E-002,6.039500E-002,2.270400E+000,1.574000E+000,2.237300E+000
17,05/09/07 01:25,2.245200E+000,2.643500E-001,1.453300E+000,1.775400E+000,5.869200E-001,2.077300E+000
17,05/11/07 01:32,3.172900E-001,-8.280600E-002,8.536600E-001,2.305600E+000,1.544100E-001,9.292900E-001
17,05/13/07 01:55,4.990700E-001,6.419200E-001,9.579700E-001,1.020600E+000,1.095100E+000,1.253800E+000
17,05/15/07 01:51,6.581000E-001,9.411000E-001,1.468700E+000,6.675000E-001,8.148200E-001,2.120400E+000
17,05/17/07 01:54,1.405100E+000,9.483100E-001,1.381500E+000,8.401600E-001,7.355000E-001,6.733100E-001
